Wavelength (µm) raw,SynOl_Fo50 raw,Wavelength (µm) bin avg,SynOl_Fo50 bin avg,Wavelength (µm) cubic spline of bin avg,SynOl_Fo50 cubic spline of bin avg
0.955,0.3272,1.75353,0.73005,1.7535284313725492,0.7300491466319319
0.96,0.32436,1.76351,0.7356199999999999,1.763509411764706,0.7356197073451146
0.965,0.32032,1.77349,0.73932,1.7734903921568628,0.7393200990240852
0.97,0.31611,1.78347,0.741455,1.7834713725490197,0.7414553382702302
0.975,0.31277,1.79345,0.744525,1.7934523529411766,0.7445257678796234
0.98,0.30803,1.80343,0.7475,1.8034333333333334,0.7475008842143371
0.985,0.30437,1.81341,0.749995,1.8134143137254903,0.7499961079351575
0.99,0.30058,1.8234,0.752535,1.8233952941176472,0.7525339638595586
0.995,0.29699,1.83338,0.753935,1.8333762745098041,0.7539348280444566
1.0,0.29286,1.84336,0.754165,1.8433572549019608,0.7541647657706744
1.005,0.28877,1.85334,0.755705,1.8533382352941177,0.7557047450075726
1.01,0.28518,1.86332,0.7566440000000001,1.8633192156862746,0.7566439357638151
1.015,0.28234,1.8733,0.757528,1.8733001960784315,0.7575280148828618
1.02,0.27954,1.88328,0.7581357142857144,1.8832811764705883,0.7581357882825029
1.025,0.27709,1.89326,0.758874,1.8932621568627452,0.758874166347703
1.03,0.27455,1.90324,0.7595907142857141,1.9032431372549021,0.7595909212636227
1.035,0.27259,1.91322,0.7602178571428572,1.913224117647059,0.7602181162899806
1.04,0.27018,1.92321,0.7609314285714286,1.923205098039216,0.7609310115155224
1.045,0.26865,1.93319,0.7618042857142856,1.9331860784313726,0.7618039978337952
1.05,0.26705,1.94317,0.7624235714285713,1.9431670588235295,0.7624233659780495
1.055,0.26643,1.95315,0.7632515384615386,1.9531480392156864,0.7632513772718174
1.06,0.26591,1.96313,0.7639914285714287,1.9631290196078433,0.7639913573728196
1.065,0.26567,1.97311,0.7647423076923078,1.9731100000000001,0.7647423076923078
1.07,0.26532,1.98309,0.7654799999999999,1.983090980392157,0.7654800716862211
1.075,0.26558,1.99307,0.7662199999999999,1.993071960784314,0.7662201495805395
1.08,0.26652,2.00305,0.7670199999999999,2.0030529411764704,0.7670202490166486
1.085,0.26772,2.01303,0.7678730769230768,2.0130339215686273,0.767873398381143
1.09,0.26898,2.02301,0.7686338461538462,2.023014901960784,0.7686342018383734
1.095,0.27082,2.033,0.7693566666666668,2.032995882352941,0.7693563638741832
1.1,0.27243,2.04298,0.7701007692307692,2.042976862745098,0.7701005369527049
1.105,0.27494,2.05296,0.7708541666666666,2.052957843137255,0.770853993125157
