Wavelength (µm) raw,Microcline hs108.13749 raw,Wavelength (µm) bin avg,Microcline hs108.13749 bin avg,Wavelength (µm) cubic spline of bin avg,Microcline hs108.13749 cubic spline of bin avg
0.4733,0.520903,1.2445,0.7829055,1.3750993396226416,0.7842464955523125
0.4753,0.51952,1.25448,0.7795995,1.3870106132075473,0.7786696928626035
0.4773,0.524517,1.26446,0.7796535,1.398921886792453,0.7758207254284275
0.4793,0.526477,1.27444,0.780857,1.4108331603773587,0.7708453801415943
0.4813,0.527044,1.28442,0.7784359999999999,1.4227444339622644,0.7719539918431315
0.4833,0.528481,1.2944,0.7797855,1.43465570754717,0.770022534431887
0.4853,0.528288,1.30438,0.7815719999999999,1.4465669811320756,0.7736236112294494
0.4873,0.527524,1.31437,0.780843,1.4584782547169814,0.772654602531521
0.4893,0.532623,1.32435,0.7831155000000001,1.470389528301887,0.7735641653463035
0.4913,0.534338,1.33433,0.7792645,1.4823008018867927,0.7798418782192389
0.4933,0.531408,1.34431,0.7821965,1.4942120754716983,0.7790262462627618
0.4953,0.535273,1.35429,0.7799795,1.506123349056604,0.7804297584742669
0.4973,0.539369,1.36427,0.778967,1.5180346226415096,0.7802813863266711
0.4993,0.53719,1.37425,0.7842720000000001,1.5299458962264154,0.785455794075601
0.5013,0.539527,1.38423,0.7795650000000001,1.541857169811321,0.7873634614182773
0.5033,0.537797,1.39421,0.7775935,1.5537684433962267,0.7866299620024191
0.5053,0.541932,1.40419,0.7732064999999999,1.5656797169811323,0.7886526323939116
0.5073,0.542433,1.41418,0.7705675000000001,1.577590990566038,0.7885710323505184
0.5093,0.544504,1.42416,0.7719750000000001,1.5895022641509435,0.7894857303847024
0.5113,0.54567,1.43414,0.770017,1.6014135377358494,0.7907230801757571
0.5133,0.54759,1.44412,0.7728275,1.613324811320755,0.7903228384722729
0.5153,0.550656,1.4541,0.7741100000000001,1.6252360849056606,0.7916503131809955
0.5173,0.547143,1.46408,0.7713245,1.6371473584905663,0.7929702058519185
0.5193,0.554021,1.47406,0.775871,1.6490586320754719,0.792818294867623
0.5213,0.552708,1.48404,0.7800905,1.6609699056603777,0.7938095096116996
0.5233,0.552965,1.49402,0.77901,1.6728811792452833,0.7969109049845923
0.5253,0.554891,1.504,0.780922,1.684792452830189,0.7904804450065794
0.5273,0.555261,1.51399,0.778384,1.6967037264150946,0.7916466900093492
0.5293,0.557763,1.52397,0.7843035,1.7086150000000002,0.7949021153770046
