Wavelength (µm),BKR1KW003D anorthite Kierra <45µm,Wavelength (µm) target,BKR1KW003D anorthite Kierra <45µm target
2.5619699999999996,0.920813,,
2.56323,0.920806,,
2.5645,0.920786,,
2.56577,0.920767,,
2.56704,0.920624,,
2.56831,0.920639,,
2.5695799999999998,0.920754,,
2.57086,0.92073,,
2.57213,0.920651,,
2.57341,0.920787,,
2.57469,0.920782,,
2.57597,0.92071,,
2.57725,0.920734,,
2.57853,0.920666,,
2.57981,0.920679,,
2.5810999999999997,0.920734,,
2.58238,0.920685,,
2.58367,0.920787,,
2.58496,0.920852,,
2.5862399999999997,0.920679,,
2.58754,0.920653,,
2.5888299999999997,0.920679,,
2.5901199999999998,0.920659,,
2.5914099999999998,0.92051,,
2.59271,0.920446,,
2.5940100000000004,0.920697,,
2.59531,0.921069,,
2.5966,0.920925,,
2.5979099999999997,0.920552,,
2.5992100000000002,0.920365,,
2.6005100000000003,0.920363,,
2.60182,0.92037,,
2.60312,0.920348,,
2.60443,0.920378,,
2.60574,0.920528,,
2.60705,0.92048,,
2.6083600000000002,0.920223,,
2.60967,0.920093,,
2.6109899999999997,0.920045,,
2.6123000000000003,0.91992,,
2.61362,0.919898,,
2.6149400000000003,0.919883,,
2.61626,0.919957,,
2.61758,0.920038,,
2.6189,0.919903,,
2.6202199999999998,0.919927,,
2.62155,0.919959,,
2.62287,0.919683,,
2.6241999999999996,0.919503,,
2.6255300000000004,0.919558,,
2.62686,0.919641,,
2.62819,0.919446,,
2.62952,0.919334,,
2.63086,0.919418,,
2.63219,0.919297,,
2.6335300000000004,0.919058,,
2.63487,0.918935,,
2.63621,0.91879,,
2.63755,0.918637,,
2.63889,0.91856,,
2.64023,0.918472,,
2.64158,0.918347,,
2.64293,0.918249,,
2.64427,0.918071,,
2.64562,0.917863,,
2.6469699999999996,0.917672,,
2.64832,0.91745,,
2.64968,0.91711,,
2.65103,0.916718,,
2.65239,0.916376,,
2.65375,0.916007,,
2.6551,0.915455,,
2.65646,0.914878,,
2.65783,0.914136,,
2.65919,0.913331,,
2.66055,0.912491,,
2.6619200000000003,0.911653,,
2.66329,0.910669,,
2.66466,0.909732,,
2.66603,0.908679,,
2.6674,0.907438,,
2.66877,0.905933,,
2.67014,0.904468,,
2.67152,0.902626,,
2.6729000000000003,0.900206,,
2.67427,0.898197,,
2.67565,0.89659,,
2.67704,0.895232,,
2.67842,0.893935,,
2.6798,0.892718,,
2.68119,0.891442,,
2.6825799999999997,0.890183,,
2.68396,0.888959,,
2.68535,0.887687,,
2.68675,0.886456,,
2.6881399999999998,0.885313,,
2.6895300000000004,0.884247,,
2.69093,0.883232,,
2.69233,0.882267,,
2.69372,0.881355,,
2.6951199999999997,0.880324,,
2.69653,0.879133,,
2.69793,0.877898,,
2.69933,0.87656,,
2.7007399999999997,0.875233,,
2.70215,0.874029,,
2.70356,0.872713,,
2.70497,0.871276,,
2.7063800000000002,0.869796,,
2.70779,0.868339,,
2.70921,0.866975,,
2.71062,0.865657,,
2.71204,0.864306,,
2.71346,0.862612,,
2.71488,0.860976,,
2.7163000000000004,0.859458,,
2.71772,0.857947,,
2.71915,0.856484,,
2.72058,0.855043,,
2.722,0.853325,,
2.72343,0.851656,,
2.72486,0.850093,,
2.7263,0.848287,,
2.72773,0.846506,,
2.72917,0.844692,,
2.7306,0.842815,,
2.73204,0.841001,,
2.73348,0.839152,,
2.73493,0.837305,,
2.73637,0.835358,,
2.73781,0.833305,,
2.7392600000000003,0.831458,,
2.74071,0.829528,,
2.7421599999999997,0.827291,,
2.7436100000000003,0.824998,,
2.74506,0.82279,,
2.7465100000000002,0.820711,,
2.7479699999999996,0.818631,,
2.74943,0.81655,,
2.75089,0.814402,,
2.7523400000000002,0.812308,,
2.75381,0.810343,,
2.75527,0.808456,,
2.75673,0.806392,,
2.7582,0.804212,,
2.7596700000000003,0.802216,,
2.7611399999999997,0.800306,,
2.76261,0.79847,,
2.76408,0.796665,,
2.76556,0.794882,,
2.76703,0.793133,,
2.76851,0.791374,,
2.76999,0.789607,,
2.77147,0.787927,,
2.77295,0.786262,,
2.7744299999999997,0.78461,,
2.77592,0.783092,,
2.7774099999999997,0.781673,,
2.77889,0.780191,,
2.78038,0.778738,,
2.78188,0.777427,,
2.7833699999999997,0.776122,,
2.78486,0.774758,,
2.78636,0.773499,,
2.7878600000000002,0.772281,,
2.7893600000000003,0.770989,,
2.7908600000000003,0.769684,,
2.79236,0.768493,,
2.79387,0.767285,,
2.7953699999999997,0.766144,,
2.7968800000000003,0.765081,,
2.79839,0.764026,,
2.7999,0.762968,,
2.8014099999999997,0.761951,,
2.80293,0.761012,,
2.80444,0.76009,,
2.8059600000000002,0.759073,,
2.80748,0.758046,,
2.809,0.757095,,
2.81052,0.756143,,
2.81205,0.755212,,
2.8135700000000003,0.75427,,
2.8150999999999997,0.75337,,
2.81663,0.752537,,
2.8181599999999998,0.751774,,
2.81969,0.750946,,
2.82123,0.750074,,
2.82276,0.749389,,
2.8243,0.748668,,
2.8258400000000004,0.747823,,
2.8273800000000002,0.747018,,
2.82892,0.746224,,
2.8304699999999996,0.745476,,
2.8320100000000004,0.744831,,
2.83356,0.744145,,
2.8351100000000002,0.743329,,
2.8366599999999997,0.742605,,
2.83821,0.741985,,
2.83977,0.741293,,
2.84132,0.740587,,
2.84288,0.739914,,
2.84444,0.739295,,
2.846,0.738646,,
2.84757,0.737968,,
2.84913,0.737368,,
2.8507,0.736773,,
2.8522600000000002,0.736247,,
2.85383,0.735637,,
2.8554,0.734957,,
2.85698,0.734347,,
2.85855,0.733832,,
2.8601300000000003,0.73322,,
2.86171,0.73259,,
2.86329,0.732033,,
2.86487,0.731483,,
2.86645,0.73089,,
2.86804,0.730307,,
2.86963,0.729768,,
2.8712199999999997,0.729294,,
2.87281,0.728838,,
2.8744,0.728338,,
2.87599,0.727862,,
2.87759,0.727414,,
2.87919,0.726921,,
2.88079,0.72642,,
2.88239,0.72601,,
2.88399,0.725539,,
2.8855999999999997,0.725083,,
2.8872,0.724705,,
2.88881,0.724295,,
2.89042,0.723859,,
2.89203,0.723402,,
2.89365,0.723047,,
2.8952600000000004,0.722742,,
2.89688,0.722387,,
2.8985,0.722058,,
2.90012,0.721755,,
2.9017399999999998,0.721433,,
2.90337,0.721044,,
2.9049899999999997,0.720652,,
2.9066199999999998,0.720375,,
2.90825,0.720108,,
2.9098800000000002,0.719854,,
2.91152,0.71954,,
2.91315,0.71918,,
2.91479,0.718891,,
2.9164299999999996,0.71866,,
2.91807,0.718503,,
2.91972,0.718253,,
2.92136,0.717991,,
2.92301,0.717776,,
2.92466,0.717577,,
2.92631,0.717421,,
2.92796,0.717193,,
2.9296100000000003,0.716998,,
2.93127,0.716822,,
2.93293,0.716653,,
2.93459,0.716401,,
2.93625,0.716167,,
2.93791,0.71609,,
2.93958,0.716053,,
2.9412399999999996,0.715945,,
2.94291,0.715831,,
2.9445900000000003,0.715675,,
2.94626,0.715598,,
2.94793,0.71552,,
2.9496100000000003,0.715495,,
2.9512899999999997,0.715447,,
2.9529699999999997,0.715359,,
2.95465,0.715291,,
2.95634,0.715193,,
2.95802,0.715123,,
2.95971,0.715037,,
2.9614000000000003,0.714969,,
2.9630900000000002,0.714973,,
2.96479,0.715032,,
2.9664800000000002,0.715048,,
2.96818,0.715061,,
2.9698800000000003,0.715079,,
2.97158,0.715068,,
2.97329,0.715041,,
2.9749899999999996,0.715061,,
2.9766999999999997,0.715074,,
2.97841,0.715123,,
2.98012,0.715296,,
2.98184,0.715429,,
2.98355,0.715447,,
2.98527,0.715462,,
2.9869899999999996,0.715655,,
2.98871,0.715813,,
2.99043,0.715813,,
2.9921599999999997,0.715881,,
2.99389,0.716109,,
2.9956199999999997,0.71627,,
2.99735,0.716342,,
2.9990799999999997,0.716467,,
3.00082,0.716575,,
3.0025500000000003,0.716715,,
3.00429,0.716853,,
3.00604,0.716958,,
3.0077800000000003,0.71714,,
3.0095300000000003,0.717391,,
3.01127,0.717482,,
3.01302,0.717641,,
3.01477,0.717833,,
3.0165300000000004,0.717906,,
3.0182800000000003,0.718051,,
3.02004,0.718206,,
3.0218000000000003,0.718318,,
3.02356,0.718402,,
3.02533,0.718535,,
