Wavelength (µm) raw,Microcline hs108.13749 raw,Wavelength (µm) bin avg,Microcline hs108.13749 bin avg,Wavelength (µm) cubic spline of bin avg,Microcline hs108.13749 cubic spline of bin avg
0.6597,0.749999,2.06294,0.8147933076923073,2.055601027667984,0.8140644421951507
0.6617,0.750334,2.07292,0.8155376666666667,2.065660909090909,0.8150422178552402
0.6637,0.750455,2.0829,0.8155640833333333,2.075720790513834,0.8156094490395501
0.6657,0.749616,2.09288,0.8154070909090909,2.085780671936759,0.8155105982776536
0.6677,0.754884,2.10286,0.8154316666666669,2.0958405533596838,0.8153980963856865
0.6702,0.752361,2.11284,0.8156259166666667,2.1059004347826087,0.8154531424237537
0.6732,0.751257,2.12282,0.8163786363636363,2.1159603162055336,0.8158128029372905
0.6762,0.755346,2.13281,0.8173102499999999,2.1260201976284585,0.8166562271283024
0.6792,0.755975,2.14279,0.8184948181818182,2.1360800790513834,0.8176926529838267
0.6822,0.756191,2.15277,0.8194375454545454,2.1461399604743083,0.8188326947929283
0.6852,0.754691,2.16275,0.8203802727272728,2.1561998418972332,0.8197713839775198
0.6882,0.760398,2.17273,0.8207331818181818,2.166259723320158,0.8206239398521598
0.6912,0.760473,2.18271,0.8198799090909091,2.176319604743083,0.82053177986277
0.6942,0.761672,2.19269,0.8188941818181817,2.186379486166008,0.8194707846424084
0.6972,0.760619,2.20267,0.8186962,2.196439367588933,0.8186991990904302
0.7002,0.764179,2.21265,0.8191466363636365,2.206499249011858,0.8188906006065674
0.702,0.76298,2.22263,0.818795,2.2165591304347827,0.8190583502493994
0.704,0.763678,2.23262,0.8188372727272728,2.2266190118577076,0.8187684100764028
0.706,0.7614,2.2426,0.818571,2.2366788932806325,0.8188065775346085
0.708,0.763815,2.25258,0.8179078000000001,2.2467387747035574,0.8182813695773367
0.71,0.766071,2.26256,0.8178544000000001,2.2567986561264823,0.8178087351718933
0.712,0.76701,2.27254,0.8177466000000001,2.2668585375494072,0.8179145699918914
0.714,0.764123,2.28252,0.8165368000000001,2.276918418972332,0.8172727225696222
0.716,0.765361,2.2925,0.8158826000000001,2.286978300395257,0.8161359017156055
0.718,0.768978,2.30248,0.8156855000000001,2.297038181818182,0.8157951713888819
0.72,0.767425,2.31246,0.8153181999999999,2.307098063241107,0.815501250743209
0.722,0.770815,2.32244,0.8152485555555556,2.317157944664032,0.8152974707918575
0.724,0.770029,2.33242,0.8145924999999998,2.3272178260869567,0.8150022634646324
0.726,0.769835,2.34241,0.8138647777777778,2.3372777075098816,0.8142033234383594
0.728,0.77215,2.35239,0.8135561111111111,2.3473375889328065,0.8136574958891543
0.73,0.770509,2.36237,0.8132215,2.3573974703557314,0.8134962321697936
0.732,0.77254,2.37235,0.8120028888888888,2.3674573517786563,0.8125631270344504
0.734,0.770793,2.38233,0.8118435555555554,2.377517233201581,0.8118915036932456
0.736,0.776816,2.39231,0.8109177777777778,2.3875771146245057,0.8114083208325742
0.738,0.769837,2.40229,0.8103901111111111,2.3976369960474306,0.8105882958473464
0.74,0.773596,2.41227,0.8096632222222222,2.4076968774703555,0.8100680316066801
0.742,0.775312,2.42225,0.8083088888888891,2.4177567588932805,0.8089908711258276
0.744,0.777624,2.43223,0.806705,2.4278166403162054,0.8073743505106344
0.746,0.775325,2.44222,0.8056108888888889,2.4378765217391303,0.8060675102647589
0.748,0.772536,2.4522,0.8043265555555555,2.447936403162055,0.8048847758699259
0.7505,0.775914,2.46218,0.8033671249999998,2.45799628458498,0.8036916542294135
0.7535,0.776552,2.47216,0.802903,2.468056166007905,0.8030930144630355
0.7565,0.775091,2.48214,0.8021575000000001,2.47811604743083,0.8024773430881145
0.7595,0.775254,2.49212,0.8013958750000001,2.488175928853755,0.8017215396012134
0.7625,0.774732,2.5021,0.8003742222222222,2.4982358102766797,0.8007570629532127
0.7655,0.777342,2.51208,0.799682375,2.5082956916996046,0.7999307290588495
0.7685,0.775398,2.52206,0.7988979999999999,2.5183555731225296,0.7991861673127267
0.7715,0.774218,2.53204,0.7984053750000001,2.5284154545454545,0.7985288724537125
0.7745,0.778823,2.54203,0.798281875,2.5384753359683794,0.7983192651453047
0.7775,0.777615,2.55201,0.7980689999999999,2.5485352173913043,0.7981430621367948
0.781,0.776531,2.56199,0.797901,2.558595098814229,0.7979751931984217
0.785,0.780851,2.57197,0.797340875,2.568654980237154,0.7975908664428729
0.789,0.78009,2.58195,0.796500875,2.578714861660079,0.7967198499642626
0.793,0.782025,2.59193,0.7961170000000001,2.588774743083004,0.7963023652562524
0.797,0.781632,2.60191,0.7947312500000001,2.598834624505929,0.7951890394214003
0.8015,0.778412,2.61189,0.7936594285714286,2.6088945059288537,0.793960925169782
0.8065,0.781158,2.62187,0.79248025,2.6189543873517787,0.7928284811590315
0.8115,0.777147,2.63185,0.7911887142857142,2.6290142687747036,0.7916278433010209
0.8165,0.779287,2.64183,0.788907125,2.6390741501976285,0.7896182539061786
0.822,0.776984,2.65182,0.7861201428571428,2.6491340316205534,0.7868989258803457
0.828,0.777712,2.6618,0.7824556249999999,2.6591939130434783,0.7836369824465461
0.835,0.778715,2.67178,0.7757255714285713,2.669253794466403,0.7777385809365964
0.851,0.780504,2.68176,0.7661248571428573,2.679313675889328,0.768689051142344
0.859,0.778136,2.69174,0.7523257142857143,2.689373557312253,0.7564598949235339
0.871,0.779802,2.70172,0.7293101428571429,2.699433438735178,0.7347972059041761
0.883,0.777078,2.7117,0.7052572857142857,2.709493320158103,0.7111901162522752
0.894,0.780799,2.72168,0.6689157142857143,2.7195532015810278,0.6779464722972081
0.904,0.776453,2.73166,0.6211178571428572,2.7296130830039527,0.63109633505716
0.914,0.775866,2.74164,0.5758675714285715,2.7396729644268776,0.5843547457717623
0.924,0.781379,2.75163,0.5358777142857143,2.7497328458498025,0.5430496500759892
0.933,0.77542,2.76161,0.5035689999999999,2.7597927272727274,0.5084899804221668
0.941,0.781787,2.77159,0.4838685,2.769852608695652,0.4868173405674432
0.949,0.780698,2.78157,0.46679228571428577,2.7799124901185768,0.4696638825725558
0.957,0.779674,2.79155,0.44979271428571427,2.7899723715415017,0.45235859810103657
0.964,0.782824,2.80153,0.435138,2.8000322529644266,0.4372080338056206
0.97,0.778797,2.81151,0.4219767142857143,2.8100921343873515,0.4237871065808325
0.976,0.78324,2.82149,0.4098543333333334,2.8201520158102764,0.4114010983589648
0.982,0.780951,2.83147,0.3991402857142857,2.8302118972332013,0.4004231463856869
0.988,0.782461,2.84145,0.3894393333333333,2.8402717786561262,0.39054856794581405
0.994,0.778689,2.85144,0.3804508571428572,2.850331660079051,0.38139949105173754
1.0,0.782735,2.86142,0.37260849999999995,2.860391541501976,0.3733578819896779
1.006,0.781302,2.8714,0.36593300000000006,2.870451422924901,0.366530535429876
1.012,0.779673,2.88138,0.3600636666666666,2.880511304347826,0.36053804492752795
1.018,0.780763,2.89136,0.3552977142857143,2.890571185770751,0.3556219087654762
1.0235,0.783985,2.90134,0.35185,2.9006310671936757,0.3520701095279317
1.0285,0.778638,2.91132,0.34919166666666673,2.9106909486166006,0.3493171940686137
1.0335,0.777302,2.9213,0.34798199999999996,2.9207508300395255,0.3480266229709531
1.0385,0.778757,2.93128,0.34763866666666665,2.9308107114624504,0.3476183154726158
1.0435,0.78191,2.94126,0.34901266666666664,2.9408705928853753,0.34893725804118186
1.0485,0.778785,2.95125,0.35141666666666665,2.9509304743083002,0.35131938196067847
1.0535,0.778339,2.96123,0.35525499999999993,2.960990355731225,0.35514696881667024
1.0585,0.781179,2.97121,0.3601981666666667,2.97105023715415,0.3601145302948803
1.0635,0.779308,2.98119,0.3655532,2.981110118577075,0.3655093879512015
1.0685,0.78174,2.99117,0.3711298333333333,2.99117,0.37112983333333327
1.0735,0.779089,,,,
1.0785,0.780649,,,,
1.0835,0.781331,,,,
1.0885,0.776191,,,,
1.0935,0.776704,,,,
1.0985,0.776249,,,,
1.1035,0.781312,,,,
1.1085,0.777447,,,,
1.1135,0.779465,,,,
1.1185,0.777891,,,,
