Wavelength (µm),BKR1KW003E anorthite Kierra <45µm heated 650 °C under vacuum,Wavelength (µm) target,BKR1KW003E anorthite Kierra <45µm heated 650 °C under vacuum target
2.235,0.9187,,
2.24,0.918707,,
2.245,0.918514,,
2.25,0.919368,,
2.255,0.919355,,
2.26,0.91924,,
2.265,0.919993,,
2.27,0.920337,,
2.275,0.92069,,
2.28,0.92117,,
2.285,0.921445,,
2.29,0.921704,,
2.295,0.922153,,
2.3,0.922662,,
2.305,0.923028,,
2.31,0.923439,,
2.315,0.923816,,
2.32,0.924046,,
2.325,0.92436,,
2.33,0.924596,,
2.335,0.924826,,
2.34,0.925271,,
2.345,0.925482,,
2.35,0.925345,,
2.355,0.925359,,
2.36,0.924975,,
2.365,0.924348,,
2.37,0.923455,,
2.375,0.923092,,
2.38,0.922922,,
2.385,0.92252,,
2.39,0.92274,,
2.395,0.922977,,
2.4,0.923271,,
2.405,0.922815,,
2.41,0.923159,,
2.415,0.92273,,
2.42,0.922637,,
2.425,0.922579,,
2.43,0.922678,,
2.435,0.922983,,
2.44,0.922068,,
2.445,0.92304,,
2.45,0.922123,,
2.455,0.922592,,
2.46,0.922621,,
2.465,0.922941,,
2.47,0.922519,,
2.475,0.923168,,
2.48,0.924078,,
2.485,0.923947,,
2.49,0.923901,,
2.495,0.923996,,
2.5,0.924874,,
2.5002,0.924873,,
2.50141,0.924828,,
2.50262,0.924815,,
2.50383,0.924826,,
2.50503,0.924815,,
2.50625,0.924794,,
2.50746,0.924794,,
2.50867,0.924806,,
2.50989,0.924873,,
2.5111,0.924921,,
2.5123200000000003,0.924878,,
2.5135300000000003,0.924837,,
2.51475,0.924837,,
2.51597,0.924871,,
2.5171900000000003,0.924925,,
2.51842,0.924929,,
2.51964,0.924959,,
2.52087,0.924951,,
2.52209,0.924895,,
2.52332,0.924914,,
2.52455,0.924914,,
2.52578,0.924945,,
2.52701,0.924916,,
2.52824,0.924891,,
2.52947,0.924992,,
2.53071,0.925046,,
2.53194,0.925052,,
2.5331799999999998,0.925052,,
2.53442,0.925042,,
2.53566,0.925061,,
2.5369,0.925115,,
2.53814,0.925152,,
2.53938,0.925164,,
2.54063,0.925156,,
2.54187,0.92513,,
2.54312,0.925203,,
2.54437,0.925164,,
2.54562,0.925143,,
2.5468699999999997,0.925242,,
2.54812,0.925303,,
2.5493699999999997,0.925262,,
2.55063,0.925227,,
2.55188,0.925277,,
2.55314,0.925369,,
2.5543899999999997,0.925339,,
2.55565,0.925251,,
2.55691,0.925225,,
2.55817,0.925218,,
2.55944,0.925212,,
2.5606999999999998,0.925348,,
2.5619699999999996,0.925482,,
2.56323,0.925494,,
2.5645,0.925475,,
2.56577,0.925428,,
2.56704,0.925331,,
2.56831,0.925337,,
2.5695799999999998,0.925468,,
2.57086,0.925453,,
2.57213,0.925415,,
2.57341,0.92563,,
2.57469,0.925574,,
2.57597,0.925484,,
2.57725,0.925503,,
2.57853,0.925456,,
2.57981,0.925436,,
2.5810999999999997,0.925449,,
2.58238,0.925482,,
2.58367,0.925717,,
2.58496,0.925716,,
2.5862399999999997,0.92549,,
2.58754,0.925548,,
2.5888299999999997,0.925566,,
2.5901199999999998,0.925473,,
2.5914099999999998,0.925354,,
2.59271,0.925359,,
2.5940100000000004,0.925777,,
2.59531,0.926234,,
2.5966,0.925906,,
2.5979099999999997,0.925378,,
2.5992100000000002,0.925149,,
2.6005100000000003,0.925179,,
2.60182,0.925214,,
2.60312,0.925246,,
2.60443,0.925384,,
2.60574,0.925574,,
2.60705,0.925451,,
2.6083600000000002,0.925248,,
2.60967,0.925212,,
2.6109899999999997,0.925167,,
2.6123000000000003,0.925024,,
2.61362,0.925026,,
2.6149400000000003,0.925057,,
2.61626,0.925203,,
2.61758,0.925281,,
2.6189,0.925123,,
2.6202199999999998,0.925264,,
2.62155,0.925236,,
2.62287,0.924845,,
2.6241999999999996,0.924731,,
2.6255300000000004,0.924871,,
2.62686,0.925035,,
2.62819,0.92486,,
2.62952,0.924849,,
2.63086,0.925048,,
2.63219,0.924817,,
2.6335300000000004,0.92458,,
2.63487,0.924563,,
2.63621,0.924448,,
2.63755,0.924252,,
2.63889,0.924159,,
2.64023,0.924153,,
2.64158,0.924146,,
2.64293,0.924121,,
2.64427,0.924026,,
2.64562,0.923944,,
2.6469699999999996,0.923776,,
2.64832,0.923594,,
2.64968,0.923405,,
2.65103,0.923249,,
2.65239,0.923148,,
2.65375,0.922922,,
2.6551,0.922531,,
2.65646,0.92213,,
2.65783,0.921632,,
2.65919,0.921145,,
2.66055,0.920562,,
2.6619200000000003,0.9199,,
2.66329,0.919165,,
2.66466,0.918694,,
2.66603,0.91816,,
2.6674,0.917301,,
2.66877,0.915962,,
2.67014,0.914687,,
2.67152,0.912895,,
2.6729000000000003,0.910447,,
2.67427,0.908642,,
2.67565,0.907577,,
2.67704,0.906885,,
2.67842,0.906197,,
2.6798,0.905681,,
2.68119,0.90498,,
2.6825799999999997,0.904348,,
2.68396,0.903786,,
2.68535,0.903143,,
2.68675,0.902479,,
2.6881399999999998,0.901844,,
2.6895300000000004,0.901407,,
2.69093,0.901107,,
2.69233,0.900857,,
2.69372,0.900777,,
2.6951199999999997,0.900477,,
2.69653,0.90008,,
2.69793,0.89977,,
2.69933,0.89942,,
2.7007399999999997,0.899181,,
2.70215,0.899011,,
2.70356,0.89865,,
2.70497,0.898258,,
2.7063800000000002,0.89787,,
2.70779,0.897531,,
2.70921,0.897294,,
2.71062,0.897115,,
2.71204,0.896669,,
2.71346,0.895933,,
2.71488,0.895362,,
2.7163000000000004,0.894881,,
2.71772,0.894523,,
2.71915,0.894314,,
2.72058,0.894094,,
2.722,0.893343,,
2.72343,0.89269,,
2.72486,0.892204,,
2.7263,0.89146,,
2.72773,0.890675,,
2.72917,0.889951,,
2.7306,0.88928,,
2.73204,0.88865,,
2.73348,0.888036,,
2.73493,0.887449,,
2.73637,0.886586,,
2.73781,0.885691,,
2.7392600000000003,0.885046,,
2.74071,0.884382,,
2.7421599999999997,0.883366,,
2.7436100000000003,0.882113,,
2.74506,0.880951,,
2.7465100000000002,0.879985,,
2.7479699999999996,0.87907,,
2.74943,0.878192,,
2.75089,0.877278,,
2.7523400000000002,0.876374,,
2.75381,0.875564,,
2.75527,0.874761,,
2.75673,0.873704,,
2.7582,0.872512,,
2.7596700000000003,0.871449,,
2.7611399999999997,0.870472,,
2.76261,0.8697,,
2.76408,0.868841,,
2.76556,0.867841,,
2.76703,0.866909,,
2.76851,0.865975,,
2.76999,0.865018,,
2.77147,0.864099,,
2.77295,0.86313,,
2.7744299999999997,0.862199,,
2.77592,0.861356,,
2.7774099999999997,0.860627,,
2.77889,0.85982,,
2.78038,0.859031,,
2.78188,0.858338,,
2.7833699999999997,0.857564,,
2.78486,0.856775,,
2.78636,0.856177,,
2.7878600000000002,0.855515,,
2.7893600000000003,0.854689,,
2.7908600000000003,0.85395,,
2.79236,0.853313,,
2.79387,0.852591,,
2.7953699999999997,0.851881,,
2.7968800000000003,0.851277,,
2.79839,0.850712,,
2.7999,0.85005,,
2.8014099999999997,0.849442,,
2.80293,0.848916,,
2.80444,0.848308,,
2.8059600000000002,0.847667,,
2.80748,0.847102,,
2.809,0.846604,,
2.81052,0.846006,,
2.81205,0.845409,,
2.8135700000000003,0.844891,,
2.8150999999999997,0.844346,,
2.81663,0.843755,,
2.8181599999999998,0.84316,,
2.81969,0.842597,,
2.82123,0.842014,,
2.82276,0.841467,,
2.8243,0.840956,,
2.8258400000000004,0.840509,,
2.8273800000000002,0.840015,,
2.82892,0.839508,,
2.8304699999999996,0.839002,,
2.8320100000000004,0.838499,,
2.83356,0.838143,,
2.8351100000000002,0.83765,,
2.8366599999999997,0.83716,,
2.83821,0.836703,,
2.83977,0.836166,,
2.84132,0.835734,,
2.84288,0.835266,,
2.84444,0.8348,,
2.846,0.834399,,
2.84757,0.833869,,
2.84913,0.83345,,
2.8507,0.833107,,
2.8522600000000002,0.832653,,
2.85383,0.832182,,
2.8554,0.831818,,
2.85698,0.831434,,
2.85855,0.831052,,
2.8601300000000003,0.830625,,
2.86171,0.830174,,
2.86329,0.829754,,
2.86487,0.829314,,
2.86645,0.828917,,
2.86804,0.828559,,
2.86963,0.82813,,
2.8712199999999997,0.827761,,
2.87281,0.827451,,
2.8744,0.827065,,
2.87599,0.826681,,
2.87759,0.826368,,
2.87919,0.825976,,
2.88079,0.825536,,
2.88239,0.825236,,
2.88399,0.82491,,
2.8855999999999997,0.824563,,
2.8872,0.824213,,
2.88881,0.823879,,
2.89042,0.823545,,
2.89203,0.823237,,
2.89365,0.822948,,
2.8952600000000004,0.822607,,
2.89688,0.822352,,
2.8985,0.822145,,
2.90012,0.821928,,
2.9017399999999998,0.821643,,
2.90337,0.821218,,
2.9049899999999997,0.820868,,
2.9066199999999998,0.82072,,
2.90825,0.820545,,
2.9098800000000002,0.820271,,
2.91152,0.819989,,
2.91315,0.819758,,
2.91479,0.819616,,
2.9164299999999996,0.819497,,
2.91807,0.819324,,
2.91972,0.819079,,
2.92136,0.818915,,
2.92301,0.818708,,
2.92466,0.818481,,
2.92631,0.818328,,
2.92796,0.818136,,
2.9296100000000003,0.817907,,
2.93127,0.817687,,
2.93293,0.817496,,
2.93459,0.81736,,
2.93625,0.81722,,
2.93791,0.817133,,
2.93958,0.817041,,
2.9412399999999996,0.816959,,
2.94291,0.816933,,
2.9445900000000003,0.816851,,
2.94626,0.816723,,
2.94793,0.816626,,
2.9496100000000003,0.816547,,
2.9512899999999997,0.816447,,
2.9529699999999997,0.816372,,
2.95465,0.816346,,
2.95634,0.816277,,
2.95802,0.816266,,
2.95971,0.816221,,
2.9614000000000003,0.816165,,
2.9630900000000002,0.816167,,
2.96479,0.816171,,
2.9664800000000002,0.816152,,
2.96818,0.816165,,
2.9698800000000003,0.816178,,
2.97158,0.816137,,
2.97329,0.816124,,
2.9749899999999996,0.816176,,
2.9766999999999997,0.816173,,
2.97841,0.816135,,
2.98012,0.816197,,
2.98184,0.81632,,
2.98355,0.816344,,
2.98527,0.816372,,
2.9869899999999996,0.816435,,
2.98871,0.816441,,
2.99043,0.816435,,
2.9921599999999997,0.81646,,
2.99389,0.816518,,
2.9956199999999997,0.816547,,
2.99735,0.816611,,
2.9990799999999997,0.816773,,
3.00082,0.816872,,
3.0025500000000003,0.816944,,
3.00429,0.817017,,
3.00604,0.817073,,
3.0077800000000003,0.817165,,
3.0095300000000003,0.817248,,
3.01127,0.817304,,
3.01302,0.817386,,
3.01477,0.817524,,
3.0165300000000004,0.817634,,
3.0182800000000003,0.81772,,
3.02004,0.817741,,
3.0218000000000003,0.817765,,
3.02356,0.81777,,
3.02533,0.817903,,
3.0270900000000003,0.81797,,
3.0288600000000003,0.817974,,
3.03063,0.81797,,
3.03241,0.818015,,
3.0341799999999997,0.818156,,
3.03596,0.818272,,
3.03773,0.818362,,
3.03952,0.818431,,
3.0413,0.81849,,
3.04308,0.818526,,
3.04487,0.818563,,
3.0466599999999997,0.818669,,
3.04845,0.818777,,
3.0502399999999996,0.818872,,
3.05204,0.818893,,
3.05383,0.818828,,
3.0556300000000003,0.818837,,
3.05744,0.818811,,
3.05924,0.818856,,
3.0610500000000003,0.818927,,
3.06285,0.818906,,
3.06466,0.818835,,
3.06648,0.8189,,
3.06829,0.818986,,
3.07011,0.818992,,
3.07193,0.819055,,
3.07375,0.819122,,
3.0755700000000004,0.819163,,
3.0774,0.819171,,
3.07922,0.819143,,
3.0810500000000003,0.819107,,
3.0828800000000003,0.81907,,
3.08472,0.819048,,
3.0865500000000003,0.819109,,
3.08839,0.819133,,
3.09023,0.81924,,
3.0920799999999997,0.819316,,
3.0939200000000002,0.819378,,
3.09577,0.819471,,
3.09762,0.819531,,
3.0994699999999997,0.819605,,
3.1013200000000003,0.8196,,
3.10318,0.819613,,
3.10504,0.819723,,
3.1069,0.819816,,
3.10876,0.819989,,
3.11062,0.820176,,
3.1124899999999998,0.820332,,
3.11436,0.820487,,
3.11623,0.820648,,
3.11811,0.820696,,
3.11998,0.8208,,
3.1218600000000003,0.821,,
3.1237399999999997,0.821179,,
3.12562,0.821358,,
3.12751,0.821584,,
3.1294,0.821796,,
3.13129,0.821994,,
3.13318,0.822188,,
3.1350700000000002,0.822378,,
3.13697,0.822596,,
3.13887,0.822825,,
3.14077,0.822999,,
3.14267,0.823206,,
3.14458,0.823441,,
3.1464899999999996,0.823709,,
3.1484,0.823979,,
3.15031,0.824142,,
3.15223,0.824371,,
3.15414,0.824628,,
3.15606,0.824835,,
3.1579800000000002,0.825132,,
3.15991,0.825365,,
3.16184,0.825559,,
3.1637600000000003,0.825866,,
3.1656999999999997,0.826308,,
3.16763,0.826579,,
3.16957,0.826851,,
3.1715,0.827239,,
3.17345,0.827459,,
3.1753899999999997,0.82769,,
3.17733,0.828068,,
3.1792800000000003,0.828339,,
3.1812300000000002,0.828585,,
3.18319,0.828945,,
3.18514,0.829335,,
3.1871,0.829694,,
3.18906,0.83,,
3.19102,0.830304,,
3.19299,0.830546,,
3.19495,0.830843,,
3.19692,0.831234,,
3.1989,0.831691,,
3.20087,0.832027,,
3.2028499999999998,0.832251,,
3.20483,0.832555,,
3.20681,0.832879,,
3.20879,0.833246,,
3.21078,0.833604,,
3.21277,0.833942,,
3.21476,0.834212,,
3.2167600000000003,0.83458,,
3.21875,0.834992,,
3.22075,0.835314,,
3.22275,0.835676,,
3.2247600000000003,0.836135,,
3.22676,0.836528,,
3.22877,0.836823,,
3.23078,0.837141,,
3.2328,0.837606,,
3.23481,0.837988,,
3.23683,0.838301,,
3.2388600000000003,0.838558,,
3.24088,0.838829,,
3.2429099999999997,0.839205,,
3.24494,0.839595,,
3.2469699999999997,0.839862,,
3.249,0.840052,,
3.25104,0.84035,,
3.2530799999999997,0.840753,,
3.25512,0.841098,,
3.25717,0.841413,,
3.25921,0.841818,,
3.26126,0.842321,,
3.26332,0.842739,,
3.26537,0.842931,,
3.26743,0.843224,,
