Wavelength (nm),BKR1KW003E anorthite Kierra <45µm heated 650 °C under vacuum
2686.75,0.902479
2688.14,0.901844
2689.53,0.901407
2690.93,0.901107
2692.33,0.900857
2693.72,0.900777
2695.12,0.900477
2696.53,0.90008
2697.93,0.89977
2699.33,0.89942
2700.74,0.899181
2702.15,0.899011
2703.56,0.89865
2704.97,0.898258
2706.38,0.89787
2707.79,0.897531
2709.21,0.897294
2710.62,0.897115
2712.04,0.896669
2713.46,0.895933
2714.88,0.895362
2716.3,0.894881
2717.72,0.894523
2719.15,0.894314
2720.58,0.894094
2722.0,0.893343
2723.43,0.89269
2724.86,0.892204
2726.3,0.89146
2727.73,0.890675
2729.17,0.889951
2730.6,0.88928
2732.04,0.88865
2733.48,0.888036
2734.93,0.887449
2736.37,0.886586
2737.81,0.885691
2739.26,0.885046
2740.71,0.884382
2742.16,0.883366
2743.61,0.882113
2745.06,0.880951
2746.51,0.879985
2747.97,0.87907
2749.43,0.878192
2750.89,0.877278
2752.34,0.876374
2753.81,0.875564
2755.27,0.874761
2756.73,0.873704
2758.2,0.872512
2759.67,0.871449
2761.14,0.870472
2762.61,0.8697
2764.08,0.868841
2765.56,0.867841
2767.03,0.866909
2768.51,0.865975
2769.99,0.865018
2771.47,0.864099
2772.95,0.86313
2774.43,0.862199
2775.92,0.861356
2777.41,0.860627
2778.89,0.85982
2780.38,0.859031
2781.88,0.858338
2783.37,0.857564
2784.86,0.856775
2786.36,0.856177
2787.86,0.855515
2789.36,0.854689
2790.86,0.85395
2792.36,0.853313
2793.87,0.852591
2795.37,0.851881
2796.88,0.851277
2798.39,0.850712
2799.9,0.85005
2801.41,0.849442
2802.93,0.848916
2804.44,0.848308
2805.96,0.847667
2807.48,0.847102
2809.0,0.846604
2810.52,0.846006
2812.05,0.845409
2813.57,0.844891
2815.1,0.844346
2816.63,0.843755
2818.16,0.84316
2819.69,0.842597
2821.23,0.842014
2822.76,0.841467
2824.3,0.840956
2825.84,0.840509
2827.38,0.840015
2828.92,0.839508
2830.47,0.839002
2832.01,0.838499
2833.56,0.838143
2835.11,0.83765
2836.66,0.83716
2838.21,0.836703
2839.77,0.836166
2841.32,0.835734
2842.88,0.835266
2844.44,0.8348
2846.0,0.834399
2847.57,0.833869
2849.13,0.83345
2850.7,0.833107
2852.26,0.832653
2853.83,0.832182
2855.4,0.831818
2856.98,0.831434
2858.55,0.831052
2860.13,0.830625
2861.71,0.830174
2863.29,0.829754
2864.87,0.829314
2866.45,0.828917
2868.04,0.828559
2869.63,0.82813
2871.22,0.827761
2872.81,0.827451
2874.4,0.827065
2875.99,0.826681
2877.59,0.826368
2879.19,0.825976
2880.79,0.825536
2882.39,0.825236
2883.99,0.82491
2885.6,0.824563
2887.2,0.824213
2888.81,0.823879
2890.42,0.823545
2892.03,0.823237
2893.65,0.822948
2895.26,0.822607
2896.88,0.822352
2898.5,0.822145
2900.12,0.821928
2901.74,0.821643
2903.37,0.821218
2904.99,0.820868
2906.62,0.82072
2908.25,0.820545
2909.88,0.820271
2911.52,0.819989
2913.15,0.819758
2914.79,0.819616
2916.43,0.819497
2918.07,0.819324
2919.72,0.819079
2921.36,0.818915
2923.01,0.818708
2924.66,0.818481
2926.31,0.818328
2927.96,0.818136
2929.61,0.817907
2931.27,0.817687
2932.93,0.817496
2934.59,0.81736
2936.25,0.81722
2937.91,0.817133
2939.58,0.817041
2941.24,0.816959
2942.91,0.816933
2944.59,0.816851
2946.26,0.816723
2947.93,0.816626
2949.61,0.816547
2951.29,0.816447
2952.97,0.816372
2954.65,0.816346
2956.34,0.816277
2958.02,0.816266
2959.71,0.816221
2961.4,0.816165
2963.09,0.816167
2964.79,0.816171
2966.48,0.816152
