Wavelength (nm),BKR1KW003D anorthite Kierra <45µm
2529.47,0.920537
2530.71,0.920629
2531.94,0.92069
2533.18,0.920629
2534.42,0.920525
2535.66,0.920558
2536.9,0.920605
2538.14,0.920616
2539.38,0.920605
2540.63,0.920574
2541.87,0.920616
2543.12,0.920719
2544.37,0.920685
2545.62,0.920664
2546.87,0.920679
2548.12,0.920672
2549.37,0.920673
2550.63,0.920683
2551.88,0.920725
2553.14,0.920753
2554.39,0.920686
2555.65,0.920664
2556.91,0.920683
2558.17,0.920708
2559.44,0.920696
2560.7,0.920712
2561.97,0.920813
2563.23,0.920806
2564.5,0.920786
2565.77,0.920767
2567.04,0.920624
2568.31,0.920639
2569.58,0.920754
2570.86,0.92073
2572.13,0.920651
2573.41,0.920787
2574.69,0.920782
2575.97,0.92071
2577.25,0.920734
2578.53,0.920666
2579.81,0.920679
2581.1,0.920734
2582.38,0.920685
2583.67,0.920787
2584.96,0.920852
2586.24,0.920679
2587.54,0.920653
2588.83,0.920679
2590.12,0.920659
2591.41,0.92051
2592.71,0.920446
2594.01,0.920697
2595.31,0.921069
2596.6,0.920925
2597.91,0.920552
2599.21,0.920365
2600.51,0.920363
2601.82,0.92037
2603.12,0.920348
2604.43,0.920378
2605.74,0.920528
2607.05,0.92048
2608.36,0.920223
2609.67,0.920093
2610.99,0.920045
2612.3,0.91992
2613.62,0.919898
2614.94,0.919883
2616.26,0.919957
2617.58,0.920038
2618.9,0.919903
2620.22,0.919927
2621.55,0.919959
2622.87,0.919683
2624.2,0.919503
2625.53,0.919558
2626.86,0.919641
2628.19,0.919446
2629.52,0.919334
2630.86,0.919418
2632.19,0.919297
2633.53,0.919058
2634.87,0.918935
2636.21,0.91879
2637.55,0.918637
2638.89,0.91856
2640.23,0.918472
2641.58,0.918347
2642.93,0.918249
2644.27,0.918071
2645.62,0.917863
2646.97,0.917672
2648.32,0.91745
2649.68,0.91711
2651.03,0.916718
2652.39,0.916376
2653.75,0.916007
2655.1,0.915455
2656.46,0.914878
2657.83,0.914136
2659.19,0.913331
2660.55,0.912491
2661.92,0.911653
2663.29,0.910669
2664.66,0.909732
2666.03,0.908679
2667.4,0.907438
2668.77,0.905933
2670.14,0.904468
2671.52,0.902626
2672.9,0.900206
2674.27,0.898197
2675.65,0.89659
2677.04,0.895232
2678.42,0.893935
2679.8,0.892718
2681.19,0.891442
2682.58,0.890183
2683.96,0.888959
2685.35,0.887687
2686.75,0.886456
2688.14,0.885313
2689.53,0.884247
2690.93,0.883232
2692.33,0.882267
2693.72,0.881355
2695.12,0.880324
2696.53,0.879133
2697.93,0.877898
2699.33,0.87656
2700.74,0.875233
2702.15,0.874029
2703.56,0.872713
2704.97,0.871276
2706.38,0.869796
2707.79,0.868339
2709.21,0.866975
2710.62,0.865657
2712.04,0.864306
2713.46,0.862612
2714.88,0.860976
2716.3,0.859458
2717.72,0.857947
2719.15,0.856484
2720.58,0.855043
2722.0,0.853325
2723.43,0.851656
2724.86,0.850093
2726.3,0.848287
2727.73,0.846506
2729.17,0.844692
2730.6,0.842815
2732.04,0.841001
2733.48,0.839152
2734.93,0.837305
2736.37,0.835358
2737.81,0.833305
2739.26,0.831458
2740.71,0.829528
2742.16,0.827291
2743.61,0.824998
2745.06,0.82279
2746.51,0.820711
2747.97,0.818631
2749.43,0.81655
2750.89,0.814402
2752.34,0.812308
2753.81,0.810343
2755.27,0.808456
2756.73,0.806392
2758.2,0.804212
2759.67,0.802216
2761.14,0.800306
2762.61,0.79847
2764.08,0.796665
2765.56,0.794882
2767.03,0.793133
2768.51,0.791374
2769.99,0.789607
2771.47,0.787927
2772.95,0.786262
2774.43,0.78461
2775.92,0.783092
2777.41,0.781673
2778.89,0.780191
2780.38,0.778738
2781.88,0.777427
