Wavelength (µm) raw,Augite ws592 spliced raw,Wavelength (µm) bin avg,Augite ws592 spliced bin avg,Wavelength (µm) global,Augite ws592 global
0.706,0.325823,2.22263,0.3983081999999999,,
0.708,0.327294,2.23262,0.3953631818181817,,
0.71,0.328334,2.2426,0.392263,,
0.712,0.330864,2.25258,0.3899261,,
0.714,0.330654,2.26256,0.3874029,,
0.716,0.331674,2.27254,0.3846552,,
0.718,0.334067,2.28252,0.3820602999999999,,
0.72,0.334933,2.2925,0.3796136,,
0.722,0.335565,2.30248,0.3777929,,
0.724,0.337134,2.31246,0.3762348,,
0.726,0.339006,2.32244,0.375481,,
0.728,0.340686,2.33242,0.375585,,
0.73,0.339565,2.34241,0.3760489999999999,,
0.732,0.342911,2.35239,0.3766173333333333,,
0.734,0.343455,2.36237,0.3769327,,
0.736,0.343783,2.37235,0.3768721111111112,,
0.738,0.345292,2.38233,0.3769623333333334,,
0.74,0.34435,2.39231,0.3772013333333333,,
0.742,0.349551,2.40229,0.378274,,
0.744,0.348105,2.41227,0.3792668888888889,,
0.746,0.349685,2.42225,0.3802384444444444,,
0.748,0.350797,2.43223,0.381264375,,
0.7505,0.351392,2.44222,0.3827606666666666,,
0.7535,0.353369,2.4522,0.384343,,
0.7565,0.35562,2.46218,0.38589425,,
0.7595,0.355537,2.47216,0.3879058888888889,,
0.7625,0.357535,2.48214,0.389723,,
0.7655,0.357589,2.49212,0.3914793749999999,,
0.7685,0.359202,2.5021,0.3933377777777778,,
0.7715,0.359626,2.51208,0.395159,,
0.7745,0.361499,2.52206,0.397321375,,
0.7775,0.36283,2.53204,0.3993403750000001,,
0.781,0.364041,2.54203,0.4017119999999999,,
0.785,0.36655,2.55201,0.4038385,,
0.789,0.368136,2.56199,0.4053796249999999,,
0.793,0.368922,2.57197,0.40739875,,
0.797,0.369904,2.58195,0.4093759999999999,,
0.8015,0.37363,2.59193,0.4096524285714285,,
0.8065,0.37312,2.60191,0.4130675,,
0.8115,0.37448,2.61189,0.4152707142857142,,
0.8165,0.376794,2.62187,0.4162275,,
0.822,0.379163,2.63185,0.4174487142857143,,
0.828,0.379566,2.64183,0.4192921249999999,,
0.835,0.379617,2.65182,0.4182062857142857,,
0.843,0.380363,2.6618,0.413957625,,
0.851,0.377365,2.67178,0.4052694285714285,,
0.859,0.370298,2.68176,0.3828158571428571,,
0.871,0.366689,2.69174,0.3239481428571428,,
0.883,0.353368,2.70172,0.2459511428571428,,
