Wavelength (µm) raw,<125 µm (357) raw,Wavelength (µm) bin avg,<125 µm (357) bin avg,Wavelength (µm) cubic spline of bin avg,<125 µm (357) cubic spline of bin avg
0.855,0.38774,1.55391,0.569685,1.5539088235294118,0.5696847602535361
0.86,0.38442,1.56389,0.5717350000000001,1.5638898039215687,0.5717349527557303
0.865,0.38118,1.57387,0.574065,1.5738707843137256,0.5740651169030095
0.87,0.37907,1.58385,0.5746,1.5838517647058825,0.5746000423982229
0.875,0.37622,1.59383,0.5752200000000001,1.5938327450980394,0.5752202801780966
0.88,0.37373,1.60381,0.576225,1.6038137254901963,0.5762252094151833
0.885,0.37013,1.6138,0.576445,1.613794705882353,0.5764447819371676
0.89,0.36717,1.62378,0.57685,1.6237756862745099,0.5768501432622852
0.895,0.36458,1.63376,0.575935,1.6337566666666667,0.5759352049233938
0.9,0.36264,1.64374,0.5758300000000001,1.6437376470588236,0.5758300648695592
0.905,0.35855,1.65372,0.57521,1.6537186274509805,0.5752100633421159
0.91,0.35585,1.6637,0.5751,1.6636996078431374,0.5751000028579359
0.915,0.35188,1.67368,0.57465,1.6736805882352943,0.5746499452678273
0.92,0.34813,1.68366,0.5736,1.683661568627451,0.5735998879445041
0.925,0.34464,1.69364,0.573055,1.6936425490196079,0.5730547434313934
0.93,0.34075,1.70362,0.57176,1.7036235294117648,0.5717597207950166
0.935,0.33649,1.7136,0.571585,1.7136045098039216,0.5715848887191012
0.94,0.33224,1.72359,0.570805,1.7235854901960785,0.5708054917543655
0.945,0.32796,1.73357,0.5697099999999999,1.7335664705882354,0.5697103620653172
0.95,0.32377,1.74355,0.568735,1.7435474509803923,0.5687352622330029
0.955,0.31872,1.75353,0.5677420000000001,1.7535284313725492,0.5677421215529271
0.96,0.31462,1.76351,0.5672025,1.763509411764706,0.5672025281508026
0.965,0.31056,1.77349,0.56679,1.7734903921568628,0.5667899932317447
0.97,0.30624,1.78347,0.5667825,1.7834713725490197,0.5667824871565352
0.975,0.30192,1.79345,0.5664625000000001,1.7934523529411766,0.5664623969990749
0.98,0.29765,1.80343,0.5661225,1.8034333333333334,0.5661224535568525
0.985,0.29398,1.81341,0.56611,1.8134143137254903,0.5661099722883334
0.99,0.29009,1.8234,0.565955,1.8233952941176472,0.565955050306839
0.995,0.28594,1.83338,0.5659925,1.8333762745098041,0.5659924482820072
1.0,0.28237,1.84336,0.5661666666666667,1.8433572549019608,0.5661666151373411
1.005,0.2793,1.85334,0.5663775,1.8533382352941177,0.5663774527747972
1.01,0.27635,1.86332,0.566665,1.8633192156862746,0.566664981192725
1.015,0.27412,1.8733,0.5668225,1.8733001960784315,0.5668225021748163
1.02,0.27247,1.88328,0.5669433333333332,1.8832811764705883,0.5669433513607108
1.025,0.2701,1.89326,0.5671025000000001,1.8932621568627452,0.5671025254170845
1.03,0.26903,1.90324,0.56718,1.9032431372549021,0.5671800272207447
1.035,0.26812,1.91322,0.567355,1.913224117647059,0.5673551211519989
1.04,0.26698,1.92321,0.56785,1.923205098039216,0.5678496329252998
1.045,0.2668,1.93319,0.5687066666666667,1.9331860784313726,0.5687063639374473
1.05,0.26783,1.94317,0.5693400000000001,1.9431670588235295,0.5693398110187506
1.055,0.26773,1.95315,0.5701475,1.9531480392156864,0.5701473060881806
1.06,0.26862,1.96313,0.5711666666666666,1.9631290196078433,0.5711665791690105
1.065,0.2698,1.97311,0.5719833333333333,1.9731100000000001,0.5719833333333333
1.07,0.27107,1.98309,0.57309,1.983090980392157,0.5730901029466695
1.075,0.27317,1.99307,0.57391,1.993071960784314,0.5739101238168816
1.08,0.27538,2.00305,0.5745433333333333,2.0030529411764704,0.5745435664991527
1.085,0.27812,2.01303,0.5755333333333333,2.0130339215686273,0.5755337559083793
1.09,0.28177,2.02301,0.5765724999999999,2.023014901960784,0.5765729885746378
1.095,0.28546,2.033,0.5774633333333333,2.032995882352941,0.5774630308461665
1.1,0.28837,2.04298,0.5781166666666667,2.042976862745098,0.5781164457984272
1.105,0.29253,2.05296,0.5788833333333333,2.052957843137255,0.5788831785239483
1.11,0.29691,2.06294,0.5795766666666667,2.0629388235294117,0.579576570924859
1.115,0.30065,2.07292,0.5804266666666668,2.0729198039215686,0.5804266536034308
1.12,0.3037,2.0829,0.5809133333333333,2.0829007843137255,0.5809133756356124
1.125,0.30781,2.09288,0.5815766666666667,2.0928817647058824,0.5815767784318417
1.13,0.31188,2.10286,0.58216,2.1028627450980393,0.5821601852252895
1.135,0.31516,2.11284,0.5829466666666666,2.112843725490196,0.5829469595193991
1.14,0.31863,2.12282,0.5836266666666666,2.122824705882353,0.5836269441277878
1.145,0.32175,2.13281,0.584175,2.13280568627451,0.5841747644239167
1.15,0.32532,2.14279,0.5847533333333333,2.142786666666667,0.5847531296622099
1.155,0.32837,2.15277,0.5852966666666667,2.1527676470588237,0.5852965768812469
