Wavelength (µm),Orthoclase nmn h142137.17349 spliced,Wavelength (µm) target,Orthoclase nmn h142137.17349 spliced target
0.949,0.78576,2.7816,0.6901314285714285
0.957,0.78605,2.7916,0.6843085714285715
0.964,0.786,2.8015,0.6785199999999999
0.97,0.78665,2.8115,0.67446
0.976,0.78668,2.8215,0.66974
0.982,0.7855,2.8315,0.6655671428571429
0.988,0.78441,2.8414,0.6619533333333334
0.994,0.78369,2.8514,0.6585757142857143
1.0,0.78281,2.8614,0.6559866666666666
1.006,0.78249,2.8714,0.65395
1.012,0.78229,2.8814,0.65261
1.018,0.78248,2.8914,0.6513471428571428
1.0235,0.78261,2.9013,0.6506466666666667
1.0285,0.78276,2.9113,0.65034
1.0335,0.78244,2.9213,0.6500416666666666
1.0385,0.7824,2.9313,0.650135
1.0435,0.78202,2.9413,0.6502800000000001
1.0485,0.7821,2.9513,0.6506383333333333
1.0535,0.78139,2.9612,0.6510649999999999
1.0585,0.7814,2.9712,0.6517816666666666
1.0635,0.78092,2.9812,0.652364
1.0685,0.78046,2.9912,0.6530916666666667
1.0735,0.77929,,
1.0785,0.77884,,
1.0835,0.77864,,
1.0885,0.77816,,
1.0935,0.7777,,
1.0985,0.77739,,
1.1035,0.77736,,
1.1085,0.77646,,
1.1135,0.77645,,
1.1185,0.77593,,
1.1235,0.77531,,
1.1285,0.77463,,
1.1335,0.77408,,
1.1385,0.77334,,
1.1435,0.77326,,
1.1485,0.77334,,
1.1535,0.77259,,
1.1585,0.77186,,
1.1635,0.77176,,
1.1685,0.77109,,
1.1735,0.77085,,
1.1785,0.77081,,
1.1835,0.77129,,
1.1885,0.77055,,
1.1935,0.77036,,
1.1985,0.76977,,
1.2035,0.76934,,
1.2085,0.76888,,
1.2135,0.76875,,
1.2185,0.76838,,
1.2235,0.76811,,
1.2285,0.76797,,
1.2335,0.76777,,
1.2385,0.76764,,
1.2435,0.76777,,
1.2485,0.76789,,
1.2535,0.76803,,
1.2585,0.76783,,
1.2635,0.76845,,
1.2685,0.76812,,
1.2735,0.768,,
1.2785,0.76828,,
1.2835,0.76868,,
1.2885,0.76807,,
1.2935,0.76852,,
1.2985,0.76875,,
1.3035,0.76873,,
1.3085,0.76888,,
1.3135,0.76897,,
1.3185,0.76907,,
1.3235,0.76944,,
1.3285,0.76942,,
1.3335,0.76939,,
1.3385,0.76965,,
1.3435,0.76943,,
1.3485,0.76932,,
1.3535,0.76942,,
1.3585,0.77003,,
1.3635,0.77055,,
1.3685,0.77117,,
1.3735,0.77159,,
1.3785,0.77192,,
1.3835,0.77243,,
1.3885,0.77289,,
1.3935,0.773,,
1.3985,0.77319,,
1.4035,0.77369,,
1.4085,0.77385,,
1.4135,0.77456,,
1.4185,0.77544,,
1.4235,0.77618,,
1.4285,0.77686,,
1.4335,0.77759,,
1.4385,0.77762,,
1.4435,0.77838,,
1.4485,0.77904,,
1.4535,0.77962,,
1.4585,0.78016,,
1.4635,0.78052,,
1.4685,0.78102,,
1.4735,0.78188,,
1.4785,0.78247,,
1.4835,0.78215,,
1.4885,0.78371,,
1.4935,0.78332,,
1.4985,0.78308,,
1.5035,0.78382,,
1.5085,0.78442,,
1.5135,0.78496,,
1.5185,0.78551,,
1.5235,0.78651,,
1.5285,0.78683,,
1.534,0.78737,,
1.54,0.78737,,
1.546,0.78826,,
1.552,0.7891,,
1.558,0.78906,,
1.564,0.78994,,
1.5705,0.7904,,
1.5775,0.79141,,
1.5845,0.79074,,
1.5915,0.79161,,
1.5985,0.79171,,
1.6055,0.792,,
1.6125,0.79184,,
1.6195,0.79237,,
1.6265,0.7927,,
1.6335,0.79323,,
1.6405,0.79311,,
1.6475,0.79416,,
1.6545,0.79453,,
1.6615,0.79426,,
1.6685,0.79381,,
1.676,0.79389,,
1.684,0.79483,,
1.692,0.79591,,
1.7,0.79676,,
1.708,0.79836,,
1.716,0.79906,,
1.724,0.79804,,
1.732,0.79833,,
1.74,0.79851,,
1.748,0.79794,,
1.756,0.79868,,
1.764,0.79935,,
1.772,0.79937,,
1.78,0.79954,,
1.788,0.79995,,
1.796,0.79977,,
1.805,0.79946,,
1.815,0.7994,,
1.825,0.79989,,
1.835,0.80043,,
1.845,0.80044,,
1.855,0.80074,,
1.865,0.8004,,
1.875,0.7993,,
1.885,0.79872,,
1.895,0.79836,,
1.905,0.79809,,
1.915,0.79822,,
1.925,0.79802,,
1.935,0.79804,,
1.945,0.79883,,
1.955,0.79935,,
1.965,0.80033,,
1.975,0.80212,,
1.985,0.80351,,
1.995,0.80376,,
2.0000999999999998,0.80433,,
2.0008,0.80445,,
2.0016,0.80457,,
2.0024,0.80476,,
2.0032,0.80469,,
2.0039000000000002,0.80482,,
2.0047,0.80488,,
2.0055,0.80482,,
2.0063,0.80506,,
2.007,0.80506,,
2.0078,0.80488,,
2.0086,0.805,,
2.0094000000000003,0.80512,,
2.0101,0.80537,,
2.0109,0.80543,,
2.0117000000000003,0.80549,,
2.0125,0.80537,,
2.0133,0.80525,,
2.014,0.80543,,
2.0148,0.80574,,
2.0156,0.80592,,
2.0164,0.80598,,
2.0172,0.80592,,
2.018,0.80574,,
2.0188,0.80586,,
2.0195,0.80629,,
2.0202999999999998,0.80672,,
2.0211,0.8066,,
2.0219,0.80666,,
2.0227,0.8069,,
2.0235,0.80672,,
2.0242999999999998,0.80678,,
2.0251,0.80697,,
2.0259,0.80703,,
2.0265999999999997,0.80709,,
2.0274,0.80709,,
2.0282,0.80721,,
2.029,0.8074,,
2.0298,0.80752,,
2.0305999999999997,0.80758,,
2.0314,0.80746,,
2.0322,0.8077,,
2.033,0.80789,,
2.0338,0.8077,,
2.0345999999999997,0.80783,,
2.0354,0.80832,,
2.0362,0.80844,,
2.037,0.80826,,
2.0378,0.80801,,
2.0385999999999997,0.80813,,
2.0394,0.80838,,
2.0402,0.80838,,
2.041,0.80832,,
2.0418,0.80862,,
2.0425999999999997,0.80862,,
2.0434,0.8085,,
2.0442,0.80868,,
2.045,0.80875,,
2.0458,0.80893,,
2.0465999999999998,0.80905,,
2.0475,0.80911,,
2.0483000000000002,0.80924,,
2.0490999999999997,0.80936,,
2.0499,0.80911,,
2.0507,0.80893,,
2.0515,0.80905,,
2.0523000000000002,0.80905,,
2.0530999999999997,0.80924,,
2.0539,0.80955,,
2.0548,0.80955,,
2.0556,0.80936,,
2.0564,0.80942,,
2.0572,0.80948,,
2.058,0.80955,,
2.0588,0.80961,,
2.0597,0.80979,,
2.0605,0.80967,,
2.0613,0.80955,,
2.0621,0.80961,,
2.0629,0.80967,,
2.0638,0.80948,,
2.0646,0.80955,,
2.0654,0.80961,,
2.0662,0.80961,,
2.067,0.80967,,
2.0679000000000003,0.80955,,
2.0686999999999998,0.80936,,
2.0695,0.8093,,
2.0703,0.80936,,
2.0711999999999997,0.80967,,
2.072,0.80967,,
2.0728,0.80961,,
2.0736999999999997,0.80942,,
2.0745,0.80955,,
2.0753000000000004,0.80955,,
2.0761999999999996,0.80948,,
2.077,0.80948,,
2.0778000000000003,0.80948,,
2.0786,0.80961,,
2.0795,0.80942,,
2.0803000000000003,0.80911,,
2.0812,0.80905,,
2.082,0.80905,,
2.0828,0.80924,,
2.0837,0.80948,,
2.0845,0.80936,,
2.0853,0.80905,,
2.0862,0.80905,,
2.087,0.80918,,
2.0879000000000003,0.80924,,
2.0887,0.80911,,
2.0895,0.80905,,
2.0904000000000003,0.80905,,
2.0911999999999997,0.80899,,
2.0921,0.80899,,
2.0929,0.80924,,
2.0938000000000003,0.80899,,
2.0946,0.80881,,
2.0955,0.80881,,
2.0963000000000003,0.80899,,
2.0970999999999997,0.80899,,
2.098,0.80893,,
2.0988,0.80893,,
2.0997,0.80881,,
2.1005,0.80875,,
2.1014,0.80875,,
2.1023,0.80856,,
2.1031,0.80875,,
2.104,0.80875,,
2.1048,0.80887,,
2.1056999999999997,0.80875,,
2.1065,0.80875,,
2.1074,0.80887,,
2.1081999999999996,0.80911,,
2.1090999999999998,0.80918,,
2.11,0.80924,,
2.1108000000000002,0.80918,,
2.1117,0.80911,,
2.1125,0.80905,,
2.1134,0.80899,,
2.1143,0.80911,,
2.1151,0.80911,,
2.116,0.80899,,
2.1168,0.80918,,
2.1176999999999997,0.8093,,
2.1186,0.8093,,
2.1194,0.8093,,
2.1203000000000003,0.80936,,
2.1212,0.80918,,
2.122,0.80948,,
2.1229,0.80967,,
2.1238,0.80985,,
2.1247,0.80967,,
2.1255,0.80973,,
2.1264000000000003,0.80979,,
2.1273,0.80985,,
2.1281,0.80997,,
2.129,0.81022,,
2.1299,0.81016,,
2.1308000000000002,0.80997,,
2.1315999999999997,0.8101,,
2.1325,0.81047,,
2.1334,0.81047,,
2.1343,0.8104,,
2.1351999999999998,0.8104,,
2.136,0.81034,,
2.1369000000000002,0.81059,,
2.1378000000000004,0.81047,,
2.1386999999999996,0.8104,,
2.1395999999999997,0.81065,,
2.1404,0.81096,,
2.1413,0.81114,,
2.1422,0.81108,,
2.1431,0.81096,,
2.144,0.81102,,
2.1449000000000003,0.8112,,
2.1458000000000004,0.81145,,
2.1466,0.81145,,
2.1475,0.81151,,
2.1484,0.81163,,
2.1493,0.81163,,
2.1502,0.81163,,
2.1511,0.81139,,
2.152,0.81126,,
2.1529000000000003,0.81151,,
2.1538000000000004,0.81157,,
2.1546999999999996,0.81169,,
2.1555999999999997,0.81188,,
2.1565,0.81188,,
2.1574,0.81163,,
2.1583,0.81169,,
2.1592,0.81188,,
2.1601,0.812,,
2.161,0.81212,,
2.1619,0.81225,,
2.1628000000000003,0.81231,,
2.1637,0.81212,,
2.1646,0.81194,,
2.1655,0.81182,,
2.1664,0.81212,,
2.1673,0.81212,,
2.1681999999999997,0.812,,
2.1691,0.81194,,
2.17,0.81212,,
2.1709,0.81212,,
2.1718,0.81225,,
2.1727,0.81212,,
2.1736,0.81206,,
2.1746,0.81188,,
2.1755,0.812,,
2.1764,0.812,,
2.1773000000000002,0.81182,,
2.1782,0.81188,,
2.1791,0.81188,,
2.18,0.81169,,
2.181,0.81163,,
2.1819,0.81151,,
2.1828000000000003,0.81145,,
2.1837,0.81151,,
2.1846,0.81145,,
2.1856,0.8112,,
2.1865,0.81114,,
2.1874000000000002,0.81102,,
2.1883000000000004,0.81126,,
2.1893000000000002,0.8112,,
2.1902,0.81102,,
2.1911,0.8109,,
2.192,0.81083,,
2.193,0.81077,,
2.1939,0.81077,,
2.1948000000000003,0.81083,,
2.1957,0.81059,,
2.1967,0.81047,,
2.1976,0.81047,,
2.1985,0.81047,,
2.1995,0.81016,,
2.2004,0.80991,,
2.2013000000000003,0.80991,,
2.2023,0.80985,,
2.2032,0.80979,,
2.2041,0.80991,,
2.2051,0.80997,,
2.206,0.80991,,
2.207,0.80985,,
2.2079,0.80973,,
2.2088,0.80961,,
2.2098,0.80961,,
2.2106999999999997,0.80942,,
2.2117,0.80924,,
2.2126,0.80924,,
2.2136,0.80924,,
2.2145,0.80924,,
2.2155,0.80918,,
2.2164,0.80911,,
2.2173000000000003,0.80918,,
2.2183,0.80924,,
2.2192,0.80918,,
2.2201999999999997,0.80911,,
2.2211,0.80911,,
2.2220999999999997,0.8093,,
2.2231,0.80905,,
2.224,0.80899,,
2.225,0.80875,,
2.2259,0.80868,,
2.2269,0.80862,,
2.2278000000000002,0.80881,,
2.2288,0.80887,,
2.2297,0.80881,,
2.2306999999999997,0.80868,,
2.2317,0.80887,,
2.2325999999999997,0.80887,,
2.2336,0.80881,,
2.2345,0.80887,,
2.2355,0.80905,,
2.2365,0.80887,,
2.2374,0.80875,,
2.2384,0.80875,,
2.2394000000000003,0.80887,,
2.2403000000000004,0.80905,,
2.2413000000000003,0.80893,,
2.2423,0.80881,,
2.2433,0.80893,,
2.2441999999999998,0.80893,,
2.2451999999999996,0.80918,,
2.2462,0.8093,,
2.2471,0.8093,,
2.2481,0.80911,,
2.2491,0.80924,,
2.2500999999999998,0.80942,,
2.251,0.80942,,
2.252,0.80924,,
2.253,0.80936,,
2.254,0.80948,,
2.255,0.80973,,
2.2559,0.80985,,
2.2569,0.80979,,
2.2579000000000002,0.80973,,
2.2589,0.80985,,
2.2599,0.80979,,
2.2609,0.80979,,
2.2618,0.80997,,
2.2628000000000004,0.81028,,
2.2638000000000003,0.81028,,
2.2648,0.81022,,
2.2658,0.81016,,
2.2668000000000004,0.81022,,
2.2678000000000003,0.81034,,
2.2688,0.81034,,
2.2698,0.8104,,
2.2708000000000004,0.81028,,
2.2718000000000003,0.81028,,
2.2728,0.8104,,
2.2738,0.8104,,
2.2746999999999997,0.81047,,
2.2756999999999996,0.81053,,
2.2767,0.81065,,
2.2777,0.81065,,
2.2786999999999997,0.81059,,
2.2798000000000003,0.81059,,
2.2808,0.81065,,
2.2818,0.81065,,
2.2828000000000004,0.81077,,
2.2838000000000003,0.8109,,
2.2848,0.81083,,
2.2858,0.81083,,
2.2868000000000004,0.81077,,
2.2878000000000003,0.81071,,
2.2888,0.81083,,
2.2898,0.81071,,
2.2908000000000004,0.81071,,
2.2918000000000003,0.81065,,
2.2929,0.8104,,
2.2939000000000003,0.81034,,
2.2949,0.81034,,
2.2959,0.81022,,
2.2969,0.81016,,
2.2979000000000003,0.8101,,
2.299,0.81016,,
2.3,0.81004,,
2.301,0.80985,,
2.302,0.80979,,
2.303,0.80979,,
2.3041,0.80961,,
2.3051,0.80961,,
2.3061,0.80967,,
2.3070999999999997,0.80973,,
2.3082,0.80973,,
2.3091999999999997,0.80979,,
2.3102,0.80973,,
2.3113,0.80985,,
2.3123,0.80973,,
2.3133000000000004,0.80973,,
2.3144,0.80961,,
2.3154,0.80961,,
2.3164000000000002,0.80973,,
2.3175,0.80979,,
2.3185,0.80979,,
2.3195,0.80973,,
2.3205999999999998,0.80948,,
2.3216,0.80936,,
2.3226,0.80936,,
2.3236999999999997,0.8093,,
2.3247,0.80911,,
2.3258,0.8093,,
2.3268,0.80918,,
2.3279,0.80905,,
2.3289,0.80893,,
2.33,0.80887,,
2.331,0.80911,,
2.3321,0.80905,,
2.3331,0.80887,,
2.3341999999999996,0.80862,,
2.3352,0.80838,,
2.3363,0.80832,,
2.3373000000000004,0.80838,,
2.3384,0.80826,,
2.3394,0.80826,,
2.3405,0.80807,,
2.3415,0.80807,,
2.3426,0.80813,,
2.3436,0.80783,,
2.3447,0.80776,,
2.3458,0.80789,,
2.3468,0.80776,,
2.3479,0.80764,,
2.349,0.80764,,
2.35,0.80776,,
2.3510999999999997,0.80758,,
2.3522,0.8074,,
2.3531999999999997,0.8074,,
2.3543000000000003,0.8074,,
2.3554,0.8074,,
2.3564000000000003,0.80733,,
2.3575,0.80746,,
2.3586,0.80752,,
2.3596999999999997,0.8077,,
2.3607,0.80752,,
2.3618,0.8077,,
2.3629000000000002,0.80776,,
2.364,0.8077,,
2.365,0.80764,,
2.3661,0.80758,,
2.3672,0.80752,,
2.3683,0.80733,,
2.3694,0.8074,,
2.3704,0.80746,,
2.3715,0.80758,,
2.3726,0.80746,,
2.3737,0.80758,,
2.3748,0.80801,,
2.3759,0.80801,,
2.377,0.80795,,
2.3781,0.80819,,
2.3790999999999998,0.80826,,
2.3802,0.80826,,
2.3813,0.80832,,
2.3824,0.80838,,
2.3835,0.80826,,
2.3846,0.80826,,
2.3857,0.80826,,
2.3868,0.80838,,
2.3879,0.8085,,
2.389,0.80856,,
2.3901,0.80862,,
2.3912,0.80875,,
2.3923,0.80893,,
2.3934,0.80893,,
2.3945,0.80893,,
2.3956,0.80887,,
2.3966999999999996,0.80899,,
2.3979,0.80918,,
2.399,0.80924,,
2.4001,0.8093,,
2.4012,0.80942,,
2.4023000000000003,0.8093,,
2.4034,0.80936,,
2.4045,0.80955,,
2.4055999999999997,0.80979,,
2.4068,0.80979,,
2.4079,0.80985,,
2.409,0.80985,,
2.4101,0.81004,,
2.4112,0.81004,,
2.4124,0.80985,,
2.4135,0.80991,,
2.4146,0.80991,,
2.4156999999999997,0.80997,,
2.4169,0.80997,,
2.418,0.81004,,
2.4191,0.81004,,
2.4202,0.8101,,
2.4214,0.80997,,
2.4225,0.81004,,
2.4236,0.80997,,
2.4248000000000003,0.80973,,
2.4259,0.80961,,
2.427,0.80967,,
2.4282,0.80973,,
2.4293,0.80967,,
2.4305,0.80955,,
2.4316,0.80936,,
2.4326999999999996,0.80942,,
2.4339,0.80942,,
2.435,0.80942,,
2.4362,0.80942,,
2.4373,0.8093,,
2.4385,0.80936,,
2.4396,0.80942,,
2.4406999999999996,0.80918,,
2.4419,0.80893,,
2.4431,0.80887,,
2.4442,0.80893,,
2.4454000000000002,0.80887,,
2.4465,0.80881,,
2.4476999999999998,0.80856,,
2.4488000000000003,0.8085,,
2.45,0.80838,,
2.4511,0.80844,,
2.4523,0.80832,,
2.4535,0.80807,,
2.4546,0.80801,,
2.4558,0.80789,,
2.4569,0.80764,,
2.4581,0.80764,,
2.4593000000000003,0.80752,,
2.4604,0.8074,,
2.4616,0.8074,,
2.4628,0.80715,,
2.464,0.80697,,
2.4651,0.80684,,
2.4663000000000004,0.80684,,
2.4675,0.80672,,
