Wavelength (µm),ALH-271 spot f,Wavelength (µm) target,ALH-271 spot f target
1.335,0.1587,2.5121,0.14151624999999998
1.34,0.15884,2.5221,0.14179375
1.345,0.15887,2.532,0.14234875000000002
1.35,0.15875,2.542,0.14266500000000001
1.355,0.15878,2.552,0.14251
1.36,0.15857,2.562,0.143465
1.365,0.15924,2.572,0.14389749999999998
1.37,0.15911,2.5819,0.14371375
1.375,0.15946,2.5919,0.14418714285714287
1.38,0.15888,2.6019,0.1455675
1.385,0.15985,2.6119,0.145315
1.39,0.15946,2.6219,0.14538285714285717
1.395,0.15874,2.6319,0.14578624999999998
1.4,0.1583,2.6418,0.14344571428571426
1.405,0.15803,2.6518,0.1433485714285714
1.41,0.15847,2.6618,0.1432075
1.415,0.15809,2.6718,0.14332714285714285
1.42,0.15778,2.6818,0.1398257142857143
1.425,0.15766,2.6917,0.13651
1.43,0.15762,2.7017,0.13393857142857143
1.435,0.15704,2.7117,0.12920142857142858
1.44,0.15648,2.7217,0.12269428571428571
1.445,0.15595,2.7317,0.11893428571428573
1.45,0.15547,2.7416,0.11755142857142856
1.455,0.15519,2.7516,0.11273285714285715
1.46,0.15439,2.7616,0.1109257142857143
1.465,0.15396,2.7716,0.10896
1.47,0.15306,2.7816,0.10656428571428571
1.475,0.15263,2.7916,0.10539285714285716
1.48,0.15184,2.8015,0.103755
1.485,0.15095,2.8115,0.10286714285714285
1.49,0.15049,2.8215,0.10148833333333333
1.495,0.14946,2.8315,0.10082871428571429
1.5,0.14881,2.8414,0.10023616666666668
1.505,0.14795,2.8514,0.10002385714285714
1.51,0.14706,2.8614,0.0999375
1.515,0.14626,2.8714,0.09920933333333333
1.52,0.1453,2.8814,0.09900766666666667
1.525,0.14439,2.8914,0.09896742857142857
1.53,0.14331,2.9013,0.09861033333333334
1.535,0.14212,2.9113,0.09831833333333333
1.54,0.14131,2.9213,0.09814300000000002
1.545,0.14035,2.9313,0.09813833333333333
1.55,0.1391,2.9413,0.09745716666666666
1.555,0.13821,2.9513,0.09719866666666667
1.56,0.13691,2.9612,0.09687733333333333
1.565,0.13612,2.9712,0.09635016666666667
1.57,0.1343,2.9812,0.0963976
1.575,0.13337,2.9912,0.09581133333333332
1.58,0.13246,,
1.585,0.13118,,
1.59,0.1298,,
1.595,0.12908,,
1.6,0.12825,,
1.605,0.12669,,
1.61,0.1258,,
1.615,0.12482,,
1.62,0.12383,,
1.625,0.12276,,
1.63,0.12142,,
1.635,0.12008,,
1.64,0.11931,,
1.645,0.11854,,
1.65,0.11683,,
1.655,0.11597,,
1.66,0.11586,,
1.665,0.1145,,
1.67,0.11368,,
1.675,0.11255,,
1.68,0.1116,,
1.685,0.11039,,
1.69,0.10975,,
1.695,0.10888,,
1.7,0.1083,,
1.705,0.10714,,
1.71,0.10623,,
1.715,0.10527,,
1.72,0.10434,,
1.725,0.10338,,
1.73,0.10248,,
1.735,0.10172,,
1.74,0.10095,,
1.745,0.10031,,
1.75,0.099503,,
1.755,0.098588,,
1.76,0.09795,,
1.765,0.097341,,
1.77,0.096631,,
1.775,0.095909,,
1.78,0.095133,,
1.785,0.094533,,
1.79,0.093971,,
1.795,0.093304,,
1.8,0.092665,,
1.805,0.092,,
1.81,0.091537,,
1.815,0.090964,,
1.82,0.090281,,
1.825,0.090291,,
1.83,0.089567,,
1.835,0.08887,,
1.84,0.088391,,
1.845,0.08849,,
1.85,0.087829,,
1.855,0.087654,,
1.86,0.087205,,
1.865,0.087013,,
1.87,0.085626,,
1.875,0.086319,,
1.88,0.086553,,
1.885,0.085596,,
1.89,0.085352,,
1.895,0.085126,,
1.9,0.084436,,
1.905,0.084621,,
1.91,0.084589,,
1.915,0.084107,,
1.92,0.083971,,
1.925,0.084186,,
1.93,0.083796,,
1.935,0.083883,,
1.94,0.083557,,
1.945,0.083427,,
1.95,0.083164,,
1.955,0.08301,,
1.96,0.082965,,
1.965,0.08286,,
1.97,0.083119,,
1.975,0.083118,,
1.98,0.082994,,
1.985,0.083133,,
1.99,0.083082,,
1.995,0.08306,,
2.0,0.083217,,
2.005,0.083287,,
2.01,0.083549,,
2.015,0.083642,,
2.02,0.083581,,
2.025,0.083935,,
2.03,0.084068,,
2.035,0.084346,,
2.04,0.084463,,
2.045,0.084723,,
2.05,0.084844,,
2.055,0.085082,,
2.06,0.085536,,
2.065,0.085483,,
2.07,0.085841,,
2.075,0.086173,,
2.08,0.086366,,
2.085,0.086645,,
2.09,0.087071,,
2.095,0.087476,,
2.1,0.087852,,
2.105,0.088021,,
2.11,0.088629,,
2.115,0.088999,,
2.12,0.089145,,
2.125,0.089578,,
2.13,0.090169,,
2.135,0.090311,,
2.14,0.091011,,
2.145,0.091282,,
2.15,0.091996,,
2.155,0.092343,,
2.16,0.092843,,
2.165,0.093148,,
2.17,0.093767,,
2.175,0.094315,,
2.18,0.095227,,
2.185,0.095656,,
2.19,0.096448,,
2.195,0.09676,,
2.2,0.097344,,
2.205,0.098143,,
2.21,0.09895,,
2.215,0.09953,,
2.22,0.10018,,
2.225,0.10079,,
2.23,0.10126,,
2.235,0.10222,,
2.24,0.10272,,
2.245,0.10354,,
2.25,0.10411,,
2.255,0.10503,,
2.26,0.10562,,
2.265,0.1062,,
2.27,0.10701,,
2.275,0.10799,,
2.28,0.10857,,
2.285,0.10909,,
2.29,0.10986,,
2.295,0.11075,,
2.3,0.11129,,
2.305,0.11211,,
2.31,0.11298,,
2.315,0.11368,,
2.32,0.11427,,
2.325,0.11489,,
2.33,0.11574,,
2.335,0.11643,,
2.34,0.11716,,
2.345,0.11799,,
2.35,0.11863,,
2.355,0.11929,,
2.36,0.12009,,
2.365,0.12084,,
2.37,0.12231,,
2.375,0.12299,,
2.38,0.124,,
2.385,0.12474,,
2.39,0.12553,,
2.395,0.12624,,
2.4,0.12693,,
2.405,0.12782,,
2.41,0.12861,,
2.415,0.12933,,
2.42,0.13019,,
2.425,0.13122,,
2.43,0.13194,,
2.435,0.13207,,
2.44,0.13311,,
2.445,0.13345,,
2.45,0.13402,,
2.455,0.13473,,
2.46,0.13527,,
2.465,0.13605,,
2.47,0.13642,,
2.475,0.13771,,
2.48,0.13792,,
2.485,0.13844,,
2.49,0.13899,,
2.495,0.13944,,
2.5,0.14018,,
2.502,0.14078,,
2.5031999999999996,0.1404,,
2.5044,0.14041,,
2.5056,0.14015,,
2.5068,0.13969,,
2.508,0.14009,,
2.5093,0.14149,,
2.5105,0.14207,,
2.5117,0.14162,,
2.5129,0.14081,,
2.5141,0.14188,,
2.5153000000000003,0.14209,,
2.5166,0.14208,,
2.5178000000000003,0.14234,,
2.519,0.14246,,
2.5202,0.14153,,
2.5215,0.14128,,
2.5227,0.14202,,
2.5239000000000003,0.14233,,
