Wavelength (µm) raw,Pigeonite hs199 spliced raw,Wavelength (µm) bin avg,Pigeonite hs199 spliced bin avg,Wavelength (µm) cubic spline of bin avg,Pigeonite hs199 spliced cubic spline of bin avg
0.6637,0.177793,2.07292,0.172553,2.153391458333333,0.17818435059180124
0.6657,0.178641,2.0829,0.174366,2.16399625,0.17590572774863342
0.6677,0.179802,2.09288,0.174001,2.1746010416666666,0.18058344281997826
0.6702,0.178487,2.10286,0.177019,2.1852058333333333,0.17775303011338353
0.6732,0.179276,2.11284,0.176583,2.195810625,0.17608322877848748
0.6762,0.179829,2.12282,0.176666,2.2064154166666667,0.1777942221643475
0.6792,0.179812,2.13281,0.181494,2.2170202083333335,0.1811056226751661
0.6822,0.180623,2.14279,0.180052,2.227625,0.17966104661714782
0.6852,0.179853,2.15277,0.178399,2.2382297916666665,0.18014969747002316
0.6882,0.180276,2.16275,0.175584,2.248834583333333,0.18175324729585743
0.6912,0.181,2.17273,0.180334,2.259439375,0.18287572960384682
0.6942,0.180004,2.18271,0.178498,2.2700441666666666,0.1795525987181474
0.6972,0.181538,2.19269,0.176369,2.2806489583333334,0.17974842938625324
0.7002,0.183409,2.20267,0.176585,2.29125375,0.18187913646499063
0.702,0.183196,2.21265,0.180171,2.301858541666667,0.17897592749853536
0.704,0.182676,2.22263,0.180932,2.3124633333333335,0.1832159253003756
0.706,0.182374,2.23262,0.178918,2.323068125,0.18232032651788582
0.708,0.181446,2.2426,0.181383,2.3336729166666665,0.18014468623480492
0.71,0.181745,2.25258,0.181899,2.3442777083333333,0.17928778424180708
0.712,0.181642,2.26256,0.182676,2.3548825,0.1858065522075854
0.714,0.182055,2.27254,0.178754,2.3654872916666667,0.18430862323194303
0.716,0.18319,2.28252,0.180353,2.3760920833333334,0.189340134568169
0.718,0.183986,2.2925,0.181696,2.386696875,0.1953369123192817
0.72,0.184698,2.30248,0.179006,2.397301666666667,0.1933130384748457
0.722,0.183028,2.31246,0.183215,2.407906458333333,0.19033507801151472
0.724,0.183441,2.32244,0.182427,2.41851125,0.19009968364513988
0.726,0.183511,2.33242,0.180616,2.4291160416666666,0.1920634263280328
0.728,0.184904,2.34241,0.178365,2.4397208333333333,0.1944612184144534
0.73,0.183072,2.35239,0.185261,2.450325625,0.19519901206750903
0.732,0.184701,2.36237,0.184495,2.460930416666667,0.1954417515948234
0.734,0.18218,2.37235,0.186536,2.471535208333333,0.19746229008416746
0.736,0.185994,2.38233,0.193993,2.48214,0.20062044345958624
0.738,0.186437,2.40229,0.191595,2.4927447916666665,0.2032393210490178
0.74,0.183127,2.42225,0.190593,2.5033495833333332,0.20414597776377194
0.742,0.183792,2.44222,0.19482,2.513954375,0.2038618392940882
0.744,0.185233,2.46218,0.195567,2.5245591666666667,0.20326317235875208
0.746,0.186424,2.49212,0.20313,2.5351639583333334,0.20322066485619136
0.748,0.185552,2.53204,0.203127,2.5457687499999997,0.20415382030931542
0.7505,0.185391,2.56199,0.206631,2.5563735416666664,0.20570607764750065
0.7535,0.185281,2.59193,0.211189,2.566978333333333,0.20745074566472937
0.7565,0.185583,2.60191,0.21210737500000004,2.577583125,0.2091330965279137
0.7595,0.184782,2.61189,0.21216171428571426,2.5881879166666666,0.21068418144007872
0.7625,0.184501,2.62187,0.21358175,2.5987927083333333,0.21194943938801622
0.7655,0.184081,2.63185,0.2139275714285714,2.6093975,0.2120641960110804
0.7685,0.187947,2.64183,0.21257299999999998,2.6200022916666668,0.2133023843171748
0.7715,0.184323,2.65182,0.21286314285714283,2.630607083333333,0.21401492813745404
0.7745,0.185978,2.6618,0.21426624999999996,2.6412118749999998,0.21263334364920883
0.7775,0.185518,2.67178,0.21346,2.6518166666666665,0.21286272779102894
0.781,0.183993,2.68176,0.20804128571428573,2.662421458333333,0.21432447182097814
0.785,0.186326,2.69174,0.20188871428571428,2.67302625,0.21297831963946073
0.789,0.184652,2.70172,0.1913897142857143,2.6836310416666667,0.20696548637820958
0.793,0.18558,2.7117,0.1725371428571429,2.6942358333333334,0.19977993818192122
0.797,0.184411,2.72168,0.14006485714285716,2.704840625,0.18691866971268603
0.8015,0.183175,2.73166,0.11830928571428571,2.7154454166666664,0.16088693314859231
0.8065,0.184469,2.74164,0.110294,2.726050208333333,0.12843051382931453
0.8115,0.183912,2.75163,0.10502057142857144,2.736655,0.11331616108109227
0.8165,0.182263,2.76161,0.10222228571428572,2.7472597916666666,0.10720232728232913
0.822,0.180918,2.77159,0.10324783333333332,2.7578645833333333,0.10279037607320046
0.828,0.179894,2.78157,0.10430271428571429,2.768469375,0.10276147957965606
0.835,0.176178,2.79155,0.10546385714285715,2.7790741666666667,0.10405348744931775
0.851,0.171975,2.80153,0.10590066666666666,2.7896789583333335,0.10527428085013835
0.859,0.174073,2.81151,0.10579442857142855,2.8002837499999997,0.10588864712205684
0.871,0.17331,2.82149,0.105722,2.8108885416666665,0.10580479894252261
0.883,0.167971,2.83147,0.10589914285714286,2.821493333333333,0.10572201964030002
0.894,0.165944,2.84145,0.10606083333333333,2.832098125,0.10591446001207033
0.904,0.163066,2.85144,0.10582657142857144,2.8427029166666666,0.10605493215578309
0.914,0.160929,2.86142,0.10538316666666665,2.8533077083333334,0.10574728764016558
0.924,0.162061,2.8714,0.10521383333333333,2.8639125,0.1052920018525748
0.933,0.156285,2.88138,0.10554316666666667,2.8745172916666664,0.1053038276082817
0.941,0.158442,2.89136,0.10555271428571429,2.885122083333333,0.10556275898582324
0.949,0.155599,2.90134,0.10577816666666666,2.895726875,0.10565321583415858
0.957,0.154798,2.91132,0.10570316666666668,2.9063316666666665,0.1057394865512725
0.964,0.158281,2.9213,0.10602299999999999,2.9169364583333333,0.1058498720702139
0.97,0.154667,2.93128,0.10639916666666667,2.92754125,0.10623458259120255
0.976,0.154377,2.94126,0.1072085,2.9381460416666667,0.1069018104856534
0.982,0.154384,2.95125,0.10834683333333334,2.9487508333333334,0.10806312631904116
0.988,0.155564,2.96123,0.10953216666666665,2.9593556249999997,0.10926657833596676
0.994,0.154103,2.97121,0.1113195,2.9699604166666664,0.11109393155348006
1.0,0.152978,2.98119,0.1129132,2.980565208333333,0.11281568752089755
1.006,0.154258,2.99117,0.1147345,2.99117,0.1147345
1.012,0.152877,,,,
1.018,0.152976,,,,
1.0235,0.156354,,,,
1.0285,0.155117,,,,
1.0335,0.157206,,,,
1.0385,0.153461,,,,
1.0435,0.157347,,,,
1.0485,0.157652,,,,
1.0535,0.15544,,,,
1.0585,0.15911,,,,
1.0635,0.158845,,,,
1.0685,0.158094,,,,
1.0735,0.158666,,,,
1.0785,0.159907,,,,
1.0835,0.15746,,,,
1.0885,0.160941,,,,
1.0935,0.162407,,,,
1.0985,0.162947,,,,
1.1035,0.166158,,,,
1.1085,0.162555,,,,
1.1135,0.165415,,,,
1.1185,0.167979,,,,
1.1235,0.165647,,,,
1.1285,0.168482,,,,
1.1335,0.168449,,,,
1.1385,0.16886,,,,
1.1435,0.169409,,,,
1.1485,0.168443,,,,
1.1535,0.173041,,,,
1.1585,0.172166,,,,
1.1635,0.171342,,,,
1.1685,0.17286,,,,
1.1735,0.172937,,,,
1.1785,0.174014,,,,
1.1835,0.174687,,,,
1.1885,0.174274,,,,
1.1935,0.173466,,,,
1.1985,0.175587,,,,
1.2035,0.175044,,,,
1.2085,0.177689,,,,
1.2135,0.176854,,,,
1.2185,0.176804,,,,
1.2235,0.178245,,,,
1.2285,0.178851,,,,
1.2335,0.178256,,,,
1.2385,0.180209,,,,
1.2435,0.180669,,,,
1.2485,0.179933,,,,
1.2535,0.181008,,,,
1.2585,0.180295,,,,
1.2635,0.183076,,,,
1.2685,0.182017,,,,
1.2735,0.185377,,,,
1.2785,0.184688,,,,
1.2835,0.184701,,,,
1.2885,0.184369,,,,
1.2935,0.184462,,,,
1.2985,0.186607,,,,
1.3035,0.187073,,,,
1.3085,0.188592,,,,
1.3135,0.188091,,,,
1.3185,0.188943,,,,
1.3235,0.189957,,,,
1.3285,0.189349,,,,
1.3335,0.190078,,,,
1.3385,0.189482,,,,
1.3435,0.193048,,,,
1.3485,0.191238,,,,
1.3535,0.192668,,,,
1.3585,0.193168,,,,
1.3635,0.194216,,,,
1.3685,0.193219,,,,
1.3735,0.196407,,,,
1.3785,0.194,,,,
1.3835,0.196095,,,,
1.3885,0.198207,,,,
1.3935,0.19518,,,,
1.3985,0.19497,,,,
1.4035,0.193995,,,,
1.4085,0.194252,,,,
