Wavelength (µm),split 92 <125 µm,Wavelength (µm) target,split 92 <125 µm target
1.655,0.24983,,
1.66,0.24688,,
1.665,0.24559,,
1.67,0.2434,,
1.675,0.24157,,
1.68,0.24003,,
1.685,0.23819,,
1.69,0.23655,,
1.695,0.23464,,
1.7,0.23459,,
1.705,0.23213,,
1.71,0.23008,,
1.715,0.22839,,
1.72,0.22629,,
1.725,0.22493,,
1.73,0.2235,,
1.735,0.22222,,
1.74,0.22028,,
1.745,0.21824,,
1.75,0.2169,,
1.755,0.21419,,
1.76,0.21283,,
1.765,0.21145,,
1.77,0.21014,,
1.775,0.20874,,
1.78,0.20718,,
1.785,0.20609,,
1.79,0.20486,,
1.795,0.20363,,
1.8,0.20288,,
1.805,0.20155,,
1.81,0.20046,,
1.815,0.1995,,
1.82,0.19853,,
1.825,0.19742,,
1.83,0.19642,,
1.835,0.1954,,
1.84,0.19446,,
1.845,0.19381,,
1.85,0.19302,,
1.855,0.19239,,
1.86,0.19157,,
1.865,0.19121,,
1.87,0.19081,,
1.875,0.18931,,
1.88,0.18885,,
1.885,0.18858,,
1.89,0.18808,,
1.895,0.18778,,
1.9,0.18741,,
1.905,0.18693,,
1.91,0.18653,,
1.915,0.18632,,
1.92,0.18613,,
1.925,0.18614,,
1.93,0.1858,,
1.935,0.18609,,
1.94,0.1863,,
1.945,0.18627,,
1.95,0.18618,,
1.955,0.18617,,
1.96,0.18638,,
1.965,0.18667,,
1.97,0.18681,,
1.975,0.18703,,
1.98,0.1875,,
1.985,0.18779,,
1.99,0.18818,,
1.995,0.18856,,
2.0,0.18908,,
2.005,0.18942,,
2.01,0.19015,,
2.015,0.19061,,
2.02,0.19164,,
2.025,0.19232,,
2.03,0.19308,,
2.035,0.19364,,
2.04,0.19432,,
2.045,0.19497,,
2.05,0.19568,,
2.055,0.19657,,
2.06,0.19746,,
2.065,0.19854,,
2.07,0.19953,,
2.075,0.20046,,
2.08,0.20166,,
2.085,0.20276,,
2.09,0.2041,,
2.095,0.20505,,
2.1,0.20619,,
2.105,0.2075,,
2.11,0.20888,,
2.115,0.21028,,
2.12,0.2116,,
2.125,0.21302,,
2.13,0.21452,,
2.135,0.21588,,
2.14,0.2172,,
2.145,0.21858,,
2.15,0.22,,
2.155,0.22166,,
2.16,0.22332,,
2.165,0.22488,,
2.17,0.22649,,
2.175,0.2284,,
2.18,0.23018,,
2.185,0.23211,,
2.19,0.23379,,
2.195,0.23543,,
2.2,0.23732,,
2.205,0.23936,,
2.21,0.24124,,
2.215,0.24321,,
2.22,0.24524,,
2.225,0.24708,,
2.23,0.24898,,
2.235,0.25073,,
2.24,0.25298,,
2.245,0.25463,,
2.25,0.25657,,
2.255,0.25856,,
2.26,0.26051,,
2.265,0.26254,,
2.27,0.26452,,
2.275,0.26668,,
2.28,0.2689,,
2.285,0.27098,,
2.29,0.27281,,
2.295,0.27435,,
2.3,0.27666,,
2.305,0.27848,,
2.31,0.28052,,
2.315,0.28229,,
2.32,0.2843,,
2.325,0.28625,,
2.33,0.28815,,
2.335,0.28999,,
2.34,0.29174,,
2.345,0.29345,,
2.35,0.29492,,
2.355,0.29685,,
2.36,0.29882,,
2.365,0.30076,,
2.37,0.30265,,
2.375,0.30436,,
2.38,0.3061,,
2.385,0.30793,,
2.39,0.31004,,
2.395,0.3125,,
2.4,0.31449,,
2.4002,0.31465,,
2.4005,0.31451,,
2.4008000000000003,0.31475,,
2.4011,0.31505,,
2.4013,0.31498,,
2.4015999999999997,0.31505,,
2.4019,0.31536,,
2.4021999999999997,0.31557,,
2.4024,0.31551,,
2.4027,0.31549,,
2.403,0.31549,,
2.4033,0.31548,,
2.4036,0.31553,,
2.4038000000000004,0.31578,,
2.4041,0.31604,,
2.4044,0.31596,,
2.4046999999999996,0.31593,,
2.405,0.31628,,
2.4052,0.3168,,
2.4055,0.31633,,
2.4058,0.31632,,
2.4061,0.31649,,
2.4064,0.31655,,
2.4066,0.31687,,
2.4069000000000003,0.31685,,
2.4072,0.31696,,
2.4075,0.31693,,
2.4076999999999997,0.31706,,
2.408,0.31728,,
2.4083,0.31726,,
2.4086,0.31708,,
2.4089,0.31754,,
2.4091,0.31785,,
2.4094,0.3179,,
2.4097,0.31759,,
2.41,0.31745,,
2.4103000000000003,0.31778,,
2.4105,0.31789,,
2.4108,0.31827,,
2.4111,0.31827,,
2.4114,0.3182,,
2.4116999999999997,0.31826,,
2.4119,0.31828,,
2.4122,0.31818,,
2.4125,0.31812,,
2.4128000000000003,0.31849,,
2.4131,0.31866,,
2.4134,0.319,,
2.4135999999999997,0.31906,,
2.4139,0.31897,,
2.4141999999999997,0.31914,,
2.4145,0.31929,,
2.4148,0.31928,,
2.415,0.31926,,
2.4153000000000002,0.31953,,
2.4156,0.31953,,
2.4159,0.31972,,
2.4162,0.32013,,
2.4164,0.32005,,
2.4166999999999996,0.32004,,
2.417,0.32032,,
2.4173,0.32011,,
2.4175999999999997,0.32012,,
2.4179,0.32038,,
2.4181,0.32043,,
2.4184,0.32055,,
2.4187,0.32058,,
2.419,0.32062,,
2.4193000000000002,0.3207,,
2.4195,0.32093,,
2.4198000000000004,0.32104,,
2.4200999999999997,0.32091,,
2.4204,0.32119,,
2.4206999999999996,0.32161,,
2.421,0.32123,,
2.4212,0.32147,,
2.4215,0.32176,,
2.4218,0.32183,,
2.4221,0.32182,,
2.4224,0.32193,,
2.4227,0.32205,,
2.4229000000000003,0.32208,,
2.4232,0.32238,,
2.4235,0.32242,,
2.4238000000000004,0.3222,,
2.4240999999999997,0.32225,,
2.4244,0.32231,,
2.4246,0.32255,,
2.4249,0.32265,,
2.4252,0.32231,,
2.4255,0.32258,,
2.4258,0.32287,,
2.4261,0.32284,,
2.4263000000000003,0.32265,,
2.4266,0.32297,,
2.4269000000000003,0.32327,,
2.4272,0.32363,,
2.4275,0.32356,,
2.4278000000000004,0.32337,,
2.428,0.3234,,
2.4283,0.3233,,
2.4286,0.32328,,
2.4289,0.32361,,
2.4292,0.32387,,
2.4295,0.32402,,
2.4297,0.32415,,
2.43,0.32451,,
2.4303000000000003,0.32455,,
2.4306,0.32445,,
2.4309000000000003,0.32449,,
2.4312,0.32449,,
2.4315,0.3245,,
2.4316999999999998,0.32439,,
2.432,0.32454,,
2.4323,0.32484,,
2.4326,0.32465,,
2.4329,0.32467,,
2.4332,0.32526,,
2.4335,0.32562,,
2.4337,0.3255,,
2.434,0.3258,,
2.4343000000000004,0.3258,,
2.4346,0.32558,,
2.4349000000000003,0.32556,,
2.4352,0.32588,,
2.4355,0.3262,,
2.4356999999999998,0.32624,,
2.436,0.3259,,
2.4363,0.32579,,
2.4366,0.3259,,
2.4369,0.32619,,
2.4372,0.32618,,
2.4375,0.32621,,
2.4377,0.32652,,
2.438,0.32657,,
2.4383000000000004,0.3268,,
2.4386,0.32673,,
2.4389000000000003,0.32651,,
2.4392,0.32675,,
2.4395,0.32726,,
2.4398,0.32757,,
2.44,0.32731,,
2.4403,0.32756,,
2.4406,0.32742,,
2.4409,0.32726,,
2.4412,0.32751,,
2.4415,0.32783,,
2.4418,0.32787,,
2.4421,0.32748,,
2.4423000000000004,0.32761,,
2.4426,0.3279,,
2.4429000000000003,0.32786,,
2.4432,0.32776,,
2.4435,0.32784,,
2.4438,0.32788,,
2.4440999999999997,0.32806,,
2.4444,0.32827,,
2.4446,0.32852,,
2.4449,0.32853,,
2.4452,0.32855,,
2.4455,0.32886,,
2.4458,0.32894,,
2.4461,0.3289,,
2.4464,0.3289,,
2.4467,0.329,,
2.4469000000000003,0.32908,,
2.4471999999999996,0.329,,
2.4475,0.32921,,
2.4478,0.32949,,
2.4480999999999997,0.32952,,
2.4484,0.3295,,
2.4486999999999997,0.32962,,
2.449,0.32984,,
2.4493,0.33009,,
2.4495,0.32994,,
2.4498,0.32988,,
2.4501,0.32992,,
2.4504,0.32981,,
2.4507,0.32996,,
2.451,0.33031,,
2.4513000000000003,0.33046,,
2.4516,0.33073,,
2.4519,0.33061,,
2.4522,0.3303,,
2.4524,0.33047,,
2.4526999999999997,0.33091,,
2.453,0.33117,,
2.4533,0.3309,,
2.4536,0.33119,,
2.4539,0.33137,,
2.4541999999999997,0.3312,,
2.4545,0.33124,,
2.4548,0.33133,,
2.4551,0.33113,,
2.4553000000000003,0.33122,,
2.4556,0.33137,,
2.4559,0.33137,,
2.4562,0.33161,,
2.4565,0.3316,,
2.4568000000000003,0.3317,,
2.4571,0.33191,,
2.4574000000000003,0.33209,,
2.4577,0.33201,,
2.458,0.33203,,
2.4583000000000004,0.33219,,
2.4586,0.33237,,
2.4588,0.33272,,
2.4591,0.33272,,
2.4594,0.33253,,
2.4596999999999998,0.33253,,
2.46,0.33247,,
2.4603,0.33243,,
2.4606,0.33266,,
2.4609,0.33299,,
2.4612,0.33301,,
2.4615,0.33303,,
2.4618,0.33283,,
2.4621,0.33304,,
2.4623000000000004,0.33335,,
2.4626,0.33338,,
2.4629000000000003,0.33352,,
2.4631999999999996,0.33364,,
2.4635,0.33384,,
2.4638,0.33387,,
2.4640999999999997,0.33378,,
2.4644,0.33372,,
2.4646999999999997,0.33365,,
2.465,0.33387,,
2.4653,0.33422,,
2.4656,0.33408,,
2.4659,0.33411,,
2.4661999999999997,0.33442,,
2.4664,0.33451,,
2.4667,0.33435,,
2.467,0.33455,,
2.4673000000000003,0.33479,,
2.4676,0.33491,,
2.4679,0.33492,,
2.4682,0.33482,,
2.4685,0.33472,,
2.4688000000000003,0.33501,,
2.4691,0.3353,,
2.4694000000000003,0.33507,,
2.4697,0.3351,,
2.47,0.33536,,
2.4703000000000004,0.33574,,
2.4706,0.3358,,
2.4709,0.33555,,
2.4711,0.33535,,
2.4714,0.3355,,
2.4717,0.33552,,
2.472,0.33589,,
2.4723,0.33595,,
2.4726,0.33596,,
2.4729,0.33607,,
2.4732,0.33632,,
2.4735,0.3362,,
2.4738,0.33602,,
2.4741,0.33651,,
2.4744,0.33673,,
2.4747,0.33667,,
2.475,0.33661,,
2.4753000000000003,0.3367,,
2.4756,0.33669,,
2.4759,0.33699,,
2.4762,0.33716,,
2.4765,0.33716,,
2.4768000000000003,0.33714,,
2.477,0.33738,,
2.4773,0.33747,,
2.4776,0.33769,,
2.4779,0.33763,,
2.4781999999999997,0.33742,,
2.4785,0.33754,,
2.4788,0.33747,,
2.4791,0.33744,,
2.4794,0.33765,,
2.4797,0.33795,,
2.48,0.33825,,
2.4803,0.33829,,
2.4806,0.33831,,
2.4809,0.33819,,
2.4812,0.33833,,
2.4815,0.33846,,
2.4818000000000002,0.33824,,
2.4821,0.3385,,
2.4824,0.33872,,
2.4827,0.33902,,
2.483,0.33869,,
2.4833000000000003,0.33859,,
2.4836,0.33866,,
2.4839,0.33892,,
2.4842,0.33905,,
2.4845,0.33904,,
2.4848000000000003,0.33912,,
2.4851,0.33959,,
2.4854000000000003,0.33971,,
2.4857,0.33944,,
2.486,0.33937,,
2.4863000000000004,0.33937,,
2.4865999999999997,0.33939,,
2.4869,0.33982,,
2.4871,0.3397,,
2.4874,0.33948,,
2.4877,0.33986,,
2.488,0.3404,,
2.4883,0.34034,,
2.4886,0.3402,,
2.4889,0.34023,,
2.4892,0.34045,,
2.4895,0.34034,,
2.4898000000000002,0.34031,,
2.4901,0.34055,,
2.4904,0.34067,,
2.4907,0.34059,,
2.491,0.34084,,
2.4913000000000003,0.34102,,
2.4916,0.34085,,
2.4919000000000002,0.34088,,
2.4922,0.34103,,
2.4925,0.34128,,
2.4928000000000003,0.34111,,
2.4931,0.34092,,
2.4934000000000003,0.34101,,
2.4937,0.34118,,
2.494,0.34142,,
2.4943,0.3419,,
2.4945999999999997,0.34184,,
2.4949,0.34153,,
2.4951999999999996,0.34169,,
2.4955,0.34198,,
2.4958,0.34208,,
2.4960999999999998,0.34235,,
2.4964,0.34265,,
2.4966999999999997,0.34251,,
2.497,0.34208,,
2.4973,0.34239,,
2.4976,0.34257,,
2.4979,0.34209,,
2.4981999999999998,0.34228,,
2.4985,0.3426,,
2.4988,0.34264,,
2.4991,0.34277,,
2.4994,0.34276,,
2.4997,0.34294,,
2.5,0.34312,,
2.5003,0.34327,,
2.5006,0.34326,,
2.5009,0.34322,,
2.5012,0.34299,,
2.5015,0.34289,,
2.5019,0.34314,,
2.5021999999999998,0.34353,,
2.5025,0.34334,,
2.5028,0.34333,,
2.5031,0.34343,,
2.5034,0.34361,,
2.5037,0.34401,,
2.504,0.34423,,
2.5043,0.34428,,
2.5046,0.34399,,
2.5049,0.34402,,
2.5052,0.34423,,
2.5055,0.34403,,
2.5058000000000002,0.34407,,
2.5061,0.34407,,
2.5064,0.34402,,
2.5067,0.3444,,
2.507,0.34483,,
2.5073000000000003,0.34488,,
2.5076,0.34479,,
2.5079000000000002,0.34468,,
2.5082,0.34451,,
2.5085,0.34457,,
2.5088000000000004,0.34472,,
2.5091,0.34469,,
2.5094000000000003,0.34482,,
2.5096999999999996,0.34492,,
2.51,0.34523,,
2.5103,0.3455,,
2.5105999999999997,0.34558,,
2.5109,0.34539,,
2.5111999999999997,0.34525,,
2.5115,0.34528,,
2.5118,0.34559,,
2.5122,0.34559,,
2.5125,0.34571,,
2.5128000000000004,0.34574,,
2.5131,0.3456,,
2.5134000000000003,0.34568,,
2.5136999999999996,0.34607,,
2.514,0.34632,,
