Wavelength (µm) raw,Mauna Iki HI basaltic glass JB388A <125 ¬µm raw,Wavelength (µm) bin avg,Mauna Iki HI basaltic glass JB388A <125 ¬µm bin avg,Wavelength (µm) cubic spline of bin avg,Mauna Iki HI basaltic glass JB388A <125 ¬µm cubic spline of bin avg
0.89443,0.093755,1.78347,0.1222675,1.7834713725490197,0.12226748481603154
0.89474,0.093893,1.79345,0.1222375,1.7934523529411766,0.12223749248012479
0.89505,0.093929,1.80343,0.12217125000000001,1.8034333333333334,0.12217123303333258
0.89536,0.093966,1.81341,0.12217499999999999,1.8134143137254903,0.12217502060475159
0.89567,0.093845,1.8234,0.12223749999999999,1.8233952941176472,0.12223747230376507
0.89598,0.09359,1.83338,0.12227500000000001,1.8333762745098041,0.12227499356576774
0.89629,0.093482,1.84336,0.12229999999999999,1.8433572549019608,0.12229998354033116
0.8966,0.093507,1.85334,0.1223775,1.8533382352941177,0.1223774910077604
0.89691,0.093581,1.86332,0.12243142857142857,1.8633192156862746,0.12243141827238106
0.89722,0.093548,1.8733,0.12262714285714285,1.8733001960784315,0.12262714627253113
0.89753,0.093516,1.88328,0.1227425,1.8832811764705883,0.1227425125902159
0.89784,0.093639,1.89326,0.12289714285714286,1.8932621568627452,0.12289718802221115
0.89815,0.093657,1.90324,0.12314571428571429,1.9032431372549021,0.12314579820731522
0.89846,0.093685,1.91322,0.12339857142857143,1.913224117647059,0.12339866526673021
0.89878,0.093742,1.92321,0.12360285714285714,1.923205098039216,0.12360276181684478
0.89909,0.093743,1.93319,0.12384285714285714,1.9331860784313726,0.12384272808772871
0.8994,0.093629,1.94317,0.12421,1.9431670588235295,0.12420990762162294
0.89971,0.093402,1.95315,0.1244342857142857,1.9531480392156864,0.12443424796507584
0.90002,0.093081,1.96313,0.12469000000000001,1.9631290196078433,0.12468996483087125
0.90034,0.092777,1.97311,0.12511857142857144,1.9731100000000001,0.12511857142857144
0.90065,0.092688,1.98309,0.1255042857142857,1.983090980392157,0.12550432209250867
0.90096,0.092562,1.99307,0.125885,1.993071960784314,0.12588507650566738
0.90128,0.092287,2.00305,0.1262757142857143,2.0030529411764704,0.12627582815448013
0.90159,0.092087,2.01303,0.12667000000000003,2.0130339215686273,0.126670165071412
0.9019,0.091911,2.02301,0.1271216666666667,2.023014901960784,0.12712189810309507
0.90222,0.091708,2.033,0.12761857142857144,2.032995882352941,0.12761834888298584
0.90253,0.091581,2.04298,0.12817333333333333,2.042976862745098,0.1281731683721714
0.90284,0.091538,2.05296,0.12867499999999998,2.052957843137255,0.12867488526211962
0.90316,0.091622,2.06294,0.12924333333333332,2.0629388235294117,0.12924326713190726
0.90347,0.09183,2.07292,0.12976666666666667,2.0729198039215686,0.12976665688716177
0.90379,0.092053,2.0829,0.13029500000000002,2.0829007843137255,0.1302950473417888
0.9041,0.092059,2.09288,0.13094666666666666,2.0928817647058824,0.13094677853667153
0.90442,0.091912,2.10286,0.13152666666666665,2.1028627450980393,0.1315268212236071
0.90474,0.091765,2.11284,0.13210666666666665,2.112843725490196,0.13210689054597313
0.90505,0.091731,2.12282,0.13270200000000001,2.122824705882353,0.1327022664896917
0.90537,0.091665,2.13281,0.13327166666666665,2.13280568627451,0.13327139313621292
0.90568,0.091571,2.14279,0.13396,2.142786666666667,0.1339597743014135
0.906,0.091693,2.15277,0.134582,2.1527676470588237,0.1345818596574496
0.90632,0.091956,2.16275,0.13516833333333333,2.16274862745098,0.13516825518369363
0.90663,0.09204,2.17273,0.1357,2.172729607843137,0.13569998091062876
0.90695,0.092028,2.18271,0.13618833333333333,2.182710588235294,0.13618836566626644
0.90727,0.091882,2.19269,0.13679,2.192691568627451,0.13679009272983067
0.90759,0.091824,2.20267,0.137344,2.2026725490196077,0.13734414265528516
0.9079,0.091955,2.21265,0.137935,2.2126535294117646,0.1379352160625164
0.90822,0.092055,2.22263,0.138538,2.2226345098039215,0.13853826194145435
0.90854,0.092032,2.23262,0.13914600000000002,2.2326154901960784,0.1391456830212291
0.90886,0.091998,2.2426,0.13997200000000004,2.2425964705882353,0.1399716765874308
0.90918,0.092158,2.25258,0.14091199999999998,2.252577450980392,0.14091176032358838
0.9095,0.092286,2.26256,0.141834,2.262558431372549,0.14183385571886628
0.90982,0.092177,2.27254,0.14276,2.272539411764706,0.14275994496035346
0.91014,0.092042,2.28252,0.14367200000000002,2.282520392156863,0.14367203382571156
0.91046,0.091945,2.2925,0.14447000000000002,2.2925013725490198,0.14447010354058012
0.91078,0.091949,2.30248,0.14519200000000002,2.3024823529411766,0.14519216213814004
0.9111,0.091885,2.31246,0.145852,2.3124633333333335,0.14585221451705085
0.91142,0.09173,2.32244,0.146472,2.32244431372549,0.14647225207780387
0.91174,0.091608,2.33242,0.14701,2.332425294117647,0.14701026462807165
0.91206,0.091531,2.34241,0.1475125,2.3424062745098038,0.14751229793621992
0.91238,0.091529,2.35239,0.148122,2.3523872549019607,0.14812181560518603
0.9127,0.091401,2.36237,0.14878600000000003,2.3623682352941175,0.14878589432697747
0.91302,0.091206,2.37235,0.149335,2.3723492156862744,0.14933495455844537
0.91334,0.09115,2.38233,0.14995799999999998,2.3823301960784313,0.14995801189608074
0.91366,0.091037,2.39231,0.1505225,2.392311176470588,0.15052256628806965
0.91399,0.090888,2.40229,0.151112,2.402292156862745,0.15111213123666825
0.91431,0.091008,2.41227,0.151715,2.412273137254902,0.1517151842758772
0.91463,0.091105,2.42225,0.152296,2.422254117647059,0.15229624752103724
0.91496,0.091024,2.43223,0.15291749999999998,2.432235098039216,0.15291781756249676
0.91528,0.090874,2.44222,0.15357,2.4422160784313727,0.1535697118146855
0.9156,0.09087,2.4522,0.154372,2.452197058823529,0.1543717624085584
0.91592,0.091008,2.46218,0.15508750000000002,2.462178039215686,0.15508738322437396
0.91625,0.090972,2.47216,0.15561750000000002,2.472159019607843,0.1556174456783694
0.91657,0.0909,2.48214,0.1562225,2.48214,0.1562225
0.9169,0.090845,2.49212,0.1568025,2.4921209803921567,0.15680255963848186
0.91722,0.090558,2.5021,0.157436,2.5021019607843136,0.1574361205155438
0.91755,0.090294,2.51208,0.1579875,2.5120829411764705,0.15798764565701828
0.91787,0.090083,2.52206,0.15845,2.5220639215686274,0.15845017743535664
0.9182,0.090193,2.53204,0.15892,2.5320449019607842,0.15892024414179234
0.91852,0.090467,2.54203,0.15944000000000003,2.542025882352941,0.15943978185945037
0.91885,0.090579,2.55201,0.15995499999999999,2.552006862745098,0.15995484547155323
0.91917,0.090505,2.56199,0.1604425,2.561987843137255,0.16044238923406487
0.9195,0.090375,2.57197,0.160965,2.571968823529412,0.16096494243753873
0.91983,0.090462,2.58195,0.16140749999999998,2.5819498039215687,0.16140749156565307
0.92015,0.090423,2.59193,0.16182333333333332,2.5919307843137256,0.16182336237444167
0.92048,0.090287,2.60191,0.16219250000000002,2.601911764705882,0.16219257914242727
0.92081,0.090641,2.61189,0.16271750000000001,2.611892745098039,0.1627176437852564
0.92113,0.091084,2.62187,0.1631625,2.621873725490196,0.1631626386302843
0.92146,0.091241,2.63185,0.16349333333333335,2.6318547058823527,0.16349348382997753
0.92179,0.091172,2.64183,0.16382,2.6418356862745096,0.16382018487119618
0.92212,0.091018,2.65182,0.164115,2.6518166666666665,0.1641149174713374
0.92244,0.090957,2.6618,0.16425499999999998,2.6617976470588234,0.1642550020410904
0.92277,0.091024,2.67178,0.16415333333333335,2.6717786274509803,0.16415334671146808
0.9231,0.090965,2.68176,0.1641675,2.681759607843137,0.16416749468590694
0.92343,0.091209,2.69174,0.16441333333333333,2.691740588235294,0.16441335315477118
0.92376,0.091537,2.70172,0.16472499999999998,2.701721568627451,0.16472503019015447
0.92409,0.091846,2.7117,0.16458666666666666,2.711702549019608,0.16458651728234144
0.92872,0.091607,2.72168,0.1634475,2.7216835294117647,0.16344690379125576
0.92906,0.091239,2.73166,0.16129666666666667,2.7316645098039216,0.1612955176803229
0.92939,0.090951,2.74164,0.15845499999999998,2.7416454901960785,0.15845328257957905
0.92972,0.09091,2.75163,0.15522333333333332,2.7516264705882354,0.15522445813254465
0.93006,0.09064,2.76161,0.152165,2.7616074509803923,0.15216577042233725
0.93039,0.090495,2.77159,0.14933333333333332,2.7715884313725487,0.14933371433838677
0.93072,0.090274,2.78157,0.14727,2.7815694117647056,0.14727011627945988
0.93106,0.090039,2.79155,0.145345,2.7915503921568625,0.1453449351723689
0.93139,0.089864,2.80153,0.14408999999999997,2.8015313725490194,0.1440898668854504
0.93173,0.089708,2.81151,0.14336000000000002,2.8115123529411763,0.14335989781448327
0.93206,0.089423,2.82149,0.14318333333333333,2.821493333333333,0.14318332730596153
0.9324,0.089189,2.83147,0.14325,2.83147431372549,0.14325007599838818
0.93273,0.088852,2.84145,0.14353,2.841455294117647,0.14353018832748046
0.93307,0.088469,2.85144,0.14393,2.851436274509804,0.14392983463252598
0.93341,0.088378,2.86142,0.14437999999999998,2.8614172549019607,0.14437988397198134
0.93374,0.088484,2.8714,0.14482333333333333,2.8713982352941176,0.14482323613054066
0.93408,0.088391,2.88138,0.14547333333333334,2.8813792156862745,0.14547328152747563
0.93442,0.088367,2.89136,0.1460875,2.8913601960784314,0.14608751190545263
0.93475,0.088438,2.90134,0.1466833333333333,2.9013411764705883,0.14668339780814185
0.93509,0.088437,2.91132,0.14715999999999999,2.911322156862745,0.1471600915755989
0.93543,0.088336,2.9213,0.14759666666666665,2.9213031372549016,0.14759682325881512
0.93576,0.088354,2.93128,0.14819666666666667,2.9312841176470585,0.14819695295475624
0.9361,0.088377,2.94126,0.14892666666666668,2.9412650980392154,0.14892703266427995
0.93644,0.088412,2.95125,0.1496333333333333,2.9512460784313723,0.149633039412294
0.93678,0.088507,2.96123,0.15042,2.961227058823529,0.1504197732723658
0.93712,0.088429,2.97121,0.15111333333333332,2.971208039215686,0.1511132125551605
0.93746,0.088169,2.98119,0.1517,2.981189019607843,0.15169993989954603
0.9378,0.088065,2.99117,0.15244333333333335,2.99117,0.15244333333333335
0.93814,0.087977,,,,
0.93847,0.087926,,,,
0.93881,0.087965,,,,
0.93915,0.088005,,,,
0.9395,0.087853,,,,
0.93984,0.087759,,,,
0.94018,0.087704,,,,
0.94052,0.087645,,,,
0.94086,0.087629,,,,
0.9412,0.087682,,,,
0.94154,0.087708,,,,
0.94188,0.087831,,,,
0.94223,0.08792,,,,
0.94257,0.087906,,,,
0.94291,0.087953,,,,
0.94326,0.08809,,,,
0.9436,0.088079,,,,
0.94394,0.087865,,,,
0.94429,0.087691,,,,
0.94463,0.087656,,,,
0.94498,0.087627,,,,
0.94532,0.087552,,,,
0.94566,0.087407,,,,
0.94601,0.087317,,,,
0.94636,0.087276,,,,
0.9467,0.087236,,,,
0.94705,0.0872,,,,
0.94739,0.087149,,,,
0.94774,0.087152,,,,
0.94809,0.087159,,,,
0.94843,0.087095,,,,
0.94878,0.0871,,,,
0.94913,0.087142,,,,
0.94948,0.087216,,,,
0.94982,0.08725,,,,
0.95017,0.087174,,,,
0.95052,0.087059,,,,
0.95087,0.086996,,,,
0.95122,0.08708,,,,
0.95157,0.087168,,,,
0.95192,0.087152,,,,
0.95227,0.087102,,,,
0.95262,0.087008,,,,
0.95297,0.086905,,,,
0.95332,0.086789,,,,
0.95367,0.086696,,,,
0.95402,0.086709,,,,
0.95437,0.086739,,,,
0.95472,0.086649,,,,
0.95507,0.086398,,,,
0.95542,0.086291,,,,
0.95578,0.086286,,,,
0.95613,0.086296,,,,
0.95648,0.086318,,,,
0.95684,0.086343,,,,
0.95719,0.086355,,,,
0.95754,0.086268,,,,
0.9579,0.086163,,,,
0.95825,0.086066,,,,
0.9586,0.086025,,,,
