Wavelength (µm) raw,Vogelsberg basalt JB460 125-250 µm raw,Wavelength (µm) bin avg,Vogelsberg basalt JB460 125-250 µm bin avg,Wavelength (µm) cubic spline of bin avg,Vogelsberg basalt JB460 125-250 µm cubic spline of bin avg
0.945,0.058,1.73357,0.08561705882352941,1.7335664705882354,0.08561706081996238
0.95,0.05755,1.74355,0.08560529411764707,1.7435474509803923,0.08560531316937231
0.955,0.05709,1.75353,0.0854629411764706,1.7535284313725492,0.0854629660484068
0.96,0.05666,1.76351,0.08534529411764705,1.763509411764706,0.08534529838719794
0.965,0.05624,1.77349,0.0852825,1.7734903921568628,0.08528249633174455
0.97,0.05589,1.78347,0.08515124999999998,1.7834713725490197,0.08515123125581388
0.975,0.05554,1.79345,0.085025,1.7934523529411766,0.08502496841366548
0.98,0.0552,1.80343,0.08487312500000001,1.8034333333333334,0.08487307082140302
0.985,0.05488,1.81341,0.08471249999999998,1.8134143137254903,0.08471243313771334
0.99,0.05461,1.8234,0.08455599999999999,1.8233952941176472,0.0845560801225935
0.995,0.05434,1.83338,0.084385625,1.8333762745098041,0.08438567941817306
1.0,0.05405,1.84336,0.08425133333333336,1.8433572549019608,0.08425137762169785
1.005,0.0538,1.85334,0.08405666666666665,1.8533382352941177,0.08405670150024128
1.01,0.0536,1.86332,0.08385933333333331,1.8633192156862746,0.08385935117313727
1.015,0.05346,1.8733,0.08355400000000003,1.8733001960784315,0.08355399208253653
1.02,0.05331,1.88328,0.08305,1.8832811764705883,0.08304993055783452
1.025,0.05322,1.89326,0.08235599999999997,1.8932621568627452,0.08235581958892983
1.03,0.05324,1.90324,0.08155285714285714,1.9032431372549021,0.08155268008067384
1.035,0.05325,1.91322,0.08133500000000002,1.913224117647059,0.08133501047535559
1.04,0.05332,1.92321,0.08142071428571428,1.923205098039216,0.08142068221397043
1.045,0.0535,1.93319,0.08144499999999999,1.9331860784313726,0.08144498298735721
1.05,0.05375,1.94317,0.08150857142857142,1.9431670588235295,0.08150856404672488
1.055,0.05399,1.95315,0.08145000000000001,1.9531480392156864,0.08145002522556802
1.06,0.0543,1.96313,0.08132428571428571,1.9631290196078433,0.08132429202807946
1.065,0.05466,1.97311,0.08130615384615386,1.9731100000000001,0.08130615384615386
1.07,0.05502,1.98309,0.08119692307692308,1.983090980392157,0.08119690996733504
1.075,0.05549,1.99307,0.0810776923076923,1.993071960784314,0.08107767158373877
1.08,0.05606,2.00305,0.08098538461538461,2.0030529411764704,0.08098536126686194
1.085,0.05661,2.01303,0.08092,2.0130339215686273,0.08091998009065623
1.09,0.05721,2.02301,0.08086615384615384,2.023014901960784,0.08086611662041625
1.095,0.05788,2.033,0.08075500000000001,2.032995882352941,0.08075505812046326
1.1,0.05846,2.04298,0.08063,2.042976862745098,0.08063002166025987
1.105,0.05904,2.05296,0.08060416666666666,2.052957843137255,0.08060417447156812
1.11,0.05974,2.06294,0.08050916666666667,2.0629388235294117,0.08050918424411907
1.115,0.06043,2.07292,0.08036833333333333,2.0729198039215686,0.08036833480516524
1.12,0.06109,2.0829,0.08033416666666666,2.0829007843137255,0.08033416067421312
1.125,0.06174,2.09288,0.08021416666666666,2.0928817647058824,0.08021415206036042
1.13,0.06239,2.10286,0.08020454545454546,2.1028627450980393,0.0802045503700058
1.135,0.06297,2.11284,0.08018583333333335,2.112843725490196,0.08018580574496434
1.14,0.06349,2.12282,0.08009833333333334,2.122824705882353,0.08009831402313286
1.145,0.06409,2.13281,0.08009545454545454,2.13280568627451,0.080095468941089
1.15,0.06464,2.14279,0.08001090909090909,2.142786666666667,0.08001093847795297
1.155,0.06522,2.15277,0.07995727272727272,2.1527676470588237,0.07995727964018037
1.16,0.06576,2.16275,0.07992363636363636,2.16274862745098,0.07992364414392143
1.165,0.06623,2.17273,0.07986272727272728,2.172729607843137,0.0798627283734493
1.17,0.06667,2.18271,0.07985636363636363,2.182710588235294,0.07985636167908043
1.175,0.067,2.19269,0.07980272727272728,2.192691568627451,0.07980272426040781
1.18,0.06736,2.20267,0.07983090909090909,2.2026725490196077,0.07983091765912131
1.185,0.06778,2.21265,0.07984499999999999,2.2126535294117646,0.07984500416565515
1.19,0.06814,2.22263,0.07986636363636364,2.2226345098039215,0.07986637525520844
1.195,0.0685,2.23262,0.07991,2.2326154901960784,0.07990996374921769
1.2,0.06879,2.2426,0.07999200000000001,2.2425964705882353,0.07999198932945614
1.205,0.06903,2.25258,0.07994545454545456,2.252577450980392,0.07994547866145033
1.21,0.06931,2.26256,0.079797,2.262558431372549,0.0797970373166274
1.215,0.06956,2.27254,0.0795,2.272539411764706,0.07950001722234964
1.22,0.0698,2.28252,0.079182,2.282520392156863,0.07918198275727688
1.225,0.06999,2.2925,0.07869300000000001,2.2925013725490198,0.07869294862365793
1.23,0.07028,2.30248,0.07856666666666667,2.3024823529411766,0.0785666872389742
1.235,0.07054,2.31246,0.07876399999999999,2.3124633333333335,0.07876407940327226
1.24,0.07063,2.32244,0.07909,2.32244431372549,0.07909022992934939
1.245,0.07086,2.33242,0.07972222222222222,2.332425294117647,0.07972249249338574
1.25,0.07108,2.34241,0.08004,2.3424062745098038,0.08003989591058552
1.255,0.07126,2.35239,0.0803711111111111,2.3523872549019607,0.08037102291443929
1.26,0.07148,2.36237,0.08068,2.3623682352941175,0.08067993659124134
1.265,0.07165,2.37235,0.08106222222222223,2.3723492156862744,0.08106219721135584
1.27,0.07181,2.38233,0.08127222222222223,2.3823301960784313,0.08127222507289386
1.275,0.07196,2.39231,0.081425,2.392311176470588,0.08142502236551291
1.28,0.07221,2.40229,0.08168,2.402292156862745,0.08168006902344777
1.285,0.0725,2.41227,0.08206555555555556,2.412273137254902,0.08206569843398065
1.29,0.07274,2.42225,0.08253333333333333,2.422254117647059,0.08253350770489314
1.295,0.07308,2.43223,0.08291555555555556,2.432235098039216,0.08291576237555201
1.3,0.07331,2.44222,0.08335333333333333,2.4422160784313727,0.08335316961846631
1.3005,0.07327,2.4522,0.08370625,2.452197058823529,0.08370616175250765
1.3008,0.07344,2.46218,0.08401222222222221,2.462178039215686,0.08401215103625594
1.3012,0.07352,2.47216,0.0844075,2.472159019607843,0.08440746513028531
