Wavelength (µm) raw,Icelandic tephra JB501C  45-125 µm raw,Wavelength (µm) bin avg,Icelandic tephra JB501C  45-125 µm bin avg,Wavelength (µm) cubic spline of bin avg,Icelandic tephra JB501C  45-125 µm cubic spline of bin avg
0.86,0.1109,1.52397,0.13040333333333334,1.5239658823529412,0.13040304360342067
0.865,0.11016,1.53395,0.131025,1.533946862745098,0.13102482086071318
0.87,0.1095,1.54393,0.13149799999999998,1.543927843137255,0.13149793463570625
0.875,0.10895,1.55391,0.13168200000000002,1.5539088235294118,0.13168197741928891
0.88,0.1082,1.56389,0.13198833333333335,1.5638898039215687,0.13198832542863936
0.885,0.10747,1.57387,0.13245600000000002,1.5738707843137256,0.13245604095224361
0.89,0.10697,1.58385,0.13286599999999998,1.5838517647058825,0.13286602585479995
0.895,0.10639,1.59383,0.132822,1.5938327450980394,0.1328219977483452
0.9,0.10581,1.60381,0.132958,1.6038137254901963,0.13295806073787952
0.905,0.1053,1.6138,0.133098,1.613794705882353,0.13309790191325718
0.91,0.10475,1.62378,0.133252,1.6237756862745099,0.13325200897660158
0.915,0.10424,1.63376,0.133134,1.6337566666666667,0.13313399781487395
0.92,0.10379,1.64374,0.13326599999999997,1.6437376470588236,0.13326599143028023
0.925,0.10334,1.65372,0.13316,1.6537186274509805,0.13316001014717174
0.93,0.10289,1.6637,0.13319399999999998,1.6636996078431374,0.13319399832047757
0.935,0.10237,1.67368,0.133174,1.6736805882352943,0.13317399674632657
0.94,0.10192,1.68366,0.13312,1.683661568627451,0.1331199930951855
0.945,0.10139,1.69364,0.13308999999999999,1.6936425490196079,0.13308999461970422
0.95,0.10094,1.70362,0.13303500000000001,1.7036235294117648,0.13303495514278996
0.955,0.10052,1.7136,0.13286000000000003,1.7136045098039216,0.1328599269347205
0.96,0.10022,1.72359,0.13273249999999998,1.7235854901960785,0.1327325603140198
0.965,0.09984,1.73357,0.13258999999999999,1.7335664705882354,0.13259004031229976
0.97,0.0996,1.74355,0.13249500000000003,1.7435474509803923,0.13249503144691221
