Wavelength raw,Haleakala tephra JB395B 45-125 raw,Wavelength bin avg,Haleakala tephra JB395B 45-125 bin avg,Wavelength cubic spline of bin avg,Haleakala tephra JB395B 45-125 cubic spline of bin avg
0.615,0.16136,2.1382,0.20917727272727274,2.33586265060241,0.21057251723467266
0.62,0.16446,2.1777272727272727,0.20762,2.365479518072289,0.210631760186234
0.625,0.16759,2.2168599999999996,0.20675499999999997,2.395096385542169,0.2099989431133972
0.63,0.17009,2.2574090909090905,0.20789090909090913,2.4247132530120483,0.20879205995714453
0.635,0.17268,2.297433333333333,0.2095988888888889,2.4543301204819277,0.20729977736031768
0.64,0.17481,2.33678,0.21058399999999997,2.4839469879518075,0.2058183429514817
0.645,0.17678,2.3774999999999995,0.21045999999999998,2.513563855421687,0.2045249082182592
0.65,0.17849,2.417444444444445,0.20912666666666666,2.5431807228915666,0.20358903653394075
0.655,0.18035,2.4563625,0.207195,2.572797590361446,0.20289678911305903
0.66,0.18186,2.496644444444444,0.2052322222222222,2.6024144578313257,0.2016364348217012
