Wavelength raw,split 92 <125 µm raw,Wavelength bin avg,split 92 <125 µm bin avg,Wavelength cubic spline of bin avg,split 92 <125 µm cubic spline of bin avg
0.475,0.22744,1.2974999999999999,0.303105,1.5065918410484045,0.30002162662796195
0.48,0.23045,1.3175000000000001,0.3060425,1.5362087507926445,0.2919524374587729
0.485,0.23384,1.3375,0.30864749999999996,1.5658256605368848,0.2823449389126224
0.49,0.23665,1.3575000000000002,0.3098125,1.5954425702811248,0.2718573347620359
0.495,0.24028,1.3775,0.3112,1.625059480025365,0.26075225376874894
0.5,0.24331,1.3975000000000002,0.3118275,1.654676389769605,0.24943838137927057
0.505,0.24208,1.4175,0.312015,1.6842932995138453,0.23884844039590364
0.51,0.24805,1.4375,0.311005,1.7139102092580853,0.22876891063664326
0.515,0.25356,1.4575,0.3091575,1.7435271190023254,0.21878568606707752
0.52,0.25736,1.4775000000000003,0.3062525,1.7731440287465656,0.20934478793397546
0.525,0.26032,1.4975,0.30217,1.8027609384908057,0.20201551061480638
0.53,0.2637,1.5175,0.29724,1.832377848235046,0.1962202701090422
0.535,0.26539,1.5375,0.2915625,1.861994757979286,0.1914248014270721
0.54,0.26648,1.5575,0.28515999999999997,1.8916116677235262,0.18803253015338847
0.545,0.26723,1.5824999999999998,0.27652,1.9212285774677662,0.186368543429951
0.55,0.2688,1.6175,0.26364249999999995,1.9508454872120065,0.18625101883380413
0.555,0.272,1.6575,0.24839,1.9804623969562465,0.18756712552361182
0.56,0.27459,1.6974999999999998,0.234325,2.010079306700487,0.1903617477337432
0.565,0.27686,1.7374999999999998,0.22081875,2.0396962164447268,0.19425042950180746
0.57,0.27842,1.7775,0.208115,2.069313126188967,0.1994623068692329
0.575,0.28009,1.8175,0.19902,2.0989300359332073,0.2061535962759945
0.58,0.28187,1.8575,0.1920725,2.128546945677447,0.2139838988019759
0.585,0.28317,1.8975,0.18756,2.1581638554216873,0.2228733524868512
0.59,0.28455,1.9374999999999998,0.186135,2.1877807651659276,0.23298791816749456
0.595,0.28585,1.9775,0.18736500000000003,2.217397674910168,0.2441059376741315
0.6,0.28671,2.0175,0.1912425,2.2470145846544076,0.25549972088906253
0.605,0.28751,2.0575,0.19719125,2.276631494398648,0.2672971898068714
0.61,0.28841,2.0975,0.2058025,2.306248404142888,0.27901929023549193
0.615,0.28977,2.1375,0.21655749999999999,2.3358653138871284,0.2901074565453398
0.62,0.29038,2.1774999999999998,0.229325,2.365482223631368,0.30092301820489287
0.625,0.29083,2.2175000000000002,0.244145,2.3950991333756084,0.3120768489776675
0.63,0.29215,2.2575,0.25962375000000004,2.4247160431198487,0.32253074914551355
0.635,0.29289,2.2975,0.27562375000000006,2.4543329528640885,0.33110277286233386
0.64,0.29352,2.3375,0.29070625,2.4839498626083287,0.3389132360521424
0.645,0.29424,2.3774999999999995,0.305395,2.513566772352569,0.3459052306385526
0.65,0.29452,2.418465413533835,0.32049616541353376,2.5431836820968092,0.3517761656417963
0.655,0.29538,2.4571496350364965,0.33186583941605824,2.5728005918410495,0.35644907367542333
0.66,0.29569,2.497075939849623,0.34214278195488745,2.6024175015852893,0.359934564983622
0.665,0.29583,2.53694140625,0.3506360156249999,2.6320344113295295,0.36261349315791114
0.67,0.29659,2.576812,0.35698592000000023,2.66165132107377,0.3622672307467067
0.675,0.2969,2.6167991735537193,0.36133966942148765,2.6912682308180096,0.35100907456125807
0.68,0.29761,2.65668376068376,0.36274854700854703,2.72088514056225,0.3185007962222356
0.685,0.29806,2.6965815789473684,0.3466898245614037,2.75050205030649,0.2868847252031273
0.69,0.29788,2.7366009009009016,0.29957441441441435,2.7801189600507303,0.27027402190883215
0.695,0.29759,2.7765336448598124,0.2718031775700933,2.80973586979497,0.26083987833100664
0.7,0.29838,2.8164971428571426,0.2594275238095239,2.8393527795392104,0.25629031365407196
0.705,0.2975,2.856445544554455,0.25498000000000004,2.8689696892834506,0.25423826593217935
0.71,0.29788,2.8963333333333336,0.25308232323232327,2.898586599027691,0.2530174511122258
0.715,0.29735,2.9282035087719307,0.25263140350877206,2.9282035087719307,0.25263140350877206
