Wavelength (µm) raw,ALH-271 spot f raw,Wavelength (µm) bin avg,ALH-271 spot f bin avg,Wavelength (µm) cubic spline of bin avg,ALH-271 spot f cubic spline of bin avg
1.295,0.15634,2.43223,0.13200499999999998,2.432235098039216,0.13200564034669598
1.3,0.15669,2.44222,0.13328,2.4422160784313727,0.13327953669465895
1.305,0.15673,2.4522,0.134375,2.452197058823529,0.13437466506700818
1.31,0.15713,2.46218,0.13566,2.462178039215686,0.1356597220285126
1.315,0.15749,2.47216,0.137065,2.472159019607843,0.13706487483630214
1.32,0.15778,2.48214,0.13818,2.48214,0.13818
1.325,0.15833,2.49212,0.139215,2.4921209803921567,0.13921509634264714
1.33,0.1582,2.5021,0.14026833333333333,2.5021019607843136,0.14026858743604265
1.335,0.1587,2.51208,0.14151624999999998,2.5120829411764705,0.14151647094869324
1.34,0.15884,2.52206,0.14179375,2.5220639215686274,0.14179386127165866
1.345,0.15887,2.53204,0.14234875000000002,2.5320449019607842,0.1423490523112231
1.35,0.15875,2.54203,0.14266500000000001,2.542025882352941,0.14266505446612918
1.355,0.15878,2.55201,0.14251,2.552006862745098,0.14250987572976945
1.36,0.15857,2.56199,0.143465,2.561987843137255,0.1434647947544728
1.365,0.15924,2.57197,0.14389749999999998,2.571968823529412,0.14389750370034815
1.37,0.15911,2.58195,0.14371375,2.5819498039215687,0.14371375152402346
1.375,0.15946,2.59193,0.14418714285714287,2.5919307843137256,0.1441872380035105
1.38,0.15888,2.60191,0.1455675,2.601911764705882,0.14556764077092635
1.385,0.15985,2.61189,0.14543714285714285,2.611892745098039,0.14543696516339893
1.39,0.15946,2.62187,0.14526750000000002,2.621873725490196,0.14526783157107315
1.395,0.15874,2.63185,0.14604142857142857,2.6318547058823527,0.14604091303701636
1.4,0.1583,2.64183,0.14351499999999998,2.6418356862745096,0.14351398753056885
1.405,0.15803,2.65182,0.1433485714285714,2.6518166666666665,0.14334852948436355
1.41,0.15847,2.6618,0.1432075,2.6617976470588234,0.14320741644934182
1.415,0.15809,2.67178,0.14332714285714285,2.6717786274509803,0.14332736397601586
1.42,0.15778,2.68176,0.1398257142857143,2.681759607843137,0.1398258741012033
1.425,0.15766,2.69174,0.13651,2.691740588235294,0.13650984824366919
1.43,0.15762,2.70172,0.13393857142857143,2.701721568627451,0.133938053439125
1.435,0.15704,2.7117,0.12920142857142858,2.711702549019608,0.12919985269097253
1.44,0.15648,2.72168,0.12269428571428571,2.7216835294117647,0.12269224920498657
1.445,0.15595,2.73166,0.11893428571428573,2.7316645098039216,0.11893356544165307
1.45,0.15547,2.74164,0.11755142857142856,2.7416454901960785,0.11754961778165023
1.455,0.15519,2.75163,0.11273285714285715,2.7516264705882354,0.11273421316257752
1.46,0.15439,2.76161,0.1109257142857143,2.7616074509803923,0.11092603022638088
1.465,0.15396,2.77159,0.10896,2.7715884313725487,0.10896039868574964
1.47,0.15306,2.78157,0.10656428571428571,2.7815694117647056,0.10656438595824477
1.475,0.15263,2.79155,0.10539285714285716,2.7915503921568625,0.10539280361621715
1.48,0.15184,2.80153,0.103755,2.8015313725490194,0.10375482418165384
1.485,0.15095,2.81151,0.10286714285714285,2.8115123529411763,0.10286688327362838
1.49,0.15049,2.82149,0.10148833333333333,2.821493333333333,0.10148795996255285
1.495,0.14946,2.83147,0.10082871428571429,2.83147431372549,0.10082848001544319
1.5,0.14881,2.84145,0.10023616666666668,2.841455294117647,0.10023591702049793
1.505,0.14795,2.85144,0.10002385714285714,2.851436274509804,0.10002385316075031
1.51,0.14706,2.86142,0.0999375,2.8614172549019607,0.09993762850091596
1.515,0.14626,2.8714,0.09920933333333333,2.8713982352941176,0.09920943677142338
1.52,0.1453,2.88138,0.09900766666666667,2.8813792156862745,0.0990076653013309
1.525,0.14439,2.89136,0.09896742857142857,2.8913601960784314,0.09896742443865612
1.53,0.14331,2.90134,0.09861033333333334,2.9013411764705883,0.09861028995415119
1.535,0.14212,2.91132,0.09831833333333333,2.911322156862745,0.09831827607385334
1.54,0.14131,2.9213,0.09814300000000002,2.9213031372549016,0.0981430081288664
1.545,0.14035,2.93128,0.09813833333333333,2.9312841176470585,0.0981381772100292
1.55,0.1391,2.94126,0.09745716666666666,2.9412650980392154,0.09745687519867267
1.555,0.13821,2.95125,0.09719866666666667,2.9512460784313723,0.09719872843866376
1.56,0.13691,2.96123,0.09687733333333333,2.961227058823529,0.0968774921559916
1.565,0.13612,2.97121,0.09635016666666667,2.971208039215686,0.09635021232242798
1.57,0.1343,2.98119,0.0963976,2.981189019607843,0.0963975971620989
1.575,0.13337,2.99117,0.09581133333333332,2.99117,0.0958113333333333
1.58,0.13246,,,,
1.585,0.13118,,,,
1.59,0.1298,,,,
1.595,0.12908,,,,
1.6,0.12825,,,,
1.605,0.12669,,,,
1.61,0.1258,,,,
1.615,0.12482,,,,
1.62,0.12383,,,,
1.625,0.12276,,,,
1.63,0.12142,,,,
1.635,0.12008,,,,
1.64,0.11931,,,,
1.645,0.11854,,,,
1.65,0.11683,,,,
1.655,0.11597,,,,
1.66,0.11586,,,,
1.665,0.1145,,,,
1.67,0.11368,,,,
1.675,0.11255,,,,
1.68,0.1116,,,,
1.685,0.11039,,,,
1.69,0.10975,,,,
1.695,0.10888,,,,
1.7,0.1083,,,,
1.705,0.10714,,,,
1.71,0.10623,,,,
1.715,0.10527,,,,
1.72,0.10434,,,,
1.725,0.10338,,,,
1.73,0.10248,,,,
1.735,0.10172,,,,
1.74,0.10095,,,,
1.745,0.10031,,,,
1.75,0.099503,,,,
1.755,0.098588,,,,
1.76,0.09795,,,,
1.765,0.097341,,,,
1.77,0.096631,,,,
1.775,0.095909,,,,
1.78,0.095133,,,,
1.785,0.094533,,,,
1.79,0.093971,,,,
1.795,0.093304,,,,
1.8,0.092665,,,,
1.805,0.092,,,,
1.81,0.091537,,,,
1.815,0.090964,,,,
1.82,0.090281,,,,
1.825,0.090291,,,,
1.83,0.089567,,,,
1.835,0.08887,,,,
1.84,0.088391,,,,
1.845,0.08849,,,,
1.85,0.087829,,,,
1.855,0.087654,,,,
1.86,0.087205,,,,
1.865,0.087013,,,,
1.87,0.085626,,,,
1.875,0.086319,,,,
1.88,0.086553,,,,
1.885,0.085596,,,,
1.89,0.085352,,,,
1.895,0.085126,,,,
1.9,0.084436,,,,
1.905,0.084621,,,,
1.91,0.084589,,,,
1.915,0.084107,,,,
1.92,0.083971,,,,
1.925,0.084186,,,,
1.93,0.083796,,,,
1.935,0.083883,,,,
1.94,0.083557,,,,
1.945,0.083427,,,,
1.95,0.083164,,,,
1.955,0.08301,,,,
1.96,0.082965,,,,
1.965,0.08286,,,,
1.97,0.083119,,,,
1.975,0.083118,,,,
1.98,0.082994,,,,
1.985,0.083133,,,,
1.99,0.083082,,,,
1.995,0.08306,,,,
2.0,0.083217,,,,
2.005,0.083287,,,,
2.01,0.083549,,,,
2.015,0.083642,,,,
2.02,0.083581,,,,
2.025,0.083935,,,,
2.03,0.084068,,,,
2.035,0.084346,,,,
2.04,0.084463,,,,
2.045,0.084723,,,,
2.05,0.084844,,,,
2.055,0.085082,,,,
2.06,0.085536,,,,
2.065,0.085483,,,,
2.07,0.085841,,,,
2.075,0.086173,,,,
2.08,0.086366,,,,
2.085,0.086645,,,,
2.09,0.087071,,,,
2.095,0.087476,,,,
2.1,0.087852,,,,
2.105,0.088021,,,,
2.11,0.088629,,,,
2.115,0.088999,,,,
2.12,0.089145,,,,
2.125,0.089578,,,,
