Wavelength raw,Pigeonite hs199 spliced raw,Wavelength bin avg,Pigeonite hs199 spliced bin avg,Wavelength cubic spline of bin avg,Pigeonite hs199 spliced cubic spline of bin avg
0.4773,0.157989,2.18,0.17769625,2.3654620516351117,0.18650697207751624
0.4793,0.156233,2.2199999999999998,0.1791515,2.3950739586919103,0.1903839957412322
0.4813,0.156958,2.2600000000000002,0.18117799999999998,2.424685865748709,0.1919428546659517
0.4833,0.160891,2.3,0.18106750000000002,2.4542977728055075,0.19543037289683785
0.4853,0.158298,2.3400000000000003,0.18166725,2.483909679862306,0.20157624453522494
0.4873,0.161257,2.3753333333333333,0.18834133333333333,2.5135215869191048,0.2033026688786833
0.4893,0.160121,2.409,0.19109399999999999,2.5431334939759034,0.20416085870338305
0.4913,0.161745,2.4530000000000003,0.1951935,2.572745401032702,0.20842578615582003
0.4933,0.162463,2.496,0.20313,2.6023573080895006,0.21199042616368624
0.4953,0.159938,2.528,0.203127,2.6319692151462992,0.21340630841490868
