Wavelength (µm) raw,Orthoclase nmn h142137.17349 spliced raw,Wavelength (µm) bin avg,Orthoclase nmn h142137.17349 spliced bin avg,Wavelength (µm) cubic spline of bin avg,Orthoclase nmn h142137.17349 spliced cubic spline of bin avg
2.007,0.80506,,,,
2.0078,0.80488,,,,
2.0086,0.805,,,,
2.0094,0.80512,,,,
2.0101,0.80537,,,,
2.0109,0.80543,,,,
2.0117,0.80549,,,,
2.0125,0.80537,,,,
2.0133,0.80525,,,,
2.014,0.80543,,,,
2.0148,0.80574,,,,
2.0156,0.80592,,,,
2.0164,0.80598,,,,
2.0172,0.80592,,,,
2.018,0.80574,,,,
2.0188,0.80586,,,,
2.0195,0.80629,,,,
2.0203,0.80672,,,,
2.0211,0.8066,,,,
2.0219,0.80666,,,,
2.0227,0.8069,,,,
2.0235,0.80672,,,,
2.0243,0.80678,,,,
2.0251,0.80697,,,,
2.0259,0.80703,,,,
2.0266,0.80709,,,,
2.0274,0.80709,,,,
2.0282,0.80721,,,,
2.029,0.8074,,,,
2.0298,0.80752,,,,
2.0306,0.80758,,,,
2.0314,0.80746,,,,
2.0322,0.8077,,,,
2.033,0.80789,,,,
2.0338,0.8077,,,,
2.0346,0.80783,,,,
2.0354,0.80832,,,,
2.0362,0.80844,,,,
2.037,0.80826,,,,
2.0378,0.80801,,,,
2.0386,0.80813,,,,
2.0394,0.80838,,,,
2.0402,0.80838,,,,
2.041,0.80832,,,,
2.0418,0.80862,,,,
2.0426,0.80862,,,,
2.0434,0.8085,,,,
2.0442,0.80868,,,,
2.045,0.80875,,,,
2.0458,0.80893,,,,
2.0466,0.80905,,,,
2.0475,0.80911,,,,
2.0483,0.80924,,,,
2.0491,0.80936,,,,
2.0499,0.80911,,,,
2.0507,0.80893,,,,
2.0515,0.80905,,,,
2.0523,0.80905,,,,
2.0531,0.80924,,,,
2.0539,0.80955,,,,
2.0548,0.80955,,,,
2.0556,0.80936,,,,
2.0564,0.80942,,,,
2.0572,0.80948,,,,
2.058,0.80955,,,,
2.0588,0.80961,,,,
2.0597,0.80979,,,,
2.0605,0.80967,,,,
2.0613,0.80955,,,,
2.0621,0.80961,,,,
2.0629,0.80967,,,,
2.0638,0.80948,,,,
2.0646,0.80955,,,,
2.0654,0.80961,,,,
2.0662,0.80961,,,,
2.067,0.80967,,,,
2.0679,0.80955,,,,
2.0687,0.80936,,,,
2.0695,0.8093,,,,
2.0703,0.80936,,,,
2.0712,0.80967,,,,
2.072,0.80967,,,,
2.0728,0.80961,,,,
2.0737,0.80942,,,,
2.0745,0.80955,,,,
2.0753,0.80955,,,,
2.0762,0.80948,,,,
2.077,0.80948,,,,
2.0778,0.80948,,,,
2.0786,0.80961,,,,
2.0795,0.80942,,,,
2.0803,0.80911,,,,
2.0812,0.80905,,,,
2.082,0.80905,,,,
2.0828,0.80924,,,,
2.0837,0.80948,,,,
2.0845,0.80936,,,,
2.0853,0.80905,,,,
2.0862,0.80905,,,,
2.087,0.80918,,,,
2.0879,0.80924,,,,
2.0887,0.80911,,,,
2.0895,0.80905,,,,
2.0904,0.80905,,,,
2.0912,0.80899,,,,
2.0921,0.80899,,,,
2.0929,0.80924,,,,
2.0938,0.80899,,,,
