Wavelength (nm),Haleakala tephra JB395B 45-125
2056.7,0.20832
2060.0,0.20827
2063.2,0.20839
2066.5,0.20878
2069.8,0.20897
2073.1,0.20887
2076.5,0.20898
2079.8,0.20913
2083.1,0.20904
2086.5,0.20911
2089.9,0.20917
2093.2,0.20906
2096.6,0.20935
2100.0,0.20966
2103.4,0.20944
2106.9,0.20935
2110.3,0.20943
2113.7,0.20954
2117.2,0.20952
2120.7,0.20955
2124.1,0.20958
2127.6,0.20941
2131.1,0.20917
2134.6,0.20910
2138.1,0.20915
2141.7,0.20923
2145.2,0.20913
2148.8,0.20891
2152.4,0.20885
2155.9,0.20887
2159.5,0.20877
2163.1,0.20840
2166.8,0.20797
2170.4,0.20790
2174.0,0.20778
2177.7,0.20765
2181.3,0.20749
2185.0,0.20734
2188.7,0.20697
2192.4,0.20680
2196.1,0.20675
2199.9,0.20641
2203.6,0.20642
2207.4,0.20661
2211.1,0.20662
2214.9,0.20662
2218.7,0.20668
2222.5,0.20678
2226.3,0.20689
2230.2,0.20711
2234.0,0.20741
2237.9,0.20736
2241.7,0.20736
2245.6,0.20764
2249.5,0.20781
2253.4,0.20778
2257.3,0.20784
2261.3,0.20801
2265.2,0.20808
2269.2,0.20801
2273.2,0.20833
2277.2,0.20858
2281.2,0.20872
2285.2,0.20909
2289.3,0.20926
2293.3,0.20942
2297.4,0.20973
2301.5,0.20995
2305.5,0.20996
2309.7,0.21004
2313.8,0.21022
2317.9,0.21043
2322.1,0.21044
2326.2,0.21054
2330.4,0.21064
2334.6,0.21063
2338.8,0.21071
2343.1,0.21064
2347.3,0.21051
2351.6,0.21054
2355.8,0.21076
2360.1,0.21097
2364.4,0.21080
2368.8,0.21071
2373.1,0.21073
2377.5,0.21058
2381.8,0.21044
2386.2,0.21019
2390.6,0.20997
2395.0,0.20975
2399.5,0.20969
2403.9,0.20961
2408.4,0.20963
2412.9,0.20948
2417.4,0.20920
2421.9,0.20893
2426.4,0.20867
2431.0,0.20849
2435.6,0.20844
2440.1,0.20833
2444.7,0.20805
2449.4,0.20751
2454.0,0.20711
2458.7,0.20701
2463.3,0.20690
2468.0,0.20651
2472.7,0.20614
2477.5,0.20605
2482.2,0.20609
2487.0,0.20587
2491.8,0.20532
2496.6,0.20503
2501.4,0.20507
2506.2,0.20491
2511.1,0.20447
2516.0,0.20428
2520.9,0.20404
2525.8,0.20386
2530.7,0.20391
2535.7,0.20376
2540.6,0.20363
2545.6,0.20348
2550.6,0.20350
2555.7,0.20353
2560.7,0.20340
2565.8,0.20312
2570.9,0.20305
2576.0,0.20308
2581.1,0.20279
2586.3,0.20237
2591.4,0.20212
2596.6,0.20182
2601.8,0.20145
2607.1,0.20131
2612.3,0.20115
2617.6,0.20067
2622.9,0.20017
2628.2,0.19995
2633.6,0.19943
2638.9,0.19867
2644.3,0.19769
2649.7,0.19580
2655.2,0.19205
2660.6,0.18677
2666.1,0.18135
2671.6,0.17507
2677.1,0.16762
2682.6,0.16113
2688.2,0.15533
2693.8,0.14834
2699.4,0.14010
2705.0,0.13137
2710.7,0.12269
2716.4,0.11520
2722.1,0.10878
2727.8,0.10166
2733.6,0.094656
2739.4,0.089291
2745.2,0.083797
2751.0,0.078527
2756.8,0.074112
2762.7,0.070482
2768.6,0.068406
2774.6,0.066796
2780.5,0.064762
2786.5,0.063561
2792.5,0.062369
2798.5,0.060754
2804.6,0.058705
2810.7,0.057005
2816.8,0.055156
2822.9,0.053300
2829.1,0.050996
2835.3,0.048737
2841.5,0.046657
2847.7,0.044700
2854.0,0.043101
2860.3,0.041584
2866.6,0.040136
2873.0,0.039250
2879.4,0.038203
2885.8,0.037375
2892.2,0.036665
2898.7,0.036389
2905.2,0.035866
2911.7,0.035855
2918.3,0.036596
2924.9,0.037327
2931.5,0.037736
2938.1,0.037905
2944.8,0.038259
2951.5,0.038374
2958.3,0.038562
2965.0,0.039148
2971.8,0.039774
2978.7,0.040506
2985.5,0.041256
2992.4,0.043108
2999.3,0.044615
3006.3,0.045892
3013.3,0.046793
3020.3,0.048352
3027.4,0.050271
3034.5,0.051210
3041.6,0.051765
3048.7,0.052387
3055.9,0.053252
3063.2,0.054422
3070.4,0.055083
3077.7,0.055816
3085.0,0.056675
3092.4,0.057940
3099.8,0.059224
3107.2,0.059612
3114.7,0.060080
3122.2,0.061048
3129.8,0.062068
3137.3,0.063080
3144.9,0.063629
3152.6,0.064470
3160.3,0.065883
3168.0,0.066851
3175.8,0.067483
3183.6,0.068429
3191.4,0.069059
3199.3,0.070290
3207.2,0.072168
3202.1,0.072370
3204.0,0.072759
3206.0,0.073116
3208.0,0.073310
3210.0,0.073526
3212.0,0.073913
3214.0,0.074307
3216.0,0.074500
3218.0,0.074662
3220.0,0.074848
3222.0,0.075345
3224.0,0.075521
3226.0,0.075785
3228.0,0.076225
3230.0,0.076344
3232.0,0.076427
3234.0,0.076840
3236.0,0.077153
3238.1,0.077319
3240.1,0.077402
3242.1,0.077614
3244.1,0.078055
3246.2,0.078259
3248.2,0.078381
3250.2,0.078642
3252.3,0.079229
3254.3,0.079478
3256.4,0.079425
3258.4,0.079291
3260.5,0.079697
3262.5,0.080130
3264.6,0.080483
3266.6,0.080791
3268.7,0.081027
3270.7,0.081295
3272.8,0.081749
3274.9,0.082209
3277.0,0.082331
3279.0,0.082580
3281.1,0.082954
3283.2,0.083186
3285.3,0.083363
3287.3,0.083604
3289.4,0.084040
3291.5,0.084393
3293.6,0.084291
3295.7,0.084573
3297.8,0.085009
3299.9,0.085261
3302.0,0.085541
3304.1,0.085894
3306.2,0.086157
3308.3,0.086221
3310.4,0.086620
3312.5,0.087089
3314.7,0.087387
3316.8,0.087408
3318.9,0.087773
3321.0,0.088170
3323.2,0.088400
3325.3,0.088588
3327.4,0.088726
3329.6,0.088875
3331.7,0.089121
3333.8,0.089533
3336.0,0.089746
3338.1,0.089840
3340.3,0.090167
3342.4,0.090471
3344.6,0.090613
3346.8,0.090674
3348.9,0.090720
3351.1,0.091209
3353.3,0.091632
3355.4,0.091740
3357.6,0.091945
3359.8,0.092011
3362.0,0.092109
3364.1,0.092388
3366.3,0.092615
3368.5,0.092865
3370.7,0.093147
3372.9,0.093488
3375.1,0.093688
3377.3,0.093737
3379.5,0.093728
3381.7,0.093992
3383.9,0.094507
3386.1,0.094754
3388.3,0.094885
3390.5,0.095094
3392.8,0.095361
3395.0,0.095545
3397.2,0.095569
3399.4,0.095674
3401.7,0.096158
3403.9,0.096460
3406.1,0.096540
3408.4,0.096767
3410.6,0.096976
3412.9,0.097350
3415.1,0.097686
3417.4,0.097973
3419.6,0.098257
3421.9,0.098698
3424.1,0.099171
3426.4,0.099500
3428.7,0.099716
3430.9,0.099894
3433.2,0.10007
3435.5,0.10046
3437.8,0.10083
3440.0,0.10113
3442.3,0.10153
3444.6,0.10172
3446.9,0.10183
3449.2,0.10217
3451.5,0.10273
3453.8,0.10337
3456.1,0.10373
3458.4,0.10376
3460.7,0.10377
3463.0,0.10401
3465.3,0.10455
3467.6,0.10493
3470.0,0.10519
3472.3,0.10542
3474.6,0.10573
3477.0,0.10602
3479.3,0.10630
3481.6,0.10658
3484.0,0.10700
3486.3,0.10743
3488.7,0.10766
3491.0,0.10782
3493.4,0.10801
3495.7,0.10842
3498.1,0.10868
3500.4,0.10897
3502.8,0.10931
3505.2,0.10969
3507.5,0.11001
3509.9,0.11017
3512.3,0.11060
3514.7,0.11109
3517.1,0.11140
3519.4,0.11174
3521.8,0.11229
3524.2,0.11257
3526.6,0.11279
3529.0,0.11317
3531.4,0.11359
3533.8,0.11394
3536.2,0.11431
3538.7,0.11467
3541.1,0.11493
3543.5,0.11523
3545.9,0.11556
3548.3,0.11596
3550.8,0.11615
3553.2,0.11639
3555.6,0.11688
3558.1,0.11727
3560.5,0.11745
3563.0,0.11764
3565.4,0.11789
3567.9,0.11824
3570.3,0.11872
3572.8,0.11909
3575.3,0.11927
3577.7,0.11945
3580.2,0.11965
3582.7,0.12012
3585.2,0.12070
3587.6,0.12088
3590.1,0.12100
3592.6,0.12122
3595.1,0.12146
3597.6,0.12158
3600.1,0.12202
3602.6,0.12236
3605.1,0.12252
3607.6,0.12295
3610.1,0.12316
3612.6,0.12345
3615.2,0.12381
3617.7,0.12414
3620.2,0.12446
3622.7,0.12462
3625.3,0.12487
3627.8,0.12518
3630.3,0.12540
3632.9,0.12553
3635.4,0.12564
3638.0,0.12608
3640.5,0.12659
3643.1,0.12668
3645.7,0.12680
3648.2,0.12713
3650.8,0.12751
3653.4,0.12786
3655.9,0.12802
3658.5,0.12822
3661.1,0.12848
3663.7,0.12883
3666.3,0.12912
3668.9,0.12923
3671.5,0.12936
3674.1,0.12961
3676.7,0.12989
3679.3,0.13018
3681.9,0.13048
3684.5,0.13084
3687.2,0.13128
3689.8,0.13152
3692.4,0.13160
3695.0,0.13168
3697.7,0.13202
3700.3,0.13256
3703.0,0.13287
3705.6,0.13287
3708.3,0.13305
3710.9,0.13338
3713.6,0.13371
3716.2,0.13392
3718.9,0.13421
3721.6,0.13457
3724.2,0.13482
3726.9,0.13510
3729.6,0.13525
3732.3,0.13535
3735.0,0.13567
3737.7,0.13591
3740.4,0.13619
3743.1,0.13654
3745.8,0.13686
3748.5,0.13698
3751.2,0.13704
3753.9,0.13722
3756.6,0.13756
3759.3,0.13794
3762.1,0.13818
3764.8,0.13844
3767.5,0.13851
3770.3,0.13864
