Wavelength (nm),"Mauna Iki, HI basaltic glass JB388B 150-250 µm"
1291.5,0.043992
1292.2,0.043995
1292.8,0.043895
1293.4,0.043924
1294.1,0.043988
1294.7,0.044018
1295.4,0.044015
1296,0.044058
1296.7,0.044012
1297.3,0.043944
1298,0.043923
1298.6,0.04388
1299.3,0.043825
1299.9,0.043886
1300.6,0.044018
1301.2,0.044095
1301.9,0.044122
1302.5,0.044088
1303.2,0.043993
1303.9,0.043842
1304.5,0.043661
1305.2,0.043524
1305.8,0.0435
1306.5,0.043621
1307.1,0.043717
1307.8,0.043821
1308.5,0.043999
1309.1,0.044078
1309.8,0.044007
1310.4,0.043997
1311.1,0.044069
1311.8,0.044104
1312.4,0.044164
1313.1,0.044257
1313.8,0.044307
1314.4,0.044314
1315.1,0.044285
1315.8,0.044209
1316.4,0.044116
1317.1,0.044013
1317.8,0.043884
1318.4,0.043873
1319.1,0.043958
1319.8,0.043982
1320.5,0.043955
1321.1,0.043994
1321.8,0.043954
1322.5,0.043898
1323.2,0.043968
1323.8,0.044164
1324.5,0.044335
1325.2,0.044552
1325.9,0.044647
1326.5,0.04458
1327.2,0.044448
1327.9,0.044282
1328.6,0.044093
1329.3,0.043992
1329.9,0.043965
1330.6,0.043981
1331.3,0.043995
1332,0.04401
1332.7,0.04402
1333.4,0.044065
1334.1,0.044124
1334.7,0.044185
1335.4,0.044167
1336.1,0.044115
1336.8,0.044034
1337.5,0.043985
1338.2,0.043991
1338.9,0.044027
1339.6,0.044096
1340.3,0.044182
1341,0.044223
1341.6,0.04421
1342.3,0.044238
1343,0.044329
1343.7,0.044405
1344.4,0.04439
1345.1,0.044405
1345.8,0.044453
1346.5,0.044446
1347.2,0.044451
1347.9,0.044525
1348.6,0.044503
1349.3,0.044397
1350,0.044358
1350.7,0.044343
1351.4,0.044314
1352.1,0.044375
1352.9,0.044442
1353.6,0.044398
1354.3,0.044397
1355,0.044403
1355.7,0.044348
1356.4,0.044319
1357.1,0.044408
1357.8,0.044429
1358.5,0.044441
1359.2,0.044453
1360,0.044475
1360.7,0.044457
1361.4,0.044469
1362.1,0.044507
1362.8,0.044538
1363.5,0.044566
1364.2,0.044616
1365,0.044639
1365.7,0.044599
1366.4,0.044624
1367.1,0.044687
1367.8,0.044647
1368.6,0.044506
1369.3,0.044394
1370,0.044316
1370.7,0.04422
1371.5,0.04414
1372.2,0.044129
1372.9,0.044212
1373.6,0.044322
1374.4,0.044413
1375.1,0.044514
1375.8,0.044603
1376.6,0.044628
1377.3,0.04464
1378,0.044708
1378.8,0.044806
1379.5,0.044895
1380.2,0.044906
1381,0.044815
1381.7,0.044713
1382.4,0.044692
1383.2,0.044694
1383.9,0.044739
1384.7,0.044831
1385.4,0.044842
1386.1,0.044776
1386.9,0.044724
1387.6,0.044682
1388.4,0.044704
1389.1,0.044776
1389.8,0.044832
1390.6,0.044907
1391.3,0.044988
1392.1,0.044974
1392.8,0.044937
1393.6,0.044918
1394.3,0.044829
1395.1,0.044743
1395.8,0.044776
1396.6,0.044839
1397.3,0.044869
1398.1,0.044938
1398.8,0.045023
1399.6,0.045033
1400.4,0.045058
1401.1,0.045116
1401.9,0.045086
1402.6,0.045019
1403.4,0.044952
1404.2,0.044862
1404.9,0.044753
1405.7,0.044765
1406.4,0.044811
1407.2,0.044872
1408,0.044994
1408.7,0.045116
1409.5,0.045113
1410.3,0.045065
1411,0.045014
1411.8,0.044902
1412.6,0.044855
1413.3,0.044948
1414.1,0.045048
1414.9,0.045088
1415.7,0.045133
1416.4,0.045226
1417.2,0.045256
1418,0.045285
1418.8,0.045404
1419.5,0.045502
1420.3,0.045462
1421.1,0.045438
1421.9,0.045476
1422.6,0.045417
1423.4,0.045311
1424.2,0.045312
1425,0.045349
1425.8,0.045311
1426.6,0.045313
1427.3,0.045378
1428.1,0.045365
1428.9,0.045368
1429.7,0.045449
1430.5,0.045485
1431.3,0.045463
1432.1,0.045456
1432.9,0.045381
1433.7,0.045283
1434.5,0.045237
1435.3,0.045259
1436,0.045328
1436.8,0.045418
1437.6,0.045487
1438.4,0.045534
1439.2,0.045516
1440,0.045478
1440.8,0.045442
1441.6,0.045411
1442.4,0.045376
1443.2,0.045357
1444,0.045354
1444.9,0.045348
1445.7,0.045281
1446.5,0.045282
1447.3,0.045366
1448.1,0.04543
1448.9,0.045488
1449.7,0.045676
1450.5,0.045899
1451.3,0.045993
1452.1,0.045992
1453,0.046
1453.8,0.045937
1454.6,0.045794
1455.4,0.045769
1456.2,0.045849
1457,0.045924
1457.9,0.045989
1458.7,0.046081
1459.5,0.046122
1460.3,0.0461
1461.1,0.046093
1462,0.046163
1462.8,0.046224
1463.6,0.046228
1464.4,0.046215
1465.3,0.046171
1466.1,0.046103
1466.9,0.046019
1467.8,0.045968
1468.6,0.04597
1469.4,0.045977
1470.3,0.04593
1471.1,0.045875
1471.9,0.045868
1472.8,0.045893
1473.6,0.045952
1474.4,0.046047
1475.3,0.046171
1476.1,0.046273
1477,0.046312
1477.8,0.046336
1478.6,0.046357
1479.5,0.04635
1480.3,0.046301
1481.2,0.046264
1482,0.046196
1482.9,0.046118
1483.7,0.046081
1484.6,0.046084
1485.4,0.046095
1486.3,0.046135
1487.1,0.046153
1488,0.046145
1488.8,0.046155
1489.7,0.046177
1490.6,0.046215
1491.4,0.046306
1492.3,0.046356
1493.1,0.046356
1494,0.046365
1494.8,0.046347
1495.7,0.046293
1496.6,0.046249
1497.4,0.04624
1498.3,0.046307
1499.2,0.046393
1500,0.046486
1500.9,0.046565
1501.8,0.046644
1502.6,0.046597
1503.5,0.046474
1504.4,0.046385
1505.3,0.046346
1506.1,0.046302
1507,0.046346
1507.9,0.046434
1508.8,0.046505
1509.6,0.046572
1510.5,0.046646
1511.4,0.046651
1512.3,0.046683
1513.2,0.046696
1514.1,0.046697
1514.9,0.046712
1515.8,0.046767
1516.7,0.046786
1517.6,0.046777
1518.5,0.046785
1519.4,0.046816
1520.3,0.046848
1521.2,0.046852
1522.1,0.046837
1523,0.046846
1523.8,0.046881
1524.7,0.046898
1525.6,0.046913
1526.5,0.046955
1527.4,0.046916
1528.3,0.046834
1529.2,0.046781
1530.1,0.046774
1531,0.046814
1532,0.046908
1532.9,0.046984
1533.8,0.046971
1534.7,0.046953
1535.6,0.046965
1536.5,0.046993
1537.4,0.047035
1538.3,0.047102
1539.2,0.047129
1540.1,0.047126
1541.1,0.047143
1542,0.047167
1542.9,0.047171
1543.8,0.047177
1544.7,0.047158
1545.7,0.047068
1546.6,0.046964
1547.5,0.046987
1548.4,0.047037
1549.4,0.047031
1550.3,0.047002
1551.2,0.046972
1552.1,0.046899
1553.1,0.046876
1554,0.046985
1554.9,0.047094
1555.9,0.047123
1556.8,0.047182
1557.7,0.047237
1558.7,0.047184
1559.6,0.047083
1560.5,0.047005
1561.5,0.046877
1562.4,0.046749
1563.4,0.046718
1564.3,0.046791
1565.3,0.046901
1566.2,0.047019
1567.2,0.047139
1568.1,0.047194
1569,0.047238
1570,0.04728
1570.9,0.047302
1571.9,0.047237
1572.9,0.047192
1573.8,0.047151
1574.8,0.047115
1575.7,0.047118
1576.7,0.047119
1577.6,0.047082
1578.6,0.047044
1579.6,0.047
1580.5,0.046953
1581.5,0.046972
1582.5,0.047006
1583.4,0.047091
1584.4,0.047191
1585.4,0.04721
1586.3,0.047175
1587.3,0.047118
1588.3,0.046993
1589.3,0.046925
1590.2,0.046957
1591.2,0.046988
1592.2,0.047016
1593.2,0.047087
1594.1,0.047129
1595.1,0.047073
1596.1,0.047017
1597.1,0.046968
1598.1,0.04689
1599.1,0.046857
1600,0.046923
1601,0.046965
1602,0.047043
1603,0.047169
1604,0.047145
1605,0.047101
1606,0.047143
1607,0.047181
1608,0.04715
1609,0.04718
1610,0.047228
1611,0.04724
1612,0.047232
1613,0.047172
1614,0.047088
1615,0.047014
1616,0.047027
1617,0.047039
1618,0.047066
1619,0.047123
1620,0.04716
1621.1,0.047153
1622.1,0.047213
1623.1,0.04731
1624.1,0.047349
1625.1,0.047304
1626.1,0.047246
1627.2,0.047158
1628.2,0.0471
1629.2,0.047134
1630.2,0.047188
1631.3,0.047174
1632.3,0.047148
1633.3,0.047085
1634.3,0.046998
1635.4,0.046909
1636.4,0.046891
1637.4,0.046912
1638.5,0.046932
1639.5,0.046956
1640.5,0.046985
1641.6,0.046989
1642.6,0.046962
1643.7,0.047008
1644.7,0.047053
1645.8,0.047048
1646.8,0.046996
1647.8,0.046937
1648.9,0.046845
1649.9,0.046815
1651,0.046817
1652.1,0.046872
1653.1,0.046913
1654.2,0.046907
1655.2,0.046897
1656.3,0.046988
1657.3,0.047034
1658.4,0.047042
1659.5,0.047084
1660.5,0.047045
1661.6,0.046932
1662.6,0.046883
1663.7,0.046889
1664.8,0.046911
1665.9,0.046959
1666.9,0.046952
1668,0.046904
1669.1,0.046908
