Wavelength (nm),Icelandic tephra JB501C  45-125 µm
2234,0.1477
2237.9,0.14802
2241.7,0.14824
2245.6,0.14851
2249.5,0.14878
2253.4,0.14908
2257.3,0.14931
2261.3,0.14958
2265.2,0.14986
2269.2,0.1502
2273.2,0.15065
2277.2,0.15093
2281.2,0.1511
2285.2,0.15145
2289.3,0.15187
2293.3,0.15198
2297.4,0.15206
2301.5,0.15243
2305.5,0.15286
2309.7,0.15305
2313.8,0.15328
2317.9,0.15355
2322.1,0.15373
2326.2,0.15396
2330.4,0.15416
2334.6,0.15435
2338.8,0.15452
2343.1,0.1545
2347.3,0.15458
2351.6,0.15486
2355.8,0.15503
2360.1,0.15501
2364.4,0.15502
2368.8,0.15509
2373.1,0.15513
2377.5,0.15511
2381.8,0.15523
2386.2,0.15533
2390.6,0.1554
2395,0.15553
2399.5,0.15549
2403.9,0.15546
2408.4,0.15546
2412.9,0.15543
2417.4,0.15538
2421.9,0.15527
2426.4,0.15509
2431,0.15507
2435.6,0.15501
2440.1,0.15502
2444.7,0.15504
2449.4,0.15493
2454,0.15475
2458.7,0.15482
2463.3,0.15484
2468,0.15465
2472.7,0.15457
2477.5,0.15437
2482.2,0.15411
2487,0.1537
2491.8,0.15358
2496.6,0.15353
2501.4,0.15333
2506.2,0.15323
2511.1,0.15313
2516,0.15282
2520.9,0.15267
2525.8,0.15279
2530.7,0.1527
2535.7,0.15255
2540.6,0.15245
2545.6,0.1524
2550.6,0.15223
2555.7,0.152
2560.7,0.15195
2565.8,0.15173
2570.9,0.1515
2576,0.15122
2581.1,0.15097
2586.3,0.15102
2591.4,0.15088
2596.6,0.1506
2601.8,0.15034
2607.1,0.15001
2612.3,0.14951
2617.6,0.14903
2622.9,0.14856
2628.2,0.14792
2633.6,0.14706
2638.9,0.14602
2644.3,0.14443
2649.7,0.14173
2655.2,0.13676
2651.7,0.13553
2653.1,0.13449
2654.4,0.1329
2655.8,0.13058
2657.2,0.1288
2658.5,0.1269
2659.9,0.12418
2661.3,0.12226
2662.6,0.12094
2664,0.11915
2665.4,0.11757
2666.7,0.11643
2668.1,0.11498
2669.5,0.11266
2670.9,0.10937
2672.2,0.10532
2673.6,0.1014
2675,0.09822
2676.4,0.09599
2677.8,0.09516
2679.1,0.09493
2680.5,0.09484
2681.9,0.09405
2683.3,0.0928
2684.7,0.09202
2686.1,0.09087
2687.5,0.08974
2688.9,0.08895
2690.3,0.08752
2691.7,0.08562
2693.1,0.08404
2694.5,0.08286
2695.9,0.08237
2697.3,0.08177
2698.7,0.08131
2700.1,0.08016
2701.5,0.07868
2702.9,0.07749
2704.3,0.07651
2705.7,0.07542
2707.1,0.07403
2708.5,0.07327
2710,0.07241
2711.4,0.07139
2712.8,0.07028
2714.2,0.0691
2715.6,0.06806
2717.1,0.06671
2718.5,0.06537
2719.9,0.06428
2721.3,0.06306
2722.8,0.06259
2724.2,0.06194
2725.6,0.06082
2727.1,0.05985
2728.5,0.05892
2729.9,0.05794
2731.4,0.05629
2732.8,0.05526
2734.2,0.05468
2735.7,0.05386
2737.1,0.05291
2738.6,0.05181
2740,0.05093
2741.5,0.05031
2742.9,0.04968
2744.4,0.04914
2745.8,0.04888
2747.3,0.04868
2748.7,0.04759
2750.2,0.04648
2751.7,0.04571
2753.1,0.04466
2754.6,0.04396
2756.1,0.04392
2757.5,0.0436
2759,0.04303
2760.5,0.04236
2761.9,0.04158
2763.4,0.04131
2764.9,0.04119
2766.3,0.04054
2767.8,0.03992
2769.3,0.03958
2770.8,0.03941
2772.3,0.03888
2773.7,0.03858
2775.2,0.03867
2776.7,0.03847
2778.2,0.03807
2779.7,0.03785
2781.2,0.03756
2782.7,0.03729
2784.2,0.03709
2785.7,0.03681
2787.2,0.0365
2788.7,0.03701
2790.2,0.03654
2791.7,0.03568
2793.2,0.03585
2794.7,0.03627
2796.2,0.03636
2797.7,0.03611
2799.2,0.0357
2800.7,0.03539
2802.2,0.03496
2803.8,0.03503
2805.3,0.03537
2806.8,0.03522
2808.3,0.03493
2809.8,0.03471
2811.4,0.03446
2812.9,0.03465
2814.4,0.03464
2815.9,0.03478
2817.5,0.03513
2819,0.03492
2820.5,0.03479
2822.1,0.03456
2823.6,0.03452
2825.1,0.0343
2826.7,0.03365
2828.2,0.03366
2829.8,0.03381
2831.3,0.03415
2832.9,0.03474
2834.4,0.03463
2836,0.03404
2837.5,0.0335
2839.1,0.03367
2840.6,0.03426
2842.2,0.03441
2843.7,0.03439
2845.3,0.03394
2846.9,0.03358
2848.4,0.03367
2850,0.03411
2851.6,0.034
2853.1,0.03378
2854.7,0.03411
2856.3,0.03402
2857.8,0.03379
2859.4,0.03389
2861,0.03391
2862.6,0.03395
2864.2,0.03386
