Wavelength (nm),Vogelsberg basalt JB460 125-250 µm
1500.8,0.0823
1501.2,0.0822
1501.7,0.08213
1502.1,0.08211
1502.5,0.08216
1502.9,0.0822
1503.4,0.08218
1503.8,0.08222
1504.3,0.08233
1504.7,0.08231
1505.1,0.08225
1505.6,0.08229
1506,0.08228
1506.4,0.08233
1506.9,0.08237
1507.3,0.0823
1507.8,0.0823
1508.2,0.08232
1508.6,0.0824
1509.1,0.08249
1509.5,0.08248
1510,0.08234
1510.4,0.08242
1510.8,0.08259
1511.3,0.08256
1511.7,0.08253
1512.2,0.08248
1512.6,0.08248
1513,0.08257
1513.5,0.08258
1513.9,0.08262
1514.4,0.08261
1514.8,0.08263
1515.3,0.08278
1515.7,0.08286
1516.1,0.08275
1516.6,0.08255
1517,0.08251
1517.5,0.08261
1517.9,0.0827
1518.4,0.08265
1518.8,0.08271
1519.3,0.08286
1519.7,0.08288
1520.1,0.08278
1520.6,0.0827
1521,0.08275
1521.5,0.08294
1521.9,0.08303
1522.4,0.08292
1522.8,0.08291
1523.3,0.08306
1523.7,0.083
1524.2,0.08296
1524.6,0.08305
1525.1,0.08309
1525.5,0.08301
1525.9,0.08299
1526.4,0.08311
1526.8,0.08324
1527.3,0.08319
1527.8,0.08321
1528.2,0.08318
1528.7,0.08301
1529.1,0.08312
1529.6,0.08322
1530,0.08326
1530.5,0.08326
1530.9,0.08323
1531.4,0.08323
1531.8,0.08322
1532.3,0.08317
1532.7,0.08312
1533.2,0.08308
1533.6,0.08308
1534.1,0.08313
1534.5,0.08317
1535,0.08309
1535.4,0.0832
1535.9,0.08343
1536.3,0.08347
1536.8,0.08334
1537.3,0.08322
1537.7,0.08317
1538.2,0.08334
1538.6,0.08342
1539.1,0.08336
1539.6,0.08333
1540,0.08339
1540.5,0.08344
1540.9,0.08336
1541.4,0.08341
1541.8,0.08356
1542.3,0.08364
1542.8,0.08365
1543.2,0.08365
1543.7,0.08377
1544.1,0.08386
1544.6,0.08372
1545.1,0.08363
1545.5,0.08354
1546,0.0835
1546.4,0.0835
1546.9,0.08355
1547.4,0.08372
1547.8,0.08374
1548.3,0.08369
1548.8,0.08366
1549.2,0.08373
1549.7,0.08382
1550.1,0.0839
1550.6,0.08397
1551.1,0.08391
1551.5,0.08374
1552,0.08377
1552.4,0.08377
