Wavelength (nm),Icelandic pillow lava JB602F
1532.7,0.13845
1533.2,0.13842
1533.6,0.1384
1534.1,0.1384
1534.5,0.13845
1535,0.13851
1535.4,0.13852
1535.9,0.13852
1536.3,0.13855
1536.8,0.13861
1537.3,0.13866
1537.7,0.13869
1538.2,0.13872
1538.6,0.13872
1539.1,0.13875
1539.6,0.13874
1540,0.13875
1540.5,0.13883
1540.9,0.13886
1541.4,0.13884
1541.8,0.13891
1542.3,0.13895
1542.8,0.13892
1543.2,0.13888
1543.7,0.13894
1544.1,0.13899
1544.6,0.13899
1545.1,0.13904
1545.5,0.13899
1546,0.139
1546.4,0.13906
1546.9,0.13906
1547.4,0.13913
1547.8,0.13921
1548.3,0.13927
1548.8,0.1393
1549.2,0.13927
1549.7,0.13928
1550.1,0.13929
1550.6,0.13932
1551.1,0.13931
1551.5,0.13931
1552,0.1394
1552.4,0.13943
1552.9,0.13941
1553.4,0.13941
1553.8,0.13941
1554.3,0.13944
1554.8,0.1395
1555.3,0.13958
1555.7,0.13956
1556.2,0.13957
1556.7,0.13963
1557.1,0.13966
1557.6,0.13963
1558.1,0.13961
1558.5,0.13965
1559,0.13967
1559.5,0.13967
1559.9,0.13971
1560.4,0.13971
1560.9,0.13974
1561.3,0.13972
1561.8,0.13975
1562.3,0.13974
1562.8,0.13976
1563.2,0.1398
1563.7,0.13982
1564.2,0.13981
1564.6,0.13983
1565.1,0.13992
1565.6,0.13996
1566.1,0.13991
1566.5,0.13991
1567,0.14002
1567.5,0.14005
1567.9,0.14
1568.4,0.14004
1568.9,0.14013
1569.4,0.1401
1569.8,0.14009
1570.3,0.14015
1570.8,0.14013
1571.3,0.14014
1571.8,0.14018
1572.2,0.14017
1572.7,0.14016
1573.2,0.14018
1573.7,0.14026
1574.1,0.14031
1574.6,0.14029
1575.1,0.14032
1575.6,0.14039
1576.1,0.14043
1576.5,0.14042
1577,0.14041
1577.5,0.14043
1578,0.14046
1578.4,0.14049
1578.9,0.1405
1579.4,0.14045
1579.9,0.14046
1580.4,0.14046
1580.9,0.14046
1581.3,0.14048
1581.8,0.14049
1582.3,0.14056
1582.8,0.14059
1583.3,0.14059
1583.8,0.14059
1584.2,0.14059
1584.7,0.14055
1585.2,0.14057
1585.7,0.1406
1586.2,0.14062
1586.7,0.14062
1587.2,0.14064
1587.6,0.14069
1588.1,0.14073
1588.6,0.14071
1589.1,0.14071
1589.6,0.14073
1590.1,0.14072
1590.6,0.14072
1591,0.14074
1591.5,0.14071
1592,0.14072
1592.5,0.14081
1593,0.14078
1593.5,0.14072
1594,0.14074
1594.5,0.14082
1595,0.14086
1595.4,0.14087
1595.9,0.14085
1596.4,0.14087
1596.9,0.14091
1597.4,0.14088
1597.9,0.14088
1598.4,0.14089
1598.9,0.14087
1599.4,0.14093
1599.9,0.14097
1600.4,0.141
1600.9,0.141
1601.4,0.14096
1601.9,0.14094
1602.3,0.14095
1602.8,0.14098
1603.3,0.14096
1603.8,0.14093
1604.3,0.14098
1604.8,0.14101
1605.3,0.14099
1605.8,0.14097
1606.3,0.14102
1606.8,0.14106
1607.3,0.14104
1607.8,0.14105
1608.3,0.14114
1608.8,0.1411
1609.3,0.14103
1609.8,0.14108
1610.3,0.14114
1610.8,0.14109
1611.3,0.14103
1611.8,0.14108
1612.3,0.14117
1612.8,0.14117
1613.3,0.14112
1613.8,0.1411
1614.3,0.1411
1614.8,0.1411
1615.3,0.14119
1615.8,0.14122
1616.3,0.14122
1616.8,0.14119
1617.3,0.14118
1617.8,0.14123
1618.4,0.14125
1618.9,0.14123
1619.4,0.14124
1619.9,0.14124
1620.4,0.14121
1620.9,0.14115
1621.4,0.14114
1621.9,0.14119
1622.4,0.14124
1622.9,0.14128
1623.4,0.14127
1623.9,0.14125
1624.4,0.14121
1624.9,0.1412
1625.5,0.14118
1626,0.14118
1626.5,0.14118
1627,0.14117
1627.5,0.14113
1628,0.14114
1628.5,0.14118
1629,0.14121
1629.6,0.14122
1630.1,0.14118
1630.6,0.14121
1631.1,0.14123
1631.6,0.1412
1632.1,0.14121
1632.6,0.14126
1633.1,0.14126
1633.7,0.1412
1634.2,0.14118
1634.7,0.14121
1635.2,0.14122
1635.7,0.14125
1636.2,0.14122
1636.8,0.14118
1637.3,0.1412
1637.8,0.1412
1638.3,0.1412
1638.8,0.14124
1639.3,0.14129
1639.8,0.14127
1640.4,0.14121
1640.9,0.14122
1641.4,0.14122
1641.9,0.1412
1642.4,0.14116
1643,0.14117
1643.5,0.1412
1644,0.14119
1644.5,0.14116
1645.1,0.14118
1645.6,0.1412
1646.1,0.14114
1646.6,0.14114
1647.2,0.14121
1647.7,0.14125
1648.2,0.14127
1648.7,0.14124
1649.2,0.14125
1649.8,0.14122
1650.3,0.1412
1650.8,0.14113
1651.3,0.14108
1651.9,0.14111
1652.4,0.14115
1652.9,0.1411
1653.4,0.1411
1654,0.14113
1654.5,0.14113
1655,0.14115
1655.6,0.14118
1656.1,0.14114
1656.6,0.14111
1657.2,0.14114
1657.7,0.14114
1658.2,0.14107
1658.7,0.14102
1659.3,0.14105
1659.8,0.1411
1660.3,0.14111
1660.9,0.14113
1661.4,0.14111
1661.9,0.14104
1662.5,0.14104
1663,0.14108
1663.5,0.14107
1664.1,0.14104
1664.6,0.14102
1665.1,0.14104
1665.7,0.14103
1666.2,0.14098
1666.7,0.14096
1667.3,0.14097
1667.8,0.14098
1668.3,0.14092
1668.9,0.1409
1669.4,0.14092
1670,0.14088
1670.5,0.14084
1671,0.14086
1671.6,0.1409
1672.1,0.14087
1672.7,0.14083
1673.2,0.14081
1673.7,0.14081
1674.3,0.1408
1674.8,0.14082
1675.4,0.14084
1675.9,0.14082
1676.4,0.14078
1677,0.14077
1677.5,0.14077
1678.1,0.14074
1678.6,0.14072
1679.2,0.14073
1679.7,0.14076
1680.2,0.14082
1680.8,0.14082
1681.3,0.14075
1681.9,0.1407
1682.4,0.14065
1683,0.14057
1683.5,0.14059
1684.1,0.14064
1684.6,0.14062
1685.2,0.14062
1685.7,0.14064
1686.3,0.14064
1686.8,0.14061
1687.3,0.14054
1687.9,0.14047
1688.4,0.14048
1689,0.14052
1689.6,0.14053
1690.1,0.1405
1690.7,0.14046
1691.2,0.14047
1691.8,0.14044
1692.3,0.14038
1692.9,0.14034
1693.4,0.14035
1694,0.14039
1694.5,0.14036
1695.1,0.14031
1695.6,0.14029
1696.2,0.14028
1696.7,0.1403
1697.3,0.14024
1697.8,0.14022
1698.4,0.14029
1699,0.1403
1699.5,0.14023
1700.1,0.1402
1700.6,0.14022
1701.2,0.14022
1701.8,0.14019
1702.3,0.14014
1702.9,0.14011
1703.4,0.14009
1704,0.14009
1704.6,0.14005
1705.1,0.14006
1705.7,0.14011
1706.2,0.14006
1706.8,0.14004
1707.4,0.14006
1707.9,0.14002
1708.5,0.13997
1709,0.13995
1709.6,0.13991
1710.2,0.13988
1710.7,0.13988
1711.3,0.13988
1711.9,0.13988
1712.4,0.13985
1713,0.13983
1713.6,0.13985
1714.1,0.13985
1714.7,0.13983
1715.3,0.13981
1715.8,0.13973
1716.4,0.13967
1717,0.13971
1717.5,0.13972
1718.1,0.13963
1718.7,0.13959
1719.2,0.13961
1719.8,0.1396
1720.4,0.13959
1721,0.13952
1721.5,0.13943
1722.1,0.1395
1722.7,0.13953
1723.2,0.13944
1723.8,0.13941
1724.4,0.13938
1725,0.13931
1725.5,0.13935
1726.1,0.13939
1726.7,0.13937
1727.3,0.13931
1727.8,0.13929
1728.4,0.13928
1729,0.13929
1729.6,0.13924
1730.1,0.13915
1730.7,0.13913
1731.3,0.13914
1731.9,0.13919
1732.5,0.13916
1733,0.13914
1733.6,0.13904
1734.2,0.13897
1734.8,0.13903
1735.4,0.13905
1735.9,0.139
1736.5,0.13896
1737.1,0.13897
1737.7,0.139
1738.3,0.13896
1738.8,0.13887
1739.4,0.13883
1740,0.1388
1740.6,0.13879
1741.2,0.13881
1741.8,0.1388
1742.3,0.1388
1742.9,0.13878
1743.5,0.1387
1744.1,0.13863
1744.7,0.1386
1745.3,0.13858
1745.9,0.13856
1746.5,0.13854
1747.1,0.13852
1747.6,0.1385
1748.2,0.13845
1748.8,0.1384
1749.4,0.13843
1750,0.1384
1750.6,0.13836
1751.2,0.13831
1751.8,0.13827
1752.4,0.13823
1753,0.13826
1753.6,0.13823
1754.1,0.13817
1754.7,0.13817
1755.3,0.13813
1755.9,0.1381
1756.5,0.13807
1757.1,0.13807
1757.7,0.13803
1758.3,0.13797
1758.9,0.13792
1759.5,0.13788
1760.1,0.13786
1760.7,0.13788
1761.3,0.13786
1761.9,0.13779
1762.5,0.13776
1763.1,0.13777
1763.7,0.13778
1764.3,0.13775
1764.9,0.13771
1765.5,0.1376
1766.1,0.13758
1766.7,0.13759
1767.3,0.13756
1767.9,0.13752
1768.5,0.13749
1769.1,0.13746
1769.7,0.13744
1770.3,0.13737
1770.9,0.13736
1771.5,0.13733
1772.1,0.13727
1772.7,0.13725
1773.3,0.1372
1773.9,0.13717
1774.6,0.13717
1775.2,0.13712
1775.8,0.13706
1776.4,0.13706
1777,0.13703
1777.6,0.137
1778.2,0.13701
1778.8,0.13699
1779.4,0.13697
1780,0.13696
1780.7,0.13694
1781.3,0.13689
1781.9,0.13685
1782.5,0.13682
1783.1,0.13679
1783.7,0.13679
1784.3,0.13677
1784.9,0.13677
1785.6,0.13671
1786.2,0.13664
1786.8,0.13655
1787.4,0.13649
1788,0.13647
1788.6,0.13647
1789.3,0.13648
1789.9,0.13643
1790.5,0.13639
1791.1,0.13638
1791.7,0.1363
1792.3,0.13627
1793,0.13626
1793.6,0.13625
1794.2,0.13622
1794.8,0.13618
1795.4,0.13613
1796.1,0.13611
1796.7,0.13613
1797.3,0.13612
1797.9,0.13608
1798.6,0.13601
1799.2,0.13594
1799.8,0.1359
1800.4,0.13589
1801.1,0.13585
1801.7,0.13583
1802.3,0.13581
1802.9,0.13576
1803.6,0.13566
1804.2,0.13568
1804.8,0.13569
1805.4,0.13563
1806.1,0.13556
1806.7,0.1355
1807.3,0.13551
1808,0.13551
1808.6,0.13544
1809.2,0.1354
1809.9,0.13539
1810.5,0.13537
1811.1,0.13536
1811.8,0.13531
1812.4,0.13524
1813,0.1352
1813.7,0.13516
1814.3,0.13515
1814.9,0.13513
1815.6,0.13511
1816.2,0.1351
1816.8,0.13505
1817.5,0.13499
1818.1,0.13496
1818.8,0.13492
1819.4,0.13485
1820,0.13478
1820.7,0.13476
1821.3,0.13475
1821.9,0.1347
1822.6,0.13466
1823.2,0.13462
1823.9,0.13458
1824.5,0.13455
1825.2,0.13453
1825.8,0.13448
1826.4,0.13438
1827.1,0.13436
1827.7,0.13435
1828.4,0.13431
1829,0.13426
1829.7,0.13422
1830.3,0.13414
1831,0.13409
1831.6,0.13414
1832.3,0.13416
1832.9,0.13416
1833.6,0.13413
1834.2,0.13408
1834.8,0.13404
1835.5,0.13394
1836.1,0.13386
1836.8,0.13383
1837.4,0.13377
1838.1,0.1338
1838.8,0.13384
1839.4,0.13368
1840.1,0.13357
1840.7,0.13354
1841.4,0.13348
1842,0.13347
1842.7,0.13353
1843.3,0.13349
1844,0.13344
1844.6,0.13341
1845.3,0.13334
1845.9,0.13329
