Wavelength (µm),Augite ws592 spliced
2.12727,0.428467
2.12814,0.427942
2.12902,0.427607
2.12989,0.427559
2.13077,0.427464
2.13164,0.426842
2.13252,0.425887
2.1334,0.425648
2.13428,0.425934
2.13515,0.425457
2.13603,0.424931
2.13691,0.424166
2.1378,0.423736
2.13868,0.423927
2.13956,0.424071
2.14044,0.423736
2.14133,0.423067
2.14221,0.422207
2.1431,0.421729
2.14399,0.421777
2.14487,0.421586
2.14576,0.421538
2.14665,0.421442
2.14754,0.421012
2.14843,0.421012
2.14932,0.420964
2.15021,0.420295
2.1511,0.419674
2.15199,0.41977
2.15289,0.419579
2.15378,0.41891
2.15468,0.418575
2.15557,0.418718
2.15647,0.418241
2.15737,0.417715
2.15827,0.417428
2.15916,0.417189
2.16006,0.416902
2.16096,0.416186
2.16186,0.415708
2.16277,0.416042
2.16367,0.416233
2.16457,0.416042
2.16548,0.415517
2.16638,0.415087
2.16729,0.41523
2.1682,0.414752
2.1691,0.414035
2.17001,0.413366
2.17092,0.413414
2.17183,0.413414
2.17274,0.412602
2.17365,0.412267
2.17456,0.412315
2.17547,0.412219
2.17639,0.411741
2.1773,0.411359
2.17822,0.411263
2.17913,0.411025
2.18005,0.410881
2.18097,0.410499
2.18188,0.409734
2.1828,0.409639
2.18372,0.409495
2.18464,0.409065
2.18556,0.408779
2.18648,0.408635
2.18741,0.408492
2.18833,0.40811
2.18925,0.407871
2.19018,0.407775
2.1911,0.407488
2.19203,0.407154
2.19296,0.406771
2.19389,0.406294
2.19482,0.405672
2.19575,0.405481
2.19668,0.405481
2.19761,0.405099
2.19854,0.405386
2.19947,0.405386
2.20041,0.404908
2.20134,0.404382
2.20228,0.403952
2.20321,0.403809
2.20415,0.403761
2.20508,0.403522
2.20602,0.403235
2.20696,0.403092
2.2079,0.402805
2.20884,0.402232
2.20978,0.401993
2.21073,0.401849
2.21167,0.401563
2.21261,0.401276
2.21356,0.40118
2.2145,0.400702
2.21545,0.400416
2.2164,0.400511
2.21735,0.400272
2.21829,0.399794
2.21924,0.399508
2.2202,0.399173
2.22115,0.398647
2.2221,0.398552
2.22305,0.398456
2.22401,0.397931
2.22496,0.397453
2.22591,0.396736
2.22687,0.396832
2.22783,0.396975
2.22878,0.396879
2.22974,0.396736
2.2307,0.396545
2.23166,0.395876
2.23263,0.395398
2.23359,0.394872
2.23455,0.394347
2.23551,0.393916
2.23648,0.393678
2.23744,0.393773
2.23841,0.393534
2.23937,0.3932
2.24034,0.392817
2.24131,0.392674
2.24228,0.392722
2.24325,0.392339
2.24422,0.39167
2.2452,0.391432
2.24617,0.391288
2.24714,0.390954
2.24812,0.390858
2.24909,0.390715
2.25007,0.39038
2.25104,0.39038
2.25202,0.390046
2.253,0.38995
2.25398,0.389854
2.25496,0.389233
2.25594,0.389042
2.25692,0.388803
2.25791,0.388469
2.25889,0.388325
2.25988,0.387991
2.26086,0.387608
2.26185,0.387465
2.26283,0.387083
2.26382,0.386987
2.26481,0.387178
2.2658,0.386748
2.26679,0.386175
2.26778,0.385745
2.26878,0.385506
2.26977,0.385267
2.27076,0.385171
2.27176,0.385123
2.27276,0.38455
2.27375,0.384072
2.27475,0.383929
2.27575,0.383547
2.27675,0.383642
2.27775,0.383738
2.27875,0.383308
2.27975,0.382973
2.28075,0.382447
2.28176,0.382113
2.28276,0.381683
2.28377,0.381444
2.28478,0.381061
2.28578,0.380966
2.28679,0.38087
2.2878,0.380679
2.28881,0.380536
2.28982,0.380392
2.29083,0.380058
2.29184,0.379867
2.29286,0.379389
2.29387,0.379007
2.29489,0.379007
2.29591,0.378672
2.29692,0.378529
2.29794,0.37872
2.29896,0.378624
2.29998,0.378672
2.301,0.378099
2.30202,0.377812
2.30305,0.377812
2.30407,0.377621
2.30509,0.377191
2.30612,0.376761
2.30714,0.376617
2.30817,0.376808
2.3092,0.376808
2.31023,0.376856
2.31126,0.376522
2.31229,0.376139
2.31332,0.3759
2.31435,0.375853
2.31539,0.375661
2.31642,0.375853
2.31746,0.375948
2.31849,0.375853
2.31953,0.375566
2.32057,0.375231
2.32161,0.37504
2.32265,0.375279
2.32369,0.375423
2.32473,0.375423
2.32578,0.375661
2.32682,0.375853
2.32786,0.375757
2.32891,0.375566
2.32996,0.375279
2.33101,0.375279
2.33205,0.375184
2.3331,0.375327
2.33415,0.375948
2.3352,0.376044
2.33626,0.375757
2.33731,0.375709
2.33836,0.375614
2.33942,0.37547
2.34048,0.375996
2.34153,0.376187
2.34259,0.375996
2.34365,0.37633
2.34471,0.376187
2.34577,0.376235
2.34683,0.376426
2.3479,0.376474
2.34896,0.376761
2.35002,0.376713
2.35109,0.376474
2.35216,0.376235
2.35323,0.37633
2.35429,0.376904
2.35536,0.376952
2.35643,0.376713
2.35751,0.376665
2.35858,0.376856
2.35965,0.377
2.36073,0.376665
2.3618,0.377
2.36288,0.377095
2.36395,0.377095
2.36503,0.377
2.36611,0.376808
2.36719,0.377143
2.36828,0.377095
2.36936,0.376761
2.37044,0.376808
2.37153,0.376856
2.37261,0.376856
2.3737,0.376713
2.37478,0.376713
2.37587,0.377047
2.37696,0.377
2.37805,0.377334
2.37914,0.377334
2.38024,0.377047
2.38133,0.377047
2.38242,0.376904
2.38352,0.376713
2.38461,0.376904
2.38571,0.376856
2.38681,0.376522
2.38791,0.376426
2.38901,0.377
2.39011,0.377286
2.39122,0.377286
2.39232,0.377573
2.39342,0.37743
2.39453,0.377047
2.39564,0.377191
2.39674,0.377573
2.39785,0.377669
2.39896,0.377812
2.40007,0.37829
2.40118,0.37829
2.4023,0.377908
2.40341,0.378146
2.40452,0.378768
2.40564,0.378768
2.40676,0.378815
2.40788,0.37872
2.40899,0.378624
2.41011,0.378911
2.41123,0.379198
2.41236,0.37915
2.41348,0.379246
2.4146,0.379676
2.41573,0.379962
2.41685,0.379915
2.41798,0.379819
2.41911,0.379867
2.42024,0.379819
2.42137,0.379723
2.4225,0.379962
2.42364,0.380297
2.42477,0.380727
2.4259,0.380918
2.42704,0.381014
2.42818,0.380918
2.42931,0.381061
2.43045,0.381396
2.43159,0.381396
2.43273,0.381109
2.43388,0.3813
2.43502,0.381348
2.43616,0.381587
2.43731,0.381969
2.43845,0.382352
2.4396,0.382352
2.44075,0.382591
2.4419,0.382639
2.44305,0.382782
2.4442,0.383164
2.44536,0.383403
2.44651,0.383594
2.44766,0.383547
2.44882,0.383308
2.44998,0.383642
