Wavelength (nm),split 92 <125 µm
2417.3,0.32011
2417.6,0.32012
2417.9,0.32038
2418.1,0.32043
2418.4,0.32055
2418.7,0.32058
2419.0,0.32062
2419.3,0.3207
2419.5,0.32093
2419.8,0.32104
2420.1,0.32091
2420.4,0.32119
2420.7,0.32161
2421.0,0.32123
2421.2,0.32147
2421.5,0.32176
2421.8,0.32183
2422.1,0.32182
2422.4,0.32193
2422.7,0.32205
2422.9,0.32208
2423.2,0.32238
2423.5,0.32242
2423.8,0.3222
2424.1,0.32225
2424.4,0.32231
2424.6,0.32255
2424.9,0.32265
2425.2,0.32231
2425.5,0.32258
2425.8,0.32287
2426.1,0.32284
2426.3,0.32265
2426.6,0.32297
2426.9,0.32327
2427.2,0.32363
2427.5,0.32356
2427.8,0.32337
2428.0,0.3234
2428.3,0.3233
2428.6,0.32328
2428.9,0.32361
2429.2,0.32387
2429.5,0.32402
2429.7,0.32415
2430.0,0.32451
2430.3,0.32455
2430.6,0.32445
2430.9,0.32449
2431.2,0.32449
2431.5,0.3245
2431.7,0.32439
2432.0,0.32454
2432.3,0.32484
2432.6,0.32465
2432.9,0.32467
2433.2,0.32526
2433.5,0.32562
2433.7,0.3255
2434.0,0.3258
2434.3,0.3258
2434.6,0.32558
2434.9,0.32556
2435.2,0.32588
2435.5,0.3262
2435.7,0.32624
2436.0,0.3259
2436.3,0.32579
2436.6,0.3259
2436.9,0.32619
2437.2,0.32618
2437.5,0.32621
2437.7,0.32652
2438.0,0.32657
2438.3,0.3268
2438.6,0.32673
2438.9,0.32651
2439.2,0.32675
2439.5,0.32726
2439.8,0.32757
2440.0,0.32731
2440.3,0.32756
2440.6,0.32742
2440.9,0.32726
2441.2,0.32751
2441.5,0.32783
2441.8,0.32787
2442.1,0.32748
2442.3,0.32761
2442.6,0.3279
2442.9,0.32786
2443.2,0.32776
2443.5,0.32784
2443.8,0.32788
2444.1,0.32806
2444.4,0.32827
2444.6,0.32852
2444.9,0.32853
2445.2,0.32855
2445.5,0.32886
2445.8,0.32894
2446.1,0.3289
2446.4,0.3289
2446.7,0.329
2446.9,0.32908
2447.2,0.329
2447.5,0.32921
2447.8,0.32949
2448.1,0.32952
2448.4,0.3295
2448.7,0.32962
2449.0,0.32984
2449.3,0.33009
2449.5,0.32994
2449.8,0.32988
2450.1,0.32992
2450.4,0.32981
2450.7,0.32996
2451.0,0.33031
2451.3,0.33046
2451.6,0.33073
2451.9,0.33061
2452.2,0.3303
2452.4,0.33047
2452.7,0.33091
2453.0,0.33117
2453.3,0.3309
2453.6,0.33119
2453.9,0.33137
2454.2,0.3312
2454.5,0.33124
2454.8,0.33133
2455.1,0.33113
2455.3,0.33122
2455.6,0.33137
2455.9,0.33137
2456.2,0.33161
2456.5,0.3316
2456.8,0.3317
2457.1,0.33191
2457.4,0.33209
2457.7,0.33201
2458.0,0.33203
2458.3,0.33219
2458.6,0.33237
2458.8,0.33272
2459.1,0.33272
2459.4,0.33253
2459.7,0.33253
2460.0,0.33247
2460.3,0.33243
2460.6,0.33266
2460.9,0.33299
2461.2,0.33301
2461.5,0.33303
2461.8,0.33283
2462.1,0.33304
2462.3,0.33335
2462.6,0.33338
2462.9,0.33352
2463.2,0.33364
2463.5,0.33384
2463.8,0.33387
2464.1,0.33378
2464.4,0.33372
2464.7,0.33365
2465.0,0.33387
2465.3,0.33422
2465.6,0.33408
2465.9,0.33411
2466.2,0.33442
2466.4,0.33451
2466.7,0.33435
2467.0,0.33455
2467.3,0.33479
2467.6,0.33491
2467.9,0.33492
2468.2,0.33482
2468.5,0.33472
2468.8,0.33501
2469.1,0.3353
2469.4,0.33507
2469.7,0.3351
2470.0,0.33536
2470.3,0.33574
2470.6,0.3358
2470.9,0.33555
2471.1,0.33535
2471.4,0.3355
2471.7,0.33552
2472.0,0.33589
2472.3,0.33595
2472.6,0.33596
2472.9,0.33607
2473.2,0.33632
2473.5,0.3362
2473.8,0.33602
2474.1,0.33651
2474.4,0.33673
2474.7,0.33667
2475.0,0.33661
2475.3,0.3367
2475.6,0.33669
2475.9,0.33699
2476.2,0.33716
2476.5,0.33716
2476.8,0.33714
2477.0,0.33738
2477.3,0.33747
2477.6,0.33769
2477.9,0.33763
2478.2,0.33742
2478.5,0.33754
2478.8,0.33747
2479.1,0.33744
2479.4,0.33765
2479.7,0.33795
2480.0,0.33825
2480.3,0.33829
2480.6,0.33831
2480.9,0.33819
2481.2,0.33833
2481.5,0.33846
2481.8,0.33824
2482.1,0.3385
2482.4,0.33872
2482.7,0.33902
2483.0,0.33869
2483.3,0.33859
2483.6,0.33866
2483.9,0.33892
2484.2,0.33905
2484.5,0.33904
2484.8,0.33912
2485.1,0.33959
2485.4,0.33971
2485.7,0.33944
2486.0,0.33937
2486.3,0.33937
2486.6,0.33939
2486.9,0.33982
2487.1,0.3397
2487.4,0.33948
2487.7,0.33986
2488.0,0.3404
2488.3,0.34034
2488.6,0.3402
2488.9,0.34023
2489.2,0.34045
2489.5,0.34034
2489.8,0.34031
2490.1,0.34055
2490.4,0.34067
2490.7,0.34059
2491.0,0.34084
2491.3,0.34102
2491.6,0.34085
2491.9,0.34088
2492.2,0.34103
2492.5,0.34128
2492.8,0.34111
2493.1,0.34092
2493.4,0.34101
2493.7,0.34118
2494.0,0.34142
2494.3,0.3419
2494.6,0.34184
2494.9,0.34153
2495.2,0.34169
2495.5,0.34198
2495.8,0.34208
2496.1,0.34235
2496.4,0.34265
2496.7,0.34251
2497.0,0.34208
2497.3,0.34239
2497.6,0.34257
2497.9,0.34209
2498.2,0.34228
2498.5,0.3426
2498.8,0.34264
2499.1,0.34277
2499.4,0.34276
2499.7,0.34294
2500.0,0.34312
2500.3,0.34327
2500.6,0.34326
2500.9,0.34322
2501.2,0.34299
2501.5,0.34289
2501.9,0.34314
2502.2,0.34353
2502.5,0.34334
2502.8,0.34333
2503.1,0.34343
2503.4,0.34361
2503.7,0.34401
2504.0,0.34423
2504.3,0.34428
2504.6,0.34399
2504.9,0.34402
2505.2,0.34423
2505.5,0.34403
2505.8,0.34407
2506.1,0.34407
2506.4,0.34402
2506.7,0.3444
2507.0,0.34483
2507.3,0.34488
2507.6,0.34479
2507.9,0.34468
2508.2,0.34451
2508.5,0.34457
2508.8,0.34472
2509.1,0.34469
2509.4,0.34482
2509.7,0.34492
2510.0,0.34523
2510.3,0.3455
2510.6,0.34558
2510.9,0.34539
2511.2,0.34525
2511.5,0.34528
2511.8,0.34559
2512.2,0.34559
2512.5,0.34571
2512.8,0.34574
2513.1,0.3456
2513.4,0.34568
2513.7,0.34607
2514.0,0.34632
2514.3,0.34632
2514.6,0.34632
2514.9,0.34649
2515.2,0.34644
2515.5,0.34633
2515.8,0.34649
2516.1,0.34658
2516.4,0.34676
2516.7,0.34671
2517.0,0.34649
2517.3,0.34668
2517.6,0.34698
2517.9,0.34696
2518.3,0.34675
2518.6,0.34666
2518.9,0.34694
2519.2,0.34729
2519.5,0.34738
2519.8,0.34753
2520.1,0.34769
2520.4,0.34739
2520.7,0.34721
2521.0,0.34743
2521.3,0.34744
2521.6,0.3475
2521.9,0.34777
2522.2,0.34783
2522.5,0.348
2522.8,0.34817
2523.2,0.34807
2523.5,0.34816
2523.8,0.34822
2524.1,0.34833
2524.4,0.34841
2524.7,0.34816
2525.0,0.3483
2525.3,0.34824
2525.6,0.34831
2525.9,0.34834
2526.2,0.34841
2526.5,0.34862
2526.8,0.34881
2527.2,0.34892
2527.5,0.34912
2527.8,0.34907
2528.1,0.34882
2528.4,0.3489
2528.7,0.34916
2529.0,0.34931
2529.3,0.34911
2529.6,0.34922
2529.9,0.34941
2530.2,0.34931
2530.5,0.34921
2530.9,0.34952
2531.2,0.34968
2531.5,0.34967
2531.8,0.34981
2532.1,0.35
2532.4,0.35006
2532.7,0.35018
2533.0,0.34999
2533.3,0.34987
2533.6,0.35027
2533.9,0.35026
2534.3,0.35008
2534.6,0.35024
2534.9,0.3506
2535.2,0.35075
2535.5,0.35057
2535.8,0.35064
2536.1,0.35088
2536.4,0.35077
2536.7,0.35086
2537.0,0.35085
2537.4,0.35061
2537.7,0.35088
2538.0,0.35086
2538.3,0.35073
2538.6,0.35093
2538.9,0.35123
2539.2,0.35111
2539.5,0.35107
2539.8,0.35115
2540.2,0.35129
2540.5,0.35134
2540.8,0.35141
2541.1,0.35158
2541.4,0.35159
2541.7,0.35183
2542.0,0.35193
2542.3,0.35196
2542.6,0.352
2543.0,0.35206
2543.3,0.35206
2543.6,0.35185
2543.9,0.35181
2544.2,0.35207
2544.5,0.35206
2544.8,0.35228
2545.1,0.35237
2545.5,0.35222
2545.8,0.35217
2546.1,0.35235
2546.4,0.35248
2546.7,0.35243
2547.0,0.35239
2547.3,0.35245
2547.6,0.35243
2548.0,0.35252
2548.3,0.35305
2548.6,0.35315
2548.9,0.35277
2549.2,0.35263
2549.5,0.35279
2549.8,0.35312
2550.1,0.35322
2550.5,0.35325
2550.8,0.35317
2551.1,0.35308
2551.4,0.35297
2551.7,0.35299
2552.0,0.35333
