Wavelength (µm)	Pigeonite hs199 spliced
2.466000	0.195567
2.496000	0.203130
2.528000	0.203127
2.560000	0.206631
2.592000	0.211189
2.597271	0.211162
2.598573	0.209920
2.599876	0.210315
2.601181	0.211049
2.602487	0.211896
2.603794	0.213194
2.605102	0.215000
2.606412	0.214323
2.607723	0.212855
2.609035	0.212573
2.610349	0.211839
2.611664	0.211275
2.612981	0.211670
2.614299	0.211444
2.615618	0.213476
2.616938	0.215282
2.618260	0.213589
2.619583	0.214605
2.620907	0.214774
2.622233	0.212008
2.623560	0.211388
2.624888	0.212347
2.626217	0.214661
2.627548	0.213645
2.628881	0.213984
2.630215	0.216524
2.631550	0.214549
2.632886	0.213137
2.634224	0.213363
2.635564	0.212291
2.636904	0.212008
2.638246	0.211896
2.639590	0.212121
2.640934	0.212291
2.642280	0.212573
2.643628	0.212686
2.644976	0.213589
2.646327	0.213420
2.647678	0.212573
2.649031	0.212121
2.650386	0.212573
2.651741	0.213533
2.653098	0.213250
2.654457	0.212855
2.655817	0.213137
2.657177	0.212065
2.658540	0.212855
2.659904	0.213363
2.661270	0.212912
2.662637	0.212799
2.664005	0.215282
2.665375	0.217709
2.666745	0.217145
2.668118	0.214492
2.669492	0.216468
2.670867	0.216693
2.672244	0.211670
2.673622	0.210372
2.675002	0.211613
2.676383	0.212912
2.677765	0.212291
2.679150	0.211218
2.680535	0.208340
2.681922	0.206816
2.683310	0.206703
2.684700	0.205799
2.686090	0.205122
2.687483	0.204163
2.688877	0.202808
2.690272	0.201453
2.691669	0.201115
2.693067	0.202356
2.694467	0.201961
2.695868	0.199365
2.697270	0.196542
2.698674	0.194510
2.700080	0.193833
2.701487	0.192535
2.702896	0.189825
2.704306	0.187342
2.705717	0.185141
2.707130	0.182883
2.708544	0.181189
2.709960	0.179327
2.711378	0.174980
2.712797	0.168489
2.714217	0.163353
2.715639	0.157539
2.717062	0.150144
2.718487	0.143597
2.719913	0.141508
2.721341	0.138912
2.722770	0.136710
2.724200	0.136259
2.725633	0.133324
2.727067	0.127792
2.728502	0.121470
2.729939	0.116277
2.731377	0.114527
2.732817	0.115431
2.734258	0.116616
2.735701	0.116052
2.737146	0.115035
2.738592	0.115374
2.740039	0.114584
2.741488	0.110633
2.742939	0.106230
2.744391	0.104762
2.745844	0.105440
2.747299	0.105948
2.748756	0.105553
2.750214	0.104932
2.751674	0.104480
2.753135	0.104367
2.754598	0.105214
2.756062	0.104650
2.757528	0.102222
2.758996	0.100981
2.760465	0.101319
2.761936	0.102561
2.763408	0.103069
2.764882	0.102674
2.766357	0.102730
2.767834	0.103013
2.769313	0.103069
2.770793	0.103408
2.772275	0.103408
2.773758	0.103238
2.775243	0.103351
2.776730	0.103577
2.778218	0.103690
2.779707	0.104085
2.781199	0.104480
2.782691	0.104480
2.784185	0.104593
2.785681	0.105214
2.787179	0.105948
2.788678	0.105778
2.790179	0.105214
2.791682	0.104988
2.793186	0.105327
2.794692	0.105496
2.796200	0.105496
2.797709	0.105496
2.799219	0.105553
2.800731	0.105778
2.802245	0.106286
2.803761	0.106343
2.805278	0.105948
2.806797	0.105778
2.808318	0.105778
2.809840	0.105722
2.811363	0.105609
2.812889	0.105722
2.814416	0.106061
2.815945	0.105891
2.817475	0.105722
2.819007	0.105835
2.820540	0.105835
2.822076	0.105609
2.823613	0.105609
2.825152	0.105722
2.826692	0.105778
2.828234	0.105948
2.829778	0.105778
2.831324	0.105778
2.832871	0.106004
2.834420	0.106004
2.835971	0.106004
2.837523	0.106061
2.839077	0.106117
2.840632	0.106117
2.842190	0.106061
2.843749	0.105948
2.845310	0.106061
2.846872	0.105948
2.848437	0.105891
2.850003	0.105891
2.851570	0.105778
2.853140	0.105722
2.854711	0.105778
2.856283	0.105778
2.857857	0.105778
2.859434	0.105609
2.861012	0.105383
2.862592	0.105270
2.864173	0.105158
2.865757	0.105101
2.867342	0.105101
2.868929	0.105158
2.870517	0.105214
2.872108	0.105270
2.873699	0.105270
2.875293	0.105270
2.876889	0.105383
2.878486	0.105496
2.880085	0.105496
2.881686	0.105553
2.883289	0.105722
2.884893	0.105609
2.886499	0.105440
2.888107	0.105553
2.889717	0.105553
2.891329	0.105609
2.892942	0.105609
2.894558	0.105496
2.896175	0.105609
2.897794	0.105722
2.899415	0.105722
2.901037	0.105778
2.902662	0.105778
2.904288	0.105778
2.905916	0.105891
2.907546	0.105835
2.909178	0.105553
2.910811	0.105496
2.912446	0.105609
2.914083	0.105778
2.915722	0.105948
2.917363	0.105891
2.919006	0.105948
2.920650	0.105948
2.922296	0.106004
2.923944	0.106117
2.925594	0.106230
2.927246	0.106286
2.928900	0.106343
2.930556	0.106343
2.932213	0.106286
2.933873	0.106399
2.935534	0.106738
2.937198	0.106738
2.938863	0.106851
2.940530	0.107246
2.942199	0.107359
2.943869	0.107472
2.945542	0.107585
2.947217	0.107867
2.948893	0.108149
2.950572	0.108093
2.952252	0.108319
2.953934	0.108714
2.955618	0.108939
2.957304	0.108939
2.958992	0.109109
2.960681	0.109391
2.962373	0.109560
2.964067	0.109843
2.965763	0.110351
2.967460	0.110746
2.969160	0.110971
2.970861	0.111141
2.972565	0.111423
2.974271	0.111705
2.975978	0.111931
2.977687	0.112383
2.979398	0.112778
2.981112	0.113003
2.982827	0.113060
2.984544	0.113342
2.986264	0.113850
2.987985	0.114189
2.989709	0.114471
2.991434	0.114979
2.993161	0.115318
2.994890	0.115600
2.996621	0.116052
2.998354	0.116447
3.000089	0.116729
3.001826	0.117237
3.003565	0.117632
3.005306	0.117971
3.007050	0.118422
3.008795	0.118930
3.010542	0.119212
3.012291	0.119551
3.014043	0.120172
3.015796	0.120624
3.017552	0.120962
3.019309	0.121244
3.021069	0.121583
3.022830	0.122148
3.024594	0.122486
3.026360	0.122881
3.028127	0.123333
3.029897	0.123502
3.031669	0.123954
3.033443	0.124518
3.035219	0.124913
3.036998	0.125083
3.038778	0.125309
3.040560	0.125817
3.042344	0.126099
3.044130	0.126381
3.045919	0.126776
3.047709	0.127058
3.049502	0.127171
3.051297	0.127510
3.053094	0.127905
3.054893	0.128244
3.056694	0.128469
3.058498	0.128808
