Wavelength (nm),"ALH-271, spot f"
2465.0,0.13605
2470.0,0.13642
2475.0,0.13771
2480.0,0.13792
2485.0,0.13844
2490.0,0.13899
2495.0,0.13944
2500.0,0.14018
2502.0,0.14078
2503.2,0.1404
2504.4,0.14041
2505.6,0.14015
2506.8,0.13969
2508.0,0.14009
2509.3,0.14149
2510.5,0.14207
2511.7,0.14162
2512.9,0.14081
2514.1,0.14188
2515.3,0.14209
2516.6,0.14208
2517.8,0.14234
2519.0,0.14246
2520.2,0.14153
2521.5,0.14128
2522.7,0.14202
2523.9,0.14233
2525.2,0.1415
2526.4,0.14089
2527.6,0.14096
2528.8,0.14173
2530.1,0.1423
2531.3,0.14273
2532.6,0.14348
2533.8,0.14315
2535.0,0.14246
2536.3,0.14198
2537.5,0.14279
2538.8,0.14352
2540.0,0.14195
2541.2,0.1416
2542.5,0.14247
2543.7,0.14269
2545.0,0.14285
2546.2,0.14345
2547.5,0.14336
2548.7,0.14331
2550.0,0.14314
2551.2,0.14226
2552.5,0.14153
2553.8,0.14162
2555.0,0.14234
2556.3,0.14252
2557.5,0.14258
2558.8,0.14313
2560.1,0.14287
2561.3,0.14193
2562.6,0.14355
2563.9,0.14485
2565.1,0.14434
2566.4,0.14447
2567.7,0.14408
2568.9,0.14313
2570.2,0.14276
2571.5,0.14398
2572.8,0.14525
2574.0,0.14393
2575.3,0.14391
2576.6,0.14414
2577.9,0.14325
2579.2,0.14392
2580.5,0.14453
2581.7,0.14307
2583.0,0.14258
2584.3,0.14284
2585.6,0.14407
2586.9,0.14545
2588.2,0.14474
2589.5,0.14419
2590.8,0.1439
2592.1,0.14389
2593.4,0.14431
2594.7,0.14378
2596.0,0.1445
2597.3,0.14874
2598.6,0.14885
2599.9,0.14612
2601.2,0.14445
2602.5,0.14415
2603.8,0.14401
2605.1,0.14393
2606.4,0.14429
2607.7,0.14586
2609.0,0.1455
2610.3,0.14472
2611.7,0.14522
2613.0,0.14596
2614.3,0.14562
2615.6,0.14518
2616.9,0.14446
2618.2,0.14456
2619.6,0.14582
2620.9,0.14461
2622.2,0.14481
2623.5,0.14685
2624.9,0.14585
2626.2,0.14518
2627.5,0.14455
2628.9,0.14536
2630.2,0.14672
2631.5,0.14631
2632.9,0.14755
2634.2,0.14704
2635.6,0.14476
2636.9,0.144
2638.2,0.14303
2639.6,0.14372
2640.9,0.14432
2642.3,0.14353
2643.6,0.14325
2645.0,0.143
2646.3,0.14327
2647.7,0.14407
2649.0,0.14327
2650.4,0.1425
2651.7,0.14211
2653.1,0.14202
2654.4,0.14396
2655.8,0.14551
2657.2,0.14403
2658.5,0.14296
2659.9,0.14244
2661.3,0.143
2662.6,0.14381
2664.0,0.1436
2665.4,0.14234
2666.7,0.14348
2668.1,0.1459
2669.5,0.14529
2670.9,0.14267
2672.2,0.14327
2673.6,0.14491
2675.0,0.14187
2676.4,0.13938
2677.8,0.14011
2679.1,0.14155
2680.5,0.14073
2681.9,0.14063
2683.3,0.13978
2684.7,0.13816
2686.1,0.13782
2687.5,0.13713
2688.9,0.13717
2690.3,0.13739
2691.7,0.13654
2693.1,0.13559
2694.5,0.13553
2695.9,0.13622
2697.3,0.1369
2698.7,0.1364
2700.1,0.13452
2701.5,0.13228
2702.9,0.13195
2704.3,0.13277
2705.7,0.13275
2707.1,0.13139
2708.5,0.12969
2710.0,0.12887
2711.4,0.12898
2712.8,0.12885
2714.2,0.12885
2715.6,0.12778
2717.1,0.12555
2718.5,0.12358
2719.9,0.12273
2721.3,0.12211
2722.8,0.1223
2724.2,0.12186
2725.6,0.12073
2727.1,0.12157
2728.5,0.12069
2729.9,0.11957
2731.4,0.11865
2732.8,0.11831
2734.2,0.11753
2735.7,0.11622
2737.1,0.11698
2738.6,0.11783
2740.0,0.11717
2741.5,0.11817
2742.9,0.11899
2744.4,0.11769
2745.8,0.11603
2747.3,0.11472
2748.7,0.11377
2750.2,0.11343
2751.7,0.11314
2753.1,0.11186
2754.6,0.11097
2756.1,0.11124
2757.5,0.11346
2759.0,0.11325
2760.5,0.11058
2761.9,0.10941
2763.4,0.10945
2764.9,0.10992
2766.3,0.11041
2767.8,0.1094
2769.3,0.1087
2770.8,0.10861
2772.3,0.10915
2773.7,0.10931
2775.2,0.10859
2776.7,0.10825
2778.2,0.10723
2779.7,0.1063
2781.2,0.10575
2782.7,0.10562
2784.2,0.10605
2785.7,0.10675
2787.2,0.10671
2788.7,0.10576
2790.2,0.10587
2791.7,0.10611
2793.2,0.10569
2794.7,0.10438
2796.2,0.10323
2797.7,0.10349
2799.2,0.10432
2800.7,0.10364
2802.2,0.10341
2803.8,0.10365
2805.3,0.10402
2806.8,0.10402
2808.3,0.10323
2809.8,0.1025
2811.4,0.10261
2812.9,0.10266
2814.4,0.10269
2815.9,0.10236
2817.5,0.10157
2819.0,0.10166
2820.5,0.10144
2822.1,0.10138
2823.6,0.10163
2825.1,0.10125
2826.7,0.10125
2828.2,0.10198
2829.8,0.1016
2831.3,0.10112
2832.9,0.10087
2834.4,0.09975
2836.0,0.099231
2837.5,0.099901
2839.1,0.10064
2840.6,0.10034
2842.2,0.099776
2843.7,0.10029
2845.3,0.10047
2846.9,0.10038
2848.4,0.10052
2850.0,0.10043
2851.6,0.10008
2853.1,0.099931
2854.7,0.099625
2856.3,0.099201
2857.8,0.099995
2859.4,0.099955
2861.0,0.099499
2862.6,0.099906
2864.2,0.10001
2865.7,0.10026
2867.3,0.10056
2868.9,0.10001
2870.5,0.09922
2872.1,0.098475
2873.7,0.098207
2875.3,0.098784
2876.9,0.099167
2878.5,0.099161
2880.1,0.099233
2881.7,0.099092
2883.3,0.098622
2884.9,0.098771
2886.5,0.09916
2888.1,0.098899
2889.7,0.099046
2891.3,0.099171
2892.9,0.099131
2894.5,0.098562
2896.2,0.098803
2897.8,0.099114
2899.4,0.098075
2901.0,0.097628
2902.7,0.098524
2904.3,0.099026
2905.9,0.099295
2907.5,0.099188
2909.2,0.09836
2910.8,0.097724
2912.4,0.097734
2914.1,0.098305
2915.7,0.098599
2917.4,0.098647
2919.0,0.098733
2920.6,0.098079
2922.3,0.097758
2923.9,0.097832
2925.6,0.097809
2927.2,0.098275
2928.9,0.098594
2930.5,0.097992
2932.2,0.097945
2933.9,0.098156
2935.5,0.097868
2937.2,0.097773
2938.9,0.097004
2940.5,0.096687
2942.2,0.097391
2943.9,0.098098
2945.5,0.09779
2947.2,0.097202
2948.9,0.097441
2950.6,0.097334
2952.2,0.096998
2953.9,0.096987
2955.6,0.09723
2957.3,0.096859
2959.0,0.096674
2960.7,0.09713
2962.4,0.097074
2964.1,0.096676
2965.8,0.096851
2967.4,0.096759
2969.1,0.096057
2970.9,0.095778
2972.6,0.09621
2974.3,0.096574
2976.0,0.096723
2977.7,0.096591
2979.4,0.09637
2981.1,0.096557
2982.8,0.0965
2984.5,0.09597
2986.3,0.095648
2988.0,0.095427
2989.7,0.095769
2991.4,0.096119
2993.1,0.096035
2994.9,0.09587
2996.6,0.095703
2998.3,0.096065
3000.1,0.09611
3001.8,0.09625
3003.6,0.096668
3005.3,0.096738
3007.0,0.096036
3008.8,0.096078
3010.5,0.096308
3012.3,0.096008
3014.0,0.095969
3015.8,0.096146
3017.5,0.096423
3019.3,0.096483
3021.1,0.096383
3022.8,0.096025
3024.6,0.095718
3026.3,0.095606
3028.1,0.095448
3029.9,0.095986
3031.7,0.096312
3033.4,0.095767
3035.2,0.095927
3037.0,0.095597
3038.8,0.095286
3040.5,0.095029
3042.3,0.09521
3044.1,0.095299
3045.9,0.095363
3047.7,0.095388
3049.5,0.095101
3051.3,0.095423
3053.1,0.095601
3054.9,0.094784
3056.7,0.094639
3058.5,0.094952
3060.3,0.095391
3062.1,0.095572
3063.9,0.094875
3065.7,0.094526
3067.5,0.094799
3069.4,0.094828
3071.2,0.095361
3073.0,0.095539
3074.8,0.09505
3076.6,0.094641
3078.5,0.094573
3080.3,0.09436
3082.1,0.094035
3084.0,0.094267
3085.8,0.094903
3087.6,0.095393
3089.5,0.094805
3091.3,0.094373
3093.2,0.094313
3095.0,0.094324
3096.9,0.094454
3098.7,0.094613
3100.6,0.094903
3102.4,0.094771
3104.3,0.09436
3106.1,0.09396
3108.0,0.094235
3109.9,0.094707
3111.7,0.094539
3113.6,0.094096
3115.5,0.094286
3117.3,0.094409
3119.2,0.094015
3121.1,0.093658
3123.0,0.094232
3124.9,0.094454
3126.7,0.094232
3128.6,0.094284
3130.5,0.094343
3132.4,0.094113
3134.3,0.094475
3136.2,0.094505
3138.1,0.094183
3140.0,0.09422
3141.9,0.094079
3143.8,0.094086
3145.7,0.094211
3147.6,0.094066
3149.5,0.093817
3151.4,0.094115
3153.4,0.094828
3155.3,0.094705
3157.2,0.094415
3159.1,0.094522
3161.1,0.094475
3163.0,0.094071
3164.9,0.0939
3166.9,0.094407
3168.8,0.094882
3170.7,0.09455
3172.7,0.09436
3174.6,0.094179
3176.6,0.094439
3178.5,0.094548
3180.5,0.094696
3182.4,0.094684
3184.4,0.09432
3186.3,0.093894
3188.3,0.094132
3190.2,0.09485
3192.2,0.095195
3194.2,0.094573
3196.1,0.094375
3198.1,0.094669
3200.1,0.094892
3202.1,0.094726
3204.0,0.094662
3206.0,0.094918
3208.0,0.095227
3210.0,0.095252
3212.0,0.095127
3214.0,0.095107
3216.0,0.095246
3218.0,0.095316
3220.0,0.095122
3222.0,0.095124
3224.0,0.095248
3226.0,0.095169
3228.0,0.09498
3230.0,0.094835
3232.0,0.095103
3234.0,0.095067
3236.0,0.094977
3238.1,0.095433
3240.1,0.095518
3242.1,0.095027
3244.1,0.095286
3246.2,0.095631
3248.2,0.095561
3250.2,0.095356
3252.3,0.095269
3254.3,0.095452
3256.4,0.095324
3258.4,0.095061
3260.5,0.095061
3262.5,0.095082
3264.6,0.095344
3266.6,0.095122
3268.7,0.094939
3270.7,0.094554
3272.8,0.094492
3274.9,0.094788
3277.0,0.094984
3279.0,0.095043
3281.1,0.09502
