Wavelength (µm)	Augite ws592 spliced
1.862794	0.518536
1.863463	0.517907
1.864133	0.517568
1.864804	0.517665
1.865475	0.517858
1.866146	0.517568
1.866818	0.516310
1.867491	0.514520
1.868164	0.514907
1.868837	0.515584
1.869511	0.515100
1.870185	0.513552
1.870860	0.512342
1.871536	0.513939
1.872212	0.513552
1.872888	0.511616
1.873565	0.512294
1.874242	0.513310
1.874920	0.512971
1.875599	0.512923
1.876277	0.512245
1.876957	0.511471
1.877637	0.512100
1.878317	0.512390
1.878998	0.512052
1.879679	0.511616
1.880361	0.511181
1.881043	0.510890
1.881726	0.510890
1.882409	0.510503
1.883093	0.509681
1.883777	0.508519
1.884462	0.508568
1.885147	0.508616
1.885833	0.508132
1.886519	0.507648
1.887206	0.507551
1.887893	0.507164
1.888581	0.506632
1.889269	0.505616
1.889958	0.504406
1.890647	0.504503
1.891337	0.504309
1.892027	0.503777
1.892718	0.503535
1.893409	0.502858
1.894101	0.502713
1.894793	0.502519
1.895486	0.501938
1.896179	0.501164
1.896873	0.500438
1.897568	0.499616
1.898262	0.498987
1.898958	0.497487
1.899654	0.496567
1.900350	0.497003
1.901047	0.497632
1.901744	0.497390
1.902442	0.495890
1.903140	0.495696
1.903839	0.496229
1.904539	0.495067
1.905239	0.493857
1.905939	0.494051
1.906640	0.494003
1.907342	0.494583
1.908044	0.494922
1.908746	0.494874
1.909449	0.494486
1.910153	0.493954
1.910857	0.493470
1.911561	0.493277
1.912266	0.493422
1.912972	0.492406
1.913678	0.491970
1.914385	0.492793
1.915092	0.493325
1.915800	0.493083
1.916508	0.492841
1.917217	0.492986
1.917926	0.493083
1.918636	0.492793
1.919346	0.491777
1.920057	0.490664
1.920768	0.490761
1.921480	0.491922
1.922193	0.492115
1.922906	0.492067
1.923620	0.491438
1.924333	0.491535
1.925048	0.491922
1.925763	0.491874
1.926479	0.491390
1.927195	0.491244
1.927912	0.490954
1.928629	0.490567
1.929346	0.490857
1.930065	0.490809
1.930784	0.490712
1.931503	0.490470
1.932223	0.490228
1.932943	0.490083
1.933664	0.489890
1.934386	0.490035
1.935108	0.489986
1.935830	0.489357
1.936554	0.489115
1.937277	0.489164
1.938002	0.488922
1.938726	0.488535
1.939452	0.488535
1.940177	0.488728
1.940904	0.488535
1.941631	0.488293
1.942358	0.488196
1.943086	0.488002
1.943815	0.487906
1.944544	0.487857
1.945274	0.487809
1.946004	0.487760
1.946735	0.487422
1.947466	0.486889
1.948198	0.486793
1.948930	0.486889
1.949663	0.486357
1.950397	0.486067
1.951131	0.486164
1.951865	0.486018
1.952601	0.485535
1.953336	0.485293
1.954073	0.485147
1.954809	0.484857
1.955547	0.484615
1.956285	0.484325
1.957023	0.484131
1.957762	0.483889
1.958502	0.483647
1.959242	0.483599
1.959983	0.483405
1.960724	0.483164
1.961466	0.482825
1.962208	0.482389
1.962951	0.482196
1.963695	0.482099
1.964439	0.481954
1.965183	0.481615
1.965929	0.481373
1.966674	0.481083
1.967421	0.480696
1.968168	0.480309
1.968915	0.480018
1.969663	0.479825
1.970412	0.479728
1.971161	0.479438
1.971911	0.479099
1.972661	0.478954
1.973413	0.478809
1.974164	0.478518
1.974916	0.478228
1.975669	0.477938
1.976422	0.477502
1.977176	0.477163
1.977930	0.476921
1.978685	0.476728
1.979440	0.476776
1.980196	0.476825
1.980953	0.476486
1.981710	0.476196
1.982468	0.476002
1.983226	0.475518
1.983986	0.475373
1.984745	0.475179
1.985505	0.474841
1.986266	0.474260
1.987027	0.474115
1.987789	0.474018
