Wavelength (nm),Sanidine gds19.19863
2785.681,0.687141
2787.179,0.688427
2788.678,0.685352
2790.179,0.681775
2791.682,0.680209
2793.186,0.679147
2794.692,0.677917
2796.2,0.676911
2797.709,0.675793
2799.219,0.674508
2800.731,0.674955
2802.245,0.677023
2803.761,0.676408
2805.278,0.672886
2806.797,0.670427
2808.318,0.669197
2809.84,0.667967
2811.363,0.666849
2812.889,0.666066
2814.416,0.665731
2815.945,0.664725
2817.475,0.663942
2819.007,0.664333
2820.54,0.663607
2822.076,0.661762
2823.613,0.660029
2825.152,0.659246
2826.692,0.658743
2828.234,0.657793
2829.778,0.656731
2831.324,0.656172
2832.871,0.655836
2834.42,0.655333
2835.971,0.654662
2837.523,0.653768
2839.077,0.652482
2840.632,0.651364
2842.19,0.650358
2843.749,0.649464
2845.31,0.648457
2846.872,0.647843
2848.437,0.647507
2850.003,0.646669
2851.57,0.645662
2853.14,0.645327
2854.711,0.644544
2856.283,0.643147
2857.857,0.641973
2859.434,0.641358
2861.012,0.640408
2862.592,0.639569
2864.173,0.63901
2865.757,0.638451
2867.342,0.637892
2868.929,0.637054
2870.517,0.636439
2872.108,0.635824
2873.699,0.634985
2875.293,0.634203
2876.889,0.633867
2878.486,0.633308
2880.085,0.632637
2881.686,0.632022
2883.289,0.631575
2884.893,0.631016
2886.499,0.630345
2888.107,0.63001
2889.717,0.629507
2891.329,0.62906
2892.942,0.628724
2894.558,0.628165
2896.175,0.627662
2897.794,0.627327
2899.415,0.627103
2901.037,0.627103
2902.662,0.626768
2904.288,0.626209
2905.916,0.625538
2907.546,0.625091
2909.178,0.625035
2910.811,0.624979
2912.446,0.624532
2914.083,0.624308
2915.722,0.624029
2917.363,0.623861
2919.006,0.623581
2920.65,0.623525
2922.296,0.623693
2923.944,0.623358
2925.594,0.622855
2927.246,0.622463
2928.9,0.62224
2930.556,0.622184
2932.213,0.622128
2933.873,0.621848
2935.534,0.621681
2937.198,0.621569
2938.863,0.621513
2940.53,0.621345
2942.199,0.621513
2943.869,0.621233
2945.542,0.62101
2947.217,0.620954
2948.893,0.620842
2950.572,0.620842
2952.252,0.620898
2953.934,0.620954
2955.618,0.620786
2957.304,0.62073
2958.992,0.620618
2960.681,0.620674
2962.373,0.620618
2964.067,0.620451
2965.763,0.620283
2967.46,0.620283
2969.16,0.620507
2970.861,0.620618
2972.565,0.620563
2974.271,0.620563
2975.978,0.620563
2977.687,0.620786
2979.398,0.620954
2981.112,0.620786
2982.827,0.620954
2984.544,0.621122
