Wavelength (nm),<125 µm (357)
2426.4,0.59831
2431.0,0.59844
2435.6,0.59841
2440.1,0.59836
2444.7,0.59835
2449.4,0.59837
2454.0,0.59846
2458.7,0.59835
2463.3,0.59837
2468.0,0.59862
2472.7,0.59873
2477.5,0.59885
2482.2,0.59877
2487.0,0.59877
2491.8,0.59893
2496.6,0.59911
2501.4,0.59919
2506.2,0.5992
2511.1,0.59941
2516.0,0.5996
2520.9,0.59961
2525.8,0.59958
2530.7,0.59973
2535.7,0.59987
2540.6,0.59984
2545.6,0.59986
2550.6,0.60003
2555.7,0.60009
2560.7,0.60001
2565.8,0.59983
2570.9,0.60001
2576.0,0.6001
2581.1,0.59994
2586.3,0.59982
2591.4,0.59974
2596.6,0.59943
2601.8,0.59939
2607.1,0.59954
2612.3,0.59955
2617.6,0.59949
2622.9,0.59949
2628.2,0.59954
2633.6,0.59925
2638.9,0.59934
2644.3,0.59937
2649.7,0.5988
2655.2,0.59808
2660.6,0.59738
2666.1,0.59625
2671.6,0.59473
2677.1,0.59307
2682.6,0.59092
2688.2,0.58768
2693.8,0.58233
2699.4,0.57481
2705.0,0.5658
2710.7,0.55747
2716.4,0.55114
2722.1,0.54504
2727.8,0.5381
2733.6,0.53149
2739.4,0.52402
2745.2,0.51627
2751.0,0.51027
2756.8,0.50421
2762.7,0.49779
2768.6,0.49234
2774.6,0.48772
2780.5,0.48315
2786.5,0.47963
2792.5,0.47691
2798.5,0.47419
2804.6,0.47153
2810.7,0.47001
2816.8,0.4691
2822.9,0.46782
2829.1,0.46595
2835.3,0.46402
2841.5,0.46224
2847.7,0.46102
2854.0,0.46048
2860.3,0.46
2866.6,0.4594
2873.0,0.45875
2879.4,0.45786
2885.8,0.45709
2892.2,0.45653
2898.7,0.45547
2905.2,0.45444
2911.7,0.45397
2918.3,0.45325
2924.9,0.45265
2931.5,0.45243
2938.1,0.45224
2944.8,0.45226
2951.5,0.45248
2958.3,0.45224
2965.0,0.45214
2971.8,0.45255
2978.7,0.45289
2985.5,0.4532
2992.4,0.45402
2999.3,0.45483
3006.3,0.45529
3013.3,0.45581
3020.3,0.45657
3027.4,0.45724
3034.5,0.45809
3041.6,0.45907
3048.7,0.4598
3055.9,0.46059
3063.2,0.46158
3070.4,0.46232
3077.7,0.46269
3085.0,0.46334
3092.4,0.46413
3099.8,0.46449
3107.2,0.46508
3114.7,0.46616
3122.2,0.46769
3129.8,0.46915
3137.3,0.4711
3144.9,0.47305
3152.6,0.47483
3160.3,0.47662
3168.0,0.47835
3175.8,0.47995
3183.6,0.482
3191.4,0.4838
3199.3,0.48531
3207.2,0.48708
3202.1,0.48737
3204.0,0.48782
3206.0,0.48817
3208.0,0.48863
3210.0,0.48889
3212.0,0.48923
3214.0,0.48979
3216.0,0.4905
3218.0,0.49114
3220.0,0.49174
3222.0,0.49216
3224.0,0.49243
3226.0,0.49274
3228.0,0.4933
3230.0,0.49385
3232.0,0.49422
3234.0,0.49458
