Wavenumber (cm-1)	Wavelength (µm)	Wavelength (nm)	SynOl_Fo30
5257.1	1.9022	1902.2	0.62895
5255.1	1.9029	1902.9	0.62923
5253.2	1.9036	1903.6	0.62932
5251.3	1.9043	1904.3	0.62932
5249.3	1.9050	1905.0	0.62944
5247.4	1.9057	1905.7	0.62944
5245.5	1.9064	1906.4	0.62925
5243.6	1.9071	1907.1	0.62932
5241.6	1.9078	1907.8	0.62962
5239.7	1.9085	1908.5	0.62984
5237.8	1.9092	1909.2	0.62991
5235.9	1.9099	1909.9	0.62992
5234.0	1.9106	1910.6	0.62995
5232.0	1.9113	1911.3	0.63011
5230.1	1.9120	1912.0	0.63023
5228.2	1.9127	1912.7	0.63026
5226.3	1.9134	1913.4	0.63031
5224.4	1.9141	1914.1	0.63044
5222.5	1.9148	1914.8	0.63049
5220.6	1.9155	1915.5	0.63055
5218.7	1.9162	1916.2	0.63048
5216.8	1.9169	1916.9	0.63067
5214.9	1.9176	1917.6	0.63099
5212.9	1.9183	1918.3	0.63098
5210.8	1.9191	1919.1	0.63096
5208.9	1.9198	1919.8	0.63105
5207.0	1.9205	1920.5	0.63106
5205.1	1.9212	1921.2	0.63118
5203.2	1.9219	1921.9	0.63120
5201.3	1.9226	1922.6	0.63131
5199.4	1.9233	1923.3	0.63141
5197.2	1.9241	1924.1	0.63153
5195.3	1.9248	1924.8	0.63173
5193.5	1.9255	1925.5	0.63175
5191.6	1.9262	1926.2	0.63174
5189.7	1.9269	1926.9	0.63180
5187.8	1.9276	1927.6	0.63180
5185.9	1.9283	1928.3	0.63196
5183.8	1.9291	1929.1	0.63214
5181.9	1.9298	1929.8	0.63220
5180.0	1.9305	1930.5	0.63220
5178.1	1.9312	1931.2	0.63229
5176.3	1.9319	1931.9	0.63250
5174.1	1.9327	1932.7	0.63262
5172.2	1.9334	1933.4	0.63254
5170.4	1.9341	1934.1	0.63263
5168.5	1.9348	1934.8	0.63284
5166.6	1.9355	1935.5	0.63287
5164.5	1.9363	1936.3	0.63288
5162.6	1.9370	1937.0	0.63298
5160.8	1.9377	1937.7	0.63303
5158.9	1.9384	1938.4	0.63315
5156.8	1.9392	1939.2	0.63317
5154.9	1.9399	1939.9	0.63320
5153.0	1.9406	1940.6	0.63325
5151.2	1.9413	1941.3	0.63336
5149.1	1.9421	1942.1	0.63333
5147.2	1.9428	1942.8	0.63352
5145.4	1.9435	1943.5	0.63361
5143.2	1.9443	1944.3	0.63362
5141.4	1.9450	1945.0	0.63376
5139.5	1.9457	1945.7	0.63377
5137.7	1.9464	1946.4	0.63386
5135.6	1.9472	1947.2	0.63414
5133.7	1.9479	1947.9	0.63409
5131.9	1.9486	1948.6	0.63411
5129.8	1.9494	1949.4	0.63404
5127.9	1.9501	1950.1	0.63414
5126.1	1.9508	1950.8	0.63436
5124.0	1.9516	1951.6	0.63451
5122.2	1.9523	1952.3	0.63463
5120.3	1.9530	1953.0	0.63470
5118.2	1.9538	1953.8	0.63459
5116.4	1.9545	1954.5	0.63463
5114.3	1.9553	1955.3	0.63480
5112.5	1.9560	1956.0	0.63487
5110.6	1.9567	1956.7	0.63485
5108.6	1.9575	1957.5	0.63492
5106.7	1.9582	1958.2	0.63489
5104.9	1.9589	1958.9	0.63491
5102.8	1.9597	1959.7	0.63500
5101.0	1.9604	1960.4	0.63520
5098.9	1.9612	1961.2	0.63527
5097.1	1.9619	1961.9	0.63526
5095.0	1.9627	1962.7	0.63524
5093.2	1.9634	1963.4	0.63539
5091.4	1.9641	1964.1	0.63540
5089.3	1.9649	1964.9	0.63541
5087.5	1.9656	1965.6	0.63541
5085.4	1.9664	1966.4	0.63549
5083.6	1.9671	1967.1	0.63565
5081.6	1.9679	1967.9	0.63578
5079.8	1.9686	1968.6	0.63572
5077.7	1.9694	1969.4	0.63584
5075.9	1.9701	1970.1	0.63603
5074.1	1.9708	1970.8	0.63625
5072.0	1.9716	1971.6	0.63628
5070.2	1.9723	1972.3	0.63619
5068.2	1.9731	1973.1	0.63621
5066.4	1.9738	1973.8	0.63640
5064.3	1.9746	1974.6	0.63647
5062.3	1.9754	1975.4	0.63648
5060.5	1.9761	1976.1	0.63664
5058.4	1.9769	1976.9	0.63667
5056.6	1.9776	1977.6	0.63659
5054.6	1.9784	1978.4	0.63664
5052.8	1.9791	1979.1	0.63657
5050.8	1.9799	1979.9	0.63672
5049.0	1.9806	1980.6	0.63694
5046.9	1.9814	1981.4	0.63695
5044.9	1.9822	1982.2	0.63692
5043.1	1.9829	1982.9	0.63706
5041.1	1.9837	1983.7	0.63718
5039.3	1.9844	1984.4	0.63728
5037.3	1.9852	1985.2	0.63724
5035.5	1.9859	1985.9	0.63724
5033.5	1.9867	1986.7	0.63731
5031.4	1.9875	1987.5	0.63748
5029.7	1.9882	1988.2	0.63750
5027.7	1.9890	1989.0	0.63749
5025.6	1.9898	1989.8	0.63760
5023.9	1.9905	1990.5	0.63761
5021.8	1.9913	1991.3	0.63768
5019.8	1.9921	1992.1	0.63786
5018.1	1.9928	1992.8	0.63789
5016.1	1.9936	1993.6	0.63790
5014.3	1.9943	1994.3	0.63797
5012.3	1.9951	1995.1	0.63809
5010.3	1.9959	1995.9	0.63807
5008.3	1.9967	1996.7	0.63808
5006.5	1.9974	1997.4	0.63816
5004.5	1.9982	1998.2	0.63826
5002.5	1.9990	1999.0	0.63825
5000.7	1.9997	1999.7	0.63830
4998.8	2.0005	2000.5	0.63836
4996.8	2.0013	2001.3	0.63857
4994.8	2.0021	2002.1	0.63863
4993.0	2.0028	2002.8	0.63862
4991.0	2.0036	2003.6	0.63864
4989.0	2.0044	2004.4	0.63866
4987.0	2.0052	2005.2	0.63867
4985.3	2.0059	2005.9	0.63876
4983.3	2.0067	2006.7	0.63873
4981.3	2.0075	2007.5	0.63881
4979.3	2.0083	2008.3	0.63900
4977.6	2.0090	2009.0	0.63914
4975.6	2.0098	2009.8	0.63902
4973.6	2.0106	2010.6	0.63900
4971.7	2.0114	2011.4	0.63915
4969.7	2.0122	2012.2	0.63914
4968.0	2.0129	2012.9	0.63924
4966.0	2.0137	2013.7	0.63937
4964.0	2.0145	2014.5	0.63931
4962.0	2.0153	2015.3	0.63926
4960.1	2.0161	2016.1	0.63947
4958.3	2.0168	2016.8	0.63960
4956.4	2.0176	2017.6	0.63960
4954.4	2.0184	2018.4	0.63969
4952.5	2.0192	2019.2	0.63957
4950.5	2.0200	2020.0	0.63964
4948.5	2.0208	2020.8	0.63976
4946.6	2.0216	2021.6	0.63980
4944.6	2.0224	2022.4	0.63988
4942.7	2.0232	2023.2	0.64008
4941.0	2.0239	2023.9	0.64003
4939.0	2.0247	2024.7	0.63995
4937.1	2.0255	2025.5	0.63998
4935.1	2.0263	2026.3	0.64005
4933.2	2.0271	2027.1	0.64008
4931.2	2.0279	2027.9	0.64009
4929.3	2.0287	2028.7	0.63998
4927.3	2.0295	2029.5	0.64012
4925.4	2.0303	2030.3	0.64032
4923.4	2.0311	2031.1	0.64048
4921.5	2.0319	2031.9	0.64041
4919.6	2.0327	2032.7	0.64027
4917.6	2.0335	2033.5	0.64041
4915.7	2.0343	2034.3	0.64054
4913.8	2.0351	2035.1	0.64060
4911.8	2.0359	2035.9	0.64075
4909.9	2.0367	2036.7	0.64074
4908.0	2.0375	2037.5	0.64077
4906.0	2.0383	2038.3	0.64081
4904.1	2.0391	2039.1	0.64084
4902.2	2.0399	2039.9	0.64080
4900.3	2.0407	2040.7	0.64082
4898.4	2.0415	2041.5	0.64087
4896.4	2.0423	2042.3	0.64095
4894.5	2.0431	2043.1	0.64094
4892.6	2.0439	2043.9	0.64113
4890.7	2.0447	2044.7	0.64123
4888.8	2.0455	2045.5	0.64124
4886.9	2.0463	2046.3	0.64133
4885.0	2.0471	2047.1	0.64142
4883.1	2.0479	2047.9	0.64136
4881.1	2.0487	2048.7	0.64148
4879.2	2.0495	2049.5	0.64149
4877.1	2.0504	2050.4	0.64153
4875.2	2.0512	2051.2	0.64166
4873.3	2.0520	2052.0	0.64169
4871.4	2.0528	2052.8	0.64168
4869.5	2.0536	2053.6	0.64169
4867.6	2.0544	2054.4	0.64182
4865.7	2.0552	2055.2	0.64190
4863.8	2.0560	2056.0	0.64185
4861.7	2.0569	2056.9	0.64189
4859.8	2.0577	2057.7	0.64199
4857.9	2.0585	2058.5	0.64212
4856.0	2.0593	2059.3	0.64217
4854.1	2.0601	2060.1	0.64217
4852.2	2.0609	2060.9	0.64217
4850.1	2.0618	2061.8	0.64222
4848.2	2.0626	2062.6	0.64227
4846.4	2.0634	2063.4	0.64237
4844.5	2.0642	2064.2	0.64246
4842.4	2.0651	2065.1	0.64253
4840.5	2.0659	2065.9	0.64248
4838.6	2.0667	2066.7	0.64239
4836.8	2.0675	2067.5	0.64237
4834.9	2.0683	2068.3	0.64250
4832.8	2.0692	2069.2	0.64257
4830.9	2.0700	2070.0	0.64267
4829.1	2.0708	2070.8	0.64273
4827.2	2.0716	2071.6	0.64283
4825.1	2.0725	2072.5	0.64290
4823.2	2.0733	2073.3	0.64288
4821.4	2.0741	2074.1	0.64279
4819.3	2.0750	2075.0	0.64292
4817.4	2.0758	2075.8	0.64311
4815.6	2.0766	2076.6	0.64323
4813.5	2.0775	2077.5	0.64309
4811.6	2.0783	2078.3	0.64310
4809.8	2.0791	2079.1	0.64324
4807.7	2.0800	2080.0	0.64328
4805.8	2.0808	2080.8	0.64330
4804.0	2.0816	2081.6	0.64334
4801.9	2.0825	2082.5	0.64329
4800.1	2.0833	2083.3	0.64331
4798.2	2.0841	2084.1	0.64337
4796.2	2.0850	2085.0	0.64345
4794.3	2.0858	2085.8	0.64357
4792.3	2.0867	2086.7	0.64360
4790.4	2.0875	2087.5	0.64359
4788.6	2.0883	2088.3	0.64363
4786.5	2.0892	2089.2	0.64367
4784.7	2.0900	2090.0	0.64382
4782.6	2.0909	2090.9	0.64398
4780.8	2.0917	2091.7	0.64397
4778.7	2.0926	2092.6	0.64377
4776.9	2.0934	2093.4	0.64392
4775.1	2.0942	2094.2	0.64422
4773.0	2.0951	2095.1	0.64426
4771.2	2.0959	2095.9	0.64424
4769.2	2.0968	2096.8	0.64430
4767.4	2.0976	2097.6	0.64426
4765.3	2.0985	2098.5	0.64430
4763.5	2.0993	2099.3	0.64441
4761.5	2.1002	2100.2	0.64455
4759.6	2.1010	2101.0	0.64447
4757.6	2.1019	2101.9	0.64437
4755.8	2.1027	2102.7	0.64459
4753.8	2.1036	2103.6	0.64469
4751.9	2.1044	2104.4	0.64461
4749.9	2.1053	2105.3	0.64464
4748.1	2.1061	2106.1	0.64470
4746.1	2.1070	2107.0	0.64483
4744.1	2.1079	2107.9	0.64484
4742.3	2.1087	2108.7	0.64494
4740.2	2.1096	2109.6	0.64506
4738.4	2.1104	2110.4	0.64523
4736.4	2.1113	2111.3	0.64523
4734.4	2.1122	2112.2	0.64523
4732.6	2.1130	2113.0	0.64526
4730.6	2.1139	2113.9	0.64536
4728.8	2.1147	2114.7	0.64541
4726.8	2.1156	2115.6	0.64555
4724.8	2.1165	2116.5	0.64561
4723.0	2.1173	2117.3	0.64568
4721.0	2.1182	2118.2	0.64566
4719.0	2.1191	2119.1	0.64587
4717.2	2.1199	2119.9	0.64584
4715.2	2.1208	2120.8	0.64569
4713.2	2.1217	2121.7	0.64567
4711.4	2.1225	2122.5	0.64587
4709.4	2.1234	2123.4	0.64598
4707.4	2.1243	2124.3	0.64598
4705.7	2.1251	2125.1	0.64596
4703.7	2.1260	2126.0	0.64586
4701.7	2.1269	2126.9	0.64570
4699.7	2.1278	2127.8	0.64567
4697.9	2.1286	2128.6	0.64569
4695.9	2.1295	2129.5	0.64586
4694.0	2.1304	2130.4	0.64598
4692.0	2.1313	2131.3	0.64599
4690.2	2.1321	2132.1	0.64611
4688.2	2.1330	2133.0	0.64637
4686.3	2.1339	2133.9	0.64639
4684.3	2.1348	2134.8	0.64635
4682.5	2.1356	2135.6	0.64631
4680.6	2.1365	2136.5	0.64626
4678.6	2.1374	2137.4	0.64626
4676.6	2.1383	2138.3	0.64637
4674.6	2.1392	2139.2	0.64640
4672.7	2.1401	2140.1	0.64647
4670.9	2.1409	2140.9	0.64649
4669.0	2.1418	2141.8	0.64666
4667.0	2.1427	2142.7	0.64672
4665.0	2.1436	2143.6	0.64670
4663.1	2.1445	2144.5	0.64669
4661.1	2.1454	2145.4	0.64680
4659.2	2.1463	2146.3	0.64689
4657.4	2.1471	2147.1	0.64690
4655.5	2.1480	2148.0	0.64681
4653.5	2.1489	2148.9	0.64688
4651.6	2.1498	2149.8	0.64686
4649.6	2.1507	2150.7	0.64686
4647.7	2.1516	2151.6	0.64684
4645.8	2.1525	2152.5	0.64696
4643.8	2.1534	2153.4	0.64705
4641.9	2.1543	2154.3	0.64711
4639.9	2.1552	2155.2	0.64704
4638.0	2.1561	2156.1	0.64708
4636.1	2.1570	2157.0	0.64710
4634.1	2.1579	2157.9	0.64709
4632.2	2.1588	2158.8	0.64708
4630.3	2.1597	2159.7	0.64716
4628.3	2.1606	2160.6	0.64711
4626.4	2.1615	2161.5	0.64726
