Wavelength (µm) raw,Sanidine gds19.19863 raw,Wavelength (µm) bin avg,Sanidine gds19.19863 bin avg,Wavelength (µm) cubic spline of bin avg,Sanidine gds19.19863 cubic spline of bin avg
0.5793,0.719192,1.59383,0.8222985,1.592846482213439,0.8223057481690106
0.5813,0.719714,1.60381,0.821761,1.6029063636363639,0.8217613777935198
0.5833,0.719511,1.6138,0.822501,1.6129662450592885,0.8224704546283333
0.5853,0.720221,1.62378,0.8217715,1.6230261264822134,0.8218539090471988
0.5873,0.720757,1.63376,0.821353,1.6330860079051384,0.8213181503146398
0.5893,0.721259,1.64374,0.8225485,1.6431458893280633,0.8224873185698796
0.5913,0.720772,1.65372,0.823026,1.6532057707509882,0.8229999525593881
0.5933,0.719539,1.6637,0.823762,1.663265652173913,0.8237377875559734
0.5953,0.720429,1.67368,0.823502,1.673325533596838,0.8235442192905656
0.5973,0.720437,1.68366,0.822557,1.683385415019763,0.8225381282710268
0.5993,0.720464,1.69364,0.825669,1.6934452964426878,0.8255786720440067
0.6011,0.719747,1.70362,0.828287,1.7035051778656127,0.8283108488235297
0.6027,0.719741,1.7136,0.823694,1.7135650592885376,0.8237008622538915
0.6043,0.721342,1.72359,0.824455,1.7236249407114625,0.8244492544598525
0.6059,0.720139,1.73357,0.820617,1.7336848221343875,0.820608331242062
0.6075,0.720234,1.74355,0.824139,1.7437447035573124,0.8242168922610971
0.6091,0.718946,1.75353,0.826078,1.7538045849802373,0.8261057954455562
0.6107,0.719832,1.76351,0.826067,1.7638644664031622,0.8259813509725992
0.6123,0.720002,1.77349,0.823693,1.773924347826087,0.8237492091984059
0.6139,0.720707,1.78347,0.828124,1.783984229249012,0.8283447740068076
0.6155,0.72091,1.79345,0.829175,1.794044110671937,0.8290210375766874
0.6171,0.720917,1.80343,0.826087,1.8041039920948618,0.8260398458068857
0.6187,0.721117,1.81341,0.826947,1.8141638735177867,0.8269060534034021
0.6203,0.721616,1.8234,0.824762,1.8242237549407117,0.82461571780153
0.6219,0.722565,1.83338,0.82539,1.8342836363636366,0.8257260263456959
0.6235,0.720425,1.84336,0.828799,1.8443435177865615,0.8287650188675555
0.6251,0.721103,1.85334,0.825947,1.8544033992094864,0.8256890116877803
0.6267,0.722998,1.86332,0.825653,1.864463280632411,0.825817742361936
0.6283,0.722514,1.8733,0.826147,1.874523162055336,0.8258312717165125
0.6299,0.721608,1.88328,0.822694,1.8845830434782609,0.8225231008283928
0.6317,0.724379,1.89326,0.82355,1.8946429249011858,0.8237761803455126
0.6337,0.723689,1.90324,0.823145,1.9047028063241107,0.822483215561525
0.6357,0.723875,1.91322,0.818266,1.9147626877470356,0.818098249987157
0.6377,0.725067,1.92321,0.820498,1.9248225691699605,0.821154844802931
0.6397,0.722979,1.93319,0.82333,1.9348824505928854,0.8233515176761499
0.6417,0.723681,1.94317,0.822477,1.9449423320158103,0.8224170781737448
0.6437,0.724889,1.95315,0.823275,1.9550022134387353,0.8236379231234451
0.6457,0.72557,1.96313,0.825512,1.9650620948616602,0.8259671855722508
0.6477,0.725394,1.97311,0.827582,1.975121976284585,0.8278713976777726
0.6497,0.726098,1.98309,0.828957,1.98518185770751,0.8293535984141073
0.6517,0.725922,1.99307,0.831195,1.995241739130435,0.8316786294423487
0.6537,0.726597,2.00305,0.830904,2.0053016205533596,0.8293755626023563
0.6557,0.725913,2.01303,0.825094,2.0153615019762845,0.8259920578090487
0.6577,0.727109,2.02301,0.831737,2.0254213833992094,0.8320965534655842
0.6597,0.727616,2.033,0.83059,2.0354812648221343,0.8310139461561981
0.6617,0.728862,2.04298,0.833427,2.0455411462450592,0.8332199983197197
0.6637,0.72814,2.05296,0.831096,2.055601027667984,0.8309754133035748
0.6657,0.730081,2.06294,0.831186,2.065660909090909,0.8305034149347676
0.6677,0.729349,2.07292,0.828706,2.075720790513834,0.8292494012542565
0.6702,0.727985,2.0829,0.83334,2.085780671936759,0.8352668443199847
0.6732,0.72988,2.09288,0.838147,2.0958405533596838,0.837908815090392
0.6762,0.730904,2.10286,0.836369,2.1059004347826087,0.8365966025091479
0.6792,0.730723,2.11284,0.838745,2.1159603162055336,0.8397036340100935
0.6822,0.729834,2.12282,0.841353,2.1260201976284585,0.8419617045545003
0.6852,0.73156,2.13281,0.841922,2.1360800790513834,0.8408190256285426
0.6882,0.731891,2.14279,0.837873,2.1461399604743083,0.8370014468707274
0.6912,0.731532,2.15277,0.836584,2.1561998418972332,0.8366972647333331
0.6942,0.731856,2.16275,0.836215,2.166259723320158,0.8350551276057293
0.6972,0.733971,2.17273,0.832405,2.176319604743083,0.8315055696740257
0.7002,0.73413,2.18271,0.831486,2.186379486166008,0.832251345760323
0.702,0.733766,2.19269,0.832159,2.196439367588933,0.829975931802296
0.704,0.73413,2.20267,0.827313,2.206499249011858,0.8291584992341468
0.706,0.735883,2.21265,0.833465,2.2165591304347827,0.8335868338376076
0.708,0.734301,2.22263,0.831547,2.2266190118577076,0.8309697211290068
0.71,0.735546,2.23262,0.830854,2.2366788932806325,0.8302861528282982
0.712,0.735358,2.2426,0.828049,2.2467387747035574,0.8256288603027603
0.714,0.735666,2.25258,0.824434,2.2567986561264823,0.8272358587842427
0.716,0.73425,2.26256,0.832178,2.2668585375494072,0.8332927354131565
0.718,0.734598,2.27254,0.831883,2.276918418972332,0.8302938888629091
0.72,0.734572,2.28252,0.831221,2.286978300395257,0.8358396506116693
0.722,0.735796,2.2925,0.839149,2.297038181818182,0.834528093950844
0.724,0.735994,2.30248,0.827434,2.307098063241107,0.8272561552182999
0.726,0.73722,2.31246,0.83178,2.317157944664032,0.8360519944101545
0.728,0.736292,2.32244,0.838777,2.3272178260869567,0.8383983903431571
0.73,0.737568,2.33242,0.83705,2.3372777075098816,0.8370166785209682
0.732,0.736652,2.34241,0.83761,2.3473375889328065,0.8376274700172938
0.734,0.737699,2.35239,0.836748,2.3573974703557314,0.8353497941192222
0.736,0.738256,2.36237,0.835707,2.3674573517786563,0.8393996541103573
0.738,0.738774,2.37235,0.842734,2.377517233201581,0.8425107774540578
0.74,0.739121,2.38233,0.840589,2.3875771146245057,0.8392411603453656
0.742,0.739875,2.40229,0.838889,2.3976369960474306,0.8388349773367688
0.744,0.738758,2.41227,0.838355,2.4076968774703555,0.8386816579139973
0.746,0.74004,2.42225,0.8374354444444445,2.4177567588932805,0.8379090816763002
0.748,0.739988,2.43223,0.8360138749999999,2.4278166403162054,0.836653124226875
0.7505,0.738923,2.44222,0.834857888888889,2.4378765217391303,0.835334851373581
0.7535,0.741291,2.4522,0.8337150000000001,2.447936403162055,0.8341968390969858
0.7565,0.741819,2.46218,0.832659875,2.45799628458498,0.833115325438686
0.7595,0.741636,2.47216,0.8314727777777777,2.468056166007905,0.8319351409899302
0.7625,0.741599,2.48214,0.8307523750000001,2.47811604743083,0.8309987618578774
