Wavelength (µm),Pigeonite hs199.17856
1.891337,0.176107
1.892027,0.175806
1.892718,0.175505
1.893409,0.175625
1.894101,0.175866
1.894793,0.175986
1.895486,0.175806
1.896179,0.175685
1.896873,0.175625
1.897568,0.175505
1.898262,0.175384
1.898958,0.175444
1.899654,0.175746
1.90035,0.175444
1.901047,0.175143
1.901744,0.175143
1.902442,0.175264
1.90314,0.175264
1.903839,0.175143
1.904539,0.174902
1.905239,0.174722
1.905939,0.175023
1.90664,0.175203
1.907342,0.174842
1.908044,0.174601
1.908746,0.174661
1.909449,0.174782
1.910153,0.174782
1.910857,0.174782
1.911561,0.174541
1.912266,0.174421
1.912972,0.174601
1.913678,0.174661
1.914385,0.174601
1.915092,0.174661
1.9158,0.174722
1.916508,0.174782
1.917217,0.174782
1.917926,0.174541
1.918636,0.1743
1.919346,0.174541
1.920057,0.175023
1.920768,0.174963
1.92148,0.174661
1.922193,0.174601
1.922906,0.174661
1.92362,0.174541
1.924333,0.174661
1.925048,0.174722
1.925763,0.174661
1.926479,0.174541
1.927195,0.174481
1.927912,0.174782
1.928629,0.174842
1.929346,0.174661
1.930065,0.174421
1.930784,0.174782
1.931503,0.174902
1.932223,0.174902
1.932943,0.175023
1.933664,0.175143
1.934386,0.175083
1.935108,0.174842
1.93583,0.174842
1.936554,0.174963
1.937277,0.175023
1.938002,0.175083
1.938726,0.175264
1.939452,0.175264
1.940177,0.175023
1.940904,0.174842
1.941631,0.175023
1.942358,0.174782
1.943086,0.174541
1.943815,0.174661
1.944544,0.174963
1.945274,0.174963
1.946004,0.174842
1.946735,0.175023
1.947466,0.175023
1.948198,0.174902
1.94893,0.174782
1.949663,0.174782
1.950397,0.174722
1.951131,0.174661
1.951865,0.174661
1.952601,0.174722
1.953336,0.174842
1.954073,0.175023
1.954809,0.175083
1.955547,0.174782
1.956285,0.174842
1.957023,0.175023
1.957762,0.175203
1.958502,0.175384
1.959242,0.175203
1.959983,0.174782
1.960724,0.174842
1.961466,0.174963
1.962208,0.175083
1.962951,0.174963
1.963695,0.175083
1.964439,0.175203
1.965183,0.175023
1.965929,0.174842
1.966674,0.175023
1.967421,0.175023
1.968168,0.175023
1.968915,0.175143
1.969663,0.175203
1.970412,0.175264
1.971161,0.175143
1.971911,0.175324
1.972661,0.175384
1.973413,0.175083
1.974164,0.175083
1.974916,0.175264
1.975669,0.175203
1.976422,0.175023
1.977176,0.175083
1.97793,0.174963
1.978685,0.175083
1.97944,0.175023
1.980196,0.175023
1.980953,0.175143
1.98171,0.175264
1.982468,0.175384
1.983226,0.175324
1.983986,0.175083
1.984745,0.174842
1.985505,0.175083
1.986266,0.175203
