Wavelength (µm) raw,Sanidine gds19.19863 raw,Wavelength (µm) bin avg,Sanidine gds19.19863 bin avg,Wavelength (µm) cubic spline of bin avg,Sanidine gds19.19863 cubic spline of bin avg
0.5893,0.721259,1.73357,0.820617,1.9635050704225354,0.8256012651868522
0.5913,0.720772,1.74355,0.824139,1.9753604225352115,0.8279030685846996
0.5933,0.719539,1.75353,0.826078,1.9872157746478876,0.8297941687079325
0.5953,0.720429,1.76351,0.826067,1.9990711267605636,0.8320164335093071
0.5973,0.720437,1.77349,0.823693,2.0109264788732397,0.8254349875333062
0.5993,0.720464,1.78347,0.828124,2.022781830985916,0.8316435000682075
0.6011,0.719747,1.79345,0.829175,2.0346371830985914,0.8307928750683198
0.6027,0.719741,1.80343,0.826087,2.0464925352112675,0.8329896588948862
0.6043,0.721342,1.81341,0.826947,2.0583478873239436,0.8311761878664768
0.6059,0.720139,1.8234,0.824762,2.0702032394366197,0.8290366127744215
0.6075,0.720234,1.83338,0.82539,2.0820585915492957,0.8327653870222469
0.6091,0.718946,1.84336,0.828799,2.093913943661972,0.8381577853447402
0.6107,0.719832,1.85334,0.825947,2.105769295774648,0.8365724770458647
0.6123,0.720002,1.86332,0.825653,2.117624647887324,0.8401514022232849
0.6139,0.720707,1.8733,0.826147,2.12948,0.8422671309896558
0.6155,0.72091,1.88328,0.822694,2.141335352112676,0.8384361607728605
0.6171,0.720917,1.89326,0.82355,2.153190704225352,0.8365944507158375
0.6187,0.721117,1.90324,0.823145,2.1650460563380283,0.8355194783778327
0.6203,0.721616,1.91322,0.818266,2.1769014084507043,0.8314188420074544
0.6219,0.722565,1.92321,0.820498,2.1887567605633804,0.8326265125212937
0.6235,0.720425,1.93319,0.82333,2.2006121126760565,0.8275848709150375
0.6251,0.721103,1.94317,0.822477,2.2124674647887326,0.8333958493966224
0.6267,0.722998,1.95315,0.823275,2.2243228169014087,0.8311911323316502
0.6283,0.722514,1.96313,0.825512,2.2361781690140847,0.8303941047502019
0.6299,0.721608,1.97311,0.827582,2.248033521126761,0.8249850480981828
0.6317,0.724379,1.98309,0.828957,2.259888873239437,0.8301311051711763
0.6337,0.723689,1.99307,0.831195,2.271744225352113,0.8321898299583592
0.6357,0.723875,2.00305,0.830904,2.283599577464789,0.8321227934415308
0.6377,0.725067,2.01303,0.825094,2.295454929577465,0.8367149446283283
0.6397,0.722979,2.02301,0.831737,2.307310281690141,0.8273710966002489
0.6417,0.723681,2.033,0.83059,2.319165633802817,0.8374470574755791
0.6437,0.724889,2.04298,0.833427,2.331020985915493,0.8373350501541584
0.6457,0.72557,2.05296,0.831096,2.342876338028169,0.8376455498083452
0.6477,0.725394,2.06294,0.831186,2.354731690140845,0.836055067895629
0.6497,0.726098,2.07292,0.828706,2.366587042253521,0.8386183045449134
0.6517,0.725922,2.0829,0.83334,2.378442394366197,0.8423285631469029
0.6537,0.726597,2.09288,0.838147,2.3902977464788733,0.8375761113121918
0.6557,0.725913,2.10286,0.836369,2.4021530985915494,0.8359188240473953
