Wavelength (µm) raw,Orthoclase nmn h142137.17349 raw,Wavelength (µm) bin avg,Orthoclase nmn h142137.17349 bin avg,Wavelength (µm) cubic spline of bin avg,Orthoclase nmn h142137.17349 cubic spline of bin avg
0.5173,0.733375,1.30438,0.7688885000000001,1.2999112337662337,0.7684203845120944
0.5193,0.734609,1.31437,0.76961,1.3099570129870128,0.7695312931561653
0.5213,0.735858,1.32435,0.768582,1.3200027922077922,0.768887412818419
0.5233,0.736519,1.33433,0.7700975,1.3300485714285712,0.7694184670922883
0.5253,0.734968,1.34431,0.7693805,1.3400943506493506,0.7699097652367547
0.5273,0.737532,1.35429,0.769216,1.3501401298701297,0.7689672851442405
0.5293,0.738776,1.36427,0.7712685,1.360185909090909,0.770432119974449
0.5313,0.740852,1.37425,0.7715365000000001,1.3702316883116883,0.7716596827787628
0.5333,0.73875,1.38423,0.771939,1.3802774675324674,0.7714003581226666
0.5353,0.741896,1.39421,0.7746305,1.3903232467532467,0.7739495455977143
0.5373,0.741908,1.40419,0.772581,1.4003690259740258,0.773329390849656
0.5393,0.741951,1.41418,0.775011,1.410414805194805,0.7737148943217294
0.5413,0.742475,1.42416,0.7769425,1.4204605844155842,0.7765261467652861
0.5433,0.74434,1.43414,0.777215,1.4305063636363635,0.7770795388723795
0.5453,0.745041,1.44412,0.7787040000000001,1.4405521428571426,0.7780841072896033
0.5473,0.745014,1.4541,0.780197,1.450597922077922,0.7796794233684322
0.5493,0.744514,1.46408,0.7813005,1.4606437012987012,0.781125520378268
0.5513,0.744282,1.47406,0.7811035,1.4706894805194803,0.7809480342870001
0.5533,0.745375,1.48404,0.783925,1.4807352597402597,0.7829445959577961
0.5553,0.746593,1.49402,0.7840425,1.4907810389610388,0.7845154387463784
0.5573,0.746764,1.504,0.7820235,1.500826818181818,0.7822348765267485
0.5593,0.747456,1.51399,0.7853485,1.5108725974025974,0.7841956660674954
0.5613,0.746906,1.52397,0.7867215000000001,1.5209183766233765,0.7863904811998476
0.5633,0.74835,1.53395,0.788418,1.5309641558441558,0.7880887285622554
0.5653,0.74759,1.54393,0.7874835,1.5410099350649349,0.7878057335174261
0.5673,0.75114,1.55391,0.788964,1.5510557142857142,0.7880240831194564
0.5693,0.750468,1.56389,0.792606,1.5611014935064933,0.7922135144571906
0.5713,0.750262,1.57387,0.78959,1.5711472727272726,0.7901686200100253
0.5733,0.750076,1.58385,0.792368,1.581193051948052,0.7916856693764945
