Wavelength (µm) raw,Pigeonite hs199.17843 raw,Wavelength (µm) bin avg,Pigeonite hs199.17843 bin avg,Wavelength (µm) cubic spline of bin avg,Pigeonite hs199.17843 cubic spline of bin avg
0.4713,0.156178,1.23452,0.17923250000000002,1.363188066037736,0.19360824155945547
0.4733,0.157505,1.2445,0.180301,1.3750993396226416,0.19541021960045774
0.4753,0.155549,1.25448,0.18065150000000002,1.3870106132075473,0.19688699304046456
0.4773,0.157989,1.26446,0.1825465,1.398921886792453,0.19420999244605364
0.4793,0.156233,1.27444,0.1850325,1.4108331603773587,0.1954908242513072
0.4813,0.156958,1.28442,0.184535,1.4227444339622644,0.1993682131871728
0.4833,0.160891,1.2944,0.1855345,1.43465570754717,0.2004657349667733
0.4853,0.158298,1.30438,0.1878325,1.4465669811320756,0.20225562873556382
0.4873,0.161257,1.31437,0.188517,1.4584782547169814,0.2036749183233822
0.4893,0.160121,1.32435,0.189653,1.470389528301887,0.20356240029239706
0.4913,0.161745,1.33433,0.18978,1.4823008018867927,0.20365474820548635
0.4933,0.162463,1.34431,0.192143,1.4942120754716983,0.20509378199344763
0.4953,0.159938,1.35429,0.192918,1.506123349056604,0.2043340244281001
0.4973,0.162902,1.36427,0.1937175,1.5180346226415096,0.20556503563996878
0.4993,0.162209,1.37425,0.1952035,1.5299458962264154,0.20208374559294573
0.5013,0.161503,1.38423,0.197151,1.541857169811321,0.20647758795100019
0.5033,0.164293,1.39421,0.195075,1.5537684433962267,0.20423604673125628
0.5053,0.161683,1.40419,0.1941235,1.5656797169811323,0.20573614434804394
0.5073,0.162422,1.41418,0.196585,1.577590990566038,0.20386594559305593
0.5093,0.161305,1.42416,0.199667,1.5895022641509435,0.20305850379310467
0.5113,0.163994,1.43414,0.2004245,1.6014135377358494,0.20459940603563753
0.5133,0.165809,1.44412,0.201841,1.613324811320755,0.20171451071172317
0.5153,0.16518,1.4541,0.2033195,1.6252360849056606,0.20034879381226164
0.5173,0.1666,1.46408,0.203795,1.6371473584905663,0.20014718364457007
0.5193,0.163972,1.47406,0.2034195,1.6490586320754719,0.1981374995193407
0.5213,0.16598,1.48404,0.20385999999999999,1.6609699056603777,0.19803510343188999
0.5233,0.16866,1.49402,0.20509850000000002,1.6728811792452833,0.1958239112409033
0.5253,0.167238,1.504,0.2041505,1.684792452830189,0.19703916103208227
0.5273,0.169375,1.51399,0.205662,1.6967037264150946,0.19336799560448187
0.5293,0.16737,1.52397,0.204113,1.7086150000000002,0.1950225661438647
0.5313,0.167299,1.53395,0.202129,1.7205262735849058,0.19355328423743381
0.5333,0.169237,1.54393,0.20709850000000002,1.7324375471698117,0.18881938439455573
0.5353,0.169784,1.55391,0.2042125,1.7443488207547173,0.19095676961396058
0.5373,0.171222,1.56389,0.205712,1.756260094339623,0.18910800847483616
0.5393,0.169726,1.57387,0.20427299999999998,1.7681713679245286,0.18932392287333247
0.5413,0.171732,1.58385,0.203544,1.7800826415094342,0.1890972993669919
0.5433,0.17006,1.59383,0.203146,1.7919939150943398,0.18452968400851594
0.5453,0.170052,1.60381,0.204658,1.8039051886792457,0.1854076740914197
0.5473,0.171583,1.6138,0.201575,1.8158164622641513,0.18521731660620105
0.5493,0.170675,1.62378,0.2004525,1.827727735849057,0.1849254722720501
0.5513,0.171256,1.63376,0.199918,1.8396390094339625,0.18059971872785224
0.5533,0.171164,1.64374,0.1999725,1.8515502830188681,0.1826819660692841
0.5553,0.172894,1.65372,0.196941,1.8634615566037738,0.18045343447491333
0.5573,0.170987,1.6637,0.1982005,1.8753728301886796,0.1819436731940809
0.5593,0.171702,1.67368,0.195775,1.8872841037735852,0.17877610458579787
0.5613,0.170005,1.68366,0.1973,1.8991953773584909,0.17500250184856792
0.5633,0.174516,1.69364,0.193234,1.9111066509433965,0.17873822922114618
