Wavelength (µm) raw,Orthoclase nmnh142137.17360 raw,Wavelength (µm) bin avg,Orthoclase nmnh142137.17360 bin avg,Wavelength (µm) cubic spline of bin avg,Orthoclase nmnh142137.17360 cubic spline of bin avg
1.64004,0.748351,2.41227,0.8144944444444444,2.336967723577236,0.8129662366393577
1.64055,0.748474,2.42225,0.814467,2.3482470731707314,0.8121845257282773
1.64108,0.748906,2.43223,0.8140572500000001,2.3595264227642274,0.8121228769203338
1.64159,0.749338,2.44222,0.8136301111111112,2.3708057723577234,0.8121518068668874
1.64211,0.7494,2.4522,0.8127523333333334,2.3820851219512194,0.8128185336316882
1.64263,0.749277,2.46218,0.8117653749999999,2.3933644715447153,0.8134015202819767
1.64315,0.749215,2.47216,0.8106805555555555,2.4046438211382113,0.8141445287681918
1.64368,0.749647,2.48214,0.8098281249999999,2.4159231707317073,0.8145498118873853
1.6442,0.749894,2.49212,0.808955875,2.4272025203252032,0.8142762188883478
1.64472,0.749956,2.5021,0.8084304444444445,2.438481869918699,0.8138235914245842
