Wavelength (µm) raw,Augite ws592.3259 raw,Wavelength (µm) bin avg,Augite ws592.3259 bin avg,Wavelength (µm) cubic spline of bin avg,Augite ws592.3259 cubic spline of bin avg
1.51186,0.5001,2.13281,0.4260977499999999,2.132804569536424,0.42609990240164825
1.5123,0.500342,2.14279,0.422372,2.1427855629139074,0.4223734575863604
1.51274,0.500245,2.15277,0.41940481818181824,2.1527665562913905,0.4194058569720219
1.51318,0.500051,2.16275,0.41614218181818186,2.1627475496688744,0.41614300897857387
1.51362,0.500487,2.17273,0.4128621818181818,2.1727285430463574,0.4128626404454652
1.51406,0.500825,2.18271,0.4097733636363636,2.182709536423841,0.4097735109488768
1.51451,0.501164,2.19269,0.4066541818181818,2.1926905298013244,0.40665403334338673
1.51495,0.501358,2.20267,0.4041433,2.202671523178808,0.4041429136663503
1.51539,0.501358,2.21265,0.4013453636363637,2.2126525165562914,0.4013446059874968
1.51583,0.501406,2.22263,0.39830819999999995,2.222633509933775,0.39830716052741183
