Wavelength (µm)	split 92 <125 µm
2.4052	0.31680
2.4055	0.31633
2.4058	0.31632
2.4061	0.31649
2.4064	0.31655
2.4066	0.31687
2.4069	0.31685
2.4072	0.31696
2.4075	0.31693
2.4077	0.31706
2.4080	0.31728
2.4083	0.31726
2.4086	0.31708
2.4089	0.31754
2.4091	0.31785
2.4094	0.31790
2.4097	0.31759
2.4100	0.31745
2.4103	0.31778
2.4105	0.31789
2.4108	0.31827
2.4111	0.31827
2.4114	0.31820
2.4117	0.31826
2.4119	0.31828
2.4122	0.31818
2.4125	0.31812
2.4128	0.31849
2.4131	0.31866
2.4134	0.31900
2.4136	0.31906
2.4139	0.31897
2.4142	0.31914
2.4145	0.31929
2.4148	0.31928
2.4150	0.31926
2.4153	0.31953
2.4156	0.31953
2.4159	0.31972
2.4162	0.32013
2.4164	0.32005
2.4167	0.32004
2.4170	0.32032
2.4173	0.32011
2.4176	0.32012
2.4179	0.32038
2.4181	0.32043
2.4184	0.32055
2.4187	0.32058
2.4190	0.32062
2.4193	0.32070
2.4195	0.32093
2.4198	0.32104
2.4201	0.32091
2.4204	0.32119
2.4207	0.32161
2.4210	0.32123
2.4212	0.32147
2.4215	0.32176
2.4218	0.32183
2.4221	0.32182
2.4224	0.32193
2.4227	0.32205
2.4229	0.32208
2.4232	0.32238
2.4235	0.32242
2.4238	0.32220
2.4241	0.32225
2.4244	0.32231
2.4246	0.32255
2.4249	0.32265
2.4252	0.32231
2.4255	0.32258
2.4258	0.32287
2.4261	0.32284
2.4263	0.32265
2.4266	0.32297
2.4269	0.32327
2.4272	0.32363
2.4275	0.32356
2.4278	0.32337
2.4280	0.32340
2.4283	0.32330
2.4286	0.32328
2.4289	0.32361
2.4292	0.32387
2.4295	0.32402
2.4297	0.32415
2.4300	0.32451
2.4303	0.32455
2.4306	0.32445
2.4309	0.32449
2.4312	0.32449
2.4315	0.32450
2.4317	0.32439
2.4320	0.32454
2.4323	0.32484
2.4326	0.32465
2.4329	0.32467
2.4332	0.32526
2.4335	0.32562
2.4337	0.32550
2.4340	0.32580
2.4343	0.32580
2.4346	0.32558
2.4349	0.32556
2.4352	0.32588
2.4355	0.32620
2.4357	0.32624
2.4360	0.32590
2.4363	0.32579
2.4366	0.32590
2.4369	0.32619
2.4372	0.32618
2.4375	0.32621
2.4377	0.32652
2.4380	0.32657
2.4383	0.32680
2.4386	0.32673
2.4389	0.32651
2.4392	0.32675
2.4395	0.32726
2.4398	0.32757
2.4400	0.32731
2.4403	0.32756
2.4406	0.32742
2.4409	0.32726
2.4412	0.32751
2.4415	0.32783
2.4418	0.32787
2.4421	0.32748
2.4423	0.32761
2.4426	0.32790
2.4429	0.32786
2.4432	0.32776
2.4435	0.32784
2.4438	0.32788
2.4441	0.32806
2.4444	0.32827
2.4446	0.32852
2.4449	0.32853
2.4452	0.32855
2.4455	0.32886
2.4458	0.32894
2.4461	0.32890
2.4464	0.32890
2.4467	0.32900
2.4469	0.32908
2.4472	0.32900
2.4475	0.32921
2.4478	0.32949
2.4481	0.32952
2.4484	0.32950
2.4487	0.32962
2.4490	0.32984
2.4493	0.33009
2.4495	0.32994
2.4498	0.32988
2.4501	0.32992
2.4504	0.32981
2.4507	0.32996
2.4510	0.33031
2.4513	0.33046
2.4516	0.33073
2.4519	0.33061
2.4522	0.33030
2.4524	0.33047
2.4527	0.33091
2.4530	0.33117
2.4533	0.33090
2.4536	0.33119
2.4539	0.33137
2.4542	0.33120
2.4545	0.33124
2.4548	0.33133
2.4551	0.33113
2.4553	0.33122
2.4556	0.33137
2.4559	0.33137
2.4562	0.33161
2.4565	0.33160
2.4568	0.33170
2.4571	0.33191
2.4574	0.33209
2.4577	0.33201
2.4580	0.33203
2.4583	0.33219
2.4586	0.33237
2.4588	0.33272
2.4591	0.33272
2.4594	0.33253
2.4597	0.33253
2.4600	0.33247
2.4603	0.33243
2.4606	0.33266
2.4609	0.33299
2.4612	0.33301
2.4615	0.33303
2.4618	0.33283
2.4621	0.33304
2.4623	0.33335
2.4626	0.33338
2.4629	0.33352
2.4632	0.33364
2.4635	0.33384
2.4638	0.33387
2.4641	0.33378
2.4644	0.33372
2.4647	0.33365
2.4650	0.33387
2.4653	0.33422
2.4656	0.33408
2.4659	0.33411
2.4662	0.33442
2.4664	0.33451
2.4667	0.33435
2.4670	0.33455
2.4673	0.33479
2.4676	0.33491
2.4679	0.33492
2.4682	0.33482
2.4685	0.33472
2.4688	0.33501
2.4691	0.33530
2.4694	0.33507
2.4697	0.33510
2.4700	0.33536
2.4703	0.33574
2.4706	0.33580
2.4709	0.33555
2.4711	0.33535
2.4714	0.33550
2.4717	0.33552
2.4720	0.33589
2.4723	0.33595
2.4726	0.33596
2.4729	0.33607
2.4732	0.33632
2.4735	0.33620
2.4738	0.33602
2.4741	0.33651
2.4744	0.33673
2.4747	0.33667
2.4750	0.33661
2.4753	0.33670
2.4756	0.33669
2.4759	0.33699
2.4762	0.33716
2.4765	0.33716
2.4768	0.33714
2.4770	0.33738
2.4773	0.33747
2.4776	0.33769
2.4779	0.33763
2.4782	0.33742
2.4785	0.33754
2.4788	0.33747
2.4791	0.33744
2.4794	0.33765
2.4797	0.33795
2.4800	0.33825
2.4803	0.33829
2.4806	0.33831
2.4809	0.33819
2.4812	0.33833
2.4815	0.33846
2.4818	0.33824
2.4821	0.33850
2.4824	0.33872
2.4827	0.33902
2.4830	0.33869
2.4833	0.33859
2.4836	0.33866
2.4839	0.33892
2.4842	0.33905
2.4845	0.33904
2.4848	0.33912
2.4851	0.33959
2.4854	0.33971
2.4857	0.33944
2.4860	0.33937
2.4863	0.33937
2.4866	0.33939
2.4869	0.33982
2.4871	0.33970
2.4874	0.33948
2.4877	0.33986
2.4880	0.34040
2.4883	0.34034
2.4886	0.34020
2.4889	0.34023
2.4892	0.34045
2.4895	0.34034
2.4898	0.34031
2.4901	0.34055
2.4904	0.34067
2.4907	0.34059
2.4910	0.34084
2.4913	0.34102
2.4916	0.34085
2.4919	0.34088
2.4922	0.34103
2.4925	0.34128
2.4928	0.34111
2.4931	0.34092
2.4934	0.34101
2.4937	0.34118
2.4940	0.34142
2.4943	0.34190
2.4946	0.34184
2.4949	0.34153
2.4952	0.34169
2.4955	0.34198
2.4958	0.34208
2.4961	0.34235
2.4964	0.34265
2.4967	0.34251
2.4970	0.34208
2.4973	0.34239
2.4976	0.34257
2.4979	0.34209
2.4982	0.34228
2.4985	0.34260
2.4988	0.34264
2.4991	0.34277
2.4994	0.34276
2.4997	0.34294
2.5000	0.34312
2.5003	0.34327
2.5006	0.34326
2.5009	0.34322
2.5012	0.34299
2.5015	0.34289
2.5019	0.34314
2.5022	0.34353
2.5025	0.34334
2.5028	0.34333
2.5031	0.34343
2.5034	0.34361
2.5037	0.34401
2.5040	0.34423
2.5043	0.34428
2.5046	0.34399
2.5049	0.34402
2.5052	0.34423
2.5055	0.34403
2.5058	0.34407
2.5061	0.34407
2.5064	0.34402
2.5067	0.34440
2.5070	0.34483
2.5073	0.34488
2.5076	0.34479
2.5079	0.34468
2.5082	0.34451
2.5085	0.34457
2.5088	0.34472
2.5091	0.34469
2.5094	0.34482
2.5097	0.34492
2.5100	0.34523
2.5103	0.34550
2.5106	0.34558
2.5109	0.34539
2.5112	0.34525
2.5115	0.34528
2.5118	0.34559
2.5122	0.34559
2.5125	0.34571
2.5128	0.34574
2.5131	0.34560
2.5134	0.34568
2.5137	0.34607
2.5140	0.34632
2.5143	0.34632
2.5146	0.34632
2.5149	0.34649
2.5152	0.34644
2.5155	0.34633
2.5158	0.34649
2.5161	0.34658
2.5164	0.34676
2.5167	0.34671
2.5170	0.34649
2.5173	0.34668
2.5176	0.34698
2.5179	0.34696
2.5183	0.34675
2.5186	0.34666
2.5189	0.34694
2.5192	0.34729
2.5195	0.34738
2.5198	0.34753
2.5201	0.34769
2.5204	0.34739
2.5207	0.34721
2.5210	0.34743
2.5213	0.34744
2.5216	0.34750
2.5219	0.34777
2.5222	0.34783
2.5225	0.34800
2.5228	0.34817
2.5232	0.34807
2.5235	0.34816
2.5238	0.34822
2.5241	0.34833
2.5244	0.34841
2.5247	0.34816
2.5250	0.34830
2.5253	0.34824
2.5256	0.34831
2.5259	0.34834
2.5262	0.34841
2.5265	0.34862
2.5268	0.34881
2.5272	0.34892
2.5275	0.34912
2.5278	0.34907
2.5281	0.34882
2.5284	0.34890
2.5287	0.34916
2.5290	0.34931
2.5293	0.34911
2.5296	0.34922
2.5299	0.34941
2.5302	0.34931
2.5305	0.34921
2.5309	0.34952
2.5312	0.34968
2.5315	0.34967
2.5318	0.34981
2.5321	0.35000
2.5324	0.35006
2.5327	0.35018
2.5330	0.34999
2.5333	0.34987
2.5336	0.35027
2.5339	0.35026
2.5343	0.35008
2.5346	0.35024
2.5349	0.35060
2.5352	0.35075
2.5355	0.35057
2.5358	0.35064
2.5361	0.35088
2.5364	0.35077
2.5367	0.35086
2.5370	0.35085
2.5374	0.35061
2.5377	0.35088
2.5380	0.35086
2.5383	0.35073
2.5386	0.35093
2.5389	0.35123
2.5392	0.35111
2.5395	0.35107
2.5398	0.35115
2.5402	0.35129
2.5405	0.35134
2.5408	0.35141
2.5411	0.35158
2.5414	0.35159
2.5417	0.35183
2.5420	0.35193
2.5423	0.35196
2.5426	0.35200
2.5430	0.35206
2.5433	0.35206
2.5436	0.35185
2.5439	0.35181
2.5442	0.35207
2.5445	0.35206
2.5448	0.35228
2.5451	0.35237
2.5455	0.35222
2.5458	0.35217
2.5461	0.35235
2.5464	0.35248
2.5467	0.35243
2.5470	0.35239
2.5473	0.35245
2.5476	0.35243
2.5480	0.35252
2.5483	0.35305
2.5486	0.35315
2.5489	0.35277
2.5492	0.35263
2.5495	0.35279
2.5498	0.35312
2.5501	0.35322
2.5505	0.35325
2.5508	0.35317
2.5511	0.35308
2.5514	0.35297
2.5517	0.35299
2.5520	0.35333
2.5523	0.35361
2.5527	0.35373
2.5530	0.35386
2.5533	0.35378
2.5536	0.35362
2.5539	0.35349
2.5542	0.35359
2.5545	0.35375
2.5549	0.35370
2.5552	0.35362
2.5555	0.35398
2.5558	0.35424
2.5561	0.35412
2.5564	0.35408
2.5567	0.35413
2.5571	0.35404
2.5574	0.35410
2.5577	0.35408
2.5580	0.35413
2.5583	0.35410
2.5586	0.35409
2.5590	0.35427
2.5593	0.35446
2.5596	0.35462
2.5599	0.35453
2.5602	0.35465
2.5605	0.35479
2.5609	0.35475
2.5612	0.35502
2.5615	0.35505
2.5618	0.35480
2.5621	0.35512
2.5624	0.35499
2.5628	0.35506
2.5631	0.35526
2.5634	0.35529
2.5637	0.35529
2.5640	0.35523
2.5643	0.35560
2.5647	0.35552
2.5650	0.35548
2.5653	0.35534
2.5656	0.35514
2.5659	0.35543
2.5662	0.35552
2.5666	0.35558
2.5669	0.35575
2.5672	0.35567
2.5675	0.35566
2.5678	0.35585
2.5681	0.35581
2.5685	0.35574
2.5688	0.35567
2.5691	0.35584
2.5694	0.35613
2.5697	0.35621
2.5701	0.35598
2.5704	0.35626
2.5707	0.35609
2.5710	0.35614
2.5713	0.35630
2.5716	0.35620
2.5720	0.35602
2.5723	0.35575
2.5726	0.35591
2.5729	0.35637
2.5732	0.35686
2.5736	0.35705
2.5739	0.35713
2.5742	0.35666
2.5745	0.35620
2.5748	0.35660
2.5752	0.35690
2.5755	0.35691
2.5758	0.35698
2.5761	0.35700
2.5764	0.35706
2.5768	0.35720
2.5771	0.35731
2.5774	0.35683
2.5777	0.35682
2.5780	0.35704
2.5784	0.35717
2.5787	0.35729
2.5790	0.35717
2.5793	0.35728
2.5796	0.35727
2.5800	0.35741
2.5803	0.35761
2.5806	0.35752
2.5809	0.35775
2.5812	0.35793
2.5816	0.35783
2.5819	0.35775
2.5822	0.35760
2.5825	0.35759
2.5829	0.35773
2.5832	0.35814
2.5835	0.35820
2.5838	0.35836
2.5841	0.35828
2.5845	0.35854
2.5848	0.35802
2.5851	0.35796
2.5854	0.35829
2.5858	0.35839
2.5861	0.35833
2.5864	0.35809
2.5867	0.35822
2.5870	0.35835
2.5874	0.35824
2.5877	0.35873
2.5880	0.35886
2.5883	0.35834
2.5887	0.35837
2.5890	0.35877
2.5893	0.35895
2.5896	0.35873
2.5900	0.35882
2.5903	0.35872
2.5906	0.35866
2.5909	0.35881
2.5912	0.35897
2.5916	0.35905
2.5919	0.35905
2.5922	0.35913
2.5925	0.35904
2.5929	0.35886
2.5932	0.35869
2.5935	0.35827
2.5938	0.35878
2.5942	0.35977
2.5945	0.35989
2.5948	0.35929
2.5951	0.36002
2.5955	0.35990
2.5958	0.35942
2.5961	0.35947
2.5964	0.36011
2.5968	0.36023
2.5971	0.35938
2.5974	0.35933
2.5977	0.35961
2.5981	0.35980
2.5984	0.35966
2.5987	0.35959
2.5990	0.35965
2.5994	0.35989
2.5997	0.35953
2.6000	0.35953
2.6003	0.35968
2.6007	0.35957
2.6010	0.35961
2.6013	0.35993
2.6016	0.35995
2.6020	0.36003
2.6023	0.36018
2.6026	0.36015
2.6030	0.36026
2.6033	0.36025
2.6036	0.35998
2.6039	0.36005
2.6043	0.36005
2.6046	0.35997
2.6049	0.36016
2.6052	0.36040
2.6056	0.36061
2.6059	0.36038
2.6062	0.36098
2.6066	0.36062
2.6069	0.36044
2.6072	0.36072
2.6075	0.36064
2.6079	0.36058
2.6082	0.36076
2.6085	0.36055
2.6088	0.36045
2.6092	0.36079
2.6095	0.36088
2.6098	0.36099
2.6102	0.36095
2.6105	0.36095
2.6108	0.36088
2.6111	0.36086
2.6115	0.36096
2.6118	0.36092
2.6121	0.36089
2.6125	0.36103
2.6128	0.36094
2.6131	0.36095
2.6134	0.36119
2.6138	0.36123
2.6141	0.36095
2.6144	0.36108
2.6148	0.36133
2.6151	0.36125
2.6154	0.36117
2.6158	0.36118
2.6161	0.36113
2.6164	0.36135
2.6167	0.36149
2.6171	0.36182
2.6174	0.36177
2.6177	0.36157
2.6181	0.36157
2.6184	0.36145
2.6187	0.36133
2.6191	0.36136
2.6194	0.36161
2.6197	0.36166
2.6201	0.36194
2.6204	0.36244
2.6207	0.36228
2.6210	0.36223
2.6214	0.36211
2.6217	0.36165
2.6220	0.36157
2.6224	0.36184
2.6227	0.36213
2.6230	0.36228
2.6234	0.36209
2.6237	0.36186
2.6240	0.36209
2.6244	0.36210
2.6247	0.36185
2.6250	0.36177
2.6254	0.36197
2.6257	0.36199
2.6260	0.36194
2.6264	0.36201
2.6267	0.36236
2.6270	0.36262
2.6274	0.36273
2.6277	0.36236
2.6280	0.36193
2.6284	0.36211
2.6287	0.36238
2.6290	0.36240
2.6294	0.36202
2.6297	0.36207
2.6300	0.36255
2.6304	0.36273
2.6307	0.36263
2.6310	0.36302
2.6314	0.36318
2.6317	0.36249
2.6320	0.36264
2.6324	0.36293
2.6327	0.36284
2.6330	0.36259
2.6334	0.36252
2.6337	0.36258
2.6340	0.36242
2.6344	0.36247
2.6347	0.36277
2.6350	0.36266
2.6354	0.36259
2.6357	0.36263
2.6360	0.36273
2.6364	0.36279
2.6367	0.36282
2.6370	0.36280
2.6374	0.36264
2.6377	0.36241
2.6380	0.36239
2.6384	0.36260
2.6387	0.36258
2.6391	0.36265
2.6394	0.36284
2.6397	0.36277
2.6401	0.36281
2.6404	0.36311
2.6407	0.36310
2.6411	0.36299
2.6414	0.36277
2.6417	0.36256
2.6421	0.36282
2.6424	0.36311
2.6428	0.36311
2.6431	0.36319
2.6434	0.36309
2.6438	0.36311
2.6441	0.36298
2.6444	0.36287
2.6448	0.36310
2.6451	0.36316
2.6455	0.36318
2.6458	0.36332
2.6461	0.36341
2.6465	0.36308
2.6468	0.36272
2.6471	0.36284
2.6475	0.36322
2.6478	0.36299
2.6482	0.36291
2.6485	0.36314
2.6488	0.36302
2.6492	0.36298
2.6495	0.36323
2.6498	0.36339
2.6502	0.36331
2.6505	0.36313
2.6509	0.36307
2.6512	0.36321
2.6515	0.36327
2.6519	0.36344
2.6522	0.36334
2.6526	0.36334
2.6529	0.36329
2.6532	0.36313
2.6536	0.36309
2.6539	0.36310
2.6543	0.36309
2.6546	0.36330
2.6549	0.36321
2.6553	0.36309
2.6556	0.36319
2.6560	0.36328
2.6563	0.36328
2.6566	0.36322
2.6570	0.36317
2.6573	0.36299
2.6577	0.36306
2.6580	0.36330
2.6583	0.36334
2.6587	0.36320
2.6590	0.36321
2.6594	0.36319
2.6597	0.36327
2.6600	0.36337
2.6604	0.36316
2.6607	0.36308
2.6611	0.36307
2.6614	0.36314
2.6617	0.36328
2.6621	0.36320
2.6624	0.36310
2.6628	0.36296
2.6631	0.36289
2.6635	0.36297
2.6638	0.36295
2.6641	0.36288
2.6645	0.36292
2.6648	0.36343
2.6652	0.36371
2.6655	0.36333
2.6659	0.36291
2.6662	0.36229
2.6665	0.36263
2.6669	0.36347
2.6672	0.36345
2.6676	0.36327
2.6679	0.36330
2.6683	0.36257
2.6686	0.36236
2.6689	0.36221
2.6693	0.36208
2.6696	0.36201
2.6700	0.36218
2.6703	0.36269
2.6707	0.36312
2.6710	0.36288
2.6713	0.36215
2.6717	0.36157
2.6720	0.36167
2.6724	0.36154
2.6727	0.36144
2.6731	0.36130
2.6734	0.36100
2.6738	0.36081
2.6741	0.36080
2.6744	0.36084
2.6748	0.36076
2.6751	0.36041
2.6755	0.36032
2.6758	0.36066
2.6762	0.36078
2.6765	0.36057
2.6769	0.36072
2.6772	0.36041
2.6776	0.36008
2.6779	0.36004
2.6782	0.35996
2.6786	0.35953
2.6789	0.35957
2.6793	0.35977
2.6796	0.35960
2.6800	0.35945
2.6803	0.35925
2.6807	0.35879
2.6810	0.35878
2.6814	0.35891
2.6817	0.35871
2.6821	0.35814
2.6824	0.35796
2.6827	0.35799
2.6831	0.35804
2.6834	0.35771
2.6838	0.35752
2.6841	0.35749
2.6845	0.35708
2.6848	0.35668
2.6852	0.35655
2.6855	0.35647
2.6859	0.35622
2.6862	0.35601
2.6866	0.35608
2.6869	0.35594
2.6873	0.35580
2.6876	0.35539
2.6880	0.35499
2.6883	0.35484
2.6887	0.35463
2.6890	0.35426
2.6894	0.35409
2.6897	0.35398
2.6901	0.35366
2.6904	0.35343
2.6908	0.35334
2.6911	0.35315
2.6915	0.35288
2.6918	0.35255
2.6922	0.35234
2.6925	0.35196
2.6929	0.35171
2.6932	0.35159
2.6936	0.35164
2.6939	0.35149
2.6943	0.35111
2.6946	0.35061
2.6950	0.35018
2.6953	0.35012
2.6957	0.35002
2.6960	0.34982
2.6964	0.34932
2.6967	0.34870
2.6971	0.34820
2.6974	0.34814
2.6978	0.34812
2.6981	0.34787
2.6985	0.34761
2.6988	0.34709
2.6992	0.34670
2.6995	0.34636
2.6999	0.34633
2.7002	0.34614
2.7006	0.34531
2.7009	0.34499
2.7013	0.34517
2.7016	0.34475
2.7020	0.34443
2.7023	0.34416
2.7027	0.34361
2.7030	0.34327
2.7034	0.34295
2.7037	0.34244
2.7041	0.34173
