Wavelength (nm),Pigeonite hs199 spliced
2896.175,0.105609
2897.794,0.105722
2899.415,0.105722
2901.037,0.105778
2902.662,0.105778
2904.288,0.105778
2905.916,0.105891
2907.546,0.105835
2909.178,0.105553
2910.811,0.105496
2912.446,0.105609
2914.083,0.105778
2915.722,0.105948
2917.363,0.105891
2919.006,0.105948
2920.65,0.105948
2922.296,0.106004
2923.944,0.106117
2925.594,0.10623
2927.246,0.106286
2928.9,0.106343
2930.556,0.106343
2932.213,0.106286
2933.873,0.106399
2935.534,0.106738
2937.198,0.106738
2938.863,0.106851
2940.53,0.107246
2942.199,0.107359
2943.869,0.107472
2945.542,0.107585
2947.217,0.107867
2948.893,0.108149
2950.572,0.108093
2952.252,0.108319
2953.934,0.108714
2955.618,0.108939
2957.304,0.108939
2958.992,0.109109
2960.681,0.109391
2962.373,0.10956
2964.067,0.109843
2965.763,0.110351
2967.46,0.110746
2969.16,0.110971
2970.861,0.111141
2972.565,0.111423
2974.271,0.111705
2975.978,0.111931
2977.687,0.112383
2979.398,0.112778
2981.112,0.113003
2982.827,0.11306
2984.544,0.113342
2986.264,0.11385
2987.985,0.114189
2989.709,0.114471
2991.434,0.114979
2993.161,0.115318
2994.89,0.1156
2996.621,0.116052
2998.354,0.116447
3000.089,0.116729
3001.826,0.117237
3003.565,0.117632
3005.306,0.117971
3007.05,0.118422
3008.795,0.11893
3010.542,0.119212
3012.291,0.119551
3014.043,0.120172
3015.796,0.120624
3017.552,0.120962
3019.309,0.121244
3021.069,0.121583
3022.83,0.122148
3024.594,0.122486
3026.36,0.122881
3028.127,0.123333
3029.897,0.123502
3031.669,0.123954
3033.443,0.124518
3035.219,0.124913
3036.998,0.125083
3038.778,0.125309
3040.56,0.125817
3042.344,0.126099
3044.13,0.126381
3045.919,0.126776
3047.709,0.127058
3049.502,0.127171
3051.297,0.12751
3053.094,0.127905
3054.893,0.128244
3056.694,0.128469
3058.498,0.128808
3060.303,0.129147
3062.111,0.129429
3063.921,0.129485
3065.733,0.129711
3067.547,0.130106
3069.363,0.130276
3071.181,0.130501
3073.001,0.130897
3074.824,0.131292
3076.649,0.13163
3078.476,0.1318
3080.305,0.132026
3082.136,0.132364
3083.97,0.13259
3085.805,0.132929
3087.644,0.133324
3089.484,0.133719
3091.326,0.134001
3093.171,0.13434
3095.017,0.134566
3096.866,0.134904
3098.717,0.135412
3100.57,0.135694
3102.426,0.135977
3104.284,0.136541
3106.144,0.136936
3108.006,0.137218
3109.871,0.137444
3111.737,0.137783
3113.606,0.138234
3115.477,0.13863
3117.35,0.139025
3119.226,0.139476
3121.104,0.139984
3122.984,0.140492
3124.866,0.140775
3126.751,0.141283
3128.638,0.141847
3130.527,0.142242
3132.419,0.142694
3134.313,0.143089
3136.209,0.14354
3138.108,0.144105
3140.008,0.144613
3141.912,0.145121
3143.817,0.145572
3145.725,0.145855
3147.635,0.146306
3149.547,0.146927
3151.462,0.147379
3153.378,0.148
3155.298,0.148508
3157.219,0.148903
3159.143,0.149354
3161.07,0.149693
3162.998,0.150144
3164.929,0.150878
3166.862,0.151443
3168.798,0.152007
3170.736,0.152346
3172.677,0.152854
3174.619,0.153305
3176.565,0.153813
3178.513,0.154265
3180.463,0.154717
3182.415,0.155225
3184.37,0.15562
3186.327,0.156184
3188.287,0.156805
3190.248,0.157426
3192.213,0.157765
3194.18,0.15816
3196.149,0.158668
3198.121,0.159345
3200.095,0.159797
3202.072,0.160248
3204.051,0.160756
3206.032,0.161208
3208.016,0.161603
3210.002,0.162054
3211.991,0.162675
3213.982,0.163183
3215.976,0.163804
3217.972,0.164312
3219.971,0.164651
3221.972,0.165272
3223.976,0.16578
3225.982,0.166175
3227.991,0.166626
3230.002,0.167078
3232.016,0.167642
3234.032,0.16815
3236.051,0.168489
3238.072,0.168771
3240.096,0.169223
3242.123,0.169731
3244.152,0.170183
3246.183,0.170521
3248.217,0.17086
3250.253,0.171311
3252.293,0.171763
3254.334,0.172102
3256.378,0.172384
3258.425,0.172723
3260.474,0.173287
3262.526,0.173682
3264.58,0.173908
3266.638,0.174303
3268.697,0.174698
3270.76,0.175037
3272.825,0.175432
3274.892,0.175714
3276.962,0.176053
3279.035,0.176392
3281.11,0.176617
3283.188,0.1769
3285.269,0.177351
3287.352,0.17769
3289.438,0.178028
3291.526,0.178367
3293.617,0.178819
3295.711,0.179044
3297.807,0.179214
3299.906,0.179496
3302.008,0.179948
3304.113,0.180343
3306.22,0.180512
3308.33,0.180681
3310.443,0.18102
3312.558,0.181246
3314.676,0.181528
3316.797,0.18181
3318.92,0.182036
3321.046,0.182262
3323.175,0.182657
3325.307,0.182996
3327.442,0.183334
3329.579,0.183617
3331.719,0.183842
3333.861,0.183899
3336.007,0.184068
3338.155,0.18435
3340.306,0.184802
3342.458,0.185028
3344.615,0.185141
3346.774,0.185366
3348.936,0.185479
3351.101,0.185705
3353.268,0.1861
3355.439,0.186269
3357.612,0.186439
3359.789,0.186552
3361.968,0.186721
3364.149,0.18689
3366.334,0.187003
3368.521,0.187285
3370.711,0.187568
3372.904,0.187793
3375.1,0.188019
3377.3,0.188301
3379.501,0.188527
3381.706,0.188697
3383.913,0.188753
3386.123,0.188979
3388.336,0.189261
3390.553,0.1896
3392.771,0.189995
