Wavelength (µm)	ALH-271, spot f
2.5601	0.14287
2.5613	0.14193
2.5626	0.14355
2.5639	0.14485
2.5651	0.14434
2.5664	0.14447
2.5677	0.14408
2.5689	0.14313
2.5702	0.14276
2.5715	0.14398
2.5728	0.14525
2.5740	0.14393
2.5753	0.14391
2.5766	0.14414
2.5779	0.14325
2.5792	0.14392
2.5805	0.14453
2.5817	0.14307
2.5830	0.14258
2.5843	0.14284
2.5856	0.14407
2.5869	0.14545
2.5882	0.14474
2.5895	0.14419
2.5908	0.14390
2.5921	0.14389
2.5934	0.14431
2.5947	0.14378
2.5960	0.14450
2.5973	0.14874
2.5986	0.14885
2.5999	0.14612
2.6012	0.14445
2.6025	0.14415
2.6038	0.14401
2.6051	0.14393
2.6064	0.14429
2.6077	0.14586
2.6090	0.14550
2.6103	0.14472
2.6117	0.14522
2.6130	0.14596
2.6143	0.14562
2.6156	0.14518
2.6169	0.14446
2.6182	0.14456
2.6196	0.14582
2.6209	0.14461
2.6222	0.14481
2.6235	0.14685
2.6249	0.14585
2.6262	0.14518
2.6275	0.14455
2.6289	0.14536
2.6302	0.14672
2.6315	0.14631
2.6329	0.14755
2.6342	0.14704
2.6356	0.14476
2.6369	0.14400
2.6382	0.14303
2.6396	0.14372
2.6409	0.14432
2.6423	0.14353
2.6436	0.14325
2.6450	0.14300
2.6463	0.14327
2.6477	0.14407
2.6490	0.14327
2.6504	0.14250
2.6517	0.14211
2.6531	0.14202
2.6544	0.14396
2.6558	0.14551
2.6572	0.14403
2.6585	0.14296
2.6599	0.14244
2.6613	0.14300
2.6626	0.14381
2.6640	0.14360
2.6654	0.14234
2.6667	0.14348
2.6681	0.14590
2.6695	0.14529
2.6709	0.14267
2.6722	0.14327
2.6736	0.14491
2.6750	0.14187
2.6764	0.13938
2.6778	0.14011
2.6791	0.14155
2.6805	0.14073
2.6819	0.14063
2.6833	0.13978
2.6847	0.13816
2.6861	0.13782
2.6875	0.13713
2.6889	0.13717
2.6903	0.13739
2.6917	0.13654
2.6931	0.13559
2.6945	0.13553
2.6959	0.13622
2.6973	0.13690
2.6987	0.13640
2.7001	0.13452
2.7015	0.13228
2.7029	0.13195
2.7043	0.13277
2.7057	0.13275
2.7071	0.13139
2.7085	0.12969
2.7100	0.12887
2.7114	0.12898
2.7128	0.12885
2.7142	0.12885
2.7156	0.12778
2.7171	0.12555
2.7185	0.12358
2.7199	0.12273
2.7213	0.12211
2.7228	0.12230
2.7242	0.12186
2.7256	0.12073
2.7271	0.12157
2.7285	0.12069
2.7299	0.11957
2.7314	0.11865
2.7328	0.11831
2.7342	0.11753
2.7357	0.11622
2.7371	0.11698
2.7386	0.11783
2.7400	0.11717
2.7415	0.11817
2.7429	0.11899
2.7444	0.11769
2.7458	0.11603
2.7473	0.11472
2.7487	0.11377
2.7502	0.11343
2.7517	0.11314
2.7531	0.11186
2.7546	0.11097
2.7561	0.11124
2.7575	0.11346
2.7590	0.11325
2.7605	0.11058
2.7619	0.10941
2.7634	0.10945
2.7649	0.10992
2.7663	0.11041
2.7678	0.10940
2.7693	0.10870
2.7708	0.10861
2.7723	0.10915
2.7737	0.10931
2.7752	0.10859
2.7767	0.10825
2.7782	0.10723
2.7797	0.10630
2.7812	0.10575
2.7827	0.10562
2.7842	0.10605
2.7857	0.10675
2.7872	0.10671
2.7887	0.10576
2.7902	0.10587
2.7917	0.10611
2.7932	0.10569
2.7947	0.10438
2.7962	0.10323
2.7977	0.10349
2.7992	0.10432
2.8007	0.10364
2.8022	0.10341
2.8038	0.10365
2.8053	0.10402
2.8068	0.10402
2.8083	0.10323
2.8098	0.10250
2.8114	0.10261
2.8129	0.10266
2.8144	0.10269
2.8159	0.10236
2.8175	0.10157
2.8190	0.10166
2.8205	0.10144
2.8221	0.10138
2.8236	0.10163
2.8251	0.10125
2.8267	0.10125
2.8282	0.10198
2.8298	0.10160
2.8313	0.10112
2.8329	0.10087
2.8344	0.099750
2.8360	0.099231
2.8375	0.099901
2.8391	0.10064
2.8406	0.10034
2.8422	0.099776
2.8437	0.10029
2.8453	0.10047
2.8469	0.10038
2.8484	0.10052
2.8500	0.10043
2.8516	0.10008
2.8531	0.099931
2.8547	0.099625
2.8563	0.099201
2.8578	0.099995
2.8594	0.099955
2.8610	0.099499
2.8626	0.099906
2.8642	0.10001
2.8657	0.10026
2.8673	0.10056
2.8689	0.10001
2.8705	0.099220
2.8721	0.098475
2.8737	0.098207
2.8753	0.098784
2.8769	0.099167
2.8785	0.099161
2.8801	0.099233
2.8817	0.099092
2.8833	0.098622
2.8849	0.098771
2.8865	0.099160
2.8881	0.098899
2.8897	0.099046
2.8913	0.099171
2.8929	0.099131
2.8945	0.098562
2.8962	0.098803
2.8978	0.099114
2.8994	0.098075
2.9010	0.097628
2.9027	0.098524
2.9043	0.099026
2.9059	0.099295
2.9075	0.099188
2.9092	0.098360
2.9108	0.097724
2.9124	0.097734
2.9141	0.098305
2.9157	0.098599
2.9174	0.098647
2.9190	0.098733
2.9206	0.098079
2.9223	0.097758
2.9239	0.097832
2.9256	0.097809
2.9272	0.098275
2.9289	0.098594
2.9305	0.097992
2.9322	0.097945
2.9339	0.098156
2.9355	0.097868
2.9372	0.097773
2.9389	0.097004
2.9405	0.096687
2.9422	0.097391
2.9439	0.098098
2.9455	0.097790
2.9472	0.097202
2.9489	0.097441
2.9506	0.097334
2.9522	0.096998
2.9539	0.096987
2.9556	0.097230
2.9573	0.096859
2.9590	0.096674
2.9607	0.097130
2.9624	0.097074
2.9641	0.096676
2.9658	0.096851
2.9674	0.096759
2.9691	0.096057
2.9709	0.095778
2.9726	0.096210
2.9743	0.096574
2.9760	0.096723
2.9777	0.096591
2.9794	0.096370
2.9811	0.096557
2.9828	0.096500
2.9845	0.095970
2.9863	0.095648
2.9880	0.095427
2.9897	0.095769
2.9914	0.096119
2.9931	0.096035
2.9949	0.095870
2.9966	0.095703
2.9983	0.096065
3.0001	0.096110
3.0018	0.096250
3.0036	0.096668
3.0053	0.096738
3.0070	0.096036
3.0088	0.096078
3.0105	0.096308
3.0123	0.096008
3.0140	0.095969
3.0158	0.096146
3.0175	0.096423
3.0193	0.096483
3.0211	0.096383
3.0228	0.096025
3.0246	0.095718
3.0263	0.095606
3.0281	0.095448
3.0299	0.095986
3.0317	0.096312
3.0334	0.095767
3.0352	0.095927
3.0370	0.095597
3.0388	0.095286
3.0405	0.095029
3.0423	0.095210
3.0441	0.095299
3.0459	0.095363
3.0477	0.095388
3.0495	0.095101
3.0513	0.095423
3.0531	0.095601
3.0549	0.094784
3.0567	0.094639
3.0585	0.094952
3.0603	0.095391
3.0621	0.095572
3.0639	0.094875
3.0657	0.094526
3.0675	0.094799
3.0694	0.094828
3.0712	0.095361
3.0730	0.095539
3.0748	0.095050
3.0766	0.094641
3.0785	0.094573
3.0803	0.094360
3.0821	0.094035
3.0840	0.094267
3.0858	0.094903
3.0876	0.095393
3.0895	0.094805
3.0913	0.094373
3.0932	0.094313
3.0950	0.094324
3.0969	0.094454
3.0987	0.094613
3.1006	0.094903
3.1024	0.094771
3.1043	0.094360
3.1061	0.093960
3.1080	0.094235
3.1099	0.094707
3.1117	0.094539
3.1136	0.094096
3.1155	0.094286
3.1173	0.094409
3.1192	0.094015
3.1211	0.093658
3.1230	0.094232
3.1249	0.094454
3.1267	0.094232
3.1286	0.094284
3.1305	0.094343
3.1324	0.094113
3.1343	0.094475
3.1362	0.094505
3.1381	0.094183
3.1400	0.094220
3.1419	0.094079
3.1438	0.094086
3.1457	0.094211
3.1476	0.094066
3.1495	0.093817
3.1514	0.094115
3.1534	0.094828
3.1553	0.094705
3.1572	0.094415
3.1591	0.094522
3.1611	0.094475
3.1630	0.094071
3.1649	0.093900
3.1669	0.094407
3.1688	0.094882
3.1707	0.094550
3.1727	0.094360
3.1746	0.094179
3.1766	0.094439
3.1785	0.094548
3.1805	0.094696
3.1824	0.094684
3.1844	0.094320
3.1863	0.093894
3.1883	0.094132
3.1902	0.094850
3.1922	0.095195
3.1942	0.094573
3.1961	0.094375
3.1981	0.094669
3.2001	0.094892
3.2021	0.094726
3.2040	0.094662
3.2060	0.094918
3.2080	0.095227
3.2100	0.095252
3.2120	0.095127
3.2140	0.095107
3.2160	0.095246
3.2180	0.095316
3.2200	0.095122
3.2220	0.095124
3.2240	0.095248
3.2260	0.095169
3.2280	0.094980
3.2300	0.094835
3.2320	0.095103
3.2340	0.095067
3.2360	0.094977
3.2381	0.095433
3.2401	0.095518
3.2421	0.095027
3.2441	0.095286
3.2462	0.095631
3.2482	0.095561
3.2502	0.095356
3.2523	0.095269
3.2543	0.095452
3.2564	0.095324
3.2584	0.095061
3.2605	0.095061
3.2625	0.095082
3.2646	0.095344
3.2666	0.095122
3.2687	0.094939
3.2707	0.094554
3.2728	0.094492
3.2749	0.094788
3.2770	0.094984
3.2790	0.095043
3.2811	0.095020
3.2832	0.095126
3.2853	0.094941
3.2873	0.094805
3.2894	0.094990
3.2915	0.095316
3.2936	0.095452
3.2957	0.095408
3.2978	0.095282
3.2999	0.095199
3.3020	0.095218
3.3041	0.095316
3.3062	0.095559
3.3083	0.095312
3.3104	0.094931
3.3125	0.095067
3.3147	0.095175
3.3168	0.095188
3.3189	0.095459
3.3210	0.095378
3.3232	0.095559
3.3253	0.095450
3.3274	0.095222
3.3296	0.095346
3.3317	0.095220
3.3338	0.094922
3.3360	0.095031
3.3381	0.094986
3.3403	0.095056
3.3424	0.094958
3.3446	0.094584
3.3468	0.094916
3.3489	0.094948
3.3511	0.094377
3.3533	0.094300
3.3554	0.094967
3.3576	0.095150
3.3598	0.095137
3.3620	0.095469
3.3641	0.095752
3.3663	0.095814
3.3685	0.095405
3.3707	0.095078
3.3729	0.095044
3.3751	0.095452
3.3773	0.095380
3.3795	0.095143
3.3817	0.095197
3.3839	0.095314
3.3861	0.095307
3.3883	0.094967
3.3905	0.094877
3.3928	0.095425
3.3950	0.095437
3.3972	0.095241
3.3994	0.095299
3.4017	0.095369
3.4039	0.094697
3.4061	0.094575
3.4084	0.094952
3.4106	0.095171
3.4129	0.095473
3.4151	0.095175
3.4174	0.094584
3.4196	0.094377
3.4219	0.094647
3.4241	0.095107
3.4264	0.095146
3.4287	0.095052
3.4309	0.095429
3.4332	0.095410
3.4355	0.095129
3.4378	0.095005
3.4400	0.094960
3.4423	0.095039
3.4446	0.095297
3.4469	0.095569
3.4492	0.095522
3.4515	0.095259
3.4538	0.095143
3.4561	0.095186
3.4584	0.095384
3.4607	0.095093
3.4630	0.095141
3.4653	0.095363
3.4676	0.095503
3.4700	0.095258
3.4723	0.095224
3.4746	0.095473
3.4770	0.095525
3.4793	0.095207
3.4816	0.095014
3.4840	0.095112
3.4863	0.094935
3.4887	0.094643
3.4910	0.094731
3.4934	0.094939
3.4957	0.095003
3.4981	0.094986
3.5004	0.094950
3.5028	0.094765
3.5052	0.094905
3.5075	0.095016
3.5099	0.095016
3.5123	0.094846
3.5147	0.094743
3.5171	0.094978
3.5194	0.095043
3.5218	0.094899
3.5242	0.094888
3.5266	0.095078
3.5290	0.095254
3.5314	0.095523
3.5338	0.095567
3.5362	0.095623
3.5387	0.095718
3.5411	0.095716
3.5435	0.095804
3.5459	0.095633
3.5483	0.095804
3.5508	0.095876
3.5532	0.095622
3.5556	0.095814
3.5581	0.095461
3.5605	0.095197
3.5630	0.095512
3.5654	0.095378
3.5679	0.095135
3.5703	0.095337
3.5728	0.095399
