M3 Wavelengths (µm)	M3t augite spliced	M3t Augite WS592 BECKb	M3t Augite WS592 NIC4cc	M3t Orthoclase spliced	M3t Orthoclase NMNH142137 BECKb	M3t Orthoclase NMNH142137 NIC4bb	M3t Pigeonite HS199.1B ASDFRb	M3t Pigeonite HS199.2B ASDFRc	M3t Pigeonite HS199.3B ASDFRc	M3t Pigeonite HS199.4B ASDFRd	M3t Pigeonite HS199.3B BECKc	M3t Pigeonite HS199.3B NIC4cc
2.1228		0.40246	0.43013		0.81686	0.81415	0.31767	0.35177	0.19404	0.11977	0.17654	0.17767
2.1328		0.39735	0.42622		0.81846	0.81485	0.31787	0.35212	0.19404	0.11955	0.18035	0.17796
2.1428		0.39359	0.42254		0.81655	0.81559	0.31808	0.35225	0.19434	0.11961	0.1806	0.17815
2.1528		0.39315	0.41936		0.814	0.81617	0.31824	0.35266	0.19445	0.11948	0.17876	0.17858
2.1628		0.3887	0.41614		0.81224	0.81655	0.31873	0.3534	0.1945	0.11908	0.17618	0.17891
2.1727		0.38533	0.41294		0.80977	0.81655	0.31888	0.3539	0.19459	0.11824	0.17905	0.17904
2.1827		0.38121	0.40981		0.80567	0.81607	0.31914	0.35404	0.19409	0.11681	0.17921	0.17897
2.1927		0.37611	0.40681		0.80762	0.81536	0.31952	0.35426	0.19345	0.11529	0.17679	0.17893
2.2027		0.37422	0.40407		0.80462	0.81457	0.32046	0.35528	0.19371	0.11482	0.17643	0.17904
2.2127		0.37313	0.40132		0.80262	0.81395	0.32114	0.35629	0.19471	0.11544	0.17924	0.17941
2.2226		0.37168	0.39838		0.80232	0.81357	0.32113	0.35698	0.19542	0.11631	0.18093	0.17992
2.2326		0.36715	0.39532		0.8019	0.81341	0.32124	0.35749	0.19614	0.11675	0.1794	0.1804
2.2426		0.36571	0.39235		0.8053	0.81358	0.32129	0.35824	0.19672	0.11746	0.18066	0.18072
2.2526		0.36323	0.38986		0.80218	0.81404	0.32226	0.35897	0.19736	0.11783	0.18185	0.18102
2.2626		0.36126	0.38732		0.80424	0.81459	0.32285	0.35958	0.19812	0.1183	0.18253	0.18141
2.2725		0.36011	0.38466		0.80744	0.81498	0.32353	0.36071	0.1989	0.11857	0.17983	0.18201
2.2825		0.36132	0.38201		0.80427	0.81524	0.32402	0.36189	0.19936	0.11862	0.17969	0.1823
2.2925		0.34966	0.37966		0.80145	0.81502	0.32384	0.36181	0.19913	0.11819	0.18153	0.18245
2.3025		0.34997	0.37781		0.80554	0.81446	0.32411	0.36121	0.19887	0.11769	0.17967	0.18248
2.3125		0.35345	0.37631		0.80941	0.81426	0.32481	0.36116	0.19834	0.11654	0.18195	0.18249
2.3224		0.35329	0.37557		0.81207	0.81394	0.3257	0.36233	0.19785	0.11482	0.18287	0.18257
2.3324		0.35507	0.37561		0.80996	0.81331	0.32609	0.36243	0.19729	0.11298	0.18113	0.18288
2.3424		0.3587	0.37608		0.80704	0.81259	0.32654	0.3628	0.1972	0.11228	0.17878	0.18358
2.3524		0.3592	0.37659		0.81087	0.81213	0.32708	0.36381	0.19805	0.11231	0.18327	0.18463
2.3624		0.35804	0.37689		0.81372	0.81212	0.32778	0.36579	0.20009	0.11364	0.18505	0.18564
2.3724		0.36419	0.37693		0.81491	0.81228	0.32787	0.36694	0.20145	0.11578	0.18559	0.18668
2.3823		0.36245	0.37696		0.81499	0.81282	0.32762	0.36769	0.20229	0.11628	0.19224	0.18765
2.3923		0.36115	0.37728		0.81483	0.81335	0.32825	0.36865	0.20334	0.11662	0.19404	0.18867
2.4023		0.36599	0.37822		0.81472	0.81398	0.32823	0.36962	0.20452	0.11713	0.19086	0.18964
2.4123		0.36732	0.37924		0.81318	0.81445	0.32946	0.37038	0.20523	0.11807	0.19007	0.19078
2.4223		0.36772	0.38025		0.81167	0.81443	0.32969	0.37145	0.20638	0.1181	0.19144	0.19178
2.4322		0.36903	0.38137		0.8108	0.81405	0.32993	0.37199	0.20726	0.11829	0.19342	0.19271
2.4422		0.37159	0.38275		0.8097	0.81356	0.3311	0.3732	0.2084	0.11926	0.19498	0.19379
2.4522		0.37509	0.38435		0.80821	0.81276	0.32988	0.3732	0.20862	0.11814	0.19513	0.1948
2.4622		0.37895	0.38595		0.80735	0.81174	0.3297	0.3731	0.20969	0.11858	0.19518	0.19585
2.4722		0.38256	0.38786		0.80824	0.81072	0.32907	0.37476	0.2104	0.11912	0.19666	0.19685
2.4821		0.38571	0.38977		0.81051	0.80983	0.33053	0.37365	0.21226	0.11953	0.19948	0.19796
2.4921		0.38855	0.39155		0.81263	0.80898	0.33177	0.37508	0.21338	0.11985	0.20229	0.19907
2.5021		0.39123	0.39331		0.8131	0.80846					0.20375	0.20006
2.5121		0.39378	0.39515		0.81181	0.80822					0.20377	0.20112
2.5221		0.39615	0.3973		0.80978	0.80838					0.20327	0.20202
2.532		0.39831	0.39942		0.80804	0.80878					0.20321	0.20315
2.542		0.40045	0.40163		0.80703	0.80939					0.204	0.20452
2.552		0.40309	0.40381		0.80639	0.80977					0.20535	0.20578
2.562		0.40681	0.40546		0.80568	0.80907					0.20691	0.20765
2.572		0.41179	0.40747		0.80467	0.80917					0.20843	0.20882
2.5819		0.41739	0.40926		0.80359	0.80866					0.20986	0.21015
2.5919		0.42284	0.41037		0.80274	0.80674					0.21117	0.21207
2.6019		0.42757	0.41266		0.80242	0.80691					0.21233	0.21254
2.6119		0.43184	0.41478		0.80287	0.80693					0.21333	0.21277
2.6219		0.43614	0.41631		0.80433	0.80597					0.21411	0.21343
2.6319		0.44062	0.41778		0.80685	0.80567					0.21468	0.21349
2.6418		0.44283	0.41908		0.80908	0.80618					0.21527	0.21268
2.6518		0.4391	0.41792		0.80899	0.80405					0.21626	0.21292
2.6618		0.42592	0.41367		0.80467	0.79945					0.21789	0.21406
2.6718		0.40222	0.4044		0.79625	0.79569					0.21845	0.21343
2.6818		0.36888	0.37968		0.78544	0.79532					0.21469	0.20794
2.6917		0.32689	0.32124		0.77398	0.7878					0.20337	0.20126
2.7017		0.27934	0.24736		0.76176	0.7745					0.18421	0.1906
2.7117		0.23218	0.20247		0.7462	0.76573					0.16093	0.16966
2.7217		0.19151	0.19148		0.72456	0.75699					0.13749	0.14024
2.7317		0.16138	0.1843		0.69617	0.74704					0.11709	0.11991
2.7416		0.14099	0.17546		0.66517	0.73275					0.10106	0.11038
2.7516		0.12887	0.17018		0.63634	0.71937					0.090495	0.1048
2.7616		0.12348	0.16916		0.61381	0.70599					0.085831	0.10279
2.7716		0.12305	0.17071		0.59886	0.69977					0.084808	0.10327
2.7816		0.12574	0.17243		0.59203	0.69382					0.084471	0.10441
2.7916		0.12978	0.17392		0.5933	0.68822					0.082256	0.10536
