Wavelength (µm)	<125 µm (357)
3.2462	0.49696
3.2482	0.49764
3.2502	0.49794
3.2523	0.49822
3.2543	0.49852
3.2564	0.49869
3.2584	0.49918
3.2605	0.49947
3.2625	0.49996
3.2646	0.50053
3.2666	0.50111
3.2687	0.50139
3.2707	0.50174
3.2728	0.50209
3.2749	0.50223
3.2770	0.50249
3.2790	0.50306
3.2811	0.50355
3.2832	0.50412
3.2853	0.50454
3.2873	0.50461
3.2894	0.50489
3.2915	0.50541
3.2936	0.50567
3.2957	0.50600
3.2978	0.50647
3.2999	0.50669
3.3020	0.50680
3.3041	0.50718
3.3062	0.50764
3.3083	0.50785
3.3104	0.50796
3.3125	0.50808
3.3147	0.50836
3.3168	0.50808
3.3189	0.50825
3.3210	0.50876
3.3232	0.50887
3.3253	0.50898
3.3274	0.50915
3.3296	0.50954
3.3317	0.50951
3.3338	0.50945
3.3360	0.50932
3.3381	0.50929
3.3403	0.50941
3.3424	0.50912
3.3446	0.50879
3.3468	0.50872
3.3489	0.50858
3.3511	0.50836
3.3533	0.50823
3.3554	0.50805
3.3576	0.50791
3.3598	0.50791
3.3620	0.50805
3.3641	0.50813
3.3663	0.50828
3.3685	0.50835
3.3707	0.50832
3.3729	0.50807
3.3751	0.50826
3.3773	0.50846
3.3795	0.50872
3.3817	0.50900
3.3839	0.50925
3.3861	0.50922
3.3883	0.50949
3.3905	0.50990
3.3928	0.51010
3.3950	0.51004
3.3972	0.51000
3.3994	0.50972
3.4017	0.50942
3.4039	0.50947
3.4061	0.50963
3.4084	0.50974
3.4106	0.50949
3.4129	0.50920
3.4151	0.50932
3.4174	0.50975
3.4196	0.50995
3.4219	0.51011
3.4241	0.51098
3.4264	0.51170
3.4287	0.51220
3.4309	0.51296
3.4332	0.51345
3.4355	0.51394
3.4378	0.51452
3.4400	0.51481
3.4423	0.51502
3.4446	0.51527
3.4469	0.51557
3.4492	0.51593
3.4515	0.51644
3.4538	0.51643
3.4561	0.51634
3.4584	0.51670
3.4607	0.51687
3.4630	0.51684
3.4653	0.51659
3.4676	0.51642
3.4700	0.51656
3.4723	0.51660
3.4746	0.51637
3.4770	0.51630
3.4793	0.51599
3.4816	0.51593
3.4840	0.51621
3.4863	0.51661
3.4887	0.51681
3.4910	0.51708
3.4934	0.51732
3.4957	0.51755
3.4981	0.51763
3.5004	0.51773
3.5028	0.51824
3.5052	0.51870
3.5075	0.51924
3.5099	0.51991
3.5123	0.52080
3.5147	0.52153
3.5171	0.52228
3.5194	0.52300
3.5218	0.52334
3.5242	0.52408
3.5266	0.52498
3.5290	0.52552
3.5314	0.52607
3.5338	0.52678
3.5362	0.52731
3.5387	0.52777
3.5411	0.52797
3.5435	0.52802
3.5459	0.52818
3.5483	0.52849
3.5508	0.52858
3.5532	0.52880
3.5556	0.52934
3.5581	0.52949
3.5605	0.52946
3.5630	0.52965
3.5654	0.52976
3.5679	0.52966
3.5703	0.52996
3.5728	0.53021
3.5753	0.53019
3.5777	0.53031
3.5802	0.53025
3.5827	0.53010
3.5852	0.53038
3.5876	0.53073
3.5901	0.53087
3.5926	0.53068
3.5951	0.53052
3.5976	0.53056
3.6001	0.53072
3.6026	0.53072
3.6051	0.53065
3.6076	0.53065
3.6101	0.53074
3.6126	0.53054
3.6152	0.53027
3.6177	0.53014
3.6202	0.53006
3.6227	0.53010
3.6253	0.53005
3.6278	0.52980
3.6303	0.52969
3.6329	0.52980
3.6354	0.52966
3.6380	0.52912
3.6405	0.52898
3.6431	0.52911
3.6457	0.52889
3.6482	0.52875
3.6508	0.52874
3.6534	0.52855
3.6559	0.52848
3.6585	0.52854
3.6611	0.52827
3.6637	0.52802
3.6663	0.52802
3.6689	0.52780
3.6715	0.52749
3.6741	0.52735
3.6767	0.52726
3.6793	0.52728
3.6819	0.52712
3.6845	0.52666
3.6872	0.52624
3.6898	0.52626
3.6924	0.52611
3.6950	0.52596
3.6977	0.52573
3.7003	0.52550
3.7030	0.52490
3.7056	0.52447
3.7083	0.52442
3.7109	0.52418
3.7136	0.52390
3.7162	0.52394
3.7189	0.52372
3.7216	0.52340
3.7242	0.52316
3.7269	0.52284
3.7296	0.52245
3.7323	0.52220
3.7350	0.52202
3.7377	0.52186
3.7404	0.52169
3.7431	0.52133
3.7458	0.52089
3.7485	0.52041
3.7512	0.52012
3.7539	0.51995
3.7566	0.51969
3.7593	0.51926
3.7621	0.51893
3.7648	0.51874
3.7675	0.51835
3.7703	0.51784
3.7730	0.51755
3.7758	0.51738
3.7785	0.51701
3.7813	0.51641
3.7840	0.51594
3.7868	0.51556
3.7896	0.51529
3.7923	0.51475
3.7951	0.51425
3.7979	0.51371
3.8007	0.51322
3.8035	0.51275
3.8063	0.51208
3.8091	0.51151
3.8119	0.51100
3.8147	0.51016
3.8175	0.50940
3.8203	0.50875
3.8231	0.50826
3.8259	0.50783
3.8288	0.50725
3.8316	0.50679
3.8344	0.50634
3.8373	0.50582
3.8401	0.50508
3.8429	0.50463
3.8458	0.50440
3.8487	0.50407
3.8515	0.50386
3.8544	0.50355
3.8572	0.50314
3.8601	0.50265
3.8630	0.50234
3.8659	0.50201
3.8688	0.50168
3.8716	0.50138
3.8745	0.50102
3.8774	0.50091
3.8803	0.50058
3.8832	0.50011
3.8862	0.49969
3.8891	0.49930
3.8920	0.49900
3.8949	0.49862
3.8978	0.49826
3.9008	0.49789
3.9037	0.49749
3.9067	0.49700
3.9096	0.49640
3.9126	0.49620
3.9155	0.49616
3.9185	0.49564
3.9214	0.49506
3.9244	0.49459
3.9274	0.49424
3.9304	0.49374
3.9333	0.49282
3.9363	0.49223
3.9393	0.49173
3.9423	0.49088
3.9453	0.48991
3.9483	0.48881
3.9513	0.48790
3.9543	0.48709
3.9574	0.48589
3.9604	0.48455
3.9634	0.48353
3.9664	0.48277
3.9695	0.48206
3.9725	0.48126
3.9756	0.48041
3.9786	0.47976
3.9817	0.47921
3.9847	0.47860
3.9878	0.47809
3.9909	0.47742
3.9939	0.47706
3.9970	0.47687
4.0001	0.47672
4.0032	0.47696
4.0063	0.47702
4.0094	0.47685
4.0125	0.47693
4.0156	0.47688
4.0187	0.47682
4.0218	0.47700
4.0249	0.47719
4.0281	0.47747
4.0312	0.47796
4.0343	0.47811
4.0375	0.47846
4.0406	0.47868
4.0438	0.47883
4.0469	0.47914
4.0501	0.47932
4.0533	0.47933
4.0564	0.47912
4.0596	0.47925
4.0628	0.47939
4.0660	0.47915
4.0692	0.47881
4.0724	0.47853
4.0756	0.47800
4.0788	0.47778
4.0820	0.47755
4.0852	0.47711
4.0884	0.47667
4.0917	0.47608
4.0949	0.47565
4.0981	0.47508
4.1014	0.47481
4.1046	0.47462
4.1079	0.47398
4.1111	0.47336
4.1144	0.47300
4.1177	0.47251
4.1209	0.47186
4.1242	0.47140
4.1275	0.47078
4.1308	0.47023
4.1341	0.46965
4.1374	0.46914
4.1407	0.46854
