Wavenumber (cm-1)	Wavelength (µm)	Wavelength (nm)	SynOl_Fo90
2886.9	3.4639	3463.9	0.66701
2885.0	3.4662	3466.2	0.66775
2883.1	3.4685	3468.5	0.66790
2881.2	3.4708	3470.8	0.66759
2879.2	3.4732	3473.2	0.66693
2877.3	3.4755	3475.5	0.66597
2875.4	3.4778	3477.8	0.66469
2873.5	3.4801	3480.1	0.66330
2871.5	3.4825	3482.5	0.66230
2869.6	3.4848	3484.8	0.66151
2867.6	3.4872	3487.2	0.66052
2865.7	3.4895	3489.5	0.65918
2863.8	3.4919	3491.9	0.65731
2861.9	3.4942	3494.2	0.65470
2859.9	3.4966	3496.6	0.65155
2858.0	3.4989	3498.9	0.64872
2856.1	3.5013	3501.3	0.64713
2854.1	3.5037	3503.7	0.64754
2852.3	3.5060	3506.0	0.65007
2850.3	3.5084	3508.4	0.65425
2848.4	3.5108	3510.8	0.65926
2846.4	3.5132	3513.2	0.66430
2844.5	3.5155	3515.5	0.66897
2842.6	3.5179	3517.9	0.67315
2840.7	3.5203	3520.3	0.67675
2838.7	3.5227	3522.7	0.67990
2836.8	3.5251	3525.1	0.68272
2834.9	3.5275	3527.5	0.68496
2832.9	3.5299	3529.9	0.68669
2831.0	3.5323	3532.3	0.68810
2829.1	3.5347	3534.7	0.68917
2827.2	3.5371	3537.1	0.68996
2825.3	3.5395	3539.5	0.69059
2823.3	3.5419	3541.9	0.69122
2821.4	3.5444	3544.4	0.69172
2819.4	3.5468	3546.8	0.69208
2817.5	3.5492	3549.2	0.69241
2815.6	3.5517	3551.7	0.69274
2813.7	3.5541	3554.1	0.69298
2811.8	3.5565	3556.5	0.69322
2809.8	3.5590	3559.0	0.69344
2807.9	3.5614	3561.4	0.69375
2805.9	3.5639	3563.9	0.69398
2804.0	3.5663	3566.3	0.69415
2802.1	3.5688	3568.8	0.69437
2800.2	3.5712	3571.2	0.69447
2798.2	3.5737	3573.7	0.69447
2796.3	3.5761	3576.1	0.69460
2794.4	3.5786	3578.6	0.69476
2792.4	3.5811	3581.1	0.69479
2790.5	3.5836	3583.6	0.69476
2788.6	3.5860	3586.0	0.69484
2786.7	3.5885	3588.5	0.69496
2784.7	3.5910	3591.0	0.69509
2782.8	3.5935	3593.5	0.69511
2780.9	3.5960	3596.0	0.69508
2778.9	3.5985	3598.5	0.69510
2777.0	3.6010	3601.0	0.69505
2775.1	3.6035	3603.5	0.69491
2773.2	3.6060	3606.0	0.69485
2771.2	3.6085	3608.5	0.69480
2769.3	3.6110	3611.0	0.69473
2767.4	3.6135	3613.5	0.69469
2765.4	3.6161	3616.1	0.69462
2763.5	3.6186	3618.6	0.69450
2761.6	3.6211	3621.1	0.69440
2759.7	3.6236	3623.6	0.69429
2757.7	3.6262	3626.2	0.69420
2755.8	3.6287	3628.7	0.69408
2753.8	3.6313	3631.3	0.69403
2751.9	3.6338	3633.8	0.69390
2750.0	3.6363	3636.3	0.69366
2748.1	3.6389	3638.9	0.69345
2746.2	3.6414	3641.4	0.69334
2744.2	3.6440	3644.0	0.69330
2742.3	3.6466	3646.6	0.69317
2740.4	3.6491	3649.1	0.69300
2738.5	3.6517	3651.7	0.69283
2736.5	3.6543	3654.3	0.69267
2734.6	3.6569	3656.9	0.69257
2732.7	3.6594	3659.4	0.69248
2730.7	3.6620	3662.0	0.69237
2728.8	3.6646	3664.6	0.69225
2726.9	3.6672	3667.2	0.69210
2724.9	3.6698	3669.8	0.69197
2723.0	3.6724	3672.4	0.69194
2721.1	3.6750	3675.0	0.69187
2719.2	3.6776	3677.6	0.69176
2717.2	3.6802	3680.2	0.69165
2715.3	3.6828	3682.8	0.69158
2713.4	3.6854	3685.4	0.69147
2711.4	3.6881	3688.1	0.69135
2709.5	3.6907	3690.7	0.69119
2707.6	3.6933	3693.3	0.69106
2705.7	3.6959	3695.9	0.69088
2703.7	3.6986	3698.6	0.69071
2701.8	3.7012	3701.2	0.69054
2699.9	3.7039	3703.9	0.69041
2698.0	3.7065	3706.5	0.69022
2696.0	3.7092	3709.2	0.69005
2694.1	3.7118	3711.8	0.68986
2692.2	3.7145	3714.5	0.68965
2690.3	3.7171	3717.1	0.68946
2688.3	3.7198	3719.8	0.68932
2686.4	3.7225	3722.5	0.68915
2684.4	3.7252	3725.2	0.68899
2682.5	3.7278	3727.8	0.68877
2680.6	3.7305	3730.5	0.68857
2678.7	3.7332	3733.2	0.68837
2676.7	3.7359	3735.9	0.68824
2674.8	3.7386	3738.6	0.68806
2672.9	3.7413	3741.3	0.68785
2670.9	3.7440	3744.0	0.68768
2669.0	3.7467	3746.7	0.68757
2667.1	3.7494	3749.4	0.68742
2665.2	3.7521	3752.1	0.68729
2663.3	3.7548	3754.8	0.68709
2661.3	3.7576	3757.6	0.68691
2659.4	3.7603	3760.3	0.68674
2657.5	3.7630	3763.0	0.68656
2655.5	3.7657	3765.7	0.68640
2653.6	3.7685	3768.5	0.68625
2651.7	3.7712	3771.2	0.68606
2649.7	3.7740	3774.0	0.68591
2647.8	3.7767	3776.7	0.68573
2645.9	3.7795	3779.5	0.68552
2644.0	3.7822	3782.2	0.68533
2642.0	3.7850	3785.0	0.68518
2640.1	3.7877	3787.7	0.68500
2638.2	3.7905	3790.5	0.68481
2636.2	3.7933	3793.3	0.68460
2634.3	3.7961	3796.1	0.68439
2632.4	3.7988	3798.8	0.68417
2630.5	3.8016	3801.6	0.68401
2628.5	3.8044	3804.4	0.68376
2626.6	3.8072	3807.2	0.68357
2624.7	3.8100	3810.0	0.68340
2622.7	3.8128	3812.8	0.68325
2620.8	3.8156	3815.6	0.68302
2618.9	3.8184	3818.4	0.68285
2617.0	3.8212	3821.2	0.68265
2615.0	3.8241	3824.1	0.68248
2613.1	3.8269	3826.9	0.68233
2611.2	3.8297	3829.7	0.68218
2609.3	3.8325	3832.5	0.68203
2607.3	3.8354	3835.4	0.68190
2605.4	3.8382	3838.2	0.68179
2603.4	3.8411	3841.1	0.68172
2601.5	3.8439	3843.9	0.68158
2599.6	3.8468	3846.8	0.68147
2597.7	3.8496	3849.6	0.68135
2595.7	3.8525	3852.5	0.68130
2593.8	3.8553	3855.3	0.68125
2591.9	3.8582	3858.2	0.68120
2589.9	3.8611	3861.1	0.68105
2588.1	3.8639	3863.9	0.68097
2586.1	3.8668	3866.8	0.68085
2584.2	3.8697	3869.7	0.68072
2582.2	3.8726	3872.6	0.68067
2580.3	3.8755	3875.5	0.68062
2578.4	3.8784	3878.4	0.68053
2576.5	3.8813	3881.3	0.68044
2574.5	3.8842	3884.2	0.68035
2572.6	3.8871	3887.1	0.68028
2570.7	3.8900	3890.0	0.68009
2568.7	3.8930	3893.0	0.67992
2566.8	3.8959	3895.9	0.67981
2564.9	3.8988	3898.8	0.67973
2563.0	3.9017	3901.7	0.67958
2561.0	3.9047	3904.7	0.67948
2559.1	3.9076	3907.6	0.67931
2557.2	3.9106	3910.6	0.67915
2555.3	3.9135	3913.5	0.67897
2553.3	3.9165	3916.5	0.67878
2551.4	3.9194	3919.4	0.67862
2549.5	3.9224	3922.4	0.67846
2547.5	3.9254	3925.4	0.67825
2545.6	3.9284	3928.4	0.67807
2543.7	3.9313	3931.3	0.67782
2541.7	3.9343	3934.3	0.67759
2539.8	3.9373	3937.3	0.67738
2537.9	3.9403	3940.3	0.67721
2535.9	3.9433	3943.3	0.67700
2534.0	3.9463	3946.3	0.67678
2532.1	3.9493	3949.3	0.67649
2530.2	3.9523	3952.3	0.67620
2528.3	3.9553	3955.3	0.67590
2526.3	3.9583	3958.3	0.67561
2524.4	3.9614	3961.4	0.67525
2522.4	3.9644	3964.4	0.67491
2520.5	3.9674	3967.4	0.67454
2518.6	3.9705	3970.5	0.67420
2516.7	3.9735	3973.5	0.67375
2514.7	3.9766	3976.6	0.67330
2512.8	3.9796	3979.6	0.67283
2510.9	3.9826	3982.6	0.67240
2509.0	3.9857	3985.7	0.67196
2507.0	3.9888	3988.8	0.67160
2505.1	3.9919	3991.9	0.67116
2503.2	3.9949	3994.9	0.67066
2501.3	3.9980	3998.0	0.67018
2499.3	4.0011	4001.1	0.66983
2497.4	4.0042	4004.2	0.66947
2495.4	4.0073	4007.3	0.66914
2493.5	4.0104	4010.4	0.66886
2491.6	4.0135	4013.5	0.66871
2489.7	4.0166	4016.6	0.66857
2487.7	4.0197	4019.7	0.66852
2485.8	4.0228	4022.8	0.66844
2483.9	4.0259	4025.9	0.66847
2481.9	4.0291	4029.1	0.66851
2480.0	4.0322	4032.2	0.66861
2478.1	4.0353	4035.3	0.66868
2476.2	4.0385	4038.5	0.66874
2474.3	4.0416	4041.6	0.66871
2472.3	4.0448	4044.8	0.66874
2470.4	4.0479	4047.9	0.66877
2468.5	4.0511	4051.1	0.66878
2466.5	4.0543	4054.3	0.66867
2464.6	4.0574	4057.4	0.66855
2462.7	4.0606	4060.6	0.66842
2460.8	4.0638	4063.8	0.66829
2458.8	4.0670	4067.0	0.66810
2456.9	4.0702	4070.2	0.66789
2455.0	4.0734	4073.4	0.66761
2453.0	4.0766	4076.6	0.66741
2451.1	4.0798	4079.8	0.66714
2449.2	4.0830	4083.0	0.66691
2447.3	4.0862	4086.2	0.66663
2445.3	4.0894	4089.4	0.66637
2443.4	4.0927	4092.7	0.66610
2441.5	4.0959	4095.9	0.66581
2439.6	4.0991	4099.1	0.66547
2437.6	4.1024	4102.4	0.66520
2435.7	4.1056	4105.6	0.66487
2433.7	4.1089	4108.9	0.66456
2431.8	4.1121	4112.1	0.66420
2429.9	4.1154	4115.4	0.66387
2428.0	4.1187	4118.7	0.66347
