Wavelength (nm),SynOl_Fo70
1935.5,0.85125
1936.3,0.85128
1937.0,0.85131
1937.7,0.85129
1938.4,0.85135
1939.2,0.85129
1939.9,0.85125
1940.6,0.85142
1941.3,0.8515
1942.1,0.85148
1942.8,0.85155
1943.5,0.85144
1944.3,0.85155
1945.0,0.85139
1945.7,0.85136
1946.4,0.85154
1947.2,0.85166
1947.9,0.85161
1948.6,0.85169
1949.4,0.85182
1950.1,0.85176
1950.8,0.85168
1951.6,0.85174
1952.3,0.85186
1953.0,0.85196
1953.8,0.85191
1954.5,0.8518
1955.3,0.85179
1956.0,0.85192
1956.7,0.85207
1957.5,0.85227
1958.2,0.8522
1958.9,0.85212
1959.7,0.85219
1960.4,0.85224
1961.2,0.85205
1961.9,0.85209
1962.7,0.85234
1963.4,0.85239
1964.1,0.85226
1964.9,0.85236
1965.6,0.85246
1966.4,0.85266
1967.1,0.85266
1967.9,0.85257
1968.6,0.85269
1969.4,0.85275
1970.1,0.85261
1970.8,0.85261
1971.6,0.85257
1972.3,0.85272
1973.1,0.853
1973.8,0.85295
1974.6,0.85277
1975.4,0.85288
1976.1,0.85307
1976.9,0.8531
1977.6,0.85298
1978.4,0.85297
1979.1,0.85301
1979.9,0.85301
1980.6,0.853
1981.4,0.85317
1982.2,0.85327
1982.9,0.85329
1983.7,0.85322
1984.4,0.8532
1985.2,0.85325
1985.9,0.85339
1986.7,0.85348
1987.5,0.85351
1988.2,0.8535
1989.0,0.85357
1989.8,0.8536
1990.5,0.85363
1991.3,0.85367
1992.1,0.85355
1992.8,0.8537
1993.6,0.85385
1994.3,0.85383
1995.1,0.85402
1995.9,0.85393
1996.7,0.85388
1997.4,0.8538
1998.2,0.85388
1999.0,0.854
1999.7,0.85389
2000.5,0.85381
2001.3,0.854
2002.1,0.85417
2002.8,0.85422
2003.6,0.85428
2004.4,0.85437
2005.2,0.85431
2005.9,0.85428
2006.7,0.85429
2007.5,0.85427
2008.3,0.85429
2009.0,0.85455
2009.8,0.85466
2010.6,0.85462
2011.4,0.85456
2012.2,0.8547
2012.9,0.85483
2013.7,0.85479
2014.5,0.85474
2015.3,0.85487
2016.1,0.85494
2016.8,0.85504
2017.6,0.85507
2018.4,0.85514
2019.2,0.85508
2020.0,0.85505
2020.8,0.85509
2021.6,0.85524
2022.4,0.85521
2023.2,0.85526
2023.9,0.85529
2024.7,0.85539
2025.5,0.8554
2026.3,0.8553
2027.1,0.85525
2027.9,0.8554
2028.7,0.85548
2029.5,0.85545
2030.3,0.85557
2031.1,0.85579
2031.9,0.85581
2032.7,0.85589
2033.5,0.856
2034.3,0.85603
2035.1,0.85595
2035.9,0.85587
2036.7,0.85585
2037.5,0.85604
2038.3,0.85607
2039.1,0.85609
2039.9,0.85614
2040.7,0.85615
2041.5,0.85615
2042.3,0.85617
2043.1,0.85613
2043.9,0.85632
2044.7,0.85644
2045.5,0.85648
2046.3,0.85662
2047.1,0.85683
2047.9,0.85669
2048.7,0.85662
2049.5,0.85657
2050.4,0.85668
2051.2,0.85678
2052.0,0.85677
2052.8,0.85688
2053.6,0.85687
2054.4,0.85682
2055.2,0.85693
2056.0,0.85693
2056.9,0.85704
2057.7,0.85728
2058.5,0.85734
2059.3,0.85716
2060.1,0.85729
2060.9,0.85734
2061.8,0.85735
2062.6,0.85727
2063.4,0.85743
2064.2,0.85757
2065.1,0.85747
2065.9,0.85749
2066.7,0.8578
2067.5,0.85785
2068.3,0.85782
2069.2,0.85783
2070.0,0.85801
2070.8,0.85794
2071.6,0.858
2072.5,0.85811
2073.3,0.85821
2074.1,0.85825
2075.0,0.85827
2075.8,0.85818
2076.6,0.85812
2077.5,0.85811
2078.3,0.85821
2079.1,0.85817
2080.0,0.85832
2080.8,0.85843
2081.6,0.8586
2082.5,0.85873
2083.3,0.85874
2084.1,0.85869
2085.0,0.85868
2085.8,0.85876
2086.7,0.8589
2087.5,0.85887
2088.3,0.85889
2089.2,0.85894
2090.0,0.85892
2090.9,0.8589
2091.7,0.85899
2092.6,0.85903
2093.4,0.8589
2094.2,0.85884
2095.1,0.85896
2095.9,0.85907
2096.8,0.85919
2097.6,0.85929
2098.5,0.85932
2099.3,0.85918
2100.2,0.85924
2101.0,0.85932
2101.9,0.8595
2102.7,0.85966
2103.6,0.85963
2104.4,0.85975
2105.3,0.85998
2106.1,0.85997
2107.0,0.85987
2107.9,0.85992
2108.7,0.85997
2109.6,0.85989
2110.4,0.86007
2111.3,0.86012
2112.2,0.8602
2113.0,0.86028
2113.9,0.86031
2114.7,0.86024
2115.6,0.8604
2116.5,0.86058
2117.3,0.86072
2118.2,0.86068
2119.1,0.86069
2119.9,0.86067
2120.8,0.86054
2121.7,0.86061
2122.5,0.86074
2123.4,0.86059
2124.3,0.86059
2125.1,0.86062
2126.0,0.86073
2126.9,0.86081
2127.8,0.8608
2128.6,0.86072
2129.5,0.86082
2130.4,0.86106
2131.3,0.86121
2132.1,0.86115
2133.0,0.8613
2133.9,0.86136
2134.8,0.86137
2135.6,0.86135
2136.5,0.8614
2137.4,0.86126
2138.3,0.86128
2139.2,0.86148
2140.1,0.86153
2140.9,0.86146
2141.8,0.8616
2142.7,0.86163
2143.6,0.86174
2144.5,0.86189
2145.4,0.86191
2146.3,0.86188
2147.1,0.86189
2148.0,0.8619
2148.9,0.86212
2149.8,0.8622
2150.7,0.86227
2151.6,0.86222
2152.5,0.8622
2153.4,0.86236
2154.3,0.86241
2155.2,0.86229
2156.1,0.86223
2157.0,0.86215
2157.9,0.86226
2158.8,0.86236
2159.7,0.86233
2160.6,0.86233
2161.5,0.8624
2162.4,0.86239
2163.3,0.86245
2164.2,0.86252
2165.1,0.86261
2166.0,0.86263
2166.9,0.86263
2167.8,0.86264
2168.7,0.86265
2169.6,0.86269
2170.5,0.86272
2171.4,0.86276
2172.3,0.86288
2173.3,0.86286
2174.2,0.86288
2175.1,0.86295
2176.0,0.86291
2176.9,0.86293
2177.8,0.86311
2178.7,0.86306
2179.6,0.86306
2180.6,0.86308
2181.5,0.86311
2182.4,0.86312
2183.3,0.86324
2184.2,0.86319
2185.1,0.86315
2186.1,0.86329
2187.0,0.86346
2187.9,0.86343
2188.8,0.8634
2189.8,0.86338
2190.7,0.86348
2191.6,0.86356
2192.6,0.86358
2193.5,0.86357
2194.4,0.86366
2195.3,0.86374
2196.3,0.86371
2197.2,0.86349
2198.1,0.86348
2199.1,0.86353
2200.0,0.86359
2200.9,0.8636
2201.9,0.8637
2202.8,0.86371
2203.7,0.86363
2204.7,0.86365
2205.6,0.86379
2206.5,0.86378
2207.5,0.86383
2208.4,0.86385
2209.4,0.86395
2210.3,0.86396
2211.3,0.86393
2212.2,0.86385
2213.1,0.86376
2214.1,0.86379
2215.0,0.86403
2216.0,0.86409
2216.9,0.86411
2217.9,0.8641
2218.8,0.8642
2219.8,0.86422
2220.7,0.86417
2221.7,0.86415
2222.6,0.86424
2223.6,0.86419
2224.5,0.86429
2225.5,0.86437
2226.4,0.86439
2227.4,0.86446
2228.4,0.86445
2229.3,0.86443
2230.3,0.86448
2231.2,0.86434
2232.2,0.86432
2233.1,0.86442
2234.1,0.86451
2235.1,0.86451
2236.0,0.8645
2237.0,0.86436
2238.0,0.86442
2238.9,0.86458
2239.9,0.86459
2240.9,0.86441
2241.8,0.86449
2242.8,0.86458
2243.8,0.86466
2244.8,0.86465
2245.7,0.86461
2246.7,0.8646
2247.7,0.86471
2248.6,0.86475
2249.6,0.86474
2250.6,0.86477
2251.6,0.86483
2252.6,0.86473
2253.5,0.8646
2254.5,0.8646
2255.5,0.86464
2256.5,0.86459
2257.5,0.86465
2258.4,0.86468
2259.4,0.8647
2260.4,0.86468
