Wavelength (µm) raw,BKR1KW003E anorthite Kierra <45µm heated 650 °C under vacuum raw,Wavelength (µm) bin avg,BKR1KW003E anorthite Kierra <45µm heated 650 °C under vacuum bin avg,Wavelength (µm) cubic spline of bin avg,BKR1KW003E anorthite Kierra <45µm heated 650 °C under vacuum cubic spline of bin avg
0.795,0.869692,1.43414,0.8934815,1.4341370588235294,0.8934810790972261
0.8,0.870055,1.44412,0.894276,1.4441180392156863,0.8942759233200261
0.805,0.871745,1.4541,0.8948575,1.4540990196078432,0.8948573881143835
0.81,0.871114,1.46408,0.896335,1.46408,0.896335
0.815,0.87264,1.47406,0.8970905,1.474060980392157,0.8970905626402211
0.82,0.872369,1.48404,0.89783,1.4840419607843138,0.8978301382899287
0.825,0.873464,1.49402,0.8985045,1.4940229411764707,0.8985047324763646
0.83,0.874555,1.504,0.8992865,1.5040039215686276,0.8992867005328677
0.835,0.873133,1.51399,0.899816,1.5139849019607845,0.8998154371101797
0.84,0.874822,1.52397,0.9010670000000001,1.5239658823529412,0.9010668261968967
0.845,0.876318,1.53395,0.90098,1.533946862745098,0.9009797778041101
0.85,0.876459,1.54393,0.9024675,1.543927843137255,0.9024672943782566
0.855,0.876719,1.55391,0.9025845,1.5539088235294118,0.9025844644293438
0.86,0.878083,1.56389,0.9034774999999999,1.5638898039215687,0.9034774828788699
0.865,0.877204,1.57387,0.9041625,1.5738707843137256,0.9041625743834891
0.87,0.87859,1.58385,0.905315,1.5838517647058825,0.9053151512186367
0.875,0.87808,1.59383,0.905745,1.5938327450980394,0.9057451044730127
0.88,0.87907,1.60381,0.9062985,1.6038137254901963,0.9062987150928259
0.885,0.877188,1.6138,0.906845,1.613794705882353,0.9068446744598478
0.89,0.878465,1.62378,0.907305,1.6237756862745099,0.9073050055970614
0.895,0.877729,1.63376,0.9072515000000001,1.6337566666666667,0.9072512800901028
0.9,0.878579,1.64374,0.9085435,1.6437376470588236,0.9085432422051657
0.905,0.877925,1.65372,0.9093344999999999,1.6537186274509805,0.9093343326031502
0.91,0.879185,1.6637,0.9110065,1.6636996078431374,0.9110064439450489
0.915,0.878622,1.67368,0.9120455000000001,1.6736805882352943,0.9120455713012243
0.92,0.879379,1.68366,0.9135265,1.683661568627451,0.9135267035096224
0.925,0.878449,1.69364,0.914207,1.6936425490196079,0.9142070243110597
0.93,0.879457,1.70362,0.914158,1.7036235294117648,0.9141580772928045
0.935,0.878997,1.7136,0.914717,1.7136045098039216,0.9147172536199694
0.94,0.879439,1.72359,0.914885,1.7235854901960785,0.9148851278216468
0.945,0.878611,1.73357,0.9144384999999999,1.7335664705882354,0.9144385939743117
0.95,0.88,1.74355,0.91438,1.7435474509803923,0.9143800433251493
0.955,0.879151,1.75353,0.9141855,1.7535284313725492,0.9141854708641561
0.96,0.879745,1.76351,0.9147505,1.763509411764706,0.9147504682133906
0.965,0.879355,1.77349,0.9149695,1.7734903921568628,0.9149695003708752
