Wavelength (µm) raw,BKR1KW003D anorthite Kierra <45µm raw,Wavelength (µm) bin avg,BKR1KW003D anorthite Kierra <45µm bin avg,Wavelength (µm) cubic spline of bin avg,BKR1KW003D anorthite Kierra <45µm cubic spline of bin avg
2.51353,0.920458,,,,
2.51475,0.920473,,,,
2.51597,0.92049,,,,
2.51719,0.920512,,,,
2.51842,0.920488,,,,
2.51964,0.920475,,,,
2.52087,0.920469,,,,
2.52209,0.920471,,,,
2.52332,0.920499,,,,
2.52455,0.920488,,,,
2.52578,0.920435,,,,
2.52701,0.920383,,,,
2.52824,0.920446,,,,
2.52947,0.920537,,,,
2.53071,0.920629,,,,
2.53194,0.92069,,,,
2.53318,0.920629,,,,
2.53442,0.920525,,,,
2.53566,0.920558,,,,
2.5369,0.920605,,,,
2.53814,0.920616,,,,
2.53938,0.920605,,,,
2.54063,0.920574,,,,
2.54187,0.920616,,,,
2.54312,0.920719,,,,
2.54437,0.920685,,,,
2.54562,0.920664,,,,
2.54687,0.920679,,,,
2.54812,0.920672,,,,
2.54937,0.920673,,,,
2.55063,0.920683,,,,
2.55188,0.920725,,,,
2.55314,0.920753,,,,
2.55439,0.920686,,,,
2.55565,0.920664,,,,
2.55691,0.920683,,,,
2.55817,0.920708,,,,
2.55944,0.920696,,,,
2.5607,0.920712,,,,
2.56197,0.920813,,,,
2.56323,0.920806,,,,
2.5645,0.920786,,,,
2.56577,0.920767,,,,
2.56704,0.920624,,,,
2.56831,0.920639,,,,
2.56958,0.920754,,,,
2.57086,0.92073,,,,
2.57213,0.920651,,,,
2.57341,0.920787,,,,
2.57469,0.920782,,,,
2.57597,0.92071,,,,
2.57725,0.920734,,,,
2.57853,0.920666,,,,
2.57981,0.920679,,,,
2.5811,0.920734,,,,
2.58238,0.920685,,,,
2.58367,0.920787,,,,
2.58496,0.920852,,,,
2.58624,0.920679,,,,
2.58754,0.920653,,,,
2.58883,0.920679,,,,
2.59012,0.920659,,,,
2.59141,0.92051,,,,
2.59271,0.920446,,,,
2.59401,0.920697,,,,
2.59531,0.921069,,,,
2.5966,0.920925,,,,
2.59791,0.920552,,,,
2.59921,0.920365,,,,
2.60051,0.920363,,,,
2.60182,0.92037,,,,
2.60312,0.920348,,,,
2.60443,0.920378,,,,
2.60574,0.920528,,,,
2.60705,0.92048,,,,
2.60836,0.920223,,,,
2.60967,0.920093,,,,
2.61099,0.920045,,,,
2.6123,0.91992,,,,
2.61362,0.919898,,,,
2.61494,0.919883,,,,
2.61626,0.919957,,,,
2.61758,0.920038,,,,
2.6189,0.919903,,,,
2.62022,0.919927,,,,
2.62155,0.919959,,,,
2.62287,0.919683,,,,
2.6242,0.919503,,,,
2.62553,0.919558,,,,
2.62686,0.919641,,,,
2.62819,0.919446,,,,
