Wavelength (µm),Pigeonite hs199.17843,Wavelength (µm) target,Pigeonite hs199.17843 target
0.724,0.183441,2.6518,0.216876
0.726,0.183511,2.6917,0.208821
0.728,0.184904,2.7217,0.141732
0.73,0.183072,2.7516,0.090418
0.732,0.184701,2.7816,0.084213
0.734,0.18218,2.8115,0.074119
0.736,0.185994,2.8514,0.079029
0.738,0.186437,2.8814,0.089283
0.74,0.183127,2.9113,0.079238
0.742,0.183792,2.9413,0.076135
0.744,0.185233,2.9712,0.117251
0.746,0.186424,,
0.748,0.185552,,
0.7505,0.185391,,
0.7535,0.185281,,
0.7565,0.185583,,
0.7595,0.184782,,
0.7625,0.184501,,
0.7655,0.184081,,
0.7685,0.187947,,
0.7715,0.184323,,
0.7745,0.185978,,
0.7775,0.185518,,
0.781,0.183993,,
0.785,0.186326,,
0.789,0.184652,,
0.793,0.18558,,
0.797,0.184411,,
0.8015,0.183175,,
0.8065,0.184469,,
0.8115,0.183912,,
0.8165,0.182263,,
0.822,0.180918,,
0.828,0.179894,,
0.835,0.176178,,
0.851,0.171975,,
0.859,0.174073,,
0.871,0.17331,,
0.883,0.167971,,
0.894,0.165944,,
0.904,0.163066,,
0.914,0.160929,,
0.924,0.162061,,
0.933,0.156285,,
0.941,0.158442,,
0.949,0.155599,,
0.957,0.154798,,
0.964,0.158281,,
0.97,0.154667,,
0.976,0.154377,,
0.982,0.154384,,
0.988,0.155564,,
0.994,0.154103,,
1.0,0.152978,,
1.006,0.154258,,
1.012,0.152877,,
1.018,0.152976,,
1.0235,0.156354,,
1.0285,0.155117,,
1.0335,0.157206,,
1.0385,0.153461,,
1.0435,0.157347,,
1.0485,0.157652,,
1.0535,0.15544,,
1.0585,0.15911,,
1.0635,0.158845,,
1.0685,0.158094,,
1.0735,0.158666,,
1.0785,0.159907,,
1.0835,0.15746,,
1.0885,0.160941,,
1.0935,0.162407,,
1.0985,0.162947,,
1.1035,0.166158,,
1.1085,0.162555,,
1.1135,0.165415,,
1.1185,0.167979,,
1.1235,0.165647,,
1.1285,0.168482,,
1.1335,0.168449,,
1.1385,0.16886,,
1.1435,0.169409,,
1.1485,0.168443,,
1.1535,0.173041,,
1.1585,0.172166,,
1.1635,0.171342,,
1.1685,0.17286,,
1.1735,0.172937,,
1.1785,0.174014,,
1.1835,0.174687,,
1.1885,0.174274,,
1.1935,0.173466,,
1.1985,0.175587,,
1.2035,0.175044,,
1.2085,0.177689,,
1.2135,0.176854,,
1.2185,0.176804,,
1.2235,0.178245,,
1.2285,0.178851,,
1.2335,0.178256,,
1.2385,0.180209,,
1.2435,0.180669,,
1.2485,0.179933,,
1.2535,0.181008,,
1.2585,0.180295,,
1.2635,0.183076,,
1.2685,0.182017,,
1.2735,0.185377,,
1.2785,0.184688,,
1.2835,0.184701,,
1.2885,0.184369,,
1.2935,0.184462,,
1.2985,0.186607,,
1.3035,0.187073,,
1.3085,0.188592,,
1.3135,0.188091,,
1.3185,0.188943,,
1.3235,0.189957,,
1.3285,0.189349,,
1.3335,0.190078,,
1.3385,0.189482,,
1.3435,0.193048,,
1.3485,0.191238,,
1.3535,0.192668,,
1.3585,0.193168,,
1.3635,0.194216,,
1.3685,0.193219,,
1.3735,0.196407,,
1.3785,0.194,,
1.3835,0.196095,,
1.3885,0.198207,,
1.3935,0.19518,,
1.3985,0.19497,,
1.4035,0.193995,,
1.4085,0.194252,,
1.4135,0.196892,,
1.4185,0.196278,,
1.4235,0.198587,,
1.4285,0.200747,,
1.4335,0.20039,,
1.4385,0.200459,,
1.4435,0.20353,,
1.4485,0.200152,,
1.4535,0.202461,,
1.4585,0.204178,,
1.4635,0.205085,,
1.4685,0.202505,,
1.4735,0.203492,,
1.4785,0.203347,,
1.4835,0.203245,,
1.4885,0.204475,,
1.4935,0.205786,,
1.4985,0.204411,,
1.5035,0.205344,,
1.5085,0.202957,,
1.5135,0.20558,,
1.5185,0.205744,,
1.5235,0.203121,,
1.5285,0.205105,,
1.534,0.202129,,
1.54,0.2083,,
1.546,0.205897,,
1.552,0.203454,,
1.558,0.204971,,
1.564,0.205712,,
1.5705,0.204836,,
1.5775,0.20371,,
