Wavelength (µm),Augite ws592.3247,Wavelength (µm) target,Augite ws592.3247 target
1.692,0.554668,,
1.7,0.551434,,
1.708,0.557762,,
1.716,0.554575,,
1.724,0.554471,,
1.732,0.552681,,
1.74,0.550891,,
1.748,0.550344,,
1.756,0.54716,,
1.764,0.543626,,
1.772,0.546538,,
1.78,0.542208,,
1.788,0.535237,,
1.796,0.538774,,
1.805,0.533004,,
1.815,0.5282,,
1.825,0.526977,,
1.835,0.524391,,
1.845,0.521495,,
1.855,0.516902,,
1.865,0.511699,,
1.875,0.499044,,
1.885,0.494861,,
1.895,0.476657,,
1.905,0.464712,,
1.915,0.459528,,
1.925,0.462265,,
1.935,0.45972,,
1.945,0.454879,,
1.955,0.45175,,
1.965,0.455013,,
1.975,0.452578,,
1.985,0.444943,,
1.995,0.44162,,
2.005,0.437402,,
2.015,0.437488,,
2.025,0.434406,,
2.035,0.429936,,
2.045,0.429221,,
2.055,0.426791,,
2.065,0.419936,,
2.075,0.419646,,
2.085,0.412917,,
2.095,0.41034,,
2.105,0.406012,,
2.115,0.403986,,
2.125,0.401958,,
2.135,0.395912,,
2.145,0.393176,,
2.155,0.393127,,
2.165,0.387209,,
2.175,0.384972,,
2.185,0.379893,,
2.195,0.375086,,
2.205,0.374097,,
2.215,0.372812,,
2.225,0.371229,,
2.235,0.365823,,
2.245,0.365886,,
2.255,0.362196,,
2.265,0.361083,,
2.275,0.359961,,
2.285,0.361409,,
2.295,0.345387,,
2.305,0.352686,,
2.315,0.353035,,
2.325,0.353572,,
2.335,0.355692,,
2.345,0.359748,,
2.355,0.358647,,
2.365,0.35824,,
2.375,0.36617,,
2.386,0.360502,,
2.4,0.364946,,
2.418,0.36742,,
2.44,0.371058,,
2.466,0.380538,,
2.496,0.389693,,
2.528,0.397517,,
2.56,0.406036,,
2.592,0.422933,,
2.624,0.437123,,
2.656,0.434945,,
2.688,0.344071,,
2.72,0.198395,,
2.752,0.128779,,
2.784,0.126526,,
2.816,0.137472,,
2.848,0.133273,,
2.88,0.129425,,
2.912,0.129315,,
2.944,0.138089,,
2.976,0.128195,,
