Wavelength (µm),Microcline hs108.13749,Wavelength (µm) target,Microcline hs108.13749 target
1.3935,0.777252,,
1.3985,0.777935,,
1.4035,0.773303,,
1.4085,0.77311,,
1.4135,0.769443,,
1.4185,0.771692,,
1.4235,0.771082,,
1.4285,0.772868,,
1.4335,0.769508,,
1.4385,0.770526,,
1.4435,0.772378,,
1.4485,0.773277,,
1.4535,0.773093,,
1.4585,0.775127,,
1.4635,0.772269,,
1.4685,0.77038,,
1.4735,0.778512,,
1.4785,0.77323,,
1.4835,0.778468,,
1.4885,0.781713,,
1.4935,0.779769,,
1.4985,0.778251,,
1.5035,0.782118,,
1.5085,0.779726,,
1.5135,0.777811,,
1.5185,0.778957,,
1.5235,0.785578,,
1.5285,0.783029,,
1.534,0.785642,,
1.54,0.786494,,
1.546,0.788691,,
1.552,0.784963,,
1.558,0.788301,,
1.564,0.788466,,
1.5705,0.789319,,
1.5775,0.78778,,
1.5845,0.788945,,
1.5915,0.790611,,
1.5985,0.789341,,
1.6055,0.79078,,
1.6125,0.790324,,
1.6195,0.792449,,
1.6265,0.790386,,
1.6335,0.792768,,
1.6405,0.794097,,
1.6475,0.791871,,
1.6545,0.792841,,
1.6615,0.796109,,
1.6685,0.793092,,
1.676,0.79678,,
1.684,0.791019,,
1.692,0.790228,,
1.7,0.79658,,
1.708,0.793069,,
1.716,0.794397,,
1.724,0.79474,,
1.732,0.791824,,
1.74,0.795002,,
1.748,0.796312,,
1.756,0.792783,,
1.764,0.793913,,
1.772,0.795112,,
1.78,0.792699,,
1.788,0.792706,,
1.796,0.796499,,
1.805,0.796692,,
1.815,0.79274,,
1.825,0.792123,,
1.835,0.795294,,
1.845,0.793629,,
1.855,0.796944,,
1.865,0.79093,,
1.875,0.791244,,
1.885,0.779539,,
1.895,0.780276,,
1.905,0.761135,,
1.915,0.745018,,
1.925,0.736836,,
1.935,0.736556,,
1.945,0.732714,,
1.955,0.7365,,
1.965,0.740832,,
1.975,0.750258,,
1.985,0.754278,,
1.995,0.758904,,
2.005,0.763129,,
2.015,0.768611,,
2.025,0.771681,,
2.035,0.777348,,
2.045,0.784409,,
2.055,0.781849,,
2.065,0.785304,,
2.075,0.786149,,
2.085,0.788979,,
2.095,0.793945,,
2.105,0.791053,,
2.115,0.796991,,
2.125,0.792966,,
2.135,0.793436,,
2.145,0.795853,,
2.155,0.799677,,
2.165,0.790541,,
2.175,0.794451,,
2.185,0.787249,,
2.195,0.780785,,
2.205,0.778479,,
2.215,0.779457,,
2.225,0.783771,,
2.235,0.776727,,
2.245,0.783008,,
2.255,0.784117,,
2.265,0.784553,,
2.275,0.782411,,
2.285,0.779703,,
2.295,0.783894,,
2.305,0.788544,,
2.315,0.783762,,
2.325,0.784518,,
2.335,0.775733,,
2.345,0.783346,,
2.355,0.776684,,
2.365,0.777764,,
2.375,0.780137,,
2.386,0.776087,,
2.4,0.771015,,
2.418,0.768472,,
2.44,0.755618,,
2.466,0.749507,,
2.496,0.746073,,
2.528,0.732365,,
2.56,0.730706,,
2.592,0.720093,,
2.624,0.716854,,
2.656,0.697563,,
2.688,0.637324,,
2.72,0.49951,,
2.752,0.355126,,
2.784,0.269584,,
2.816,0.236953,,
2.848,0.2121,,
2.88,0.204364,,
2.912,0.169525,,
2.944,0.188859,,
2.976,0.190375,,
