Wavelength (µm),Orthoclase nmnh142137.17360,Wavelength (µm) target,Orthoclase nmnh142137.17360 target
1.751995,0.779961,,
1.752588,0.779838,,
1.75318,0.780023,,
1.753773,0.780332,,
1.754367,0.780579,,
1.754961,0.780887,,
1.755555,0.781134,,
1.75615,0.781011,,
1.756745,0.780949,,
1.75734,0.781258,,
1.757936,0.781443,,
1.758533,0.781628,,
1.759129,0.782061,,
1.759726,0.781875,,
1.760324,0.781814,,
1.760922,0.782122,,
1.76152,0.782493,,
1.762119,0.782554,,
1.762718,0.782678,,
1.763318,0.782925,,
1.763918,0.78311,,
1.764518,0.783481,,
1.765119,0.783728,,
1.76572,0.783604,,
1.766322,0.783666,,
1.766924,0.783728,,
1.767526,0.784036,,
1.768129,0.78416,,
1.768732,0.784592,,
1.769336,0.784592,,
1.76994,0.784839,,
1.770545,0.785086,,
1.771149,0.785024,,
1.771755,0.784777,,
1.77236,0.785086,,
1.772967,0.785394,,
1.773573,0.785703,,
1.77418,0.785827,,
1.774787,0.785888,,
1.775395,0.785827,,
1.776004,0.786074,,
1.776612,0.785888,,
1.777221,0.785827,,
1.777831,0.786012,,
1.778441,0.786444,,
1.779051,0.786691,,
1.779662,0.786814,,
1.780273,0.786876,,
1.780884,0.786876,,
1.781496,0.786629,,
1.782109,0.786876,,
1.782721,0.787123,,
1.783335,0.78737,,
1.783948,0.787555,,
1.784562,0.787679,,
1.785177,0.787864,,
1.785792,0.787988,,
1.786407,0.787741,,
1.787023,0.787926,,
1.787639,0.788049,,
1.788256,0.788049,,
1.788873,0.788049,,
1.789491,0.787926,,
1.790108,0.787926,,
1.790727,0.788111,,
1.791346,0.788358,,
1.791965,0.78842,,
1.792585,0.788543,,
1.793205,0.788667,,
1.793825,0.78879,,
1.794446,0.78879,,
1.795067,0.788728,,
1.795689,0.788667,,
1.796311,0.788914,,
1.796934,0.788914,,
1.797557,0.789037,,
1.79818,0.789284,,
1.798804,0.789593,,
1.799429,0.789593,,
1.800053,0.789716,,
1.800679,0.789593,,
1.801304,0.789284,,
1.801931,0.789531,,
1.802557,0.789716,,
1.803184,0.78984,,
1.803812,0.790148,,
1.804439,0.790148,,
1.805068,0.790087,,
1.805696,0.790025,,
1.806326,0.790148,,
1.806955,0.790272,,
1.807585,0.790334,,
1.808216,0.790395,,
1.808847,0.790642,,
1.809478,0.790642,,
1.81011,0.790457,,
1.810742,0.790581,,
1.811375,0.790828,,
1.812008,0.790889,,
1.812641,0.790828,,
1.813275,0.791198,,
1.81391,0.791136,,
1.814545,0.791013,,
1.81518,0.791136,,
1.815816,0.791322,,
1.816452,0.791198,,
1.817089,0.791198,,
1.817726,0.791322,,
1.818363,0.791568,,
1.819001,0.791816,,
1.81964,0.791877,,
1.820279,0.791692,,
1.820918,0.791877,,
1.821558,0.792124,,
1.822199,0.792371,,
1.822839,0.792495,,
1.82348,0.792803,,
1.824122,0.792742,,
1.824764,0.792927,,
1.825406,0.792556,,
1.826049,0.792062,,
1.826693,0.792803,,
1.827337,0.793482,,
1.827981,0.793359,,
1.828626,0.793112,,
1.829271,0.793482,,
1.829917,0.793544,,
1.830563,0.793297,,
1.83121,0.793606,,
1.831857,0.793976,,
1.832504,0.794162,,
1.833152,0.794162,,
1.833801,0.794038,,
1.83445,0.7941,,
1.835099,0.7941,,
1.835749,0.793791,,
1.836399,0.7941,,
2.000831,0.808979,,
2.001604,0.809103,,
2.002377,0.809288,,
2.003151,0.809226,,
2.003925,0.80935,,
2.0047,0.809411,,
2.005476,0.80935,,
2.006252,0.809597,,
2.007029,0.809597,,
2.007806,0.809411,,
2.008584,0.809535,,
2.009362,0.809658,,
2.010141,0.809905,,
2.010921,0.809967,,
2.011701,0.810029,,
2.012482,0.809905,,
2.013264,0.809782,,
2.014046,0.809967,,
2.014829,0.810276,,
2.015612,0.810461,,
2.016396,0.810523,,
2.01718,0.810461,,
2.017966,0.810276,,
2.018752,0.810399,,
2.019538,0.810831,,
2.020325,0.811264,,
2.021113,0.81114,,
2.021901,0.811202,,
2.02269,0.811449,,
2.023479,0.811264,,
2.02427,0.811325,,
2.02506,0.811511,,
2.025852,0.811572,,
2.026644,0.811634,,
2.027436,0.811634,,
2.028229,0.811757,,
2.029023,0.811943,,
2.029818,0.812066,,
2.030613,0.812128,,
2.031409,0.812004,,
2.032204,0.812251,,
2.033001,0.812437,,
2.033799,0.812251,,
2.034597,0.812375,,
2.035396,0.812869,,
2.036195,0.812992,,
2.036996,0.812807,,
2.037796,0.81256,,
2.038598,0.812684,,
2.0394,0.812931,,
2.040203,0.812931,,
2.041006,0.812869,,
2.04181,0.813177,,
2.042614,0.813177,,
2.043419,0.813054,,
2.044225,0.813239,,
2.045032,0.813301,,
2.045839,0.813486,,
2.046646,0.81361,,
2.047455,0.813671,,
2.048264,0.813795,,
2.049073,0.813918,,
2.049883,0.813671,,
2.050694,0.813486,,
2.051505,0.81361,,
2.052317,0.81361,,
2.05313,0.813795,,
2.053944,0.814104,,
2.054758,0.814104,,
2.055573,0.813918,,
2.056388,0.81398,,
2.057204,0.814042,,
2.058021,0.814104,,
2.058838,0.814165,,
2.059656,0.814351,,
2.060475,0.814227,,
2.061294,0.814104,,
2.062114,0.814165,,
2.062935,0.814227,,
2.063756,0.814042,,
2.064577,0.814104,,
2.0654,0.814165,,
2.066223,0.814165,,
2.067047,0.814227,,
2.067871,0.814104,,
2.068696,0.813918,,
2.069522,0.813857,,
2.070349,0.813918,,
2.071176,0.814227,,
2.072004,0.814227,,
2.072833,0.814165,,
2.073662,0.81398,,
2.074492,0.814104,,
2.075322,0.814104,,
2.076153,0.814042,,
2.076985,0.814042,,
2.077817,0.814042,,
2.07865,0.814165,,
2.079484,0.81398,,
2.080319,0.813671,,
2.081154,0.81361,,
2.08199,0.81361,,
2.082826,0.813795,,
2.083663,0.814042,,
2.084501,0.813918,,
2.08534,0.81361,,
2.086179,0.81361,,
2.087018,0.813733,,
2.087859,0.813795,,
2.0887,0.813671,,
2.089542,0.81361,,
2.090385,0.81361,,
2.091228,0.813548,,
2.092072,0.813548,,
2.092917,0.813795,,
2.093762,0.813548,,
2.094608,0.813363,,
2.095454,0.813363,,
2.096302,0.813548,,
2.09715,0.813548,,
2.097999,0.813486,,
2.098848,0.813486,,
2.099698,0.813363,,
2.100549,0.813301,,
2.1014,0.813301,,
2.102252,0.813116,,
2.103105,0.813301,,
2.103959,0.813301,,
2.104813,0.813424,,
2.105668,0.813301,,
2.106524,0.813301,,
2.10738,0.813424,,
2.108237,0.813671,,
2.109094,0.813733,,
2.109953,0.813795,,
2.110812,0.813733,,
2.111672,0.813671,,
2.112532,0.81361,,
2.113394,0.813548,,
2.114255,0.813671,,
2.115118,0.813671,,
2.115981,0.813548,,
2.116845,0.813733,,
2.11771,0.813857,,
2.118576,0.813857,,
2.119442,0.813857,,
2.120309,0.813918,,
2.121176,0.813733,,
2.122045,0.814042,,
2.122913,0.814227,,
2.123783,0.814412,,
2.124654,0.814227,,
2.125525,0.814289,,
2.126396,0.814351,,
2.127269,0.814412,,
2.128142,0.814536,,
2.129016,0.814783,,
2.129891,0.814721,,
2.130766,0.814536,,
2.131642,0.814659,,
2.132519,0.81503,,
2.133397,0.81503,,
2.134275,0.814968,,
2.135154,0.814968,,
2.136034,0.814906,,
2.136914,0.815153,,
2.137795,0.81503,,
2.138677,0.814968,,
2.13956,0.815215,,
2.140444,0.815524,,
2.141328,0.815709,,
2.142213,0.815647,,
2.143099,0.815524,,
2.143985,0.815585,,
2.144872,0.815771,,
2.14576,0.816018,,
2.146648,0.816018,,
2.147537,0.816079,,
2.148427,0.816203,,
2.149318,0.816203,,
2.150209,0.816203,,
2.151101,0.815956,,
2.151994,0.815832,,
2.152888,0.816079,,
2.153783,0.816141,,
2.154678,0.816265,,
2.155574,0.81645,,
2.15647,0.81645,,
2.157368,0.816203,,
2.158266,0.816265,,
2.159165,0.81645,,
2.160064,0.816573,,
2.160964,0.816697,,
2.161865,0.81682,,
2.162767,0.816882,,
2.16367,0.816697,,
2.164573,0.816511,,
2.165478,0.816388,,
2.166383,0.816697,,
2.167288,0.816697,,
2.168195,0.816573,,
2.169102,0.816511,,
2.17001,0.816697,,
2.170919,0.816697,,
2.171828,0.81682,,
2.172739,0.816697,,
2.17365,0.816635,,
2.174561,0.81645,,
2.175474,0.816573,,
2.176387,0.816573,,
2.177301,0.816388,,
2.178216,0.81645,,
2.179132,0.81645,,
2.180048,0.816265,,
2.180965,0.816203,,
2.181883,0.816079,,
2.182801,0.816018,,
2.183721,0.816079,,
2.184641,0.816018,,
2.185562,0.815771,,
2.186484,0.815709,,
2.187407,0.815585,,
2.18833,0.815832,,
2.189254,0.815771,,
2.190179,0.815585,,
2.191105,0.815462,,
2.192032,0.8154,,
2.192959,0.815338,,
2.193887,0.815338,,
2.194816,0.8154,,
2.195745,0.815153,,
2.196676,0.81503,,
2.197607,0.81503,,
2.198539,0.81503,,
2.199472,0.814721,,
2.200405,0.814474,,
2.201339,0.814474,,
2.202275,0.814412,,
2.203211,0.814351,,
2.204147,0.814474,,
2.205085,0.814536,,
2.206023,0.814474,,
2.206962,0.814412,,
2.207902,0.814289,,
2.208843,0.814165,,
2.209784,0.814165,,
2.210727,0.81398,,
2.21167,0.813795,,
2.212614,0.813795,,
2.213559,0.813795,,
2.214504,0.813795,,
2.215451,0.813733,,
2.216398,0.813671,,
2.217346,0.813733,,
2.218295,0.813795,,
2.219244,0.813733,,
2.220195,0.813671,,
2.221146,0.813671,,
2.222098,0.813857,,
2.223051,0.81361,,
2.224005,0.813548,,
2.224959,0.813301,,
2.225914,0.813239,,
2.226871,0.813177,,
