Wavelength (µm),Sanidine gds19.19863,Wavelength (µm) target,Sanidine gds19.19863 target
1.006,0.780042,,
1.012,0.780331,,
1.018,0.783078,,
1.0235,0.783386,,
1.0285,0.783841,,
1.0335,0.785762,,
1.0385,0.787216,,
1.0435,0.788305,,
1.0485,0.78751,,
1.0535,0.788361,,
1.0585,0.788806,,
1.0635,0.788632,,
1.0685,0.78991,,
1.0735,0.789753,,
1.0785,0.791365,,
1.0835,0.793426,,
1.0885,0.790624,,
1.0935,0.79297,,
1.0985,0.792492,,
1.1035,0.795403,,
1.1085,0.795534,,
1.1135,0.795358,,
1.1185,0.794622,,
1.1235,0.796287,,
1.1285,0.797064,,
1.1335,0.797768,,
1.1385,0.798311,,
1.1435,0.798268,,
1.1485,0.799103,,
1.1535,0.798131,,
1.1585,0.79899,,
1.1635,0.800374,,
1.1685,0.798631,,
1.1735,0.800783,,
1.1785,0.800598,,
1.1835,0.799694,,
1.1885,0.805043,,
1.1935,0.801122,,
1.1985,0.80398,,
1.2035,0.804754,,
1.2085,0.80225,,
1.2135,0.804029,,
1.2185,0.806066,,
1.2235,0.806908,,
1.2285,0.805506,,
1.2335,0.807889,,
1.2385,0.805506,,
1.2435,0.805215,,
1.2485,0.808393,,
1.2535,0.806002,,
1.2585,0.807376,,
1.2635,0.807944,,
1.2685,0.807888,,
1.2735,0.808772,,
1.2785,0.8055,,
1.2835,0.807801,,
1.2885,0.809794,,
1.2935,0.807392,,
1.2985,0.809,,
1.3035,0.809364,,
1.3085,0.810071,,
1.3135,0.812251,,
1.3185,0.809726,,
1.3235,0.808407,,
1.3285,0.811235,,
1.3335,0.810914,,
1.3385,0.809319,,
1.3435,0.810941,,
1.3485,0.811609,,
1.3535,0.811521,,
1.3585,0.81159,,
1.3635,0.810628,,
1.3685,0.811436,,
1.3735,0.812045,,
1.3785,0.811535,,
1.3835,0.811398,,
1.3885,0.81186,,
1.3935,0.813599,,
1.3985,0.813028,,
1.4035,0.811974,,
1.4085,0.813923,,
1.4135,0.811509,,
1.4185,0.813586,,
1.4235,0.814533,,
1.4285,0.814538,,
1.4335,0.817387,,
1.4385,0.815922,,
1.4435,0.817228,,
1.4485,0.816539,,
1.4535,0.815681,,
1.4585,0.816551,,
1.4635,0.814386,,
1.4685,0.819705,,
1.4735,0.815078,,
1.4785,0.81719,,
1.4835,0.816386,,
1.4885,0.818944,,
1.4935,0.816343,,
1.4985,0.819986,,
1.5035,0.81763,,
1.5085,0.816944,,
1.5135,0.81757,,
1.5185,0.820914,,
1.5235,0.81836,,
1.5285,0.819436,,
1.534,0.820719,,
1.54,0.822945,,
1.546,0.818088,,
1.552,0.819065,,
1.558,0.823776,,
1.564,0.822796,,
1.5705,0.822312,,
1.5775,0.821991,,
1.5845,0.821853,,
1.5915,0.822644,,
1.5985,0.821953,,
1.6055,0.821761,,
1.6125,0.822501,,
1.6195,0.821456,,
1.6265,0.822087,,
1.6335,0.821353,,
1.6405,0.823473,,
1.6475,0.821624,,
1.6545,0.823026,,
1.6615,0.826361,,
1.6685,0.821163,,
1.676,0.823502,,
1.684,0.822557,,
1.692,0.825669,,
1.7,0.828043,,
1.708,0.828531,,
1.716,0.823694,,
1.724,0.824455,,
1.732,0.820617,,
1.74,0.822951,,
1.748,0.825327,,
1.756,0.826078,,
1.764,0.826067,,
1.772,0.823693,,
1.78,0.82763,,
1.788,0.828618,,
1.796,0.829175,,
