Wavelength (µm),Microcline hs108.13761,Wavelength (µm) target,Microcline hs108.13761 target
2.012482,0.751859,,
2.013264,0.752057,,
2.014046,0.752255,,
2.014829,0.752551,,
2.015612,0.752947,,
2.016396,0.753342,,
2.01718,0.75354,,
2.017966,0.75354,,
2.018752,0.753738,,
2.019538,0.753738,,
2.020325,0.754035,,
2.021113,0.754133,,
2.021901,0.75443,,
2.02269,0.754727,,
2.023479,0.754925,,
2.02427,0.755122,,
2.02506,0.754826,,
2.025852,0.754925,,
2.026644,0.755122,,
2.027436,0.75532,,
2.028229,0.756012,,
2.029023,0.756408,,
2.029818,0.756408,,
2.030613,0.75621,,
2.031409,0.756111,,
2.032204,0.756309,,
2.033001,0.756804,,
2.033799,0.757298,,
2.034597,0.757298,,
2.035396,0.7571,,
2.036195,0.757595,,
2.036996,0.757891,,
2.037796,0.758089,,
2.038598,0.758287,,
2.0394,0.758386,,
2.040203,0.758584,,
2.041006,0.758584,,
2.04181,0.758584,,
2.042614,0.758781,,
2.043419,0.759276,,
2.044225,0.759276,,
2.045032,0.759276,,
2.045839,0.759671,,
2.046646,0.759869,,
2.047455,0.759968,,
2.048264,0.760166,,
2.049073,0.760364,,
2.049883,0.760364,,
2.050694,0.760462,,
2.051505,0.760265,,
2.052317,0.760166,,
2.05313,0.760462,,
2.053944,0.760364,,
2.054758,0.760364,,
2.055573,0.760858,,
2.056388,0.761155,,
2.057204,0.761254,,
2.058021,0.761451,,
2.058838,0.76155,,
2.059656,0.761352,,
2.060475,0.761352,,
2.061294,0.76155,,
2.062114,0.761451,,
2.062935,0.761451,,
2.063756,0.761649,,
2.064577,0.761451,,
2.0654,0.761451,,
2.066223,0.76155,,
2.067047,0.76155,,
2.067871,0.76155,,
2.068696,0.761847,,
2.069522,0.762045,,
2.070349,0.762341,,
2.071176,0.76244,,
2.072004,0.762341,,
2.072833,0.762045,,
2.073662,0.762144,,
2.074492,0.761946,,
2.075322,0.762242,,
2.076153,0.76244,,
2.076985,0.762144,,
2.077817,0.762242,,
2.07865,0.762539,,
2.079484,0.762144,,
2.080319,0.762242,,
2.081154,0.762341,,
2.08199,0.762341,,
2.082826,0.762341,,
2.083663,0.762045,,
2.084501,0.762144,,
2.08534,0.762341,,
2.086179,0.762341,,
2.087018,0.762045,,
2.087859,0.761649,,
2.0887,0.761649,,
2.089542,0.762144,,
2.090385,0.762242,,
2.091228,0.762045,,
2.092072,0.762045,,
2.092917,0.762144,,
2.093762,0.762045,,
2.094608,0.762144,,
2.095454,0.762341,,
2.096302,0.762045,,
2.09715,0.761847,,
2.097999,0.761847,,
2.098848,0.762341,,
2.099698,0.762242,,
2.100549,0.761946,,
2.1014,0.761847,,
2.102252,0.761847,,
2.103105,0.761847,,
2.103959,0.762144,,
2.104813,0.762242,,
2.105668,0.762242,,
2.106524,0.762242,,
2.10738,0.762242,,
2.108237,0.762045,,
2.109094,0.761649,,
2.109953,0.762045,,
2.110812,0.76244,,
2.111672,0.762242,,
2.112532,0.762045,,
2.113394,0.761946,,
2.114255,0.762144,,
2.115118,0.762242,,
2.115981,0.762737,,
2.116845,0.762935,,
2.11771,0.762737,,
2.118576,0.762539,,
2.119442,0.762539,,
