Wavelength (µm),Sanidine gds19.19876,Wavelength (µm) target,Sanidine gds19.19876 target
1.624617,0.810977,,
1.625127,0.811567,,
1.625636,0.81189,,
1.626146,0.812104,,
1.626656,0.812158,,
1.627167,0.811997,,
1.627678,0.811943,,
1.628189,0.812158,,
1.628701,0.812587,,
1.629212,0.813177,,
1.629725,0.813446,,
1.630237,0.813392,,
1.63075,0.813177,,
1.631263,0.813392,,
1.631777,0.813607,,
1.63229,0.813714,,
1.632804,0.813768,,
1.633319,0.813768,,
1.633834,0.813768,,
1.634349,0.814304,,
1.634864,0.814412,,
1.63538,0.814465,,
1.635896,0.814734,,
1.636412,0.814948,,
1.636929,0.814895,,
1.637446,0.81527,,
1.637964,0.815378,,
1.638481,0.815378,,
1.638999,0.81527,,
1.639518,0.815485,,
1.640036,0.815378,,
1.640555,0.815539,,
1.641075,0.815753,,
1.641594,0.816183,,
1.642114,0.81629,,
1.642634,0.816719,,
1.643155,0.816666,,
1.643676,0.816666,,
1.644197,0.816773,,
1.644719,0.816827,,
1.645241,0.817149,,
1.645763,0.817363,,
1.646286,0.817471,,
1.646809,0.817471,,
1.647332,0.817471,,
1.647856,0.817739,,
1.64838,0.817954,,
1.648904,0.818168,,
1.649429,0.818115,,
1.649953,0.818061,,
1.650479,0.818383,,
1.651004,0.818383,,
1.651531,0.818168,,
1.652057,0.818598,,
1.652583,0.818759,,
1.65311,0.819081,,
1.653638,0.819134,,
1.654165,0.819242,,
1.654693,0.819081,,
1.655222,0.819027,,
1.65575,0.819188,,
1.656279,0.819402,,
1.656809,0.819349,,
1.657338,0.819295,,
1.657868,0.819725,,
1.658399,0.819886,,
1.658929,0.819778,,
1.65946,0.820476,,
1.659992,0.820691,,
1.660523,0.820583,,
1.661055,0.820691,,
1.661588,0.821066,,
1.662121,0.82112,,
1.662654,0.821066,,
1.663187,0.821442,,
1.663721,0.821817,,
1.664255,0.821978,,
1.664789,0.821978,,
1.665324,0.822086,,
1.665859,0.822569,,
1.666395,0.82273,,
1.666931,0.822944,,
1.667467,0.823213,,
1.668003,0.823266,,
1.66854,0.823159,,
1.669077,0.823588,,
1.669615,0.824286,,
1.670153,0.824447,,
1.670691,0.824179,,
1.671229,0.824179,,
1.671769,0.824232,,
1.672308,0.824501,,
1.672847,0.824823,,
1.673387,0.82493,,
1.673928,0.825037,,
1.674468,0.825359,,
1.675009,0.825896,,
1.675551,0.826057,,
1.676093,0.826057,,
1.676635,0.826379,,
1.677177,0.826647,,
1.67772,0.826647,,
1.678263,0.826701,,
1.678806,0.827023,,
1.67935,0.827237,,
1.679894,0.827506,,
1.680439,0.827237,,
1.680984,0.827398,,
1.681529,0.827828,,
1.682074,0.82815,,
1.682621,0.828257,,
1.683167,0.828364,,
1.683714,0.828472,,
1.68426,0.828686,,
1.684808,0.828794,,
1.685356,0.828686,,
1.685904,0.828901,,
1.686452,0.829491,,
1.687001,0.829652,,
1.68755,0.829652,,
1.6881,0.829974,,
1.68865,0.830135,,
1.6892,0.830135,,
1.689751,0.830243,,
1.690302,0.830189,,
1.690853,0.830404,,
1.691405,0.83094,,
1.691957,0.831209,,
1.692509,0.83137,,
1.693061,0.831531,,
1.693615,0.831638,,
1.694168,0.831638,,
1.694722,0.831745,,
1.695276,0.831745,,
1.695831,0.831745,,
1.696385,0.832228,,
1.696941,0.832497,,
1.697497,0.832443,,
1.698053,0.832067,,
1.698609,0.832443,,
1.699166,0.832819,,
1.699723,0.832819,,
1.70028,0.832819,,
1.700838,0.832872,,
1.701396,0.832819,,
1.701955,0.832711,,
1.702514,0.83298,,
1.703073,0.833194,,
1.703633,0.833463,,
1.704193,0.833624,,
1.704753,0.83357,,
1.705314,0.833463,,
1.705875,0.83357,,
1.706436,0.833677,,
1.706998,0.83357,,
1.707561,0.833677,,
1.708123,0.833731,,
1.708686,0.833785,,
1.70925,0.833624,,
1.709813,0.833731,,
1.710377,0.834053,,
1.710942,0.834214,,
1.711507,0.834214,,
1.712072,0.834268,,
1.712638,0.834268,,
1.713204,0.834321,,
1.71377,0.834214,,
1.714337,0.834536,,
1.714904,0.834858,,
1.715471,0.834965,,
1.716039,0.834912,,
1.716607,0.834858,,
1.717176,0.834858,,
