Wavelength (µm) raw,Icelandic pillow lava JB602F raw,Wavelength (µm) bin avg,Icelandic pillow lava JB602F bin avg,Wavelength (µm) cubic spline of bin avg,Icelandic pillow lava JB602F cubic spline of bin avg
1.3595,0.12498,2.76161,0.04334,2.7616074509803923,0.04334068812948398
1.3599,0.12493,2.77159,0.04097857142857143,2.7715884313725487,0.04097888268915183
1.3602,0.12489,2.78157,0.03931142857142857,2.7815694117647056,0.039311515250992544
1.3606,0.12494,2.79155,0.03798666666666666,2.7915503921568625,0.037986622930165644
1.3609,0.12498,2.80153,0.03704428571428571,2.8015313725490194,0.0370441648819407
1.3613,0.12497,2.81151,0.03616166666666667,2.8115123529411763,0.036161466834497356
1.3617,0.12493,2.82149,0.03538,2.821493333333333,0.03537975823821156
1.362,0.12488,2.83147,0.034745,2.83147431372549,0.03474478089189231
1.3624,0.12493,2.84145,0.03432285714285715,2.841455294117647,0.034322634522423845
1.3627,0.12503,2.85144,0.03390166666666667,2.851436274509804,0.03390179479550074
1.3631,0.12505,2.86142,0.03362333333333334,2.8614172549019607,0.03362341716644253
1.3634,0.12511,2.8714,0.03329857142857143,2.8713982352941176,0.03329861508356655
1.3638,0.12508,2.88138,0.033126666666666665,2.8813792156862745,0.0331266822088492
1.3642,0.125,2.89136,0.03294166666666667,2.8913601960784314,0.032941666023217964
1.3645,0.12497,2.90134,0.03300666666666666,2.9013411764705883,0.03300666298473693
1.3649,0.12503,2.91132,0.03288833333333333,2.911322156862745,0.032888332819691155
1.3652,0.12511,2.9213,0.03302142857142857,2.9213031372549016,0.03302145535283042
1.3656,0.12512,2.93128,0.032986,2.9312841176470585,0.032985981192648436
1.3659,0.12507,2.94126,0.033043333333333334,2.9412650980392154,0.033043416598946294
1.3663,0.12509,2.95125,0.03324333333333333,2.9512460784313723,0.03324326843074704
1.3667,0.12511,2.96123,0.033355,2.961227058823529,0.03335496734191382
1.367,0.12509,2.97121,0.033535,2.971208039215686,0.033534947634885445
