Wavelength (µm) raw,Mauna Iki HI basaltic glass JB388B 150-250 µm raw,Wavelength (µm) bin avg,Mauna Iki HI basaltic glass JB388B 150-250 µm bin avg,Wavelength (µm) cubic spline of bin avg,Mauna Iki HI basaltic glass JB388B 150-250 µm cubic spline of bin avg
0.765,0.053675,1.35429,0.04438771428571429,1.3542892156862745,0.044387705337287996
0.77,0.053443,1.36427,0.044563846153846155,1.3642701960784314,0.044563845848141305
0.775,0.053217,1.37425,0.04443178571428571,1.3742511764705883,0.04443179521482607
0.78,0.05295,1.38423,0.04477064285714286,1.3842321568627451,0.04477071066595714
0.785,0.052688,1.39421,0.04489023076923077,1.394213137254902,0.04489024319246952
0.79,0.052458,1.40419,0.044956692307692316,1.404194117647059,0.04495672791120979
0.795,0.052203,1.41418,0.04510284615384615,1.4141750980392158,0.04510272205274417
0.8,0.051963,1.42416,0.04538476923076922,1.4241560784313727,0.04538469582782133
0.805,0.05176,1.43414,0.045398333333333325,1.4341370588235294,0.04539836666992099
0.81,0.051553,1.44412,0.045394538461538465,1.4441180392156863,0.04539448049063879
0.815,0.051327,1.4541,0.045908583333333336,1.4540990196078432,0.04590853782095738
0.82,0.051149,1.46408,0.046114666666666665,1.46408,0.046114666666666665
0.825,0.050942,1.47406,0.046082583333333337,1.474060980392157,0.04608258432490617
0.83,0.050716,1.48404,0.04617308333333333,1.4840419607843138,0.04617310745196506
0.835,0.050498,1.49402,0.0462919090909091,1.4940229411764707,0.046291946475514
0.84,0.050296,1.504,0.04645641666666667,1.5040039215686276,0.04645650306548221
0.845,0.050073,1.51399,0.04670654545454545,1.5139849019607845,0.046706424452629854
0.85,0.049871,1.52397,0.04687236363636363,1.5239658823529412,0.046872330694673045
0.855,0.049647,1.53395,0.04693454545454545,1.533946862745098,0.04693450524605721
0.86,0.049413,1.54393,0.047102454545454545,1.543927843137255,0.047102433216441725
0.865,0.049194,1.55391,0.04705318181818183,1.5539088235294118,0.047053201462959215
0.87,0.048918,1.56389,0.04694759999999999,1.5638898039215687,0.04694759796840402
0.875,0.04874,1.57387,0.04717072727272728,1.5738707843137256,0.04717073557330008
0.88,0.048278,1.58385,0.047070900000000006,1.5838517647058825,0.047070872399717495
0.88316,0.047927,1.59383,0.047005,1.5938327450980394,0.047005005945117216
0.88346,0.047207,1.60381,0.047067700000000004,1.6038137254901963,0.04706772244464011
0.88557,0.047795,1.6138,0.0471286,1.613794705882353,0.04712854246963304
0.88587,0.048356,1.62378,0.0472116,1.6237756862745099,0.04721162698082337
0.88709,0.048918,1.63376,0.0470371,1.6337566666666667,0.04703714439610929
0.888,0.048382,1.64374,0.04699266666666666,1.6437376470588236,0.04699268147447864
0.8883,0.048254,1.65372,0.046913,1.6537186274509805,0.04691299836660218
0.88861,0.047974,1.6637,0.04695099999999999,1.6636996078431374,0.046951004313221856
0.88891,0.0485,1.67368,0.04675022222222222,1.6736805882352943,0.046750218621114864
0.88922,0.048896,1.68366,0.046790700000000005,1.683661568627451,0.046790680083174656
0.88952,0.048961,1.69364,0.04650633333333333,1.6936425490196079,0.04650629148206383
0.88983,0.04865,1.70362,0.046567250000000004,1.7036235294117648,0.04656728964068787
0.89013,0.048665,1.7136,0.04654877777777777,1.7136045098039216,0.046548706692018216
0.89044,0.04844,1.72359,0.04637966666666667,1.7235854901960785,0.046379687169784634
0.89074,0.047935,1.73357,0.04644211111111111,1.7335664705882354,0.04644210435585823
0.89105,0.047905,1.74355,0.0463605,1.7435474509803923,0.046360522577974
0.89136,0.048325,1.75353,0.04631766666666667,1.7535284313725492,0.04631767277414685
0.89166,0.04804,1.76351,0.046243875,1.763509411764706,0.04624388125041978
0.89197,0.047182,1.77349,0.046181875,1.7734903921568628,0.04618187718795255
0.89228,0.046297,1.78347,0.046307875000000005,1.7834713725490197,0.0463078853598587
0.89474,0.046666,1.79345,0.046265999999999995,1.7934523529411766,0.04626597531365469
0.89505,0.047158,1.80343,0.046184125000000006,1.8034333333333334,0.04618411573062047
0.89536,0.048329,1.81341,0.046197875,1.8134143137254903,0.04619787994234045
0.8966,0.048984,1.8234,0.04621675000000001,1.8233952941176472,0.046216712383781694
0.89691,0.048935,1.83338,0.046279875,1.8333762745098041,0.04627990658316745
0.89722,0.048552,1.84336,0.046101142857142854,1.8433572549019608,0.04610116703053223
0.89753,0.048106,1.85334,0.0461765,1.8533382352941177,0.04617647775032854
0.89784,0.047761,1.86332,0.04626271428571428,1.8633192156862746,0.04626270884354897
0.89815,0.047003,1.8733,0.04629571428571428,1.8733001960784315,0.04629571339815639
0.89846,0.04638,1.88328,0.046212500000000004,1.8832811764705883,0.04621249538052258
0.89971,0.046451,1.89326,0.046279,1.8932621568627452,0.04627903281787607
0.90002,0.046467,1.90324,0.04646271428571428,1.9032431372549021,0.046462771650620446
0.90034,0.046613,1.91322,0.04663114285714286,1.913224117647059,0.046631214903305435
0.90065,0.047139,1.92321,0.04672614285714286,1.923205098039216,0.04672618746214766
0.90096,0.046971,1.93319,0.046540000000000005,1.9331860784313726,0.04654003336464204
0.90128,0.046553,1.94317,0.04661385714285714,1.9431670588235295,0.04661382964543182
0.90159,0.046185,1.95315,0.04669057142857143,1.9531480392156864,0.04669053932637308
0.90474,0.046282,1.96313,0.04693266666666666,1.9631290196078433,0.04693264609126263
0.90505,0.046796,1.97311,0.04706257142857143,1.9731100000000001,0.04706257142857143
0.90537,0.046686,1.98309,0.04723814285714286,1.983090980392157,0.04723816718911404
