Wavelength (µm) raw,Haleakala tephra JB395B 45-125 raw,Wavelength (µm) bin avg,Haleakala tephra JB395B 45-125 bin avg,Wavelength (µm) cubic spline of bin avg,Haleakala tephra JB395B 45-125 cubic spline of bin avg
1.075,0.19575,1.99307,0.20671333333333333,1.993071960784314,0.20671338382427387
1.08,0.19598,2.00305,0.20681666666666668,2.0030529411764704,0.20681674546439013
1.085,0.19601,2.01303,0.20736333333333334,2.0130339215686273,0.20736357850265819
1.09,0.19588,2.02301,0.2078275,2.023014901960784,0.20782763224034667
1.095,0.19578,2.033,0.20802,2.032995882352941,0.20801988934219184
1.1,0.19544,2.04298,0.20833333333333334,2.042976862745098,0.20833327840943675
1.105,0.19516,2.05296,0.20833333333333334,2.052957843137255,0.20833333912469573
1.11,0.19525,2.06294,0.20848,2.0629388235294117,0.20847995609657172
1.115,0.19559,2.07292,0.20894,2.0729198039215686,0.20893999298765203
1.12,0.19567,2.0829,0.20909333333333335,2.0829007843137255,0.2090933364688388
1.125,0.19589,2.09288,0.20919333333333334,2.0928817647058824,0.20919337639589178
1.13,0.19627,2.10286,0.20948333333333335,2.1028627450980393,0.20948337625422592
1.135,0.19635,2.11284,0.20949666666666666,2.112843725490196,0.20949668237049648
1.14,0.19649,2.12282,0.20951333333333333,2.122824705882353,0.20951322284105028
1.145,0.19662,2.13281,0.20913500000000002,2.13280568627451,0.20913508177804765
1.15,0.19662,2.14279,0.20917,2.142786666666667,0.20917001276814937
1.155,0.19672,2.15277,0.20887666666666668,2.1527676470588237,0.2088767686626619
1.16,0.19656,2.16275,0.20838,2.16274862745098,0.20838008267505326
1.165,0.19655,2.17273,0.20777666666666664,2.172729607843137,0.20777668484975148
1.17,0.19662,2.18271,0.20741500000000002,2.182710588235294,0.20741497389292043
1.175,0.19678,2.19269,0.20684,2.192691568627451,0.20683990953192274
1.18,0.19682,2.20267,0.20648,2.2026725490196077,0.20647998478248117
1.185,0.19705,2.21265,0.20662,2.2126535294117646,0.20662005455181598
1.19,0.19709,2.22263,0.20678333333333332,2.2226345098039215,0.20678349266132295
1.195,0.19717,2.23262,0.20726,2.2326154901960784,0.20725983986435725
1.2,0.19725,2.2426,0.20745333333333335,2.2425964705882353,0.20745324885974442
1.205,0.19727,2.25258,0.20781000000000002,2.252577450980392,0.20780991315398709
1.21,0.19737,2.26256,0.20804499999999998,2.262558431372549,0.20804497231870564
1.215,0.19739,2.27254,0.20830666666666664,2.272539411764706,0.2083066404055239
1.22,0.1973,2.28252,0.208905,2.282520392156863,0.20890502442649192
1.225,0.19725,2.2925,0.20947000000000002,2.2925013725490198,0.20947007672890025
1.23,0.19732,2.30248,0.209955,2.3024823529411766,0.209955069949459
1.235,0.19722,2.31246,0.21012999999999998,2.3124633333333335,0.21013007853408003
1.24,0.19719,2.32244,0.21047000000000002,2.32244431372549,0.2104701331133317
1.245,0.19742,2.33242,0.21063500000000002,2.332425294117647,0.21063502533237624
1.25,0.19744,2.34241,0.21062,2.3424062745098038,0.21062001833228602
1.255,0.19739,2.35239,0.21065,2.3523872549019607,0.21064994674458515
1.26,0.19762,2.36237,0.210885,2.3623682352941175,0.21088498771979708
1.265,0.19788,2.37235,0.21072000000000002,2.3723492156862744,0.21072002052862768
1.27,0.19785,2.38233,0.2104033333333333,2.3823301960784313,0.2104033241083189
1.275,0.19769,2.39231,0.20986,2.392311176470588,0.20985994805677155
1.28,0.19771,2.40229,0.20965,2.402292156862745,0.2096499939979576
1.285,0.19765,2.41227,0.209555,2.412273137254902,0.2095548858024862
1.29,0.19766,2.42225,0.20893333333333333,2.422254117647059,0.2089330570567455
1.295,0.19797,2.43223,0.208465,2.432235098039216,0.20846488353271975
1.3,0.19822,2.44222,0.20819,2.4422160784313727,0.20819025420830972
1.305,0.1981,2.4522,0.20731,2.452197058823529,0.2073101910004488
1.31,0.19808,2.46218,0.206955,2.462178039215686,0.20695509157541206
1.315,0.19825,2.47216,0.20632499999999998,2.472159019607843,0.20632504345441657
1.32,0.19804,2.48214,0.20600333333333332,2.48214,0.20600333333333332
1.325,0.19824,2.49212,0.205175,2.4921209803921567,0.20517494801741087
1.33,0.19854,2.5021,0.20499,2.5021019607843136,0.20498994036436413
1.335,0.19865,2.51208,0.204375,2.5120829411764705,0.2043748063731776
1.34,0.19844,2.52206,0.20395000000000002,2.5220639215686274,0.20394992606403464
1.345,0.19835,2.53204,0.203835,2.5320449019607842,0.20383489683793313
1.35,0.19818,2.54203,0.20355499999999999,2.542025882352941,0.20355506443399238
1.3525,0.19845,2.55201,0.203515,2.552006862745098,0.2035150391986479
1.3539,0.19868,2.56199,0.20326,2.561987843137255,0.20326004967654415
1.3554,0.19848,2.57197,0.203065,2.571968823529412,0.20306503606138293
1.3568,0.19838,2.58195,0.20257999999999998,2.5819498039215687,0.20258001152156832
1.3582,0.19849,2.59193,0.20196999999999998,2.5919307843137256,0.20196995022501216
1.3596,0.19803,2.60191,0.20145,2.601911764705882,0.2014499522457186
1.361,0.19789,2.61189,0.20123,2.611892745098039,0.2012298607447558
1.3625,0.19844,2.62187,0.20042,2.621873725490196,0.2004197031045156
1.3639,0.19863,2.63185,0.19968999999999998,2.6318547058823527,0.19968956040143052
1.3654,0.19822,2.64183,0.19818000000000002,2.6418356862745096,0.1981787483564497
1.3668,0.19807,2.65182,0.19392500000000001,2.6518166666666665,0.19392752591861795
1.3682,0.19808,2.6618,0.18406,2.6617976470588234,0.1840623339647224
1.3697,0.19807,2.67178,0.17507,2.6717786274509803,0.17507129342732095
1.3711,0.19838,2.68176,0.164375,2.681759607843137,0.16437545330911835
1.3726,0.1986,2.69174,0.151835,2.691740588235294,0.15183416567955935
1.374,0.19842,2.70172,0.135735,2.701721568627451,0.135732207883909
1.3755,0.19826,2.7117,0.118945,2.711702549019608,0.11894156267901161
1.377,0.19817,2.72168,0.10878,2.7216835294117647,0.10877672373875123
1.3784,0.19809,2.73166,0.098158,2.7316645098039216,0.09815264628124899
1.3799,0.19789,2.74164,0.086544,2.7416454901960785,0.08653846879126624
1.3814,0.19783,2.75163,0.078527,2.7516264705882354,0.07852940492966809
1.3828,0.19766,2.76161,0.072297,2.7616074509803923,0.07229839451046641
1.3843,0.1979,2.77159,0.067601,2.7715884313725487,0.0676016506372557
1.3858,0.19814,2.78157,0.06416150000000001,2.7815694117647056,0.06416164082001748
1.3873,0.19802,2.79155,0.062369,2.7915503921568625,0.06236892139972329
1.3888,0.19801,2.80153,0.059729500000000005,2.8015313725490194,0.05972910035432238
1.3903,0.1982,2.81151,0.057005,2.8115123529411763,0.057004418111180094
1.3917,0.19817,2.82149,0.054228,2.821493333333333,0.05422675534495802
1.3932,0.19819,2.83147,0.0498665,2.83147431372549,0.04986475249822705
1.3947,0.19813,2.84145,0.046657,2.841455294117647,0.04665550769645327
1.3962,0.19796,2.85144,0.043900499999999995,2.851436274509804,0.04390146823893021
1.3978,0.19784,2.86142,0.041584,2.8614172549019607,0.041584556380903935
1.3993,0.19775,2.8714,0.039693,2.8713982352941176,0.03969334270121432
1.4008,0.19808,2.88138,0.037789,2.8813792156862745,0.03778912651563951
1.4023,0.19838,2.89136,0.036665,2.8913601960784314,0.03666498611645238
1.4038,0.19828,2.90134,0.0361275,2.9013411764705883,0.03612743538711732
1.4053,0.19815,2.91132,0.035855,2.911322156862745,0.03585510141732809
1.4069,0.19816,2.9213,0.036961499999999994,2.9213031372549016,0.03696186902216529
1.4084,0.1982,2.93128,0.037736,2.9312841176470585,0.037736197077487744
1.4099,0.19814,2.94126,0.038082000000000005,2.9412650980392154,0.03808214123028633
1.4115,0.19816,2.95125,0.038374,2.9512460784313723,0.038373870543436765
1.413,0.19822,2.96123,0.038855,2.961227058823529,0.038854786721670635
1.4145,0.19814,2.97121,0.039774,2.971208039215686,0.03977380836955405
1.4161,0.19819,2.98119,0.040881,2.981189019607843,0.04088085728586864
1.4176,0.19815,2.99117,0.043108,2.99117,0.043108
1.4192,0.19813,,,,
1.4207,0.19825,,,,
1.4223,0.1985,,,,
1.4239,0.19876,,,,
1.4254,0.19888,,,,
1.427,0.19873,,,,
1.4286,0.19851,,,,
1.4302,0.1987,,,,
1.4317,0.19887,,,,
