Step Size,Wavelength (µm),"Strip 325 330, morning/midday, lat 30 - Back","Strip 325 330, morning/midday, lat 30","Strip 325 330, morning/midday, lat 0 - Back","Strip 325 330, morning/midday, lat 0","Strip 325 330, morning/midday, lat -30 - Back","Strip 325 330, morning/midday, lat -30","Strip 295 305, morning/midday, lat 60 - Back","Strip 295 305, morning/midday, lat 60","Strip 295 305, morning/midday, lat 30 - Back","Strip 295 305, morning/midday, lat 30","Strip 295 305, morning/midday, lat 0 - Back","Strip 295 305, morning/midday, lat 0","Strip 295 305, morning/midday, lat -30 - Back","Strip 295 305, morning/midday, lat -30","Strip 240 250, morning/midday, lat 60 - Back","Strip 240 250, morning/midday, lat 60","Strip 240 250, morning/midday, lat 30 - Back","Strip 240 250, morning/midday, lat 30","Back = Strip 240 250, morning/midday, lat -30"
0.02,1.2894,-0.049312,0.93831,-0.022193,0.96543,0.043222,1.0308,0.035652,1.0233,-0.017619,0.97,-0.044947,0.94267,0.014965,1.0026,-0.018147,0.96947,0.0085709,0.99619,0.98762
0.0199,1.3094,-0.055785,0.93883,-0.024326,0.97029,0.037097,1.0317,0.025323,1.0199,-0.022927,0.97169,-0.04915,0.94546,0.0086117,1.0032,-0.026846,0.96777,0.0045663,0.99918,0.99461
0.02,1.3293,-0.055868,0.94085,-0.028449,0.96827,0.032205,1.0289,0.022487,1.0192,-0.037635,0.95909,-0.051654,0.94507,0.0067547,1.0035,-0.012209,0.98451,0.0069268,1.0036,0.99672
0.02,1.3493,-0.058945,0.94128,-0.02914,0.97109,0.036479,1.0367,0.018479,1.0187,-0.025628,0.9746,-0.04475,0.95548,0.0069472,1.0072,-0.020494,0.97973,0.0070709,1.0073,1.0002
0.0199,1.3693,-0.054864,0.93624,-0.030379,0.96072,0.045869,1.037,0.026453,1.0176,-0.02018,0.97092,-0.05024,0.94086,0.0095446,1.0006,-0.016647,0.97445,0.0030487,0.99415,0.9911
0.02,1.3892,-0.060247,0.93575,-0.032301,0.96369,0.03175,1.0277,0.018963,1.015,-0.021932,0.97406,-0.04585,0.95014,0.010417,1.0064,-0.023687,0.97231,0.0030411,0.99904,0.996
0.02,1.4092,-0.06372,0.94466,-0.032553,0.97582,0.040495,1.0489,0.0057216,1.0141,-0.03061,0.97777,-0.054282,0.95409,0.0058982,1.0143,-0.024415,0.98396,0.0012434,1.0096,1.0084
0.0199,1.4292,-0.058269,0.95023,-0.033984,0.97452,0.02772,1.0362,0.012738,1.0212,-0.033161,0.97534,-0.045886,0.96261,0.0055106,1.014,-0.021772,0.98673,-0.0020974,1.0064,1.0085
0.02,1.4491,-0.060715,0.93707,-0.031103,0.96669,0.036197,1.034,0.016593,1.0144,-0.028991,0.9688,-0.036013,0.96178,0.0091836,1.007,-0.02228,0.97551,0.0049689,1.0028,0.99779
0.0199,1.4691,-0.063298,0.9471,-0.03477,0.97563,0.034524,1.0449,0.0086251,1.019,-0.028865,0.98153,-0.050453,0.95994,0.0045773,1.015,-0.015605,0.99479,0.0029378,1.0133,1.0104
0.02,1.489,-0.061756,0.94012,-0.030389,0.97149,0.03997,1.0418,0.0071876,1.0091,-0.021966,0.97991,-0.043351,0.95853,0.0075754,1.0095,-0.029922,0.97196,0.0061899,1.0081,1.0019
0.02,1.509,-0.056453,0.93882,-0.023582,0.9717,0.036724,1.032,0.014034,1.0093,-0.016164,0.97911,-0.038429,0.95685,0.0138,1.0091,-0.0096077,0.98567,0.0039991,0.99928,0.99528
0.0199,1.529,-0.063691,0.95243,-0.033552,0.98257,0.015602,1.0317,2.41E-05,1.0161,-0.02133,0.99479,-0.049381,0.96674,-0.003091,1.013,-0.017707,0.99842,0.0016847,1.0178,1.0161
0.03,1.5489,-0.058188,0.9536,-0.029366,0.98242,0.019164,1.0309,0.0014673,1.0133,-0.018843,0.99294,-0.040864,0.97092,-0.00050271,1.0113,-0.027475,0.98431,-0.00075054,1.011,1.0118
0.0399,1.5789,-0.050635,0.95377,-0.023923,0.98049,0.02238,1.0268,0.004639,1.009,-0.014746,0.98966,-0.030612,0.9738,0.0030357,1.0074,-0.035559,0.96885,-0.0028034,1.0016,1.0044
0.0399,1.6188,-0.047079,0.95438,-0.021887,0.97957,0.026492,1.028,0.0017438,1.0032,-0.014125,0.98733,-0.031271,0.97019,0.00014448,1.0016,-0.027152,0.97431,-0.0032505,0.99821,1.0015
0.0399,1.6587,-0.042057,0.95677,-0.014295,0.98453,0.016863,1.0157,-0.0022224,0.99661,-0.013416,0.98541,-0.024868,0.97396,0.0030578,1.0019,-0.017225,0.9816,-0.00046158,0.99837,0.99883
0.04,1.6986,-0.035586,0.96756,-0.0071698,0.99598,0.017612,1.0208,0.00064659,1.0038,-0.0055072,0.99764,-0.018519,0.98463,0.0036023,1.0068,-0.016285,0.98686,-0.00080395,1.0023,1.0031
0.0399,1.7386,-0.028904,0.97495,-0.0027666,1.0011,0.01185,1.0157,0.0042825,1.0081,-0.0035642,1.0003,-0.0092164,0.99463,0.0059584,1.0098,-0.02358,0.98027,0.001177,1.005,1.0038
