Wavelength (µm) M3 targeted images,,"average every 4 channels, step n",,"average every 4 channels, step n, sort",,"average every 4 channels, step n, sort, round 0.0001",,Wavelength (µm) M3 global images,,difference
2.572,,2.57695,,,,,,,,
2.5819,,,,,,,,,,
2.5919,,,,,,,,,,
2.6019,,,,,,,,,,
2.6119,,2.6169,,,,,,,,
2.6219,,,,,,,,,,
2.6319,,,,,,,,,,
2.6418,,,,,,,,,,
2.6518,,2.6568,,,,,,,,
2.6618,,,,,,,,,,
2.6718,,,,,,,,,,
2.6818,,,,,,,,,,
2.6917,,2.696725,,,,,,,,
2.7017,,,,,,,,,,
2.7117,,,,,,,,,,
2.7217,,,,,,,,,,
2.7317,,2.73665,,,,,,,,
2.7416,,,,,,,,,,
2.7516,,,,,,,,,,
2.7616,,,,,,,,,,
2.7716,,2.7766,,,,,,,,
2.7816,,,,,,,,,,
2.7916,,,,,,,,,,
2.8015,,,,,,,,,,
2.8115,,2.8165,,,,,,,,
2.8215,,,,,,,,,,
2.8315,,,,,,,,,,
2.8414,,,,,,,,,,
2.8514,,2.8564,,,,,,,,
2.8614,,,,,,,,,,
2.8714,,,,,,,,,,
2.8814,,,,,,,,,,
2.8914,,2.89635,,,,,,,,
2.9013,,,,,,,,,,
2.9113,,,,,,,,,,
2.9213,,,,,,,,,,
2.9313,,2.9363,,,,,,,,
2.9413,,,,,,,,,,
2.9513,,,,,,,,,,
2.9612,,,,,,,,,,
2.9712,,2.9762,,,,,,,,
2.9812,,,,,,,,,,
2.9912,,,,,,,,,,
